table_id,row_id,industry_naics_code_and_company_size_full_path,industry_naics_code_and_company_size_level_1,industry_naics_code_and_company_size_level_2,industry_naics_code_and_company_size_level_3,industry_naics_code_and_company_size_level_4,industry_naics_code_and_company_size_hierarchy_depth,field_all_r_da,field_paid_for_by_the_companyb,field_paid_for_by_others_total,field_paid_for_by_others_federal,field_paid_for_by_others_companies_domestic,field_paid_for_by_others_companies_foreignc,field_paid_for_by_others_all_other_organizationsd
5192,r023,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Nonmanufacturing nec, Other 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Nonmanufacturing nec, Other 21&#8211;23, 42&#8211;81",,3,"['34,906', '&nbsp;']",33775,"['1,129', '&nbsp;']","['48', '&nbsp;']","['806', '&nbsp;']","['271', '&nbsp;']","['4', '&#160;']"
5192,r024,Size of company (number of domestic employees),Size of company (number of domestic employees),,,,1,"['&#160;', '&nbsp;']",,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']"
5192,r025,Size of company (number of domestic employees) -> Small companies<sup>e</sup>,Size of company (number of domestic employees),Small companies<sup>e</sup>,,,2,"['&#160;', '&nbsp;']",,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']"
5192,r026,Size of company (number of domestic employees) -> Small companies<sup>e</sup> -> 10&#8211;19,Size of company (number of domestic employees),Small companies<sup>e</sup>,10&#8211;19,,3,"['5,501', '&nbsp;']",4432,"['1,070', '&nbsp;']","['502', '&nbsp;']","['315', 'i']","['141', '  ']","['112', '  ']"
5192,r027,Size of company (number of domestic employees) -> Small companies<sup>e</sup> -> 20&#8211;49,Size of company (number of domestic employees),Small companies<sup>e</sup>,20&#8211;49,,3,"['12,418', '&nbsp;']",10040,"['2,378', '&nbsp;']","['811', '&nbsp;']","['766', '&nbsp;']","['660', 'i ']","['141', 'i ']"
5192,r028,Size of company (number of domestic employees) -> Medium companies,Size of company (number of domestic employees),Medium companies,,,2,"['&nbsp;', '&nbsp;']",,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5192,r029,Size of company (number of domestic employees) -> Medium companies -> 50&#8211;99,Size of company (number of domestic employees),Medium companies,50&#8211;99,,3,"['14,021', '&nbsp;']",11492,"['2,529', '&nbsp;']","['697', '&nbsp;']","['796', '&nbsp;']","['784', '  ']","['252', '  ']"
5192,r030,Size of company (number of domestic employees) -> Medium companies -> 100&#8211;249,Size of company (number of domestic employees),Medium companies,100&#8211;249,,3,"['19,793', '&nbsp;']",16520,"['3,274', '&nbsp;']","['988', '&nbsp;']","['1,029', '&nbsp;']","['1,147', '  ']","['110', '  ']"
5192,r031,Size of company (number of domestic employees) -> Large companies,Size of company (number of domestic employees),Large companies,,,2,"['&nbsp;', '&nbsp;']",,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5192,r032,Size of company (number of domestic employees) -> Large companies -> 250&#8211;499,Size of company (number of domestic employees),Large companies,250&#8211;499,,3,"['18,883', '&nbsp;']",15356,"['3,527', '&nbsp;']","['1,393', '&nbsp;']","['623', '&nbsp;']","['1,405', 'i ']","['106', 'i ']"
5192,r033,Size of company (number of domestic employees) -> Large companies -> 500&#8211;999,Size of company (number of domestic employees),Large companies,500&#8211;999,,3,"['23,969', '&nbsp;']",21549,"['2,420', '&nbsp;']","['248', 'i']","['566', '&nbsp;']","['1,592', 'i ']","['14', 'i ']"
5192,r034,"Size of company (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",Size of company (number of domestic employees),Large companies,"1,000&#8211;4,999",,3,"['75,671', '&nbsp;']",64475,"['11,196', '&nbsp;']","['1,710', '&nbsp;']","['1,924', 'i']","['7,500', '  ']","['62', '  ']"
5192,r035,"Size of company (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",Size of company (number of domestic employees),Large companies,"5,000&#8211;9,999",,3,"['50,811', '&nbsp;']",44728,"['6,083', '&nbsp;']","['977', '&nbsp;']","['3,908', 'i']","['1,141', '  ']","['57', '  ']"
5192,r036,"Size of company (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",Size of company (number of domestic employees),Large companies,"10,000&#8211;24,999",,3,"['88,263', '&nbsp;']",74385,"['13,878', 'i']","['1,717', 'i']","['7,183', 'i']","['4,918', '  ']","['60', '  ']"
5192,r037,"Size of company (number of domestic employees) -> Large companies -> 25,000 or more",Size of company (number of domestic employees),Large companies,"25,000 or more",,3,"['183,626', '&nbsp;']",165991,"['17,635', '&nbsp;']","['12,897', 'i']","['4,352', '&nbsp;']","['268', '  ']","['118', '  ']"
