table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_all_computer_and_information_sciences_fields,field_computer_science,field_computer_and_information_sciences_other
11713,r012,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Married,,3,35.7,34.5,38.7
11713,r013,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Marriage-like relationship,,3,6.1,5.7,6.8
11713,r014,"All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Marital status (%),"Separated, divorced, widowed",,3,2.4,1.7,3.8
11713,r015,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Unknown,,3,13.8,13.0,15.9
11713,r016,All doctorate recipients (number)<sup>a</sup> -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>a</sup>,Has dependent age 18 or younger (%),,,2,16.3,14.3,21.1
11713,r017,All doctorate recipients (number)<sup>a</sup> -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>a</sup>,Has one or more functional limitations (%),,,2,12.1,11.5,13.5
11713,r018,All doctorate recipients (number)<sup>a</sup> -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Age at doctorate (median years),,,2,30.8,30.4,31.8
11713,r019,All doctorate recipients (number)<sup>a</sup> -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Bachelor's in same field as doctorate (%)<sup>b</sup>,,,2,38.8,43.2,28.2
11713,r020,All doctorate recipients (number)<sup>a</sup> -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Master's earned (%),,,2,74.7,72.6,79.8
11713,r021,All doctorate recipients (number)<sup>a</sup> -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>a</sup>,Master's earned (%),Master's earned at same doctorate institution (%),,3,50.1,52.5,45.0
11713,r022,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),,,2,,,
11713,r023,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),Years since earning bachelor's degree,,3,8.2,8.0,9.3
11713,r024,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From graduate school start,,3,7.0,6.8,7.8
11713,r025,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From doctoral program start<sup>c</sup>,,3,5.7,5.7,5.6
11713,r026,All doctorate recipients (number)<sup>a</sup> -> Received tuition remission (%),All doctorate recipients (number)<sup>a</sup>,Received tuition remission (%),,,2,86.1,88.3,80.9
11713,r027,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),,,2,1710,1234,476
11713,r028,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),,3,,,
11713,r029,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),U.S. citizen or permanent resident,4,35.0,34.7,35.9
11713,r030,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),Temporary visa holder,4,59.6,60.5,57.1
11713,r031,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),Unknown,4,5.4,4.8,6.9
11713,r032,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),,3,,,
11713,r033,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Never married,4,44.2,46.6,37.8
11713,r034,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Married,4,34.9,33.5,38.4
11713,r035,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Marriage-like relationship,4,5.8,5.5,6.5
11713,r036,"All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,2.3,1.8,3.6
11713,r037,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Unknown,4,12.9,12.6,13.7
11713,r038,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Has dependent age 18 or younger (%),,3,15.7,13.8,20.8
11713,r039,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Has one or more functional limitations (%),,3,11.8,11.2,13.5
11713,r040,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Age at doctorate (median years),,3,30.6,30.4,31.4
11713,r041,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>b</sup>,,3,39.7,43.4,30.2
11713,r042,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Master's earned (%),,3,73.4,71.9,77.1
11713,r043,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Master's earned (%),Master's earned at same doctorate institution (%),4,50.7,52.3,46.9
11713,r044,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),,3,,,
11713,r045,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),Years since earning bachelor's degree,4,8.1,7.9,9.0
11713,r046,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,6.9,6.8,7.3
11713,r047,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>c</sup>,4,5.7,5.7,5.5
11713,r048,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Received tuition remission (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Received tuition remission (%),,3,86.9,89.3,80.8
11713,r049,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),,,2,587,371,216
11713,r050,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),,3,,,
11713,r051,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),U.S. citizen or permanent resident,4,37.6,34.0,44.0
11713,r052,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),Temporary visa holder,4,54.2,58.0,47.7
11713,r053,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),Unknown,4,8.2,8.1,8.3
11713,r054,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),,3,,,
11713,r055,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Never married,4,35.8,40.2,28.2
11713,r056,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Married,4,38.2,37.5,39.4
11713,r057,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Marriage-like relationship,4,6.8,6.5,7.4
11713,r058,"All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,2.6,1.6,4.2
11713,r059,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Unknown,4,16.7,14.3,20.8
11713,r060,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Has dependent age 18 or younger (%),,3,18.1,16.1,21.9
11713,r061,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Has one or more functional limitations (%),,3,13.0,12.7,13.5
11713,r062,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Age at doctorate (median years),,3,31.3,30.7,32.3
11713,r063,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>b</sup>,,3,35.7,42.6,23.5
11713,r064,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Master's earned (%),,3,78.9,74.8,86.3
11713,r065,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Master's earned (%),Master's earned at same doctorate institution (%),4,48.5,53.3,41.0
11713,r066,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),,3,,,
11713,r067,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),Years since earning bachelor's degree,4,8.9,8.3,10.0
11713,r068,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,7.7,6.8,8.3
11713,r069,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>c</sup>,4,5.7,5.7,5.6
11713,r070,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Received tuition remission (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Received tuition remission (%),,3,83.7,85.0,81.4
