table_id,row_id,_b_field_and_sex_b_full_path,_b_field_and_sex_b_level_1,_b_field_and_sex_b_level_2,_b_field_and_sex_b_level_3,_b_field_and_sex_b_level_4,_b_field_and_sex_b_hierarchy_depth,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field__change_2011_21
7522,r029,All doctorate recipients<sup>a</sup> -> Engineering -> Other engineering,All doctorate recipients<sup>a</sup>,Engineering,Other engineering,,3,1525,1757,2017,2191,2178,2155,2258,2282,2519,2412,2336,53.2
7522,r030,All doctorate recipients<sup>a</sup> -> Education,All doctorate recipients<sup>a</sup>,Education,,,2,4670,4802,4934,4789,5098,5146,4826,4818,4633,4715,4252,-9.0
7522,r031,All doctorate recipients<sup>a</sup> -> Education -> Education administration,All doctorate recipients<sup>a</sup>,Education,Education administration,,3,924,1057,965,893,920,824,922,895,839,931,710,-23.2
7522,r032,All doctorate recipients<sup>a</sup> -> Education -> Education research,All doctorate recipients<sup>a</sup>,Education,Education research,,3,2378,2516,2638,2490,2717,2328,2373,2457,2253,2275,2167,-8.9
7522,r033,All doctorate recipients<sup>a</sup> -> Education -> Teacher education,All doctorate recipients<sup>a</sup>,Education,Teacher education,,3,204,156,109,152,156,180,114,96,104,113,111,-45.6
7522,r034,All doctorate recipients<sup>a</sup> -> Education -> Teaching fields,All doctorate recipients<sup>a</sup>,Education,Teaching fields,,3,805,757,892,915,953,1166,925,959,957,939,797,-1.0
7522,r035,All doctorate recipients<sup>a</sup> -> Education -> Other education,All doctorate recipients<sup>a</sup>,Education,Other education,,3,359,316,330,339,352,648,492,411,480,457,467,30.1
7522,r036,All doctorate recipients<sup>a</sup> -> Humanities and arts,All doctorate recipients<sup>a</sup>,Humanities and arts,,,2,5225,5561,5715,5524,5594,5482,5286,5139,5051,4924,4137,-20.8
7522,r037,All doctorate recipients<sup>a</sup> -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>a</sup>,Humanities and arts,Foreign languages and literature,,3,644,684,701,674,656,599,618,617,610,564,377,-41.5
7522,r038,All doctorate recipients<sup>a</sup> -> Humanities and arts -> History,All doctorate recipients<sup>a</sup>,Humanities and arts,History,,3,1065,1086,1148,1186,1146,1148,1058,948,912,884,725,-31.9
7522,r039,All doctorate recipients<sup>a</sup> -> Humanities and arts -> Letters,All doctorate recipients<sup>a</sup>,Humanities and arts,Letters,,3,1513,1638,1606,1551,1583,1531,1462,1439,1386,1389,1192,-21.2
7522,r040,All doctorate recipients<sup>a</sup> -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>a</sup>,Humanities and arts,Other humanities and arts,,3,2003,2153,2260,2113,2209,2204,2148,2135,2143,2087,1843,-8.0
7522,r041,All doctorate recipients<sup>a</sup> -> Other,All doctorate recipients<sup>a</sup>,Other,,,2,2683,2734,3023,3043,3019,2941,3152,2977,3027,3005,3002,11.9
7522,r042,All doctorate recipients<sup>a</sup> -> Other -> Business management and administration,All doctorate recipients<sup>a</sup>,Other,Business management and administration,,3,1327,1404,1551,1584,1582,1509,1565,1473,1533,1468,1392,4.9
7522,r043,All doctorate recipients<sup>a</sup> -> Other -> Communication,All doctorate recipients<sup>a</sup>,Other,Communication,,3,650,595,645,663,667,672,622,630,543,591,507,-22.0
7522,r044,All doctorate recipients<sup>a</sup> -> Other -> Non-science and engineering fields nec,All doctorate recipients<sup>a</sup>,Other,Non-science and engineering fields nec,,3,706,735,827,796,770,760,965,874,951,946,1103,56.2
7522,r045,All doctorate recipients<sup>a</sup> -> Male,All doctorate recipients<sup>a</sup>,Male,,,2,26188,27362,28326,29008,29532,29572,29446,29743,30111,29855,28082,7.2
7522,r046,All doctorate recipients<sup>a</sup> -> Male -> Life sciences,All doctorate recipients<sup>a</sup>,Male,Life sciences,,3,5243,5335,5492,5514,5563,5628,5662,5648,5806,5547,5236,-0.1
7522,r047,All doctorate recipients<sup>a</sup> -> Male -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>a</sup>,Male,Life sciences,Agricultural sciences and natural resources,4,652,698,702,691,746,755,763,746,758,745,671,2.9
7522,r048,All doctorate recipients<sup>a</sup> -> Male -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>a</sup>,Male,Life sciences,Biological and biomedical sciences,4,3878,3891,3941,4088,4100,4154,4088,4079,4192,3887,3816,-1.6
7522,r049,All doctorate recipients<sup>a</sup> -> Male -> Life sciences -> Health sciences,All doctorate recipients<sup>a</sup>,Male,Life sciences,Health sciences,4,713,746,849,735,717,719,811,823,856,915,749,5.0
7522,r050,All doctorate recipients<sup>a</sup> -> Male -> Physical sciences and earth sciences,All doctorate recipients<sup>a</sup>,Male,Physical sciences and earth sciences,,3,3629,3684,3717,3968,3928,4285,4103,4211,4363,4173,3737,3.0
7522,r051,All doctorate recipients<sup>a</sup> -> Male -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>a</sup>,Male,Physical sciences and earth sciences,Chemistry,4,1508,1521,1497,1642,1592,1712,1676,1741,1788,1668,1474,-2.3
7522,r052,"All doctorate recipients<sup>a</sup> -> Male -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>a</sup>,Male,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",4,522,538,539,622,600,716,657,659,738,736,594,13.8
7522,r053,All doctorate recipients<sup>a</sup> -> Male -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>a</sup>,Male,Physical sciences and earth sciences,Physics and astronomy,4,1599,1625,1681,1704,1736,1857,1770,1811,1837,1769,1669,4.4
7522,r054,All doctorate recipients<sup>a</sup> -> Male -> Mathematics and computer sciences,All doctorate recipients<sup>a</sup>,Male,Mathematics and computer sciences,,3,2456,2638,2792,2912,2877,2994,2906,3036,3137,3295,3230,31.5
7522,r055,All doctorate recipients<sup>a</sup> -> Male -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>a</sup>,Male,Mathematics and computer sciences,Computer and information sciences,4,1312,1419,1502,1580,1581,1662,1566,1565,1711,1861,1775,35.3
7522,r056,All doctorate recipients<sup>a</sup> -> Male -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>a</sup>,Male,Mathematics and computer sciences,Mathematics and statistics,4,1144,1219,1290,1332,1296,1332,1340,1471,1426,1434,1455,27.2
7522,r057,All doctorate recipients<sup>a</sup> -> Male -> Psychology and social sciences,All doctorate recipients<sup>a</sup>,Male,Psychology and social sciences,,3,3332,3539,3501,3507,3757,3741,3718,3635,3666,3583,3488,4.7
7522,r058,All doctorate recipients<sup>a</sup> -> Male -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>a</sup>,Male,Psychology and social sciences,Psychology,4,1003,1040,997,1063,1057,1133,1132,1095,1113,1080,1070,6.7
7522,r059,All doctorate recipients<sup>a</sup> -> Male -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>a</sup>,Male,Psychology and social sciences,Anthropology,4,223,187,188,195,185,171,159,126,155,144,120,-46.2
7522,r060,All doctorate recipients<sup>a</sup> -> Male -> Psychology and social sciences -> Economics,All doctorate recipients<sup>a</sup>,Male,Psychology and social sciences,Economics,4,734,840,767,785,821,819,827,849,818,808,821,11.9
7522,r061,All doctorate recipients<sup>a</sup> -> Male -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>a</sup>,Male,Psychology and social sciences,Political science and government,4,389,420,469,433,527,462,456,429,433,387,339,-12.9
7522,r062,All doctorate recipients<sup>a</sup> -> Male -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>a</sup>,Male,Psychology and social sciences,Sociology,4,254,230,259,247,284,257,266,250,229,243,211,-16.9
7522,r063,All doctorate recipients<sup>a</sup> -> Male -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>a</sup>,Male,Psychology and social sciences,Other social sciences,4,729,822,821,784,883,899,878,886,918,921,927,27.2
7522,r064,All doctorate recipients<sup>a</sup> -> Male -> Engineering,All doctorate recipients<sup>a</sup>,Male,Engineering,,3,6242,6565,6946,7401,7578,7267,7449,7710,7830,7878,7582,21.5
7522,r065,"All doctorate recipients<sup>a</sup> -> Male -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>a</sup>,Male,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,228,268,293,330,308,314,337,337,323,329,311,36.4
7522,r066,All doctorate recipients<sup>a</sup> -> Male -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>a</sup>,Male,Engineering,Bioengineering and biomedical engineering,4,563,608,684,660,698,686,613,687,720,652,631,12.1
7522,r067,All doctorate recipients<sup>a</sup> -> Male -> Engineering -> Chemical engineering,All doctorate recipients<sup>a</sup>,Male,Engineering,Chemical engineering,4,566,583,566,682,685,624,665,688,664,695,696,23.0
7522,r068,All doctorate recipients<sup>a</sup> -> Male -> Engineering -> Civil engineering,All doctorate recipients<sup>a</sup>,Male,Engineering,Civil engineering,4,486,388,417,465,457,437,520,505,541,586,429,-11.7
7522,r069,"All doctorate recipients<sup>a</sup> -> Male -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>a</sup>,Male,Engineering,"Electrical, electronics, and communications engineering",4,1579,1594,1616,1614,1704,1529,1550,1599,1501,1630,1721,9.0
7522,r070,All doctorate recipients<sup>a</sup> -> Male -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>a</sup>,Male,Engineering,Industrial and manufacturing engineering,4,180,164,176,209,154,185,169,204,172,209,245,36.1
7522,r071,All doctorate recipients<sup>a</sup> -> Male -> Engineering -> Materials science engineering,All doctorate recipients<sup>a</sup>,Male,Engineering,Materials science engineering,4,496,556,598,617,648,721,698,718,701,637,649,30.8
7522,r072,All doctorate recipients<sup>a</sup> -> Male -> Engineering -> Mechanical engineering,All doctorate recipients<sup>a</sup>,Male,Engineering,Mechanical engineering,4,934,1042,1081,1126,1265,1096,1179,1285,1283,1372,1182,26.6
7522,r073,All doctorate recipients<sup>a</sup> -> Male -> Engineering -> Other engineering,All doctorate recipients<sup>a</sup>,Male,Engineering,Other engineering,4,1210,1362,1515,1698,1659,1675,1718,1687,1925,1768,1718,42.0
7522,r074,All doctorate recipients<sup>a</sup> -> Male -> Education,All doctorate recipients<sup>a</sup>,Male,Education,,3,1432,1500,1570,1468,1605,1545,1535,1494,1422,1458,1239,-13.5
7522,r075,All doctorate recipients<sup>a</sup> -> Male -> Education -> Education administration,All doctorate recipients<sup>a</sup>,Male,Education,Education administration,4,349,389,372,371,344,304,349,323,342,349,247,-29.2
7522,r076,All doctorate recipients<sup>a</sup> -> Male -> Education -> Education research,All doctorate recipients<sup>a</sup>,Male,Education,Education research,4,678,751,802,701,837,703,764,751,644,664,633,-6.6
7522,r077,All doctorate recipients<sup>a</sup> -> Male -> Education -> Teacher education,All doctorate recipients<sup>a</sup>,Male,Education,Teacher education,4,38,43,22,35,36,43,21,18,20,28,18,-52.6
7522,r078,All doctorate recipients<sup>a</sup> -> Male -> Education -> Teaching fields,All doctorate recipients<sup>a</sup>,Male,Education,Teaching fields,4,250,229,275,265,294,313,265,271,259,292,215,-14.0
7522,r079,All doctorate recipients<sup>a</sup> -> Male -> Education -> Other education,All doctorate recipients<sup>a</sup>,Male,Education,Other education,4,117,88,99,96,94,182,136,131,157,125,126,7.7
7522,r080,All doctorate recipients<sup>a</sup> -> Male -> Humanities and arts,All doctorate recipients<sup>a</sup>,Male,Humanities and arts,,3,2571,2741,2829,2760,2763,2639,2606,2564,2478,2506,2115,-17.7
7522,r081,All doctorate recipients<sup>a</sup> -> Male -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>a</sup>,Male,Humanities and arts,Foreign languages and literature,4,248,238,271,248,238,228,239,247,215,223,170,-31.5
7522,r082,All doctorate recipients<sup>a</sup> -> Male -> Humanities and arts -> History,All doctorate recipients<sup>a</sup>,Male,Humanities and arts,History,4,586,602,632,664,632,621,602,513,529,510,409,-30.2
7522,r083,All doctorate recipients<sup>a</sup> -> Male -> Humanities and arts -> Letters,All doctorate recipients<sup>a</sup>,Male,Humanities and arts,Letters,4,615,659,665,657,647,600,593,585,560,587,489,-20.5
7522,r084,All doctorate recipients<sup>a</sup> -> Male -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>a</sup>,Male,Humanities and arts,Other humanities and arts,4,1122,1242,1261,1191,1246,1190,1172,1219,1174,1186,1047,-6.7
7522,r085,All doctorate recipients<sup>a</sup> -> Male -> Other,All doctorate recipients<sup>a</sup>,Male,Other,,3,1283,1360,1479,1478,1461,1473,1467,1445,1409,1415,1455,13.4
7522,r086,All doctorate recipients<sup>a</sup> -> Male -> Other -> Business management and administration,All doctorate recipients<sup>a</sup>,Male,Other,Business management and administration,4,792,837,909,909,934,932,900,863,872,851,795,0.4
7522,r087,All doctorate recipients<sup>a</sup> -> Male -> Other -> Communication,All doctorate recipients<sup>a</sup>,Male,Other,Communication,4,233,244,244,277,256,261,200,234,205,228,213,-8.6
7522,r088,All doctorate recipients<sup>a</sup> -> Male -> Other -> Non-science and engineering fields nec,All doctorate recipients<sup>a</sup>,Male,Other,Non-science and engineering fields nec,4,258,279,326,292,271,280,367,348,332,336,447,73.3
7522,r089,All doctorate recipients<sup>a</sup> -> Female,All doctorate recipients<sup>a</sup>,Female,,,2,22699,23526,24365,24813,25347,25222,25084,25309,25488,25364,24156,6.4
7522,r090,All doctorate recipients<sup>a</sup> -> Female -> Life sciences,All doctorate recipients<sup>a</sup>,Female,Life sciences,,3,6289,6614,6712,6930,6929,6908,6887,7100,6941,7001,6576,4.6
7522,r091,All doctorate recipients<sup>a</sup> -> Female -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>a</sup>,Female,Life sciences,Agricultural sciences and natural resources,4,554,554,622,646,688,623,728,693,730,724,663,19.7
7522,r092,All doctorate recipients<sup>a</sup> -> Female -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>a</sup>,Female,Life sciences,Biological and biomedical sciences,4,4272,4422,4410,4747,4682,4707,4476,4700,4485,4523,4331,1.4
7522,r093,All doctorate recipients<sup>a</sup> -> Female -> Life sciences -> Health sciences,All doctorate recipients<sup>a</sup>,Female,Life sciences,Health sciences,4,1463,1638,1680,1537,1559,1578,1683,1707,1726,1754,1582,8.1
7522,r094,All doctorate recipients<sup>a</sup> -> Female -> Physical sciences and earth sciences,All doctorate recipients<sup>a</sup>,Female,Physical sciences and earth sciences,,3,1640,1730,1864,1924,1987,1963,1978,2116,2212,2066,2018,23.0
7522,r095,All doctorate recipients<sup>a</sup> -> Female -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>a</sup>,Female,Physical sciences and earth sciences,Chemistry,4,922,894,985,1021,1074,991,1022,1066,1151,1091,1081,17.2
7522,r096,"All doctorate recipients<sup>a</sup> -> Female -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>a</sup>,Female,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",4,330,403,449,475,457,510,512,526,533,505,470,42.4
7522,r097,All doctorate recipients<sup>a</sup> -> Female -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>a</sup>,Female,Physical sciences and earth sciences,Physics and astronomy,4,388,433,430,428,456,462,444,524,528,470,467,20.4
7522,r098,All doctorate recipients<sup>a</sup> -> Female -> Mathematics and computer sciences,All doctorate recipients<sup>a</sup>,Female,Mathematics and computer sciences,,3,813,855,868,934,939,959,935,982,1092,1092,1143,40.6
7522,r099,All doctorate recipients<sup>a</sup> -> Female -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>a</sup>,Female,Mathematics and computer sciences,Computer and information sciences,4,353,374,341,400,422,420,432,434,508,502,586,66.0
7522,r100,All doctorate recipients<sup>a</sup> -> Female -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>a</sup>,Female,Mathematics and computer sciences,Mathematics and statistics,4,460,481,527,534,517,539,503,548,584,590,557,21.1
7522,r101,All doctorate recipients<sup>a</sup> -> Female -> Psychology and social sciences,All doctorate recipients<sup>a</sup>,Female,Psychology and social sciences,,3,4887,4955,5077,5217,5315,5295,5312,5239,5377,5349,5184,6.1
7522,r102,All doctorate recipients<sup>a</sup> -> Female -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>a</sup>,Female,Psychology and social sciences,Psychology,4,2573,2558,2594,2648,2719,2776,2793,2726,2796,2791,2727,6.0
7522,r103,All doctorate recipients<sup>a</sup> -> Female -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>a</sup>,Female,Psychology and social sciences,Anthropology,4,330,360,362,328,307,289,287,298,290,303,280,-15.2
7522,r104,All doctorate recipients<sup>a</sup> -> Female -> Psychology and social sciences -> Economics,All doctorate recipients<sup>a</sup>,Female,Psychology and social sciences,Economics,4,387,402,416,404,434,417,410,396,429,404,408,5.4
7522,r105,All doctorate recipients<sup>a</sup> -> Female -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>a</sup>,Female,Psychology and social sciences,Political science and government,4,296,303,333,341,332,283,287,304,274,249,242,-18.2
7522,r106,All doctorate recipients<sup>a</sup> -> Female -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>a</sup>,Female,Psychology and social sciences,Sociology,4,402,402,377,431,457,356,416,418,403,363,349,-13.2
7522,r107,All doctorate recipients<sup>a</sup> -> Female -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>a</sup>,Female,Psychology and social sciences,Other social sciences,4,899,930,995,1065,1066,1174,1119,1097,1185,1239,1178,31.0
7522,r108,All doctorate recipients<sup>a</sup> -> Female -> Engineering,All doctorate recipients<sup>a</sup>,Female,Engineering,,3,1782,1887,2052,2184,2297,2189,2321,2450,2466,2592,2656,49.0
7522,r109,"All doctorate recipients<sup>a</sup> -> Female -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>a</sup>,Female,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,34,39,55,55,53,56,42,46,56,70,62,82.4
7522,r110,All doctorate recipients<sup>a</sup> -> Female -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>a</sup>,Female,Engineering,Bioengineering and biomedical engineering,4,335,335,355,384,427,403,419,445,443,430,432,29.0
7522,r111,All doctorate recipients<sup>a</sup> -> Female -> Engineering -> Chemical engineering,All doctorate recipients<sup>a</sup>,Female,Engineering,Chemical engineering,4,256,256,258,290,317,296,265,293,316,299,328,28.1
7522,r112,All doctorate recipients<sup>a</sup> -> Female -> Engineering -> Civil engineering,All doctorate recipients<sup>a</sup>,Female,Engineering,Civil engineering,4,147,106,125,147,175,127,191,170,159,209,192,30.6
7522,r113,"All doctorate recipients<sup>a</sup> -> Female -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>a</sup>,Female,Engineering,"Electrical, electronics, and communications engineering",4,301,336,279,325,293,293,329,344,297,343,360,19.6
7522,r114,All doctorate recipients<sup>a</sup> -> Female -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>a</sup>,Female,Engineering,Industrial and manufacturing engineering,4,78,62,65,89,89,71,79,68,62,95,116,48.7
7522,r115,All doctorate recipients<sup>a</sup> -> Female -> Engineering -> Materials science engineering,All doctorate recipients<sup>a</sup>,Female,Engineering,Materials science engineering,4,166,184,217,211,223,262,239,274,290,242,286,72.3
7522,r116,All doctorate recipients<sup>a</sup> -> Female -> Engineering -> Mechanical engineering,All doctorate recipients<sup>a</sup>,Female,Engineering,Mechanical engineering,4,150,177,196,197,201,201,219,216,249,261,262,74.7
7522,r117,All doctorate recipients<sup>a</sup> -> Female -> Engineering -> Other engineering,All doctorate recipients<sup>a</sup>,Female,Engineering,Other engineering,4,315,392,502,486,519,480,538,594,594,643,618,96.2
7522,r118,All doctorate recipients<sup>a</sup> -> Female -> Education,All doctorate recipients<sup>a</sup>,Female,Education,,3,3234,3298,3364,3311,3492,3601,3289,3323,3211,3256,3012,-6.9
7522,r119,All doctorate recipients<sup>a</sup> -> Female -> Education -> Education administration,All doctorate recipients<sup>a</sup>,Female,Education,Education administration,4,574,665,593,522,576,520,573,572,497,581,463,-19.3
7522,r120,All doctorate recipients<sup>a</sup> -> Female -> Education -> Education research,All doctorate recipients<sup>a</sup>,Female,Education,Education research,4,1697,1765,1836,1783,1879,1625,1608,1705,1609,1611,1534,-9.6
7522,r121,All doctorate recipients<sup>a</sup> -> Female -> Education -> Teacher education,All doctorate recipients<sup>a</sup>,Female,Education,Teacher education,4,166,113,87,117,120,137,92,78,84,85,93,-44.0
7522,r122,All doctorate recipients<sup>a</sup> -> Female -> Education -> Teaching fields,All doctorate recipients<sup>a</sup>,Female,Education,Teaching fields,4,555,527,617,649,659,853,660,688,698,647,581,4.7
7522,r123,All doctorate recipients<sup>a</sup> -> Female -> Education -> Other education,All doctorate recipients<sup>a</sup>,Female,Education,Other education,4,242,228,231,240,258,466,356,280,323,332,341,40.9
