table_id,row_id,teaching_field_and_selected_school_characteristic_full_path,teaching_field_and_selected_school_characteristic_level_1,teaching_field_and_selected_school_characteristic_level_2,teaching_field_and_selected_school_characteristic_level_3,teaching_field_and_selected_school_characteristic_level_4,teaching_field_and_selected_school_characteristic_hierarchy_depth,field_average_annualsalarya
4107,r036,All public middle and high school teachers -> Science -> Community type  -> Suburban,All public middle and high school teachers,Science,Community type ,Suburban,4,65900
4107,r037,All public middle and high school teachers -> Science -> Community type  -> Town,All public middle and high school teachers,Science,Community type ,Town,4,51700
4107,r038,All public middle and high school teachers -> Science -> Community type  -> Rural,All public middle and high school teachers,Science,Community type ,Rural,4,53100
4107,r039,All public middle and high school teachers -> Science -> Region,All public middle and high school teachers,Science,Region,,3,
4107,r040,All public middle and high school teachers -> Science -> Region -> Northeast,All public middle and high school teachers,Science,Region,Northeast,4,73200
4107,r041,All public middle and high school teachers -> Science -> Region -> Midwest,All public middle and high school teachers,Science,Region,Midwest,4,60900
4107,r042,All public middle and high school teachers -> Science -> Region -> South,All public middle and high school teachers,Science,Region,South,4,51300
4107,r043,All public middle and high school teachers -> Science -> Region -> West,All public middle and high school teachers,Science,Region,West,4,66100
4107,r044,All public middle and high school teachers -> Other<sup>c</sup>,All public middle and high school teachers,Other<sup>c</sup>,,,2,59300
4107,r045,All public middle and high school teachers -> Other<sup>c</sup> -> Minority enrollment (percent),All public middle and high school teachers,Other<sup>c</sup>,Minority enrollment (percent),,3,
4107,r046,All public middle and high school teachers -> Other<sup>c</sup> -> Minority enrollment (percent) -> 0&#8211;24,All public middle and high school teachers,Other<sup>c</sup>,Minority enrollment (percent),0&#8211;24,4,58000
4107,r047,All public middle and high school teachers -> Other<sup>c</sup> -> Minority enrollment (percent) -> 25&#8211;49,All public middle and high school teachers,Other<sup>c</sup>,Minority enrollment (percent),25&#8211;49,4,59200
4107,r048,All public middle and high school teachers -> Other<sup>c</sup> -> Minority enrollment (percent) -> 50&#8211;74,All public middle and high school teachers,Other<sup>c</sup>,Minority enrollment (percent),50&#8211;74,4,58000
4107,r049,All public middle and high school teachers -> Other<sup>c</sup> -> Minority enrollment (percent) -> 75 or more,All public middle and high school teachers,Other<sup>c</sup>,Minority enrollment (percent),75 or more,4,62100
4107,r050,All public middle and high school teachers -> Other<sup>c</sup> -> School poverty level (percent)<sup>b</sup>,All public middle and high school teachers,Other<sup>c</sup>,School poverty level (percent)<sup>b</sup>,,3,
4107,r051,All public middle and high school teachers -> Other<sup>c</sup> -> School poverty level (percent)<sup>b</sup> -> 0&#8211;34,All public middle and high school teachers,Other<sup>c</sup>,School poverty level (percent)<sup>b</sup>,0&#8211;34,4,62700
4107,r052,All public middle and high school teachers -> Other<sup>c</sup> -> School poverty level (percent)<sup>b</sup> -> 35&#8211;49,All public middle and high school teachers,Other<sup>c</sup>,School poverty level (percent)<sup>b</sup>,35&#8211;49,4,58200
4107,r053,All public middle and high school teachers -> Other<sup>c</sup> -> School poverty level (percent)<sup>b</sup> -> 50&#8211;74,All public middle and high school teachers,Other<sup>c</sup>,School poverty level (percent)<sup>b</sup>,50&#8211;74,4,56900
4107,r054,All public middle and high school teachers -> Other<sup>c</sup> -> School poverty level (percent)<sup>b</sup> -> 75 or more,All public middle and high school teachers,Other<sup>c</sup>,School poverty level (percent)<sup>b</sup>,75 or more,4,57700
4107,r055,All public middle and high school teachers -> Other<sup>c</sup> -> Community type ,All public middle and high school teachers,Other<sup>c</sup>,Community type ,,3,
4107,r056,All public middle and high school teachers -> Other<sup>c</sup> -> Community type  -> City,All public middle and high school teachers,Other<sup>c</sup>,Community type ,City,4,60400
4107,r057,All public middle and high school teachers -> Other<sup>c</sup> -> Community type  -> Suburban,All public middle and high school teachers,Other<sup>c</sup>,Community type ,Suburban,4,64000
4107,r058,All public middle and high school teachers -> Other<sup>c</sup> -> Community type  -> Town,All public middle and high school teachers,Other<sup>c</sup>,Community type ,Town,4,51100
4107,r059,All public middle and high school teachers -> Other<sup>c</sup> -> Community type  -> Rural,All public middle and high school teachers,Other<sup>c</sup>,Community type ,Rural,4,52600
4107,r060,All public middle and high school teachers -> Other<sup>c</sup> -> Region,All public middle and high school teachers,Other<sup>c</sup>,Region,,3,
4107,r061,All public middle and high school teachers -> Other<sup>c</sup> -> Region -> Northeast,All public middle and high school teachers,Other<sup>c</sup>,Region,Northeast,4,72900
4107,r062,All public middle and high school teachers -> Other<sup>c</sup> -> Region -> Midwest,All public middle and high school teachers,Other<sup>c</sup>,Region,Midwest,4,57700
4107,r063,All public middle and high school teachers -> Other<sup>c</sup> -> Region -> South,All public middle and high school teachers,Other<sup>c</sup>,Region,South,4,50700
4107,r064,All public middle and high school teachers -> Other<sup>c</sup> -> Region -> West,All public middle and high school teachers,Other<sup>c</sup>,Region,West,4,64300
