table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_paid_for_by_the_company,field_foreign_owner,field_another_u_s_company,field_other_businesses_outside_the_united_states,field_u_s_university_or_college,field_u_s_nonprofit_organization,field_u_s_federal_government,field_u_s_state_or_local_government,field_all_other_organizations_outside_the_united_states
7896,r021,All states -> Maine,All states,Maine,2,"['6,144', '&nbsp;']","['5,209', '&nbsp;']","['0', '&nbsp;']","['935', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7896,r022,All states -> Maryland,All states,Maryland,2,"['176,147', '&nbsp;']","['106,170', '&nbsp;']","['3,374', '&nbsp;']","['7,292', '&nbsp;']","['0', '&nbsp;']","['99', '&nbsp;']","['58', '&nbsp;']","['54,184', '&nbsp;']","['4,970', '&nbsp;']","['0', '&nbsp;']"
7896,r023,All states -> Massachusetts,All states,Massachusetts,2,"['264,522', '&nbsp;']","['222,648', '&nbsp;']","['16', '&nbsp;']","['4,592', '&nbsp;']","['2,591', '&nbsp;']","['140', '&nbsp;']","['1,083', '&nbsp;']","['32,905', '&nbsp;']","['250', 'r']","['296', '&nbsp;']"
7896,r024,All states -> Michigan,All states,Michigan,2,"['256,524', '&nbsp;']","['217,438', '&nbsp;']","['0', '&nbsp;']","['20,672', 'r']","['9', '&nbsp;']","['63', 'r']","['0', '&nbsp;']","['17,764', '&nbsp;']","['578', '&nbsp;']","['0', '&nbsp;']"
7896,r025,All states -> Minnesota,All states,Minnesota,2,"['132,367', 'r']","['120,176', 'r']","['2,726', '&nbsp;']","['1,580', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2,204', '&nbsp;']","['4,394', 'r']","['1,286', '&nbsp;']"
7896,r026,All states -> Mississippi,All states,Mississippi,2,"['2,181', '&nbsp;']","['1,660', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['521', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7896,r027,All states -> Missouri,All states,Missouri,2,"['28,945', '&nbsp;']","['20,682', '&nbsp;']","['0', '&nbsp;']","['2,422', 'r']","['1,357', '&nbsp;']","['259', '&nbsp;']","['300', 'r']","['3,926', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7896,r028,All states -> Montana,All states,Montana,2,"['14,946', '&nbsp;']","['11,002', '&nbsp;']","['0', '&nbsp;']","['281', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['3,536', 'r']","['70', '&nbsp;']","['57', 'r']"
7896,r029,All states -> Nebraska,All states,Nebraska,2,"['12,366', 'r']","['9,946', 'r']","['0', '&nbsp;']","['67', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2,220', '&nbsp;']","['133', '&nbsp;']","['0', '&nbsp;']"
7896,r030,All states -> Nevada,All states,Nevada,2,"['29,501', '&nbsp;']","['24,883', '&nbsp;']","['312', '&nbsp;']","['1,444', 'r']","['72', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2,790', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
7896,r031,All states -> New Hampshire,All states,New Hampshire,2,"['33,704', '&nbsp;']","['21,723', '&nbsp;']","['0', '&nbsp;']","['7,820', 'r']","['1,246', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2,915', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7896,r032,All states -> New Jersey,All states,New Jersey,2,"['167,115', '&nbsp;']","['148,028', '&nbsp;']","['0', '&nbsp;']","['6,733', 'r']","['0', '&nbsp;']","['58', '&nbsp;']","['0', '&nbsp;']","['9,243', '&nbsp;']","['3,053', '&nbsp;']","['0', '&nbsp;']"
7896,r033,All states -> New Mexico,All states,New Mexico,2,"['26,965', '&nbsp;']","['22,460', '&nbsp;']","['70', 'r']","['1,629', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['120', 'r']","['2,543', '&nbsp;']","['143', '&nbsp;']","['0', '&nbsp;']"
7896,r034,All states -> New York,All states,New York,2,"['342,484', '&nbsp;']","['292,338', '&nbsp;']","['7,953', '&nbsp;']","['5,855', '&nbsp;']","['1,104', '&nbsp;']","['264', '&nbsp;']","['56', 'r']","['32,667', '&nbsp;']","['2,127', 'r']","['120', '&nbsp;']"
7896,r035,All states -> North Carolina,All states,North Carolina,2,"['104,465', '&nbsp;']","['65,171', '&nbsp;']","['2,295', '&nbsp;']","['6,989', '&nbsp;']","['0', '&nbsp;']","['216', '&nbsp;']","['225', '&nbsp;']","['29,480', '&nbsp;']","['89', 'r']","['0', '&nbsp;']"
7896,r036,All states -> North Dakota,All states,North Dakota,2,"['5,470', '&nbsp;']","['4,987', '&nbsp;']","['0', '&nbsp;']","['160', 'r']","['21', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['303', '&nbsp;']","['0', '&nbsp;']"
7896,r037,All states -> Ohio,All states,Ohio,2,"['84,892', '&nbsp;']","['61,182', '&nbsp;']","['623', '&nbsp;']","['5,108', '&nbsp;']","['0', '&nbsp;']","['64', 'r']","['0', '&nbsp;']","['9,860', '&nbsp;']","['8,056', 'r']","['0', '&nbsp;']"
7896,r038,All states -> Oklahoma,All states,Oklahoma,2,"['18,295', '&nbsp;']","['13,514', '&nbsp;']","['0', '&nbsp;']","['186', 'r']","['0', '&nbsp;']","['419', 'r']","['0', '&nbsp;']","['3,359', 'r']","['817', 'r']","['0', '&nbsp;']"
7896,r039,All states -> Oregon,All states,Oregon,2,"['89,673', '&nbsp;']","['65,503', '&nbsp;']","['0', '&nbsp;']","['9,762', '&nbsp;']","['143', 'r']","['290', '&nbsp;']","['113', 'r']","['13,613', '&nbsp;']","['250', '&nbsp;']","['0', '&nbsp;']"
7896,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['154,531', '&nbsp;']","['99,539', '&nbsp;']","['2,145', '&nbsp;']","['6,698', '&nbsp;']","['1,011', 'r']","['128', '&nbsp;']","['153', 'r']","['42,703', '&nbsp;']","['1,695', '&nbsp;']","['458', '&nbsp;']"
7896,r041,All states -> Rhode Island,All states,Rhode Island,2,"['8,602', 'r']","['8,602', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7896,r042,All states -> South Carolina,All states,South Carolina,2,"['20,519', '&nbsp;']","['14,678', '&nbsp;']","['0', '&nbsp;']","['736', '&nbsp;']","['0', '&nbsp;']","['63', '&nbsp;']","['0', '&nbsp;']","['4,407', '&nbsp;']","['635', 'r']","['0', '&nbsp;']"
7896,r043,All states -> South Dakota,All states,South Dakota,2,"['68,641', 'r']","['6,202', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['131', '&nbsp;']","['62,307', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
7896,r044,All states -> Tennessee,All states,Tennessee,2,"['34,312', '&nbsp;']","['26,166', '&nbsp;']","['1,423', '&nbsp;']","['2,802', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['278', 'r']","['3,644', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
7896,r045,All states -> Texas,All states,Texas,2,"['171,867', '&nbsp;']","['139,125', '&nbsp;']","['1,442', 'r']","['1,122', '&nbsp;']","['593', 'r']","['572', '&nbsp;']","['239', 'r']","['26,614', '&nbsp;']","['1,801', 'r']","['358', '&nbsp;']"
7896,r046,All states -> Utah,All states,Utah,2,"['59,722', '&nbsp;']","['47,377', '&nbsp;']","['0', '&nbsp;']","['911', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['11,433', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7896,r047,All states -> Vermont,All states,Vermont,2,"['11,494', '&nbsp;']","['6,477', 'r']","['0', '&nbsp;']","['755', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['4,262', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
7896,r048,All states -> Virginia,All states,Virginia,2,"['126,325', '&nbsp;']","['69,693', '&nbsp;']","['332', '&nbsp;']","['16,015', '&nbsp;']","['123', '&nbsp;']","['152', 'r']","['209', '&nbsp;']","['39,220', '&nbsp;']","['514', 'r']","['67', 'r']"
7896,r049,All states -> Washington,All states,Washington,2,"['220,878', '&nbsp;']","['179,825', '&nbsp;']","['2,759', '&nbsp;']","['5,792', '&nbsp;']","['2,350', '&nbsp;']","['0', '&nbsp;']","['2,934', '&nbsp;']","['26,752', '&nbsp;']","['465', 'r']","['0', '&nbsp;']"
7896,r050,All states -> West Virginia,All states,West Virginia,2,"['8,575', 'r']","['8,061', 'r']","['0', '&nbsp;']","['62', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['447', 'r']","['5', '&nbsp;']","['0', '&nbsp;']"
7896,r051,All states -> Wisconsin,All states,Wisconsin,2,"['48,893', '&nbsp;']","['26,229', '&nbsp;']","['0', '&nbsp;']","['220', '&nbsp;']","['100', '&nbsp;']","['0', '&nbsp;']","['1,263', '&nbsp;']","['19,512', 'r']","['1,569', 'r']","['0', '&nbsp;']"
7896,r052,All states -> Wyoming,All states,Wyoming,2,"['23,734', 'r']","['23,039', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['4', '&nbsp;']","['0', '&nbsp;']","['691', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7896,r053,All states -> Undistributed,All states,Undistributed,2,"['51,835', 'r']","['40,038', 'r']","['0', '&nbsp;']","['612', 'r']","['135', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['11,040', 'r']","['0', '&nbsp;']","['11', 'r']"
