table_id,row_id,_b_agency_or_facility_b_full_path,_b_agency_or_facility_b_level_1,_b_agency_or_facility_b_level_2,_b_agency_or_facility_b_level_3,_b_agency_or_facility_b_level_4,_b_agency_or_facility_b_level_5,_b_agency_or_facility_b_level_6,_b_agency_or_facility_b_hierarchy_depth,field_all_federally_funded_r_d_expenditures,field_funding_agency_department_of_agriculture,field_funding_agency_department_of_commerce,field_funding_agency_department_of_defense,field_funding_agency_department_of_energy,field_funding_agency_department_of_health_and_human_services,field_funding_agency_department_of_homeland_security,field_funding_agency_department_of_the_interior,field_funding_agency_department_of_transportation,field_funding_agency_department_of_veterans_affairs,field_funding_agency_environmental_protection_agency,field_funding_agency_national_aeronautics_and_space_administration,field_funding_agency_other_federal_agencies
12494,r012,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service -> National Veterinary Services Laboratories/ Center for Veterinary Biologics,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,National Veterinary Services Laboratories/ Center for Veterinary Biologics,,,4,"['5,790', '']","['5,790', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r013,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service -> National Wildlife Research Center,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,National Wildlife Research Center,,,4,"['20,125', '']","['18,553', '']","['0', '']","['943', '']","['0', '']","['0', '']","['0', '']","['628', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r014,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service -> Plant Pathogen Confirmatory Diagnostics Laboratory,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,Plant Pathogen Confirmatory Diagnostics Laboratory,,,4,"['1,665', '']","['1,665', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r015,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service -> Treatment and Inspection Methods Laboratory,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,Treatment and Inspection Methods Laboratory,,,4,"['450', '']","['450', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r016,All agencies -> Department of Agriculture -> Economic Research Service,All agencies,Department of Agriculture,Economic Research Service,,,,3,"['78,038', '']","['78,038', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r017,All agencies -> Department of Agriculture -> Forest Service,All agencies,Department of Agriculture,Forest Service,,,,3,"['288,731', '']","['268,264', '']","['90', '']","['227', '']","['4,606', '']","['8', '']","['0', '']","['9,074', '']","['0', '']","['0', '']","['0', '']","['737', '']","['5,725', '']"
12494,r018,All agencies -> Department of Agriculture -> Forest Service -> Forest Products Laboratory,All agencies,Department of Agriculture,Forest Service,Forest Products Laboratory,,,4,"['18,057', '']","['17,259', '']","['0', '']","['0', '']","['53', '']","['0', '']","['0', '']","['744', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1', '']"
12494,r019,All agencies -> Department of Agriculture -> Forest Service -> International Institute of Tropical Forestry,All agencies,Department of Agriculture,Forest Service,International Institute of Tropical Forestry,,,4,"['7,798', '']","['7,661', '']","['6', '']","['0', '']","['66', '']","['0', '']","['0', '']","['6', '']","['0', '']","['0', '']","['0', '']","['28', '']","['31', '']"
12494,r020,All agencies -> Department of Agriculture -> Forest Service -> Northern Research Station,All agencies,Department of Agriculture,Forest Service,Northern Research Station,,,4,"['49,840', '']","['47,079', '']","['0', '']","['148', '']","['450', '']","['0', '']","['0', '']","['1,871', '']","['0', '']","['0', '']","['0', '']","['0', '']","['292', '']"
12494,r021,All agencies -> Department of Agriculture -> Forest Service -> Pacific Northwest Research Station,All agencies,Department of Agriculture,Forest Service,Pacific Northwest Research Station,,,4,"['48,895', '']","['45,985', '']","['0', '']","['0', '']","['1,384', '']","['2', '']","['0', '']","['1,347', '']","['0', '']","['0', '']","['0', '']","['27', '']","['150', '']"
12494,r022,All agencies -> Department of Agriculture -> Forest Service -> Pacific Southwest Research Station,All agencies,Department of Agriculture,Forest Service,Pacific Southwest Research Station,,,4,"['20,813', '']","['19,684', '']","['0', '']","['0', '']","['339', '']","['0', '']","['0', '']","['481', '']","['0', '']","['0', '']","['0', '']","['0', '']","['310', '']"
12494,r023,All agencies -> Department of Agriculture -> Forest Service -> Rocky Mountain Research Station,All agencies,Department of Agriculture,Forest Service,Rocky Mountain Research Station,,,4,"['75,739', '']","['64,051', '']","['61', '']","['79', '']","['1,689', '']","['6', '']","['0', '']","['4,294', '']","['0', '']","['0', '']","['0', '']","['681', '']","['4,877', '']"
12494,r024,All agencies -> Department of Agriculture -> Forest Service -> Southern Research Station,All agencies,Department of Agriculture,Forest Service,Southern Research Station,,,4,"['50,170', '']","['49,272', '']","['23', '']","['0', '']","['626', '']","['0', '']","['0', '']","['185', '']","['0', '']","['0', '']","['0', '']","['0', '']","['64', '']"
12494,r025,All agencies -> Department of Agriculture -> Forest Service -> Washington Office Research and Development,All agencies,Department of Agriculture,Forest Service,Washington Office Research and Development,,,4,"['17,420', '']","['17,273', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['147', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r026,All agencies -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Department of Agriculture,National Agricultural Statistics Service,,,,3,"['10,226', '']","['10,226', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r027,All agencies -> Department of Agriculture -> Natural Resources Conservation Service,All agencies,Department of Agriculture,Natural Resources Conservation Service,,,,3,"['10,777', '']","['10,647', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['130', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r028,All agencies -> Department of Agriculture -> Natural Resources Conservation Service -> Plant Materials Center,All agencies,Department of Agriculture,Natural Resources Conservation Service,Plant Materials Center,,,4,"['10,258', '']","['10,127', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['130', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r029,All agencies -> Department of Agriculture -> Natural Resources Conservation Service -> Soil Science Research Branch,All agencies,Department of Agriculture,Natural Resources Conservation Service,Soil Science Research Branch,,,4,"['520', '']","['520', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r030,All agencies -> Department of Commerce,All agencies,Department of Commerce,,,,,2,"['1,372,285', ' ']","['1,156', ' ']","['1,367,607', ' ']","['1', ' ']","['0', ' ']","['1,148', ' ']","['0', ' ']","['0', ' ']","['163', ' ']","['0', ' ']","['0', ' ']","['0', ' ']","['2,210', ' ']"
12494,r031,All agencies -> Department of Commerce -> Census Bureau,All agencies,Department of Commerce,Census Bureau,,,,3,"['155,612', '']","['1,156', '']","['150,935', '']","['1', '']","['0', '']","['1,148', '']","['0', '']","['0', '']","['163', '']","['0', '']","['0', '']","['0', '']","['2,210', '']"
12494,r032,All agencies -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Department of Commerce,National Institute of Standards and Technology,,,,3,"['660,622', '']","['0', '']","['660,622', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r033,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,,,,3,"['548,741', '']","['0', '']","['548,741', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r034,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Mission Support,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Mission Support,,,4,"['21,517', '']","['0', '']","['21,517', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r035,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Mission Support -> Office of the Chief Administrative Officer,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Mission Support,Office of the Chief Administrative Officer,,5,"['21,504', '']","['0', '']","['21,504', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r036,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Mission Support -> Office of the Chief Information Officer,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Mission Support,Office of the Chief Information Officer,,5,"['13', '']","['0', '']","['13', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r037,"All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Environmental Satellite, Data, and Information Service",All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,"National Environmental Satellite, Data, and Information Service",,,4,"['33,185', '']","['0', '']","['33,185', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r038,"All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Environmental Satellite, Data, and Information Service -> Center for Satellite Applications and Research",All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,"National Environmental Satellite, Data, and Information Service",Center for Satellite Applications and Research,,5,"['27,813', '']","['0', '']","['27,813', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r039,"All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Environmental Satellite, Data, and Information Service -> National Centers for Environmental Information",All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,"National Environmental Satellite, Data, and Information Service",National Centers for Environmental Information,,5,"['5,372', '']","['0', '']","['5,372', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r040,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,,,4,"['65,086', '']","['0', '']","['65,086', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r041,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Alaska Fisheries Science Center,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Alaska Fisheries Science Center,,5,"['10,842', '']","['0', '']","['10,842', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r042,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Alaska Regional Office,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Alaska Regional Office,,5,"['3,500', '']","['0', '']","['3,500', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r043,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Greater Atlantic Region Fisheries Office,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Greater Atlantic Region Fisheries Office,,5,"['2,467', '']","['0', '']","['2,467', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r044,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Northeast Fisheries Science Center,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Northeast Fisheries Science Center,,5,"['6,421', '']","['0', '']","['6,421', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r045,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Northwest Fisheries Science Center,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Northwest Fisheries Science Center,,5,"['5,252', '']","['0', '']","['5,252', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r046,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Office of Habitat Conservation,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Office of Habitat Conservation,,5,"['1,993', '']","['0', '']","['1,993', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r047,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Office of Protected Resources,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Office of Protected Resources,,5,"['767', '']","['0', '']","['767', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r048,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Office of Science and Technology,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Office of Science and Technology,,5,"['3,037', '']","['0', '']","['3,037', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r049,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Office of Sustainable Fisheries,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Office of Sustainable Fisheries,,5,"['858', '']","['0', '']","['858', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r050,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Pacific Island Fisheries Science Center,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Pacific Island Fisheries Science Center,,5,"['4,380', '']","['0', '']","['4,380', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r051,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Pacific Islands Regional Office,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Pacific Islands Regional Office,,5,"['1,978', '']","['0', '']","['1,978', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r052,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Southeast Fisheries Science Center,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Southeast Fisheries Science Center,,5,"['8,142', '']","['0', '']","['8,142', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r053,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Southeast Regional Office,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Southeast Regional Office,,5,"['3,597', '']","['0', '']","['3,597', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r054,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Southwest Fisheries Science Center,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Southwest Fisheries Science Center,,5,"['5,811', '']","['0', '']","['5,811', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r055,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> West Coast Region,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,West Coast Region,,5,"['6,042', '']","['0', '']","['6,042', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r056,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,,,4,"['46,567', '']","['0', '']","['46,567', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r057,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> Center for Operational Oceanographic Products and Services,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,Center for Operational Oceanographic Products and Services,,5,"['1,392', '']","['0', '']","['1,392', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r058,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> Integrated Ocean Observing System,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,Integrated Ocean Observing System,,5,"['1,968', '']","['0', '']","['1,968', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r059,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> National Centers for Coastal Ocean Science,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,National Centers for Coastal Ocean Science,,5,"['27,813', '']","['0', '']","['27,813', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r060,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> National Geodetic Survey,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,National Geodetic Survey,,5,"['7,123', '']","['0', '']","['7,123', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r061,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> Office for Coastal Management,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,Office for Coastal Management,,5,"['143', '']","['0', '']","['143', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r062,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> Office of Response and Restoration,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,Office of Response and Restoration,,5,"['1,213', '']","['0', '']","['1,213', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r063,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> Office of the Coast Survey,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,Office of the Coast Survey,,5,"['6,914', '']","['0', '']","['6,914', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r064,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Weather Service,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Weather Service,,,4,"['20,210', '']","['0', '']","['20,210', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r065,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Weather Service -> National Centers for Environmental Prediction,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Weather Service,National Centers for Environmental Prediction,,5,"['11,695', '']","['0', '']","['11,695', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r066,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Weather Service -> Office of Science and Technology Integration,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Weather Service,Office of Science and Technology Integration,,5,"['2,258', '']","['0', '']","['2,258', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r067,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Weather Service -> Office of Water Prediction,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Weather Service,Office of Water Prediction,,5,"['6,257', '']","['0', '']","['6,257', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r068,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,,,4,"['336,599', '']","['0', '']","['336,599', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r069,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Air Resources Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Air Resources Laboratory,,5,"['8,013', '']","['0', '']","['8,013', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r070,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Atlantic Oceanographic and Meteorological Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Atlantic Oceanographic and Meteorological Laboratory,,5,"['25,169', '']","['0', '']","['25,169', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r071,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Chemical Sciences Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Chemical Sciences Laboratory,,5,"['21,670', '']","['0', '']","['21,670', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
