table_id,row_id,industry_and_naics_code_full_path,industry_and_naics_code_level_1,industry_and_naics_code_level_2,industry_and_naics_code_level_3,industry_and_naics_code_level_4,industry_and_naics_code_hierarchy_depth,field_all_r_da,field_paid_for_by_the_companyb,field_paid_for_by_others_total,field_paid_for_by_others_federal,field_paid_for_by_others_companies_domestic,field_paid_for_by_others_companies_foreignc,field_paid_for_by_others_all_other_organizationsd
6308,r011,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Motor vehicles, trailers, and parts, 3361&#8211;63","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Motor vehicles, trailers, and parts, 3361&#8211;63",,3,"['24,117', '&nbsp;']","['20,883', '&nbsp;']","['3,233', 'i ']","['38 - 481', '  ']","['0 - 374', '  ']","['2,754', '  ']","['D', '&nbsp;']"
6308,r012,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Aerospace products and parts, 3364","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Aerospace products and parts, 3364",,3,"['18,358', 'i']","['8,900', '&nbsp;']","['9,458', 'i ']","['8,454', 'i ']","['658', '  ']","['176 - 257', '  ']","['D', '&nbsp;']"
6308,r013,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Other 336","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33",Other 336,,3,"['2,900', '&nbsp;']","['1,722', '&nbsp;']","['1,179', '&#160;']","['D', '&#160;']","['D', '&#160;']","['D', '&#160;']","['D', '&nbsp;']"
6308,r014,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Manufacturing nec, other 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Manufacturing nec, other 31&#8211;33",,3,"['36,060', '&nbsp;']","['34,930', '&nbsp;']","['1,129', '&#160;']","['60', 'i']","['392', '&#160;']","['660', '&#160;']","['17', '&nbsp;']"
6308,r015,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81",,,2,"['207,283', '&nbsp;']","['180,858', '&nbsp;']","['26,425', '  ']","['5,918', '  ']","['15,991', 'i']","['3,805', '  ']","['711', '&nbsp;']"
6308,r016,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51",,3,"['110,227', '&nbsp;']","['109,062', '&nbsp;']","['1,165', '  ']","['185', '  ']","['81', '  ']","['860', '  ']","['39', '&nbsp;']"
6308,r017,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51 -> Software publishers, 5112","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51","Software publishers, 5112",4,"['32,958', '&nbsp;']","['32,386', '&nbsp;']","['572', '  ']","['57', '  ']","['4', '  ']","['476', '  ']","['35', '&nbsp;']"
6308,r018,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51 -> Other 51","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51",Other 51,4,"['77,269', '&nbsp;']","['76,676', '&nbsp;']","['593', '&#160;']","['128', '&#160;']","['77', '&#160;']","['384', '&#160;']","['4', '&nbsp;']"
6308,r019,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Finance and insurance, 52","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Finance and insurance, 52",,3,"['8,917', '&nbsp;']","['8,890', '&nbsp;']","['28', '  ']","['0', '  ']","['28', '  ']","['0', '  ']","['0', '&nbsp;']"
6308,r020,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54",,3,"['53,233', '&nbsp;']","['29,131', '&nbsp;']","['24,103', '  ']","['5,685', '  ']","['15,076', 'i']","['2,674', '  ']","['668', '&nbsp;']"
6308,r021,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54 -> Computer systems design and related services, 5415","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54","Computer systems design and related services, 5415",4,"['21,046', '&nbsp;']","['18,395', '&nbsp;']","['2,651', '  ']","['454', '  ']","['489', '  ']","['1,503', '  ']","['205', '&nbsp;']"
6308,r022,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54 -> Scientific R&D services, 5417","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54","Scientific R&D services, 5417",4,"['21,669', '&nbsp;']","['3,265', '&nbsp;']","['18,403', '  ']","['3,343', '  ']","['13,741', 'i']","['1,002', '  ']","['317', '&nbsp;']"
6308,r023,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54 -> Other 54","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54",Other 54,4,"['10,518', '&nbsp;']","['7,471', '&nbsp;']","['3,049', '&#160;']","['1,888', '&#160;']","['846', '&#160;']","['169', '&#160;']","['146', '&nbsp;']"
6308,r024,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Nonmanufacturing nec, other 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Nonmanufacturing nec, other 21&#8211;23, 42&#8211;81",,3,"['34,906', '&nbsp;']","['33,775', '&nbsp;']","['1,129', '&#160;']","['48', '&#160;']","['806', '&#160;']","['271', '&#160;']","['4', '&nbsp;']"
6308,r025,Percent,Percent,,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6308,r026,"All industries, 21&#8211;33, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81",,,,1,"['100.0', '&nbsp;']","['87.0', '&nbsp;']","['13.0', '&nbsp;']","['4.5', '&nbsp;']","['4.4', '&nbsp;']","['4.0', '&nbsp;']","['0.2', '&nbsp;']"
6308,r027,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33",,,2,"['100.0', '&nbsp;']","['86.9', '&nbsp;']","['13.1', '&nbsp;']","['5.6', '&nbsp;']","['1.9', '&nbsp;']","['5.5', '&nbsp;']","['0.1', '&nbsp;']"
6308,r028,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",,3,"['100.0', '&nbsp;']","['89.9', '&nbsp;']","['10.1', '&nbsp;']","['0.3', '&nbsp;']","['2.0', '&nbsp;']","['7.7', '&nbsp;']","['0.1', '&nbsp;']"
6308,r029,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325 -> Pharmaceuticals and medicines, 3254","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325","Pharmaceuticals and medicines, 3254",4,"['100.0', '&nbsp;']","['89.8', '&nbsp;']","['10.2', '&nbsp;']","['0.3', '&nbsp;']","['2.2', '&nbsp;']","['7.7', '&nbsp;']","['0.1', '&nbsp;']"
6308,r030,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325 -> Other 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",Other 325,4,"['100.0', '&nbsp;']","['91.4', '&nbsp;']","['8.6', '&nbsp;']","['0.2', '&nbsp;']","['0.3', '&nbsp;']","['8.0', '&nbsp;']","['0.1', '&nbsp;']"
6308,r031,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Machinery, 333","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Machinery, 333",,3,"['100.0', '&nbsp;']","['91.7', '&nbsp;']","['8.3', '&nbsp;']","['1.3', '&nbsp;']","['2.4', '&nbsp;']","['4.5', '&nbsp;']","['0.0', '&nbsp;']"
6308,r032,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",,3,"['100.0', '&nbsp;']","['87.1', '&nbsp;']","['12.9', '&nbsp;']","['6.7', '&nbsp;']","['1.9', '&nbsp;']","['4.2', '&nbsp;']","['0.1', '&nbsp;']"
6308,r033,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Electrical equipment, appliances, and components, 335","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Electrical equipment, appliances, and components, 335",,3,"['100.0', '&nbsp;']","['92.8', '&nbsp;']","['7.2', '&nbsp;']","['0.5', '&nbsp;']","['0.6', '&nbsp;']","['6.0', '&nbsp;']","['0.1', '&nbsp;']"
6308,r034,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336",,3,"['100.0', '&nbsp;']","['69.4', '&nbsp;']","['30.6', '&nbsp;']","['21.3', '&nbsp;']","['2.3', '&nbsp;']","['6.7', '&nbsp;']","['0.4', '&nbsp;']"
6308,r035,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Motor vehicles, trailers, and parts, 3361&#8211;63","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Motor vehicles, trailers, and parts, 3361&#8211;63",,3,"['100.0', '&nbsp;']","['86.6', '&nbsp;']","['13.4', '&nbsp;']","['0.2 - 2.0', '&nbsp;']","['0.0 - 1.6', '&nbsp;']","['11.4', '&nbsp;']","['D', '&nbsp;']"
6308,r036,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Aerospace products and parts, 3364","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Aerospace products and parts, 3364",,3,"['100.0', '&nbsp;']","['48.5', '&nbsp;']","['51.5', '&nbsp;']","['46.1', '&nbsp;']","['3.6', '&nbsp;']","['1.0 - 1.4', '&nbsp;']","['D', '&nbsp;']"
6308,r037,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Aerospace products and parts, 3364 -> Other 336","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Aerospace products and parts, 3364",Other 336,4,"['100.0', '&nbsp;']","['59.4', '&nbsp;']","['40.7', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
6308,r038,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Manufacturing nec, other 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Manufacturing nec, other 31&#8211;33",,3,"['100.0', '&nbsp;']","['96.9', '&nbsp;']","['3.1', '&nbsp;']","['0.2', '&nbsp;']","['1.1', '&nbsp;']","['1.8', '&nbsp;']","['0.0', '&nbsp;']"
6308,r039,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81",,,2,"['100.0', '&nbsp;']","['87.3', '&nbsp;']","['12.7', '&nbsp;']","['2.9', '&nbsp;']","['7.7', '&nbsp;']","['1.8', '&nbsp;']","['0.3', '&nbsp;']"
6308,r040,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51",,3,"['100.0', '&nbsp;']","['98.9', '&nbsp;']","['1.1', '&nbsp;']","['0.2', '&nbsp;']","['0.1', '&nbsp;']","['0.8', '&nbsp;']","['0.0', '&nbsp;']"
6308,r041,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51 -> Software publishers, 5112","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51","Software publishers, 5112",4,"['100.0', '&nbsp;']","['98.3', '&nbsp;']","['1.7', '&nbsp;']","['0.2', '&nbsp;']","['0.0', '&nbsp;']","['1.4', '&nbsp;']","['0.1', '&nbsp;']"
6308,r042,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51 -> Other 51","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51",Other 51,4,"['100.0', '&nbsp;']","['99.2', '&nbsp;']","['0.8', '&nbsp;']","['0.2', '&nbsp;']","['0.1', '&nbsp;']","['0.5', '&nbsp;']","['0.0', '&nbsp;']"
6308,r043,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Finance and insurance, 52","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Finance and insurance, 52",,3,"['100.0', '&nbsp;']","['99.7', '&nbsp;']","['0.3', '&nbsp;']","['0.0', '&nbsp;']","['0.3', '&nbsp;']","['0.0', '&nbsp;']","['0.0', '&nbsp;']"
6308,r044,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54",,3,"['100.0', '&nbsp;']","['54.7', '&nbsp;']","['45.3', '&nbsp;']","['10.7', '&nbsp;']","['28.3', '&nbsp;']","['5.0', '&nbsp;']","['1.3', '&nbsp;']"
6308,r045,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54 -> Computer systems design and related services, 5415","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54","Computer systems design and related services, 5415",4,"['100.0', '&nbsp;']","['87.4', '&nbsp;']","['12.6', '&nbsp;']","['2.2', '&nbsp;']","['2.3', '&nbsp;']","['7.1', '&nbsp;']","['1.0', '&nbsp;']"
6308,r046,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54 -> Scientific R&D services, 5417","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54","Scientific R&D services, 5417",4,"['100.0', '&nbsp;']","['15.1', '&nbsp;']","['84.9', '&nbsp;']","['15.4', '&nbsp;']","['63.4', '&nbsp;']","['4.6', '&nbsp;']","['1.5', '&nbsp;']"
6308,r047,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54 -> Other 54","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54",Other 54,4,"['100.0', '&nbsp;']","['71.0', '&nbsp;']","['29.0', '&nbsp;']","['18.0', '&nbsp;']","['8.0', '&nbsp;']","['1.6', '&nbsp;']","['1.4', '&nbsp;']"
6308,r048,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Nonmanufacturing nec, other 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Nonmanufacturing nec, other 21&#8211;23, 42&#8211;81",,3,"['100.0', '&nbsp;']","['96.8', '&nbsp;']","['3.2', '&nbsp;']","['0.1', '&nbsp;']","['2.3', '&nbsp;']","['0.8', '&nbsp;']","['0.0', '&nbsp;']"
