table_id,row_id,_b_time_to_degree_and_demographic_characteristic_b_full_path,_b_time_to_degree_and_demographic_characteristic_b_level_1,_b_time_to_degree_and_demographic_characteristic_b_level_2,_b_time_to_degree_and_demographic_characteristic_b_level_3,_b_time_to_degree_and_demographic_characteristic_b_level_4,_b_time_to_degree_and_demographic_characteristic_b_level_5,_b_time_to_degree_and_demographic_characteristic_b_hierarchy_depth,field_all_fields_number,field_all_fields_median,field_science_and_engineering_total_number,field_science_and_engineering_total_median,field_agricultural_sciences_and_natural_resources_number,field_agricultural_sciences_and_natural_resources_median,field_biological_and_biomedical_sciences_number,field_biological_and_biomedical_sciences_median,field_computer_and_information_sciences_number,field_computer_and_information_sciences_median,field_engineering_number,field_engineering_median,field_geosciences_atmospheric_and_ocean_sciences_number,field_geosciences_atmospheric_and_ocean_sciences_median,field_health_sciences_number,field_health_sciences_median,field_mathematics_and_statistics_number,field_mathematics_and_statistics_median,field_multidisciplinary_interdisciplinary_sciences_number,field_multidisciplinary_interdisciplinary_sciences_median,field_physical_sciences_number,field_physical_sciences_median,field_psychology_number,field_psychology_median,field_social_sciences_number,field_social_sciences_median
9583,r011,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
9583,r012,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,5,94,10.9,57,9.6,,,9,6.6,,,5,10.9,-,-,,,,,,,5,7.3,9,10.3,17,14.2
9583,r013,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,5,3505,8.6,2950,8.1,43,9.3,818,8.0,152,8.0,663,7.3,45,8.0,186,12.0,116,7.0,106,8.5,313,7.3,224,9.0,284,10.0
9583,r014,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,5,2596,12.0,1575,10.4,35,10.0,311,8.1,42,11.0,186,8.3,17,10.7,258,14.0,26,9.4,42,11.7,81,7.0,282,11.1,295,12.6
9583,r015,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,5,23050,8.6,17592,7.7,557,8.3,4396,7.6,465,8.8,2843,6.8,568,7.8,1222,12.0,659,6.6,508,8.3,2223,6.3,2106,8.3,2045,10.3
9583,r016,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,5,1197,8.3,965,7.7,17,8.0,272,7.8,25,7.3,167,6.4,22,7.3,49,10.3,50,6.9,27,6.8,107,6.1,117,8.3,112,11.0
9583,r017,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,5,389,9.3,299,8.3,,,58,7.6,,,50,7.2,2,7.4,,,,,,,30,6.8,39,12.3,39,12.0
9583,r018,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,4,491,9.3,344,8.3,12,11.3,55,8.3,13,7.8,78,8.0,8,7.1,20,11.6,22,6.3,10,9.3,41,6.3,53,9.3,32,10.9
9583,r019,Years since entering graduate school,Years since entering graduate school,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
9583,r020,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,,,,2,52899,7.2,42415,6.8,1202,7.2,8886,6.4,2015,7.0,9882,6.6,1090,6.8,2537,8.7,1970,6.0,1624,7.0,5063,6.0,3421,6.9,4725,8.8
9583,r021,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Sex,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Sex,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
9583,r022,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Sex -> Male,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Sex,Male,,4,28100,7.0,23769,6.8,581,7.3,4132,6.6,1530,7.0,7203,6.8,585,6.8,786,7.8,1399,6.0,1033,6.9,3417,6.0,866,6.9,2237,8.3
9583,r023,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Sex -> Female,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Sex,Female,,4,24794,7.4,18645,6.8,621,7.0,4754,6.3,485,7.5,2679,6.3,505,6.8,1751,9.0,571,6.3,591,7.3,1646,5.8,2555,6.9,2487,8.9
9583,r024,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Citizenship status,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Citizenship status,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
9583,r025,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Citizenship status -> U.S. citizen or permanent resident,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Citizenship status,U.S. citizen or permanent resident,,4,33511,7.1,25548,6.7,717,7.0,6514,6.3,739,7.3,4229,6.0,706,6.6,1882,9.0,907,6.0,753,7.0,2978,5.8,3044,6.9,3079,8.8
9583,r026,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Citizenship status -> Temporary visa holder,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Citizenship status,Temporary visa holder,,4,18596,7.3,16273,7.0,473,7.3,2269,7.0,1245,7.0,5516,6.9,368,7.2,612,7.5,1035,6.3,843,7.1,2024,6.3,300,7.5,1588,8.7
9583,r027,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents),Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
9583,r028,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,4,3209,7.3,2430,6.8,68,6.9,708,6.4,42,7.8,350,6.0,59,6.4,154,8.3,55,5.9,79,6.9,246,5.8,345,7.0,324,8.8
9583,r029,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
9583,r030,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,5,83,9.3,52,8.6,,,7,6.3,,,5,10.7,-,-,,,,,,,,,8,9.5,17,9.3
9583,r031,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,5,3427,7.0,2887,6.8,40,7.7,811,6.5,147,6.3,646,6.3,43,7.0,181,9.2,114,6.0,98,7.3,314,6.1,215,6.9,278,8.8
9583,r032,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,5,2526,9.7,1552,8.3,34,8.5,311,6.9,40,9.0,182,6.8,15,8.6,261,10.6,26,7.5,38,9.5,81,6.3,278,9.1,286,10.3
9583,r033,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,5,22567,7.0,17291,6.3,543,6.9,4334,6.3,459,7.3,2804,6.0,561,6.5,1212,9.0,643,5.9,488,6.8,2191,5.8,2041,6.6,2015,8.7
9583,r034,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,5,1192,6.8,958,6.3,17,6.9,271,6.3,25,6.9,164,5.8,22,6.7,50,8.0,49,6.0,26,6.0,107,5.8,116,6.5,111,8.7
9583,r035,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,5,308,7.9,229,7.0,,,45,6.3,,,37,6.3,2,6.1,,,,,,,,,25,8.3,34,9.9
9583,r036,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,4,199,7.8,149,6.8,6,8.3,27,6.5,9,7.3,41,8.0,4,6.9,10,5.8,5,5.8,6,5.1,11,6.3,16,6.5,14,10.2
9583,r037,Years since entering doctoral program<sup>a</sup>,Years since entering doctoral program<sup>a</sup>,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
9583,r038,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,,,,2,51963,5.7,41671,5.6,1184,4.9,8756,5.8,1985,5.8,9687,5.3,1082,5.4,2489,5.0,1940,5.3,1595,5.6,4975,5.6,3332,5.9,4646,6.0
9583,r039,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Sex,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Sex,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
9583,r040,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Sex -> Male,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Sex,Male,,4,27563,5.7,23320,5.6,571,4.9,4068,5.8,1509,5.7,7054,5.3,580,5.3,774,5.0,1377,5.3,1013,5.7,3346,5.8,832,5.9,2196,5.9
9583,r041,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Sex -> Female,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Sex,Female,,4,24395,5.8,18350,5.7,613,5.0,4688,5.7,476,5.8,2633,5.3,502,5.5,1715,5.0,563,5.3,582,5.5,1629,5.3,2500,5.9,2449,6.0
9583,r042,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Citizenship status,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Citizenship status,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
9583,r043,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Citizenship status -> U.S. citizen or permanent resident,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Citizenship status,U.S. citizen or permanent resident,,4,32856,5.8,25047,5.8,702,5.0,6416,5.8,725,6.0,4112,5.3,701,5.7,1847,5.1,892,5.7,738,5.8,2926,5.7,2964,5.9,3024,6.3
9583,r044,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Citizenship status -> Temporary visa holder,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Citizenship status,Temporary visa holder,,4,18327,5.3,16038,5.3,470,4.8,2238,5.6,1230,5.3,5440,5.3,365,5.3,600,4.9,1019,5.3,829,5.3,1987,5.5,293,5.4,1567,5.8
9583,r045,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents),Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
9583,r046,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,4,3136,5.8,2374,5.8,67,5.3,698,5.8,42,6.0,341,5.3,59,5.9,146,5.1,55,5.8,78,5.8,241,5.8,329,6.0,318,6.3
9583,r047,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
9583,r048,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,5,80,6.5,51,6.3,,,7,5.8,,,5,5.0,-,-,,,,,,,,,8,7.4,16,7.0
9583,r049,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,5,3358,5.8,2824,5.8,40,5.8,795,5.8,145,5.8,625,5.6,43,5.7,181,5.0,113,5.7,95,6.0,305,5.8,210,5.9,272,6.0
9583,r050,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,5,2443,5.8,1508,5.8,33,5.3,306,5.8,36,5.9,175,5.6,14,4.8,254,5.4,26,5.3,36,5.7,79,5.8,270,5.9,279,6.0
9583,r051,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,5,22180,5.8,16986,5.8,531,5.0,4271,5.8,451,6.0,2737,5.3,557,5.6,1195,5.0,631,5.7,480,5.8,2157,5.5,1995,5.9,1981,6.3
9583,r052,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,5,1178,5.8,945,5.8,17,4.8,268,5.8,25,5.3,159,5.0,22,5.8,49,5.3,48,5.8,26,5.5,105,5.3,115,6.0,111,6.8
9583,r053,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,5,291,6.0,217,5.9,,,44,5.8,,,31,5.8,2,6.1,,,,,,,,,22,6.0,34,6.8
9583,r054,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,4,190,5.8,142,5.7,6,4.5,27,5.6,9,5.8,39,6.0,4,5.8,9,4.8,4,5.8,5,4.9,11,5.4,15,6.0,13,6.0
