table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_hierarchy_depth,field_1987_number,field_1987_percent,field_1992_number,field_1992_percent,field_1997_number,field_1997_percent,field_2002_number,field_2002_percent,field_2007_number,field_2007_percent,field_2012_number,field_2012_percent,field_2017_number,field_2017_percent
1091,r036,All fields -> Humanities and arts,All fields,Humanities and arts,,2,3478,10.7,4387,11.3,5285,12.4,5297,13.2,5085,10.6,5561,10.9,5290,9.7
1091,r037,All fields -> Humanities and arts -> Foreign languages and literature,All fields,Humanities and arts,Foreign languages and literature,3,444,1.4,562,1.4,652,1.5,627,1.6,607,1.3,684,1.3,624,1.1
1091,r038,All fields -> Humanities and arts -> History,All fields,Humanities and arts,History,3,585,1.8,724,1.9,965,2.3,1031,2.6,937,1.9,1086,2.1,1066,2.0
1091,r039,All fields -> Humanities and arts -> Letters,All fields,Humanities and arts,Letters,3,945,2.9,1278,3.3,1550,3.6,1455,3.6,1340,2.8,1638,3.2,1465,2.7
1091,r040,All fields -> Humanities and arts -> Other humanities and arts,All fields,Humanities and arts,Other humanities and arts,3,1504,4.6,1823,4.7,2118,5.0,2184,5.5,2201,4.6,2153,4.2,2135,3.9
1091,r041,All fields -> Other<sup>a</sup>,All fields,Other<sup>a</sup>,,2,1876,5.8,2206,5.7,2191,5.2,2138,5.3,2841,5.9,2734,5.4,3113,5.7
1091,r042,All fields -> Other<sup>a</sup> -> Business management and administration,All fields,Other<sup>a</sup>,Business management and administration,3,981,3.0,1248,3.2,1245,2.9,1113,2.8,1506,3.1,1404,2.8,1522,2.8
1091,r043,All fields -> Other<sup>a</sup> -> Communication,All fields,Other<sup>a</sup>,Communication,3,309,1.0,330,0.8,331,0.8,397,1.0,560,1.2,595,1.2,626,1.1
1091,r044,All fields -> Other<sup>a</sup> -> Non-S&E fields nec,All fields,Other<sup>a</sup>,Non-S&E fields nec,3,586,1.8,628,1.6,614,1.4,628,1.6,772,1.6,735,1.4,965,1.8
1091,r045,All fields -> Other<sup>a</sup> -> Unknown field,All fields,Other<sup>a</sup>,Unknown field,3,0,0.0,0,0.0,1,0.05,0,0.0,3,0.05,0,0.0,0,0.0
