table_id,row_id,ethnicity_race_and_debt_level_full_path,ethnicity_race_and_debt_level_level_1,ethnicity_race_and_debt_level_level_2,ethnicity_race_and_debt_level_level_3,ethnicity_race_and_debt_level_level_4,ethnicity_race_and_debt_level_hierarchy_depth,field_all_fields,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
987,r011,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Asian,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Asian,,3,,,,,,,,,
987,r012,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Asian -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Asian,Total (number)<sup>c</sup>,4,3181,939,312,244,472,662,209,174,169
987,r013,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Asian -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Asian,"Debt > $30,000 (%)",4,11.3,10.9,4.2,6.6,19.7,6.3,23.9,9.8,14.8
987,r014,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Black or African American,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Black or African American,,3,,,,,,,,,
987,r015,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Black or African American,Total (number)<sup>c</sup>,4,2264,552,89,48,499,163,552,141,220
987,r016,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Black or African American,"Debt > $30,000 (%)",4,55.6,47.6,28.1,31.3,64.1,26.4,65.8,59.6,65.9
987,r017,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> White,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,White,,3,,,,,,,,,
987,r018,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> White -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,White,Total (number)<sup>c</sup>,4,24036,5898,2760,1140,4550,2725,2559,3237,1167
987,r019,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> White -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,White,"Debt > $30,000 (%)",4,22.3,16.3,7.2,10.2,34.3,8.6,34.5,29.2,38.6
987,r020,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> More than one race,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,More than one race,,3,,,,,,,,,
987,r021,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> More than one race -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,More than one race,Total (number)<sup>c</sup>,4,1005,282,111,48,205,114,80,114,51
987,r022,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> More than one race -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,More than one race,"Debt > $30,000 (%)",4,23.5,15.2,12.6,12.5,40.0,9.6,42.5,23.7,37.3
987,r023,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Other race or race not reported,,3,,,,,,,,,
987,r024,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Other race or race not reported,Total (number)<sup>c</sup>,4,297,64,34,,44,33,31,,
987,r025,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Other race or race not reported,"Debt > $30,000 (%)",4,22.2,12.5,11.8,4.2,40.9,,45.2,,
987,r026,All U.S. citizen and permanent resident doctorate recipients -> Ethnicity not reported,All U.S. citizen and permanent resident doctorate recipients,Ethnicity not reported,,,2,,,,,,,,,
987,r027,All U.S. citizen and permanent resident doctorate recipients -> Ethnicity not reported -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Ethnicity not reported,Total (number)<sup>c</sup>,,3,111,26,7,9,17,16,20,10,6
987,r028,"All U.S. citizen and permanent resident doctorate recipients -> Ethnicity not reported -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Ethnicity not reported,"Debt > $30,000 (%)",,3,23.4,26.9,0.0,11.1,29.4,0.0,30.0,50.0,33.3
