table_id,row_id,_b_field_and_institution_b_full_path,_b_field_and_institution_b_level_1,_b_field_and_institution_b_level_2,_b_field_and_institution_b_level_3,_b_field_and_institution_b_hierarchy_depth,field_rank,field_totala,field_male,field_female
9500,r029," Agricultural sciences and natural resources -> From top 20 institutions -> Ohio State U., Columbus", Agricultural sciences and natural resources,From top 20 institutions,"Ohio State U., Columbus",3,5,44,23,21
9500,r030," Agricultural sciences and natural resources -> From top 20 institutions -> U. Illinois, Urbana-Champaign", Agricultural sciences and natural resources,From top 20 institutions,"U. Illinois, Urbana-Champaign",3,6,38,19,19
9500,r031, Agricultural sciences and natural resources -> From top 20 institutions -> U. Georgia, Agricultural sciences and natural resources,From top 20 institutions,U. Georgia,3,7,34,24,10
9500,r032, Agricultural sciences and natural resources -> From top 20 institutions -> Washington State U., Agricultural sciences and natural resources,From top 20 institutions,Washington State U.,3,7,34,19,15
9500,r033, Agricultural sciences and natural resources -> From top 20 institutions -> Cornell U., Agricultural sciences and natural resources,From top 20 institutions,Cornell U.,3,9,33,12,21
9500,r034," Agricultural sciences and natural resources -> From top 20 institutions -> U. California, Davis", Agricultural sciences and natural resources,From top 20 institutions,"U. California, Davis",3,10,32,11,21
9500,r035, Agricultural sciences and natural resources -> From top 20 institutions -> Michigan State U., Agricultural sciences and natural resources,From top 20 institutions,Michigan State U.,3,11,30,18,12
9500,r036, Agricultural sciences and natural resources -> From top 20 institutions -> Mississippi State U., Agricultural sciences and natural resources,From top 20 institutions,Mississippi State U.,3,11,30,16,14
9500,r037, Agricultural sciences and natural resources -> From top 20 institutions -> Iowa State U., Agricultural sciences and natural resources,From top 20 institutions,Iowa State U.,3,13,28,12,16
9500,r038," Agricultural sciences and natural resources -> From top 20 institutions -> Purdue U., West Lafayette", Agricultural sciences and natural resources,From top 20 institutions,"Purdue U., West Lafayette",3,13,28,18,10
9500,r039," Agricultural sciences and natural resources -> From top 20 institutions -> U. Nebraska, Lincoln", Agricultural sciences and natural resources,From top 20 institutions,"U. Nebraska, Lincoln",3,13,28,14,14
9500,r040," Agricultural sciences and natural resources -> From top 20 institutions -> Louisiana State U., Baton Rouge", Agricultural sciences and natural resources,From top 20 institutions,"Louisiana State U., Baton Rouge",3,16,26,10,16
9500,r041, Agricultural sciences and natural resources -> From top 20 institutions -> Virginia Polytechnic Institute and State U., Agricultural sciences and natural resources,From top 20 institutions,Virginia Polytechnic Institute and State U.,3,16,26,12,14
9500,r042, Agricultural sciences and natural resources -> From top 20 institutions -> Kansas State U., Agricultural sciences and natural resources,From top 20 institutions,Kansas State U.,3,18,25,12,13
9500,r043, Agricultural sciences and natural resources -> From top 20 institutions -> Oregon State U., Agricultural sciences and natural resources,From top 20 institutions,Oregon State U.,3,18,25,16,9
9500,r044, Agricultural sciences and natural resources -> From top 20 institutions -> U. Wisconsin-Madison, Agricultural sciences and natural resources,From top 20 institutions,U. Wisconsin-Madison,3,18,25,10,15
9500,r045, Biological and biomedical sciences, Biological and biomedical sciences,,,1,-,9386,4372,5014
9500,r046, Biological and biomedical sciences -> From top 20 institutions, Biological and biomedical sciences,From top 20 institutions,,2,-,2705,1262,1443
9500,r047, Biological and biomedical sciences -> From top 20 institutions -> Harvard U., Biological and biomedical sciences,From top 20 institutions,Harvard U.,3,1,210,106,104
9500,r048, Biological and biomedical sciences -> From top 20 institutions -> Johns Hopkins U., Biological and biomedical sciences,From top 20 institutions,Johns Hopkins U.,3,2,154,65,89
9500,r049," Biological and biomedical sciences -> From top 20 institutions -> U. California, Berkeley", Biological and biomedical sciences,From top 20 institutions,"U. California, Berkeley",3,3,153,75,78
9500,r050," Biological and biomedical sciences -> From top 20 institutions -> U. Michigan, Ann Arbor", Biological and biomedical sciences,From top 20 institutions,"U. Michigan, Ann Arbor",3,3,153,71,82
9500,r051," Biological and biomedical sciences -> From top 20 institutions -> U. California, Davis", Biological and biomedical sciences,From top 20 institutions,"U. California, Davis",3,5,151,61,90
9500,r052, Biological and biomedical sciences -> From top 20 institutions -> U. Pennsylvania, Biological and biomedical sciences,From top 20 institutions,U. Pennsylvania,3,6,145,53,92
9500,r053," Biological and biomedical sciences -> From top 20 institutions -> U. California, Los Angeles", Biological and biomedical sciences,From top 20 institutions,"U. California, Los Angeles",3,7,142,72,70
9500,r054," Biological and biomedical sciences -> From top 20 institutions -> U. California, San Diego", Biological and biomedical sciences,From top 20 institutions,"U. California, San Diego",3,7,142,67,75
9500,r055, Biological and biomedical sciences -> From top 20 institutions -> Stanford U., Biological and biomedical sciences,From top 20 institutions,Stanford U.,3,9,137,77,60
9500,r056, Biological and biomedical sciences -> From top 20 institutions -> U. Wisconsin-Madison, Biological and biomedical sciences,From top 20 institutions,U. Wisconsin-Madison,3,10,133,63,70
9500,r057," Biological and biomedical sciences -> From top 20 institutions -> U. North Carolina, Chapel Hill", Biological and biomedical sciences,From top 20 institutions,"U. North Carolina, Chapel Hill",3,11,131,54,77
9500,r058, Biological and biomedical sciences -> From top 20 institutions -> U. Florida, Biological and biomedical sciences,From top 20 institutions,U. Florida,3,12,129,64,65
9500,r059, Biological and biomedical sciences -> From top 20 institutions -> Duke U., Biological and biomedical sciences,From top 20 institutions,Duke U.,3,13,123,55,68
9500,r060, Biological and biomedical sciences -> From top 20 institutions -> Yale U., Biological and biomedical sciences,From top 20 institutions,Yale U.,3,14,120,54,66
9500,r061," Biological and biomedical sciences -> From top 20 institutions -> U. Washington, Seattle", Biological and biomedical sciences,From top 20 institutions,"U. Washington, Seattle",3,15,118,49,69
9500,r062," Biological and biomedical sciences -> From top 20 institutions -> Ohio State U., Columbus", Biological and biomedical sciences,From top 20 institutions,"Ohio State U., Columbus",3,16,117,59,58
9500,r063," Biological and biomedical sciences -> From top 20 institutions -> U. Minnesota, Twin Cities", Biological and biomedical sciences,From top 20 institutions,"U. Minnesota, Twin Cities",3,17,116,43,73
9500,r064, Biological and biomedical sciences -> From top 20 institutions -> U. Georgia, Biological and biomedical sciences,From top 20 institutions,U. Georgia,3,18,112,47,65
9500,r065," Biological and biomedical sciences -> From top 20 institutions -> Washington U., Saint Louis", Biological and biomedical sciences,From top 20 institutions,"Washington U., Saint Louis",3,19,110,72,38
9500,r066, Biological and biomedical sciences -> From top 20 institutions -> Columbia U. in the City of New York, Biological and biomedical sciences,From top 20 institutions,Columbia U. in the City of New York,3,20,109,55,54
9500,r067, Computer and information sciences, Computer and information sciences,,,1,-,2188,1654,534
9500,r068, Computer and information sciences -> From top 20 institutions, Computer and information sciences,From top 20 institutions,,2,-,746,586,160
9500,r069, Computer and information sciences -> From top 20 institutions -> Carnegie Mellon U., Computer and information sciences,From top 20 institutions,Carnegie Mellon U.,3,1,74,61,13
9500,r070," Computer and information sciences -> From top 20 institutions -> U. Illinois, Urbana-Champaign", Computer and information sciences,From top 20 institutions,"U. Illinois, Urbana-Champaign",3,2,63,55,8
9500,r071," Computer and information sciences -> From top 20 institutions -> U. California, Berkeley", Computer and information sciences,From top 20 institutions,"U. California, Berkeley",3,3,48,40,8
9500,r072, Computer and information sciences -> From top 20 institutions -> Massachusetts Institute of Technology, Computer and information sciences,From top 20 institutions,Massachusetts Institute of Technology,3,4,42,34,8
9500,r073, Computer and information sciences -> From top 20 institutions -> Stanford U., Computer and information sciences,From top 20 institutions,Stanford U.,3,4,42,31,11
9500,r074," Computer and information sciences -> From top 20 institutions -> U. Maryland, College Park", Computer and information sciences,From top 20 institutions,"U. Maryland, College Park",3,6,41,33,8
9500,r075," Computer and information sciences -> From top 20 institutions -> U. California, Los Angeles", Computer and information sciences,From top 20 institutions,"U. California, Los Angeles",3,7,39,29,10
9500,r076," Computer and information sciences -> From top 20 institutions -> Purdue U., West Lafayette", Computer and information sciences,From top 20 institutions,"Purdue U., West Lafayette",3,8,35,27,8
9500,r077," Computer and information sciences -> From top 20 institutions -> U. California, Irvine", Computer and information sciences,From top 20 institutions,"U. California, Irvine",3,9,34,24,10
9500,r078, Computer and information sciences -> From top 20 institutions -> Georgia Institute of Technology, Computer and information sciences,From top 20 institutions,Georgia Institute of Technology,3,10,33,24,9
9500,r079, Computer and information sciences -> From top 20 institutions -> U. Southern California, Computer and information sciences,From top 20 institutions,U. Southern California,3,10,33,28,5
9500,r080, Computer and information sciences -> From top 20 institutions -> Cornell U., Computer and information sciences,From top 20 institutions,Cornell U.,3,12,32,27,5
9500,r081," Computer and information sciences -> From top 20 institutions -> U. California, San Diego", Computer and information sciences,From top 20 institutions,"U. California, San Diego",3,13,31,27,4
9500,r082," Computer and information sciences -> From top 20 institutions -> Indiana U., Bloomington", Computer and information sciences,From top 20 institutions,"Indiana U., Bloomington",3,14,30,22,8
9500,r083, Computer and information sciences -> From top 20 institutions -> U. Central Florida, Computer and information sciences,From top 20 institutions,U. Central Florida,3,14,30,22,8
9500,r084, Computer and information sciences -> From top 20 institutions -> Johns Hopkins U., Computer and information sciences,From top 20 institutions,Johns Hopkins U.,3,16,29,23,6
9500,r085," Computer and information sciences -> From top 20 institutions -> U. Texas, Austin", Computer and information sciences,From top 20 institutions,"U. Texas, Austin",3,16,29,24,5
9500,r086, Computer and information sciences -> From top 20 institutions -> U. Utah, Computer and information sciences,From top 20 institutions,U. Utah,3,18,28,22,6
9500,r087," Computer and information sciences -> From top 20 institutions -> U. Washington, Seattle", Computer and information sciences,From top 20 institutions,"U. Washington, Seattle",3,19,27,15,12
9500,r088," Computer and information sciences -> From top 20 institutions -> U. Massachusetts, Amherst", Computer and information sciences,From top 20 institutions,"U. Massachusetts, Amherst",3,20,26,18,8
9500,r089, Engineering, Engineering,,,1,-,10763,7832,2931
9500,r090, Engineering -> From top 20 institutions, Engineering,From top 20 institutions,,2,-,4008,2946,1062
9500,r091, Engineering -> From top 20 institutions -> Georgia Institute of Technology, Engineering,From top 20 institutions,Georgia Institute of Technology,3,1,343,263,80
9500,r092," Engineering -> From top 20 institutions -> Purdue U., West Lafayette", Engineering,From top 20 institutions,"Purdue U., West Lafayette",3,2,334,254,80
9500,r093," Engineering -> From top 20 institutions -> Texas A&M U., College Station", Engineering,From top 20 institutions,"Texas A&M U., College Station",3,3,282,207,75
9500,r094, Engineering -> From top 20 institutions -> Stanford U., Engineering,From top 20 institutions,Stanford U.,3,4,260,168,92
9500,r095, Engineering -> From top 20 institutions -> Massachusetts Institute of Technology, Engineering,From top 20 institutions,Massachusetts Institute of Technology,3,5,250,172,78
9500,r096," Engineering -> From top 20 institutions -> U. Michigan, Ann Arbor", Engineering,From top 20 institutions,"U. Michigan, Ann Arbor",3,6,248,176,72
9500,r097," Engineering -> From top 20 institutions -> U. Illinois, Urbana-Champaign", Engineering,From top 20 institutions,"U. Illinois, Urbana-Champaign",3,7,224,174,50
9500,r098," Engineering -> From top 20 institutions -> U. Texas, Austin", Engineering,From top 20 institutions,"U. Texas, Austin",3,8,203,153,50
9500,r099, Engineering -> From top 20 institutions -> Virginia Polytechnic Institute and State U., Engineering,From top 20 institutions,Virginia Polytechnic Institute and State U.,3,9,182,140,42
9500,r100, Engineering -> From top 20 institutions -> North Carolina State U., Engineering,From top 20 institutions,North Carolina State U.,3,10,178,128,50
9500,r101, Engineering -> From top 20 institutions -> Pennsylvania State U., Engineering,From top 20 institutions,Pennsylvania State U.,3,11,176,129,47
9500,r102," Engineering -> From top 20 institutions -> Arizona State U., Tempe", Engineering,From top 20 institutions,"Arizona State U., Tempe",3,12,159,126,33
9500,r103," Engineering -> From top 20 institutions -> Ohio State U., Columbus", Engineering,From top 20 institutions,"Ohio State U., Columbus",3,12,159,128,31
9500,r104, Engineering -> From top 20 institutions -> Carnegie Mellon U., Engineering,From top 20 institutions,Carnegie Mellon U.,3,14,157,112,45
9500,r105," Engineering -> From top 20 institutions -> U. California, Berkeley", Engineering,From top 20 institutions,"U. California, Berkeley",3,15,155,106,49
9500,r106," Engineering -> From top 20 institutions -> U. California, Los Angeles", Engineering,From top 20 institutions,"U. California, Los Angeles",3,16,148,104,44
9500,r107, Engineering -> From top 20 institutions -> U. Florida, Engineering,From top 20 institutions,U. Florida,3,17,147,115,32
9500,r108," Engineering -> From top 20 institutions -> U. California, San Diego", Engineering,From top 20 institutions,"U. California, San Diego",3,18,139,105,34
9500,r109, Engineering -> From top 20 institutions -> U. Colorado Boulder, Engineering,From top 20 institutions,U. Colorado Boulder,3,19,135,94,41
9500,r110," Engineering -> From top 20 institutions -> U. Maryland, College Park", Engineering,From top 20 institutions,"U. Maryland, College Park",3,20,129,92,37
9500,r111," Geosciences, atmospheric, and ocean sciences"," Geosciences, atmospheric, and ocean sciences",,,1,-,1165,627,538
9500,r112," Geosciences, atmospheric, and ocean sciences -> From top 20 institutions"," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,,2,-,474,252,222
9500,r113," Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> Massachusetts Institute of Technology"," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,Massachusetts Institute of Technology,3,1,36,15,21
9500,r114," Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> Texas A&M U., College Station"," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,"Texas A&M U., College Station",3,1,36,20,16
9500,r115," Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> Stanford U."," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,Stanford U.,3,3,30,16,14
9500,r116," Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. California, San Diego"," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,"U. California, San Diego",3,4,29,16,13
9500,r117," Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. Washington, Seattle"," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,"U. Washington, Seattle",3,4,29,14,15
9500,r118," Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. Maryland, College Park"," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,"U. Maryland, College Park",3,6,25,12,13
9500,r119," Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> California Institute of Technology"," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,California Institute of Technology,3,7,24,17,7
9500,r120," Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. Texas, Austin"," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,"U. Texas, Austin",3,7,24,13,11
9500,r121," Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. Michigan, Ann Arbor"," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,"U. Michigan, Ann Arbor",3,9,22,14,8
9500,r122," Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> Oregon State U."," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,Oregon State U.,3,10,20,8,12
9500,r123," Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. Houston"," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,U. Houston,3,10,20,14,6
9500,r124," Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> Colorado School of Mines"," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,Colorado School of Mines,3,12,19,12,7
9500,r125," Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. California, Los Angeles"," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,"U. California, Los Angeles",3,12,19,9,10
9500,r126," Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> Pennsylvania State U."," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,Pennsylvania State U.,3,14,18,11,7
9500,r127," Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. Arizona"," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,U. Arizona,3,14,18,7,11
9500,r128," Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. Colorado Boulder"," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,U. Colorado Boulder,3,14,18,8,10
9500,r129," Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. Hawaii, Manoa"," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,"U. Hawaii, Manoa",3,14,18,5,13
9500,r130," Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. Miami"," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,U. Miami,3,14,18,6,12
9500,r131," Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> Colorado State U., Fort Collins"," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,"Colorado State U., Fort Collins",3,19,17,14,3
9500,r132," Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> SUNY, U. Albany"," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,"SUNY, U. Albany",3,19,17,9,8
9500,r133," Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. Utah"," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,U. Utah,3,19,17,12,5
9500,r134, Health sciences, Health sciences,,,1,-,2808,874,1934
9500,r135, Health sciences -> From top 20 institutions, Health sciences,From top 20 institutions,,2,-,925,304,621
9500,r136, Health sciences -> From top 20 institutions -> Walden U., Health sciences,From top 20 institutions,Walden U.,3,1,152,45,107
9500,r137," Health sciences -> From top 20 institutions -> U. North Carolina, Chapel Hill", Health sciences,From top 20 institutions,"U. North Carolina, Chapel Hill",3,2,58,13,45
9500,r138, Health sciences -> From top 20 institutions -> Johns Hopkins U., Health sciences,From top 20 institutions,Johns Hopkins U.,3,3,57,17,40
9500,r139, Health sciences -> From top 20 institutions -> U. Florida, Health sciences,From top 20 institutions,U. Florida,3,4,55,20,35
9500,r140, Health sciences -> From top 20 institutions -> Texas Woman's U., Health sciences,From top 20 institutions,Texas Woman's U.,3,5,43,11,32
9500,r141," Health sciences -> From top 20 institutions -> U. Minnesota, Twin Cities", Health sciences,From top 20 institutions,"U. Minnesota, Twin Cities",3,5,43,16,27
9500,r142, Health sciences -> From top 20 institutions -> U. Wisconsin-Madison, Health sciences,From top 20 institutions,U. Wisconsin-Madison,3,7,42,12,30
9500,r143, Health sciences -> From top 20 institutions -> U. Iowa, Health sciences,From top 20 institutions,U. Iowa,3,8,41,16,25
9500,r144," Health sciences -> From top 20 institutions -> U. Nebraska, Medical Center", Health sciences,From top 20 institutions,"U. Nebraska, Medical Center",3,9,38,14,24
9500,r145," Health sciences -> From top 20 institutions -> Ohio State U., Columbus", Health sciences,From top 20 institutions,"Ohio State U., Columbus",3,10,37,14,23
9500,r146," Health sciences -> From top 20 institutions -> U. Illinois, Chicago", Health sciences,From top 20 institutions,"U. Illinois, Chicago",3,11,36,11,25
9500,r147," Health sciences -> From top 20 institutions -> U. Pittsburgh, Pittsburgh", Health sciences,From top 20 institutions,"U. Pittsburgh, Pittsburgh",3,12,35,13,22
9500,r148," Health sciences -> From top 20 institutions -> U. California, Los Angeles", Health sciences,From top 20 institutions,"U. California, Los Angeles",3,13,34,15,19
9500,r149, Health sciences -> From top 20 institutions -> U. Utah, Health sciences,From top 20 institutions,U. Utah,3,13,34,11,23
9500,r150," Health sciences -> From top 20 institutions -> U. Washington, Seattle", Health sciences,From top 20 institutions,"U. Washington, Seattle",3,13,34,12,22
9500,r151, Health sciences -> From top 20 institutions -> Harvard U., Health sciences,From top 20 institutions,Harvard U.,3,16,33,9,24
9500,r152," Health sciences -> From top 20 institutions -> U. South Carolina, Columbia", Health sciences,From top 20 institutions,"U. South Carolina, Columbia",3,16,33,14,19
9500,r153," Health sciences -> From top 20 institutions -> U. Texas, Austin", Health sciences,From top 20 institutions,"U. Texas, Austin",3,18,32,11,21
9500,r154," Health sciences -> From top 20 institutions -> U. Michigan, Ann Arbor", Health sciences,From top 20 institutions,"U. Michigan, Ann Arbor",3,19,30,9,21
9500,r155, Health sciences -> From top 20 institutions -> U. Arizona, Health sciences,From top 20 institutions,U. Arizona,3,20,29,10,19
9500,r156," Health sciences -> From top 20 institutions -> U. Texas Health Science Center, Houston", Health sciences,From top 20 institutions,"U. Texas Health Science Center, Houston",3,20,29,11,18
9500,r157, Mathematics and statistics, Mathematics and statistics,,,1,-,2144,1523,621
9500,r158, Mathematics and statistics -> From top 20 institutions, Mathematics and statistics,From top 20 institutions,,2,-,701,506,195
9500,r159, Mathematics and statistics -> From top 20 institutions -> North Carolina State U., Mathematics and statistics,From top 20 institutions,North Carolina State U.,3,1,52,29,23
9500,r160," Mathematics and statistics -> From top 20 institutions -> U. California, Los Angeles", Mathematics and statistics,From top 20 institutions,"U. California, Los Angeles",3,2,45,39,6
9500,r161," Mathematics and statistics -> From top 20 institutions -> Purdue U., West Lafayette", Mathematics and statistics,From top 20 institutions,"Purdue U., West Lafayette",3,3,42,27,15
9500,r162," Mathematics and statistics -> From top 20 institutions -> U. California, Berkeley", Mathematics and statistics,From top 20 institutions,"U. California, Berkeley",3,4,39,32,7
9500,r163, Mathematics and statistics -> From top 20 institutions -> U. Wisconsin-Madison, Mathematics and statistics,From top 20 institutions,U. Wisconsin-Madison,3,5,38,30,8
9500,r164, Mathematics and statistics -> From top 20 institutions -> Stanford U., Mathematics and statistics,From top 20 institutions,Stanford U.,3,6,37,27,10
9500,r165," Mathematics and statistics -> From top 20 institutions -> U. Michigan, Ann Arbor", Mathematics and statistics,From top 20 institutions,"U. Michigan, Ann Arbor",3,7,35,29,6
9500,r166," Mathematics and statistics -> From top 20 institutions -> Ohio State U., Columbus", Mathematics and statistics,From top 20 institutions,"Ohio State U., Columbus",3,8,34,25,9
9500,r167, Mathematics and statistics -> From top 20 institutions -> Pennsylvania State U., Mathematics and statistics,From top 20 institutions,Pennsylvania State U.,3,8,34,24,10
9500,r168, Mathematics and statistics -> From top 20 institutions -> Princeton U., Mathematics and statistics,From top 20 institutions,Princeton U.,3,8,34,26,8
9500,r169, Mathematics and statistics -> From top 20 institutions -> Cornell U., Mathematics and statistics,From top 20 institutions,Cornell U.,3,11,32,22,10
9500,r170, Mathematics and statistics -> From top 20 institutions -> Stony Brook U., Mathematics and statistics,From top 20 institutions,Stony Brook U.,3,11,32,26,6
9500,r171, Mathematics and statistics -> From top 20 institutions -> Iowa State U., Mathematics and statistics,From top 20 institutions,Iowa State U.,3,13,30,18,12
9500,r172," Mathematics and statistics -> From top 20 institutions -> Texas A&M U., College Station", Mathematics and statistics,From top 20 institutions,"Texas A&M U., College Station",3,14,29,18,11
9500,r173," Mathematics and statistics -> From top 20 institutions -> U. Washington, Seattle", Mathematics and statistics,From top 20 institutions,"U. Washington, Seattle",3,14,29,23,6
9500,r174, Mathematics and statistics -> From top 20 institutions -> Florida State U., Mathematics and statistics,From top 20 institutions,Florida State U.,3,16,28,21,7
9500,r175, Mathematics and statistics -> From top 20 institutions -> Harvard U., Mathematics and statistics,From top 20 institutions,Harvard U.,3,17,27,16,11
9500,r176," Mathematics and statistics -> From top 20 institutions -> U. California, Davis", Mathematics and statistics,From top 20 institutions,"U. California, Davis",3,18,26,22,4
9500,r177," Mathematics and statistics -> From top 20 institutions -> U. Illinois, Urbana-Champaign", Mathematics and statistics,From top 20 institutions,"U. Illinois, Urbana-Champaign",3,18,26,16,10
9500,r178," Mathematics and statistics -> From top 20 institutions -> U. Minnesota, Twin Cities", Mathematics and statistics,From top 20 institutions,"U. Minnesota, Twin Cities",3,18,26,18,8
9500,r179, Mathematics and statistics -> From top 20 institutions -> U. Utah, Mathematics and statistics,From top 20 institutions,U. Utah,3,18,26,18,8
9500,r180, Multidisciplinary/ interdisciplinary sciences, Multidisciplinary/ interdisciplinary sciences,,,1,-,1788,1132,656
9500,r181, Multidisciplinary/ interdisciplinary sciences -> From top 20 institutions, Multidisciplinary/ interdisciplinary sciences,From top 20 institutions,,2,-,691,461,230
