table_id,row_id,_b_demographic_characteristic_and_field_b_full_path,_b_demographic_characteristic_and_field_b_level_1,_b_demographic_characteristic_and_field_b_level_2,_b_demographic_characteristic_and_field_b_level_3,_b_demographic_characteristic_and_field_b_level_4,_b_demographic_characteristic_and_field_b_level_5,_b_demographic_characteristic_and_field_b_hierarchy_depth,field_total_number_,field_parental_education_attainment_all,field_parental_education_attainment_high_school_or_less,field_parental_education_attainment_some_collegea,field_parental_education_attainment_bachelor_s_degree,field_parental_education_attainment_master_s_degree,field_parental_education_attainment_professional_degreeb,field_parental_education_attainment_research_doctoral_degree
4670,r011,All doctorate recipients -> Citizenship status,All doctorate recipients,Citizenship status,,,,2,,,,,,,,
4670,r012,All doctorate recipients -> Citizenship status -> U.S. citizen or permanent resident,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,,,3,,,,,,,,
4670,r013,All doctorate recipients -> Citizenship status -> U.S. citizen or permanent resident -> Father's education,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Father's education,,4,30963,100.0,21.2,14.6,25.3,18.6,9.8,10.5
4670,r014,All doctorate recipients -> Citizenship status -> U.S. citizen or permanent resident -> Mother's education,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,,4,31375,100.0,21.4,19.1,28.9,21.0,5.1,4.6
4670,r015,All doctorate recipients -> Citizenship status -> Temporary visa holder,All doctorate recipients,Citizenship status,Temporary visa holder,,,3,,,,,,,,
4670,r016,All doctorate recipients -> Citizenship status -> Temporary visa holder -> Father's education,All doctorate recipients,Citizenship status,Temporary visa holder,Father's education,,4,16274,100.0,26.5,12.3,33.2,14.9,4.5,8.6
4670,r017,All doctorate recipients -> Citizenship status -> Temporary visa holder -> Mother's education,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,,4,16265,100.0,36.5,14.2,30.9,11.7,3.2,3.6
4670,r018,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents),All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),,,,2,,,,,,,,
4670,r019,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,,3,,,,,,,,
4670,r020,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,Father's education,,4,2506,100.0,35.4,17.0,19.9,13.6,7.7,6.3
4670,r021,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,Mother's education,,4,2584,100.0,34.5,21.1,22.3,14.7,4.1,3.2
4670,r022,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,,3,,,,,,,,
4670,r023,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,,4,,,,,,,,
4670,r024,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,Father's education,5,80,100.0,46.3,21.3,16.3,,7.5,
4670,r025,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,Mother's education,5,83,100.0,39.8,21.7,,14.5,6.0,
4670,r026,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,,4,,,,,,,,
4670,r027,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,Father's education,5,2907,100.0,19.4,9.7,24.1,18.3,7.7,20.8
4670,r028,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,Mother's education,5,2928,100.0,27.0,13.3,29.7,18.6,5.1,6.3
4670,r029,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,,4,,,,,,,,
4670,r030,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,Father's education,5,1998,100.0,41.1,19.1,18.3,11.9,4.4,5.2
4670,r031,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,Mother's education,5,2112,100.0,32.9,25.1,18.9,16.9,2.8,3.4
4670,r032,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,,4,,,,,,,,
4670,r033,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,Father's education,5,22125,100.0,18.1,14.6,26.8,19.8,10.9,9.8
4670,r034,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,Mother's education,5,22288,100.0,18.1,19.0,30.5,22.4,5.3,4.6
4670,r035,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,,4,,,,,,,,
4670,r036,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,Father's education,5,1061,100.0,17.7,14.1,24.4,20.2,8.6,15.0
4670,r037,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,Mother's education,5,1088,100.0,19.4,18.4,27.3,21.6,6.7,6.6
4670,r038,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,,4,,,,,,,,
4670,r039,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,Father's education,5,215,100.0,16.3,13.5,27.9,,9.3,
4670,r040,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,Mother's education,5,216,100.0,15.7,22.7,,19.4,6.0,
4670,r041,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,,3,,,,,,,,
4670,r042,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,Father's education,,4,71,100.0,29.6,19.7,15.5,14.1,8.5,12.7
4670,r043,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,Mother's education,,4,76,100.0,23.7,17.1,27.6,18.4,7.9,5.3
4670,r044,All doctorate recipients -> Field of study,All doctorate recipients,Field of study,,,,2,,,,,,,,
4670,r045,All doctorate recipients -> Field of study -> Life sciences<sup>e</sup>,All doctorate recipients,Field of study,Life sciences<sup>e</sup>,,,3,,,,,,,,
4670,r046,All doctorate recipients -> Field of study -> Life sciences<sup>e</sup> -> Father's education,All doctorate recipients,Field of study,Life sciences<sup>e</sup>,Father's education,,4,11046,100.0,22.8,13.9,27.2,17.0,9.0,10.1
4670,r047,All doctorate recipients -> Field of study -> Life sciences<sup>e</sup> -> Mother's education,All doctorate recipients,Field of study,Life sciences<sup>e</sup>,Mother's education,,4,11141,100.0,25.0,17.9,29.6,18.1,5.2,4.2
4670,r048,All doctorate recipients -> Field of study -> Physical sciences and earth sciences,All doctorate recipients,Field of study,Physical sciences and earth sciences,,,3,,,,,,,,
4670,r049,All doctorate recipients -> Field of study -> Physical sciences and earth sciences -> Father's education,All doctorate recipients,Field of study,Physical sciences and earth sciences,Father's education,,4,5488,100.0,22.3,14.6,27.9,18.3,7.4,9.6
4670,r050,All doctorate recipients -> Field of study -> Physical sciences and earth sciences -> Mother's education,All doctorate recipients,Field of study,Physical sciences and earth sciences,Mother's education,,4,5494,100.0,25.4,16.9,31.5,17.7,4.3,4.1
4670,r051,All doctorate recipients -> Field of study -> Mathematics and computer sciences,All doctorate recipients,Field of study,Mathematics and computer sciences,,,3,,,,,,,,
4670,r052,All doctorate recipients -> Field of study -> Mathematics and computer sciences -> Father's education,All doctorate recipients,Field of study,Mathematics and computer sciences,Father's education,,4,3741,100.0,21.9,12.1,29.8,17.7,6.0,12.5
4670,r053,All doctorate recipients -> Field of study -> Mathematics and computer sciences -> Mother's education,All doctorate recipients,Field of study,Mathematics and computer sciences,Mother's education,,4,3748,100.0,29.4,14.6,30.5,16.5,4.0,4.9
4670,r054,All doctorate recipients -> Field of study -> Psychology and social sciences,All doctorate recipients,Field of study,Psychology and social sciences,,,3,,,,,,,,
4670,r055,All doctorate recipients -> Field of study -> Psychology and social sciences -> Father's education,All doctorate recipients,Field of study,Psychology and social sciences,Father's education,,4,7453,100.0,22.5,14.5,25.6,17.7,10.0,9.7
4670,r056,All doctorate recipients -> Field of study -> Psychology and social sciences -> Mother's education,All doctorate recipients,Field of study,Psychology and social sciences,Mother's education,,4,7555,100.0,23.6,18.4,27.6,19.7,5.7,4.9
4670,r057,All doctorate recipients -> Field of study -> Engineering,All doctorate recipients,Field of study,Engineering,,,3,,,,,,,,
4670,r058,All doctorate recipients -> Field of study -> Engineering -> Father's education,All doctorate recipients,Field of study,Engineering,Father's education,,4,9050,100.0,21.5,12.1,33.2,18.1,5.2,9.9
4670,r059,All doctorate recipients -> Field of study -> Engineering -> Mother's education,All doctorate recipients,Field of study,Engineering,Mother's education,,4,9088,100.0,28.9,15.1,33.4,15.3,3.5,3.8
4670,r060,All doctorate recipients -> Field of study -> Education,All doctorate recipients,Field of study,Education,,,3,,,,,,,,
4670,r061,All doctorate recipients -> Field of study -> Education -> Father's education,All doctorate recipients,Field of study,Education,Father's education,,4,4003,100.0,31.9,17.0,24.9,13.4,6.8,6.1
4670,r062,All doctorate recipients -> Field of study -> Education -> Mother's education,All doctorate recipients,Field of study,Education,Mother's education,,4,4059,100.0,33.0,22.0,22.9,16.3,2.6,3.1
4670,r063,All doctorate recipients -> Field of study -> Humanities and arts,All doctorate recipients,Field of study,Humanities and arts,,,3,,,,,,,,
4670,r064,All doctorate recipients -> Field of study -> Humanities and arts -> Father's education,All doctorate recipients,Field of study,Humanities and arts,Father's education,,4,4116,100.0,20.4,13.5,25.0,18.6,12.1,10.6
4670,r065,All doctorate recipients -> Field of study -> Humanities and arts -> Mother's education,All doctorate recipients,Field of study,Humanities and arts,Mother's education,,4,4182,100.0,21.5,17.5,28.4,22.5,4.9,5.2
4670,r066,All doctorate recipients -> Field of study -> Other<sup>f</sup>,All doctorate recipients,Field of study,Other<sup>f</sup>,,,3,,,,,,,,
4670,r067,All doctorate recipients -> Field of study -> Other<sup>f</sup> -> Father's education,All doctorate recipients,Field of study,Other<sup>f</sup>,Father's education,,4,2357,100.0,24.4,14.0,28.6,16.2,7.1,9.7
4670,r068,All doctorate recipients -> Field of study -> Other<sup>f</sup> -> Mother's education,All doctorate recipients,Field of study,Other<sup>f</sup>,Mother's education,,4,2390,100.0,29.5,18.2,27.9,16.7,3.5,4.1
