table_id,row_id,agency_office_and_program_full_path,agency_office_and_program_level_1,agency_office_and_program_level_2,agency_office_and_program_level_3,agency_office_and_program_level_4,agency_office_and_program_hierarchy_depth
1898,r016,"Department of Health and Human Services -> National Institutes of Health (NIH) -> National Center for Advancing Translational Sciences -> Program goals: The TRND program supports pre-clinical development of therapeutic candidates intended to treat rare or neglected disorders, with the goal of enabling an Investigational New Drug (IND) application to the Food and Drug Administration.",Department of Health and Human Services,National Institutes of Health (NIH),National Center for Advancing Translational Sciences,"Program goals: The TRND program supports pre-clinical development of therapeutic candidates intended to treat rare or neglected disorders, with the goal of enabling an Investigational New Drug (IND) application to the Food and Drug Administration.",4
1898,r017,"Department of Health and Human Services -> National Institutes of Health (NIH) -> National Center for Advancing Translational Sciences -> Program activities: The TRND program encourages and speeds the development of new treatments for diseases with high unmet medical needs. The program advances the entire field of therapeutic development by encouraging scientific and technological innovations to improve success rates in the crucial preclinical stage of development. TRND stimulates therapeutic development research collaborations among NIH and academic scientists, nonprofit organizations, and pharmaceutical and biotechnology companies working on rare and neglected illnesses. The program provides NIH's rare and neglected disease drug development capabilities, expertise, clinical resources, and regulatory expertise to research partners to optimize promising therapeutics and move them through preclinical testing, with the goal to generate sufficient-quality data to support successful IND applications and first-in-human studies in limited circumstances. ",Department of Health and Human Services,National Institutes of Health (NIH),National Center for Advancing Translational Sciences,"Program activities: The TRND program encourages and speeds the development of new treatments for diseases with high unmet medical needs. The program advances the entire field of therapeutic development by encouraging scientific and technological innovations to improve success rates in the crucial preclinical stage of development. TRND stimulates therapeutic development research collaborations among NIH and academic scientists, nonprofit organizations, and pharmaceutical and biotechnology companies working on rare and neglected illnesses. The program provides NIH's rare and neglected disease drug development capabilities, expertise, clinical resources, and regulatory expertise to research partners to optimize promising therapeutics and move them through preclinical testing, with the goal to generate sufficient-quality data to support successful IND applications and first-in-human studies in limited circumstances. ",4
1898,r018,Department of Transportation,Department of Transportation,,,,1
1898,r019,Department of Transportation -> Federal Highway Administration,Department of Transportation,Federal Highway Administration,,,2
1898,r020,Department of Transportation -> Federal Highway Administration -> Office of Innovative Program Delivery,Department of Transportation,Federal Highway Administration,Office of Innovative Program Delivery,,3
1898,r021,Department of Transportation -> Federal Highway Administration -> Office of Innovative Program Delivery -> Program name: State Transportation Innovation Council (STIC) Incentive Program,Department of Transportation,Federal Highway Administration,Office of Innovative Program Delivery,Program name: State Transportation Innovation Council (STIC) Incentive Program,4
1898,r022,Department of Transportation -> Federal Highway Administration -> Office of Innovative Program Delivery -> Program goals: The STIC Incentive Program offers technical assistance and resources to support the standardization of innovative practices among state transportation agencies and other public-sector stakeholders. ,Department of Transportation,Federal Highway Administration,Office of Innovative Program Delivery,Program goals: The STIC Incentive Program offers technical assistance and resources to support the standardization of innovative practices among state transportation agencies and other public-sector stakeholders. ,4
1898,r023,"Department of Transportation -> Federal Highway Administration -> Office of Innovative Program Delivery -> Program activities: The STIC Incentive Program provides up to $100,000 per state per federal fiscal year to STICs to support or offset the costs of standardizing innovative practices in a state transportation agency or other public-sector STIC stakeholder. STIC Incentive Program funding may be used to conduct internal assessments; build capacity; develop guidance, standards, and specifications; implement system process changes; organize peer exchanges; offset implementation costs; or conduct other activities the STIC identifies to address Technology and Innovation Deployment Program goals.",Department of Transportation,Federal Highway Administration,Office of Innovative Program Delivery,"Program activities: The STIC Incentive Program provides up to $100,000 per state per federal fiscal year to STICs to support or offset the costs of standardizing innovative practices in a state transportation agency or other public-sector STIC stakeholder. STIC Incentive Program funding may be used to conduct internal assessments; build capacity; develop guidance, standards, and specifications; implement system process changes; organize peer exchanges; offset implementation costs; or conduct other activities the STIC identifies to address Technology and Innovation Deployment Program goals.",4
1898,r024,National Aeronautics and Space Administration (NASA),National Aeronautics and Space Administration (NASA),,,,1
1898,r025,National Aeronautics and Space Administration (NASA) -> Human Exploration and Operations Mission Directorate,National Aeronautics and Space Administration (NASA),Human Exploration and Operations Mission Directorate,,,2
1898,r026,National Aeronautics and Space Administration (NASA) -> Human Exploration and Operations Mission Directorate -> Advanced Exploration Systems Division ,National Aeronautics and Space Administration (NASA),Human Exploration and Operations Mission Directorate,Advanced Exploration Systems Division ,,3
1898,r027,National Aeronautics and Space Administration (NASA) -> Human Exploration and Operations Mission Directorate -> Advanced Exploration Systems Division  -> Program name: Next Space Technologies for Exploration Partnerships (NextSTEP),National Aeronautics and Space Administration (NASA),Human Exploration and Operations Mission Directorate,Advanced Exploration Systems Division ,Program name: Next Space Technologies for Exploration Partnerships (NextSTEP),4
1898,r028,National Aeronautics and Space Administration (NASA) -> Human Exploration and Operations Mission Directorate -> Advanced Exploration Systems Division  -> Program goals: The NextSTEP program is a public-private partnership model that encourages commercial development of deep space exploration capabilities to support more extensive human spaceflight missions in the proving ground around and beyond cislunar space&#8212;the space near Earth that extends just beyond the moon.,National Aeronautics and Space Administration (NASA),Human Exploration and Operations Mission Directorate,Advanced Exploration Systems Division ,Program goals: The NextSTEP program is a public-private partnership model that encourages commercial development of deep space exploration capabilities to support more extensive human spaceflight missions in the proving ground around and beyond cislunar space&#8212;the space near Earth that extends just beyond the moon.,4
1898,r029,"National Aeronautics and Space Administration (NASA) -> Human Exploration and Operations Mission Directorate -> Advanced Exploration Systems Division  -> Program activities: NextSTEP stimulates the commercial space industry to help NASA achieve its strategic goals and objectives for expanding the frontiers of knowledge, capability, and opportunities in space. The NextSTEP partnership model provides an opportunity for NASA and industry to partner to develop capabilities that meet NASA human space exploration objectives while also supporting industry commercialization plans. Through these public-private partnerships, NextSTEP partners provide advanced concept studies and technology development projects in the areas of advanced propulsion, habitation systems, and small satellites.",National Aeronautics and Space Administration (NASA),Human Exploration and Operations Mission Directorate,Advanced Exploration Systems Division ,"Program activities: NextSTEP stimulates the commercial space industry to help NASA achieve its strategic goals and objectives for expanding the frontiers of knowledge, capability, and opportunities in space. The NextSTEP partnership model provides an opportunity for NASA and industry to partner to develop capabilities that meet NASA human space exploration objectives while also supporting industry commercialization plans. Through these public-private partnerships, NextSTEP partners provide advanced concept studies and technology development projects in the areas of advanced propulsion, habitation systems, and small satellites.",4
1898,r030,National Science Foundation (NSF),National Science Foundation (NSF),,,,1
1898,r031,National Science Foundation (NSF) -> Directorate for Engineering,National Science Foundation (NSF),Directorate for Engineering,,,2
1898,r032,National Science Foundation (NSF) -> Directorate for Engineering -> Division of Industrial Innovation and Partnerships,National Science Foundation (NSF),Directorate for Engineering,Division of Industrial Innovation and Partnerships,,3
1898,r033,"National Science Foundation (NSF) -> Directorate for Engineering -> Division of Industrial Innovation and Partnerships -> Program name: Innovation Corps (I-Corps&#8482;) program (NSF, NIH, the Department of Defense, the Department of Energy, and the U.S. Department of Agriculture all have I-Corps programs.)",National Science Foundation (NSF),Directorate for Engineering,Division of Industrial Innovation and Partnerships,"Program name: Innovation Corps (I-Corps&#8482;) program (NSF, NIH, the Department of Defense, the Department of Energy, and the U.S. Department of Agriculture all have I-Corps programs.)",4
1898,r034,"National Science Foundation (NSF) -> Directorate for Engineering -> Division of Industrial Innovation and Partnerships -> Program goals: The I-Corps program aims to foster entrepreneurship that will lead to the commercialization of technology that has been supported previously by NSF-funded research. The program provides entrepreneurial education for federally funded scientists and engineers, pairing them with business mentors for an intensive curriculum focused on discovering a demand-driven path from their lab work to a marketable product.",National Science Foundation (NSF),Directorate for Engineering,Division of Industrial Innovation and Partnerships,"Program goals: The I-Corps program aims to foster entrepreneurship that will lead to the commercialization of technology that has been supported previously by NSF-funded research. The program provides entrepreneurial education for federally funded scientists and engineers, pairing them with business mentors for an intensive curriculum focused on discovering a demand-driven path from their lab work to a marketable product.",4
1898,r035,"National Science Foundation (NSF) -> Directorate for Engineering -> Division of Industrial Innovation and Partnerships -> Program activities: There are three distinct components of I-Corps: Teams, Nodes, and Sites. I-Corps Teams include NSF-funded researchers who will receive additional support&#8212;in the form of mentoring and funding&#8212;to accelerate innovation that can attract subsequent third-party funding. Nodes serve as hubs for education, infrastructure, and research that engage academic scientists and engineers in innovation; they also deliver the I-Corps Curriculum to I-Corps Teams. I-Corps Sites are academic institutions that catalyze the engagement of multiple, local teams in technology transition and strengthen local innovation. ",National Science Foundation (NSF),Directorate for Engineering,Division of Industrial Innovation and Partnerships,"Program activities: There are three distinct components of I-Corps: Teams, Nodes, and Sites. I-Corps Teams include NSF-funded researchers who will receive additional support&#8212;in the form of mentoring and funding&#8212;to accelerate innovation that can attract subsequent third-party funding. Nodes serve as hubs for education, infrastructure, and research that engage academic scientists and engineers in innovation; they also deliver the I-Corps Curriculum to I-Corps Teams. I-Corps Sites are academic institutions that catalyze the engagement of multiple, local teams in technology transition and strengthen local innovation. ",4
