table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_level_4,field_of_study_and_sex_level_5,field_of_study_and_sex_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_tenured_number,field_tenured_se,field_not_tenured_on_tenure_track_number,field_not_tenured_on_tenure_track_se,field_not_tenured_not_on_tenure_track_number,field_not_tenured_not_on_tenure_track_se,field_tenure_not_applicable_number,field_tenure_not_applicable_se
8199,r020,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,Male,5,4500,400,1750,250,650,150,850,200,1250,200
8199,r021,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,Female,5,4550,300,1200,175,600,100,800,175,1950,200
8199,r022,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,,4,3600,200,1500,150,450,75,700,100,1000,125
8199,r023,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,Male,5,2300,175,1050,150,200,50,350,75,650,125
8199,r024,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,Female,5,1300,100,450,75,200,50,300,75,350,50
8199,r025,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Zoology",All fields,Science,"Biological, agricultural, and environmental life sciences",Zoology,,4,3550,250,2150,225,250,75,500,100,600,125
8199,r026,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Zoology -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Zoology,Male,5,2350,225,1650,200,100,50,300,75,250,75
8199,r027,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Zoology -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Zoology,Female,5,1200,125,500,100,150,50,200,75,350,100
8199,r028,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,,4,47900,975,16800,700,7350,425,9600,475,14200,550
8199,r029,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Male,5,25700,750,10650,525,3750,300,4750,350,6500,375
8199,r030,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Female,5,22200,625,6100,375,3600,275,4800,325,7700,400
8199,r031,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,,3,11850,450,6100,400,2800,275,1150,200,1800,250
8199,r032,All fields -> Science -> Computer and information sciences -> Male,All fields,Science,Computer and information sciences,Male,,4,8950,425,4850,350,2000,250,750,150,1400,225
8199,r033,All fields -> Science -> Computer and information sciences -> Female,All fields,Science,Computer and information sciences,Female,,4,2900,250,1250,175,800,125,400,125,450,100
8199,r034,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,,3,20250,625,11650,475,3000,300,2850,300,2800,275
8199,r035,All fields -> Science -> Mathematics and statistics -> Male,All fields,Science,Mathematics and statistics,Male,,4,15200,550,9100,425,2100,275,2250,275,1750,250
8199,r036,All fields -> Science -> Mathematics and statistics -> Female,All fields,Science,Mathematics and statistics,Female,,4,5050,300,2550,225,900,150,650,125,1000,150
8199,r037,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,,3,45900,1025,21100,725,5300,325,7400,500,12100,625
8199,r038,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Male",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Male,,4,33250,825,16050,625,3650,300,5200,425,8350,500
8199,r039,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Female",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Female,,4,12600,525,5050,325,1600,175,2200,250,3750,325
8199,r040,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Astronomy and astrophysics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Astronomy and astrophysics,,4,3050,225,1350,175,400,75,550,100,750,125
8199,r041,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Astronomy and astrophysics -> Male",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Astronomy and astrophysics,Male,5,2200,200,1100,175,200,75,400,100,450,125
8199,r042,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Astronomy and astrophysics -> Female",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Astronomy and astrophysics,Female,5,850,100,250,50,150,50,150,50,300,75
8199,r043,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",,4,19750,725,9400,500,2250,250,2950,300,5150,450
8199,r044,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry -> Male",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",Male,5,13850,600,6750,400,1650,225,2000,275,3450,375
8199,r045,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry -> Female",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",Female,5,5900,350,2650,250,600,100,950,150,1700,225
8199,r046,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",,4,9850,325,4450,275,1200,125,1600,150,2600,175
8199,r047,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Male",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",Male,5,6300,300,3150,250,650,100,900,125,1600,150
8199,r048,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Female",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",Female,5,3550,200,1300,125,550,75,700,100,1000,125
8199,r049,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Physics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Physics,,4,13250,575,5950,425,1450,200,2250,275,3550,325
8199,r050,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Physics -> Male",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Physics,Male,5,10900,525,5050,400,1150,175,1850,250,2850,300
8199,r051,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Physics -> Female",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Physics,Female,5,2350,250,900,150,300,75,400,150,700,150
8199,r052,All fields -> Science -> Psychology,All fields,Science,Psychology,,,3,38700,800,17750,650,4750,325,5950,375,10250,475
8199,r053,All fields -> Science -> Psychology -> Male,All fields,Science,Psychology,Male,,4,15250,600,8200,450,1450,175,1950,250,3650,325
8199,r054,All fields -> Science -> Psychology -> Female,All fields,Science,Psychology,Female,,4,23450,650,9550,475,3300,300,4000,300,6600,375
8199,r055,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,,3,60250,950,33500,725,9650,475,7600,400,9500,500
8199,r056,All fields -> Science -> Social sciences -> Male,All fields,Science,Social sciences,Male,,4,34450,825,20550,600,4950,375,3750,300,5200,375
8199,r057,All fields -> Science -> Social sciences -> Female,All fields,Science,Social sciences,Female,,4,25800,650,12950,525,4700,300,3900,300,4300,300
8199,r058,All fields -> Science -> Social sciences -> Economics,All fields,Science,Social sciences,Economics,,4,14300,575,8450,475,2550,250,1600,250,1700,250
8199,r059,All fields -> Science -> Social sciences -> Economics -> Male,All fields,Science,Social sciences,Economics,Male,5,10200,525,6450,425,1650,225,800,150,1300,250
8199,r060,All fields -> Science -> Social sciences -> Economics -> Female,All fields,Science,Social sciences,Economics,Female,5,4100,325,2000,225,900,150,800,175,400,100
8199,r061,All fields -> Science -> Social sciences -> Political science and government,All fields,Science,Social sciences,Political science and government,,4,12900,500,7450,400,2150,275,1250,175,2000,275
8199,r062,All fields -> Science -> Social sciences -> Political science and government -> Male,All fields,Science,Social sciences,Political science and government,Male,5,8350,425,5150,350,1150,200,850,150,1200,200
8199,r063,All fields -> Science -> Social sciences -> Political science and government -> Female,All fields,Science,Social sciences,Political science and government,Female,5,4500,300,2300,225,1000,175,400,100,750,150
8199,r064,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies",All fields,Science,Social sciences,"Sociology, demography, and population studies",,4,10600,450,6000,350,1600,175,1150,175,1800,250
8199,r065,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies -> Male",All fields,Science,Social sciences,"Sociology, demography, and population studies",Male,5,4950,325,2900,275,750,150,400,125,850,175
8199,r066,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies -> Female",All fields,Science,Social sciences,"Sociology, demography, and population studies",Female,5,5650,300,3100,225,850,100,750,125,950,175
8199,r067,All fields -> Science -> Social sciences -> Other social sciences,All fields,Science,Social sciences,Other social sciences,,4,22450,500,11550,375,3350,225,3550,225,4000,275
8199,r068,All fields -> Science -> Social sciences -> Other social sciences -> Male,All fields,Science,Social sciences,Other social sciences,Male,5,10950,400,6050,325,1400,175,1700,175,1850,200
8199,r069,All fields -> Science -> Social sciences -> Other social sciences -> Female,All fields,Science,Social sciences,Other social sciences,Female,5,11500,375,5500,300,1950,150,1900,175,2150,175
8199,r070,All fields -> Engineering,All fields,Engineering,,,,2,46850,1150,23050,775,8400,475,5850,425,9550,450
8199,r071,All fields -> Engineering -> Male,All fields,Engineering,Male,,,3,36500,1025,19050,750,6300,450,4300,350,6850,400
8199,r072,All fields -> Engineering -> Female,All fields,Engineering,Female,,,3,10400,475,3950,325,2100,225,1550,200,2750,250
8199,r073,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,,3,1700,200,900,175,200,75,250,75,350,75
8199,r074,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering -> Male",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",Male,,4,1500,200,800,175,200,75,250,75,300,75
8199,r075,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering -> Female",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",Female,,4,200,50,100,25,0.05,0.05,0.05,0.05,50,25
8199,r076,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,,,3,3750,375,1850,225,600,150,400,125,900,200
8199,r077,All fields -> Engineering -> Chemical engineering -> Male,All fields,Engineering,Chemical engineering,Male,,4,2900,350,1550,225,450,150,250,100,650,200
8199,r078,All fields -> Engineering -> Chemical engineering -> Female,All fields,Engineering,Chemical engineering,Female,,4,850,150,300,100,150,75,150,75,250,75
8199,r079,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,,,3,6600,400,3500,300,1150,150,850,175,1100,175
8199,r080,All fields -> Engineering -> Civil engineering -> Male,All fields,Engineering,Civil engineering,Male,,4,5000,375,2850,300,800,150,550,150,800,150
8199,r081,All fields -> Engineering -> Civil engineering -> Female,All fields,Engineering,Civil engineering,Female,,4,1600,175,650,125,350,75,300,75,300,75
8199,r082,All fields -> Engineering -> Electrical and computer engineering,All fields,Engineering,Electrical and computer engineering,,,3,10600,500,5850,400,2000,300,1050,200,1750,225
8199,r083,All fields -> Engineering -> Electrical and computer engineering -> Male,All fields,Engineering,Electrical and computer engineering,Male,,4,8900,500,4900,375,1650,275,900,175,1400,200
8199,r084,All fields -> Engineering -> Electrical and computer engineering -> Female,All fields,Engineering,Electrical and computer engineering,Female,,4,1750,225,950,175,300,125,150,75,350,75
8199,r085,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,,,3,7650,475,3900,400,1600,225,900,175,1250,200
8199,r086,All fields -> Engineering -> Mechanical engineering -> Male,All fields,Engineering,Mechanical engineering,Male,,4,6100,475,3300,375,1100,200,750,150,900,175
8199,r087,All fields -> Engineering -> Mechanical engineering -> Female,All fields,Engineering,Mechanical engineering,Female,,4,1550,250,600,175,500,125,150,75,300,75
8199,r088,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,,,3,3300,350,1450,225,400,100,550,175,900,175
8199,r089,All fields -> Engineering -> Metallurgical and materials engineering -> Male,All fields,Engineering,Metallurgical and materials engineering,Male,,4,2500,300,1150,225,300,75,450,175,650,175
8199,r090,All fields -> Engineering -> Metallurgical and materials engineering -> Female,All fields,Engineering,Metallurgical and materials engineering,Female,,4,800,150,300,100,100,50,100,50,250,75
8199,r091,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,,,3,13250,475,5600,325,2400,275,1850,200,3350,250
8199,r092,All fields -> Engineering -> Other engineering -> Male,All fields,Engineering,Other engineering,Male,,4,9600,450,4500,325,1750,225,1200,150,2100,200
8199,r093,All fields -> Engineering -> Other engineering -> Female,All fields,Engineering,Other engineering,Female,,4,3700,250,1100,125,650,125,700,150,1250,175
8199,r094,All fields -> Health,All fields,Health,,,,2,21600,600,8050,450,4100,250,4550,375,4900,325
8199,r095,All fields -> Health -> Male,All fields,Health,Male,,,3,7300,375,3000,225,1350,150,1400,225,1600,200
8199,r096,All fields -> Health -> Female,All fields,Health,Female,,,3,14300,475,5050,350,2800,225,3200,300,3300,275
