table_id,row_id,occupation_employer_tenure_status_and_sex_full_path,occupation_employer_tenure_status_and_sex_level_1,occupation_employer_tenure_status_and_sex_level_2,occupation_employer_tenure_status_and_sex_level_3,occupation_employer_tenure_status_and_sex_level_4,occupation_employer_tenure_status_and_sex_level_5,occupation_employer_tenure_status_and_sex_level_6,occupation_employer_tenure_status_and_sex_level_7,occupation_employer_tenure_status_and_sex_hierarchy_depth,field_total,field_all_employed_benefit_available_on_principal_job_health_insurance,field_all_employed_benefit_available_on_principal_job_pension_or_retirement_plan,field_all_employed_benefit_available_on_principal_job_profit_sharing_plan,field_all_employed_benefit_available_on_principal_job_paid_vacation_sick_or_personal_days,field_median_salary_for_full_time_employed_a
3327,r013,All occupations -> Female -> Government,All occupations,Female,Government,,,,,3,30050,28350,27100,3450,28350,110000
3327,r014,All occupations -> Female -> Private sector (profit and nonprofit),All occupations,Female,Private sector (profit and nonprofit),,,,,3,132000,97750,86400,38950,98200,122000
3327,r015,All occupations -> Male,All occupations,Male,,,,,,2,546050,490250,451850,124300,448550,127000
3327,r016,All occupations -> Male -> 4-year educational institutions<sup>b</sup>,All occupations,Male,4-year educational institutions<sup>b</sup>,,,,,3,211850,203400,195900,11050,162950,100000
3327,r017,All occupations -> Male -> 4-year educational institutions<sup>b</sup> -> Tenure or on tenure track,All occupations,Male,4-year educational institutions<sup>b</sup>,Tenure or on tenure track,,,,4,139400,137900,136350,7000,104850,110000
3327,r018,All occupations -> Male -> 4-year educational institutions<sup>b</sup> -> Not tenure track or tenure not applicable,All occupations,Male,4-year educational institutions<sup>b</sup>,Not tenure track or tenure not applicable,,,,4,72450,65500,59550,4050,58050,80000
3327,r019,All occupations -> Male -> Other educational institutions<sup>c</sup>,All occupations,Male,Other educational institutions<sup>c</sup>,,,,,3,14300,12250,12200,700,11350,76000
3327,r020,All occupations -> Male -> Government,All occupations,Male,Government,,,,,3,47750,45400,43400,4750,45000,126000
3327,r021,All occupations -> Male -> Private sector (profit and nonprofit),All occupations,Male,Private sector (profit and nonprofit),,,,,3,272150,229200,200350,107800,229250,150000
3327,r022,All occupations -> S&E occupations<sup>d</sup>,All occupations,S&E occupations<sup>d</sup>,,,,,,2,613400,550750,511300,118950,494250,112000
3327,r023,All occupations -> S&E occupations<sup>d</sup> -> 4-year educational institutions<sup>b</sup>,All occupations,S&E occupations<sup>d</sup>,4-year educational institutions<sup>b</sup>,,,,,3,266300,254400,243500,13550,201050,90000
3327,r024,All occupations -> S&E occupations<sup>d</sup> -> 4-year educational institutions<sup>b</sup> -> Tenure or on tenure track,All occupations,S&E occupations<sup>d</sup>,4-year educational institutions<sup>b</sup>,Tenure or on tenure track,,,,4,169000,167050,164900,8350,124400,100000
3327,r025,All occupations -> S&E occupations<sup>d</sup> -> 4-year educational institutions<sup>b</sup> -> Not tenure track or tenure not applicable,All occupations,S&E occupations<sup>d</sup>,4-year educational institutions<sup>b</sup>,Not tenure track or tenure not applicable,,,,4,97300,87350,78600,5200,76600,70000
3327,r026,All occupations -> S&E occupations<sup>d</sup> -> Other educational institutions<sup>c</sup>,All occupations,S&E occupations<sup>d</sup>,Other educational institutions<sup>c</sup>,,,,,3,18550,15400,15500,950,14450,76000
3327,r027,All occupations -> S&E occupations<sup>d</sup> -> Government,All occupations,S&E occupations<sup>d</sup>,Government,,,,,3,58350,56000,53150,5500,55400,120000
3327,r028,All occupations -> S&E occupations<sup>d</sup> -> Private sector (profit and nonprofit),All occupations,S&E occupations<sup>d</sup>,Private sector (profit and nonprofit),,,,,3,270200,224900,199150,98900,223350,139000
3327,r029,All occupations -> S&E occupations<sup>d</sup> -> Female,All occupations,S&E occupations<sup>d</sup>,Female,,,,,3,207700,179150,166700,32250,161500,99000
3327,r030,All occupations -> S&E occupations<sup>d</sup> -> Female -> 4-year educational institutions<sup>b</sup>,All occupations,S&E occupations<sup>d</sup>,Female,4-year educational institutions<sup>b</sup>,,,,4,94050,88900,83950,5350,71900,82000
3327,r031,All occupations -> S&E occupations<sup>d</sup> -> Female -> 4-year educational institutions<sup>b</sup> -> Tenure or on tenure track,All occupations,S&E occupations<sup>d</sup>,Female,4-year educational institutions<sup>b</sup>,Tenure or on tenure track,,,5,52950,52300,51300,2900,39500,91000
3327,r032,All occupations -> S&E occupations<sup>d</sup> -> Female -> 4-year educational institutions<sup>b</sup> -> Not tenure track or tenure not applicable,All occupations,S&E occupations<sup>d</sup>,Female,4-year educational institutions<sup>b</sup>,Not tenure track or tenure not applicable,,,5,41100,36600,32650,2450,32400,65000
3327,r033,All occupations -> S&E occupations<sup>d</sup> -> Female -> Other educational institutions<sup>c</sup>,All occupations,S&E occupations<sup>d</sup>,Female,Other educational institutions<sup>c</sup>,,,,4,9650,7800,7900,450,7700,75000
3327,r034,All occupations -> S&E occupations<sup>d</sup> -> Female -> Government,All occupations,S&E occupations<sup>d</sup>,Female,Government,,,,4,21400,20400,19350,2100,20350,108000
3327,r035,All occupations -> S&E occupations<sup>d</sup> -> Female -> Private sector (profit and nonprofit),All occupations,S&E occupations<sup>d</sup>,Female,Private sector (profit and nonprofit),,,,4,82600,62050,55500,24350,61550,120000
3327,r036,All occupations -> S&E occupations<sup>d</sup> -> Male,All occupations,S&E occupations<sup>d</sup>,Male,,,,,3,405700,371600,344600,86700,332750,120000
3327,r037,All occupations -> S&E occupations<sup>d</sup> -> Male -> 4-year educational institutions<sup>b</sup>,All occupations,S&E occupations<sup>d</sup>,Male,4-year educational institutions<sup>b</sup>,,,,4,172250,165500,159550,8250,129150,97000
3327,r038,All occupations -> S&E occupations<sup>d</sup> -> Male -> 4-year educational institutions<sup>b</sup> -> Tenure or on tenure track,All occupations,S&E occupations<sup>d</sup>,Male,4-year educational institutions<sup>b</sup>,Tenure or on tenure track,,,5,116050,114750,113650,5450,84950,105000
3327,r039,All occupations -> S&E occupations<sup>d</sup> -> Male -> 4-year educational institutions<sup>b</sup> -> Not tenure track or tenure not applicable,All occupations,S&E occupations<sup>d</sup>,Male,4-year educational institutions<sup>b</sup>,Not tenure track or tenure not applicable,,,5,56200,50750,45900,2750,44200,73000
3327,r040,All occupations -> S&E occupations<sup>d</sup> -> Male -> Other educational institutions<sup>c</sup>,All occupations,S&E occupations<sup>d</sup>,Male,Other educational institutions<sup>c</sup>,,,,4,8900,7650,7600,500,6750,77000
3327,r041,All occupations -> S&E occupations<sup>d</sup> -> Male -> Government,All occupations,S&E occupations<sup>d</sup>,Male,Government,,,,4,36900,35600,33800,3350,35050,125000
3327,r042,All occupations -> S&E occupations<sup>d</sup> -> Male -> Private sector (profit and nonprofit),All occupations,S&E occupations<sup>d</sup>,Male,Private sector (profit and nonprofit),,,,4,187600,162850,143650,74600,161800,145000
3327,r043,All occupations -> S&E occupations<sup>d</sup> -> Scientist,All occupations,S&E occupations<sup>d</sup>,Scientist,,,,,3,492750,436950,407200,78900,388950,106000
3327,r044,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> 4-year educational institutions<sup>b</sup>,All occupations,S&E occupations<sup>d</sup>,Scientist,4-year educational institutions<sup>b</sup>,,,,4,230400,219750,210100,10800,174650,89000
3327,r045,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> 4-year educational institutions<sup>b</sup> -> Tenure or on tenure track,All occupations,S&E occupations<sup>d</sup>,Scientist,4-year educational institutions<sup>b</sup>,Tenure or on tenure track,,,5,143300,141750,140000,6350,106250,99000
3327,r046,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> 4-year educational institutions<sup>b</sup> -> Not tenure track or tenure not applicable,All occupations,S&E occupations<sup>d</sup>,Scientist,4-year educational institutions<sup>b</sup>,Not tenure track or tenure not applicable,,,5,87100,78000,70100,4500,68450,68000
3327,r047,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Other educational institutions<sup>c</sup>,All occupations,S&E occupations<sup>d</sup>,Scientist,Other educational institutions<sup>c</sup>,,,,4,18100,15000,15100,950,14100,76000
3327,r048,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Government,All occupations,S&E occupations<sup>d</sup>,Scientist,Government,,,,4,48100,46000,43900,4250,45550,117000
3327,r049,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Private sector (profit and nonprofit),All occupations,S&E occupations<sup>d</sup>,Scientist,Private sector (profit and nonprofit),,,,4,196150,156200,138100,62900,154650,135000
3327,r050,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Female,All occupations,S&E occupations<sup>d</sup>,Scientist,Female,,,,4,188700,161200,150200,26200,144500,96000
3327,r051,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Female -> 4-year educational institutions<sup>b</sup>,All occupations,S&E occupations<sup>d</sup>,Scientist,Female,4-year educational institutions<sup>b</sup>,,,5,88050,83300,78600,4800,67300,80000
3327,r052,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Female -> 4-year educational institutions<sup>b</sup> -> Tenure or on tenure track,All occupations,S&E occupations<sup>d</sup>,Scientist,Female,4-year educational institutions<sup>b</sup>,Tenure or on tenure track,,6,49000,48550,47650,2550,36550,90000
3327,r053,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Female -> 4-year educational institutions<sup>b</sup> -> Not tenure track or tenure not applicable,All occupations,S&E occupations<sup>d</sup>,Scientist,Female,4-year educational institutions<sup>b</sup>,Not tenure track or tenure not applicable,,6,39050,34750,31000,2200,30750,65000
3327,r054,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Female -> Other educational institutions<sup>c</sup>,All occupations,S&E occupations<sup>d</sup>,Scientist,Female,Other educational institutions<sup>c</sup>,,,5,9500,7700,7750,450,7600,76000
3327,r055,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Female -> Government,All occupations,S&E occupations<sup>d</sup>,Scientist,Female,Government,,,5,19600,18600,17650,1850,18550,107000
3327,r056,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Female -> Private sector (profit and nonprofit),All occupations,S&E occupations<sup>d</sup>,Scientist,Female,Private sector (profit and nonprofit),,,5,71550,51650,46150,19150,51000,119000
3327,r057,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Male,All occupations,S&E occupations<sup>d</sup>,Scientist,Male,,,,4,304050,275750,257000,52700,244450,116000
3327,r058,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Male -> 4-year educational institutions<sup>b</sup>,All occupations,S&E occupations<sup>d</sup>,Scientist,Male,4-year educational institutions<sup>b</sup>,,,5,142300,136450,131500,6050,107350,93000
3327,r059,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Male -> 4-year educational institutions<sup>b</sup> -> Tenure or on tenure track,All occupations,S&E occupations<sup>d</sup>,Scientist,Male,4-year educational institutions<sup>b</sup>,Tenure or on tenure track,,6,94250,93150,92350,3750,69700,102000
3327,r060,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Male -> 4-year educational institutions<sup>b</sup> -> Not tenure track or tenure not applicable,All occupations,S&E occupations<sup>d</sup>,Scientist,Male,4-year educational institutions<sup>b</sup>,Not tenure track or tenure not applicable,,6,48050,43250,39150,2250,37650,70000
3327,r061,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Male -> Other educational institutions<sup>c</sup>,All occupations,S&E occupations<sup>d</sup>,Scientist,Male,Other educational institutions<sup>c</sup>,,,5,8600,7350,7300,500,6500,77000
3327,r062,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Male -> Government,All occupations,S&E occupations<sup>d</sup>,Scientist,Male,Government,,,5,28500,27400,26200,2400,27000,123000
3327,r063,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Male -> Private sector (profit and nonprofit),All occupations,S&E occupations<sup>d</sup>,Scientist,Male,Private sector (profit and nonprofit),,,5,124650,104550,91950,43750,103650,145000
3327,r064,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Biological/ life scientist,All occupations,S&E occupations<sup>d</sup>,Scientist,Biological/ life scientist,,,,4,156650,146000,131300,25200,137050,100000
3327,r065,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Biological/ life scientist -> 4-year educational institutions<sup>b</sup>,All occupations,S&E occupations<sup>d</sup>,Scientist,Biological/ life scientist,4-year educational institutions<sup>b</sup>,,,5,76650,73750,67600,4000,65500,82000
3327,r066,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Biological/ life scientist -> 4-year educational institutions<sup>b</sup> -> Tenure or on tenure track,All occupations,S&E occupations<sup>d</sup>,Scientist,Biological/ life scientist,4-year educational institutions<sup>b</sup>,Tenure or on tenure track,,6,37850,37400,36700,2000,31500,105000
3327,r067,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Biological/ life scientist -> 4-year educational institutions<sup>b</sup> -> Not tenure track or tenure not applicable,All occupations,S&E occupations<sup>d</sup>,Scientist,Biological/ life scientist,4-year educational institutions<sup>b</sup>,Not tenure track or tenure not applicable,,6,38800,36400,30850,2000,33950,61000
3327,r068,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Biological/ life scientist -> Other educational institutions<sup>c</sup>,All occupations,S&E occupations<sup>d</sup>,Scientist,Biological/ life scientist,Other educational institutions<sup>c</sup>,,,5,4600,3850,3800,250,3450,73000
3327,r069,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Biological/ life scientist -> Government,All occupations,S&E occupations<sup>d</sup>,Scientist,Biological/ life scientist,Government,,,5,18450,17950,16750,1700,17800,111000
3327,r070,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Biological/ life scientist -> Private sector (profit and nonprofit),All occupations,S&E occupations<sup>d</sup>,Scientist,Biological/ life scientist,Private sector (profit and nonprofit),,,5,56950,50450,43150,19250,50350,122000
3327,r071,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Biological/ life scientist -> Female,All occupations,S&E occupations<sup>d</sup>,Scientist,Biological/ life scientist,Female,,,5,66650,62050,55000,11350,58900,93000
3327,r072,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Biological/ life scientist -> Female -> 4-year educational institutions<sup>b</sup>,All occupations,S&E occupations<sup>d</sup>,Scientist,Biological/ life scientist,Female,4-year educational institutions<sup>b</sup>,,6,31550,30000,27050,1850,26950,73000
3327,r073,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Biological/ life scientist -> Female -> 4-year educational institutions<sup>b</sup> -> Tenure or on tenure track,All occupations,S&E occupations<sup>d</sup>,Scientist,Biological/ life scientist,Female,4-year educational institutions<sup>b</sup>,Tenure or on tenure track,7,12700,12600,12300,700,10550,97000
3327,r074,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Biological/ life scientist -> Female -> 4-year educational institutions<sup>b</sup> -> Not tenure track or tenure not applicable,All occupations,S&E occupations<sup>d</sup>,Scientist,Biological/ life scientist,Female,4-year educational institutions<sup>b</sup>,Not tenure track or tenure not applicable,7,18800,17450,14750,1150,16400,60000
3327,r075,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Biological/ life scientist -> Female -> Other educational institutions<sup>c</sup>,All occupations,S&E occupations<sup>d</sup>,Scientist,Biological/ life scientist,Female,Other educational institutions<sup>c</sup>,,6,2650,2150,2100,100,1950,71000
3327,r076,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Biological/ life scientist -> Female -> Government,All occupations,S&E occupations<sup>d</sup>,Scientist,Biological/ life scientist,Female,Government,,6,8050,7700,7050,900,7750,104000
3327,r077,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Biological/ life scientist -> Female -> Private sector (profit and nonprofit),All occupations,S&E occupations<sup>d</sup>,Scientist,Biological/ life scientist,Female,Private sector (profit and nonprofit),,6,24400,22150,18850,8500,22300,116000
3327,r078,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Biological/ life scientist -> Male,All occupations,S&E occupations<sup>d</sup>,Scientist,Biological/ life scientist,Male,,,5,90050,83950,76300,13850,78100,108000
3327,r079,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Biological/ life scientist -> Male -> 4-year educational institutions<sup>b</sup>,All occupations,S&E occupations<sup>d</sup>,Scientist,Biological/ life scientist,Male,4-year educational institutions<sup>b</sup>,,6,45100,43750,40550,2150,38500,90000
3327,r080,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Biological/ life scientist -> Male -> 4-year educational institutions<sup>b</sup> -> Tenure or on tenure track,All occupations,S&E occupations<sup>d</sup>,Scientist,Biological/ life scientist,Male,4-year educational institutions<sup>b</sup>,Tenure or on tenure track,7,25150,24800,24450,1300,20950,110000
3327,r081,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Biological/ life scientist -> Male -> 4-year educational institutions<sup>b</sup> -> Not tenure track or tenure not applicable,All occupations,S&E occupations<sup>d</sup>,Scientist,Biological/ life scientist,Male,4-year educational institutions<sup>b</sup>,Not tenure track or tenure not applicable,7,20000,18950,16100,850,17600,64000
3327,r082,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Biological/ life scientist -> Male -> Other educational institutions<sup>c</sup>,All occupations,S&E occupations<sup>d</sup>,Scientist,Biological/ life scientist,Male,Other educational institutions<sup>c</sup>,,6,1900,1700,1700,S,1450,75000
3327,r083,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Biological/ life scientist -> Male -> Government,All occupations,S&E occupations<sup>d</sup>,Scientist,Biological/ life scientist,Male,Government,,6,10450,10200,9700,800,10050,119000
3327,r084,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Biological/ life scientist -> Male -> Private sector (profit and nonprofit),All occupations,S&E occupations<sup>d</sup>,Scientist,Biological/ life scientist,Male,Private sector (profit and nonprofit),,6,32550,28300,24350,10750,28050,129000
3327,r085,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Computer and informational scientist,All occupations,S&E occupations<sup>d</sup>,Scientist,Computer and informational scientist,,,,4,63000,59550,52200,22900,56400,149000
3327,r086,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Computer and informational scientist -> 4-year educational institutions<sup>b</sup>,All occupations,S&E occupations<sup>d</sup>,Scientist,Computer and informational scientist,4-year educational institutions<sup>b</sup>,,,5,14050,13600,13200,1000,10550,104000
3327,r087,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Computer and informational scientist -> 4-year educational institutions<sup>b</sup> -> Tenure or on tenure track,All occupations,S&E occupations<sup>d</sup>,Scientist,Computer and informational scientist,4-year educational institutions<sup>b</sup>,Tenure or on tenure track,,6,9050,9000,8900,650,6400,109000
3327,r088,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Computer and informational scientist -> 4-year educational institutions<sup>b</sup> -> Not tenure track or tenure not applicable,All occupations,S&E occupations<sup>d</sup>,Scientist,Computer and informational scientist,4-year educational institutions<sup>b</sup>,Not tenure track or tenure not applicable,,6,5000,4550,4300,350,4100,94000
3327,r089,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Computer and informational scientist -> Other educational institutions<sup>c</sup>,All occupations,S&E occupations<sup>d</sup>,Scientist,Computer and informational scientist,Other educational institutions<sup>c</sup>,,,5,550,500,500,,400,78000
3327,r090,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Computer and informational scientist -> Government,All occupations,S&E occupations<sup>d</sup>,Scientist,Computer and informational scientist,Government,,,5,2850,2650,2550,400,2600,134000
3327,r091,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Computer and informational scientist -> Private sector (profit and nonprofit),All occupations,S&E occupations<sup>d</sup>,Scientist,Computer and informational scientist,Private sector (profit and nonprofit),,,5,45600,42800,36000,21500,42800,159000
3327,r092,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Computer and informational scientist -> Female,All occupations,S&E occupations<sup>d</sup>,Scientist,Computer and informational scientist,Female,,,5,10350,9700,8450,3400,9050,130000
3327,r093,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Computer and informational scientist -> Female -> 4-year educational institutions<sup>b</sup>,All occupations,S&E occupations<sup>d</sup>,Scientist,Computer and informational scientist,Female,4-year educational institutions<sup>b</sup>,,6,2700,2550,2500,300,2000,97000
3327,r094,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Computer and informational scientist -> Female -> 4-year educational institutions<sup>b</sup> -> Tenure or on tenure track,All occupations,S&E occupations<sup>d</sup>,Scientist,Computer and informational scientist,Female,4-year educational institutions<sup>b</sup>,Tenure or on tenure track,7,1750,1700,1650,200,1200,100000
3327,r095,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Computer and informational scientist -> Female -> 4-year educational institutions<sup>b</sup> -> Not tenure track or tenure not applicable,All occupations,S&E occupations<sup>d</sup>,Scientist,Computer and informational scientist,Female,4-year educational institutions<sup>b</sup>,Not tenure track or tenure not applicable,7,950,800,850,150,800,85000
3327,r096,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Computer and informational scientist -> Female -> Other educational institutions<sup>c</sup>,All occupations,S&E occupations<sup>d</sup>,Scientist,Computer and informational scientist,Female,Other educational institutions<sup>c</sup>,,6,100,100,100,,100,79000
3327,r097,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Computer and informational scientist -> Female -> Government,All occupations,S&E occupations<sup>d</sup>,Scientist,Computer and informational scientist,Female,Government,,6,650,550,550,100,550,111000
3327,r098,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Computer and informational scientist -> Female -> Private sector (profit and nonprofit),All occupations,S&E occupations<sup>d</sup>,Scientist,Computer and informational scientist,Female,Private sector (profit and nonprofit),,6,6850,6450,5300,2950,6400,149000
3327,r099,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Computer and informational scientist -> Male,All occupations,S&E occupations<sup>d</sup>,Scientist,Computer and informational scientist,Male,,,5,52650,49850,43750,19450,47350,149000
3327,r100,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Computer and informational scientist -> Male -> 4-year educational institutions<sup>b</sup>,All occupations,S&E occupations<sup>d</sup>,Scientist,Computer and informational scientist,Male,4-year educational institutions<sup>b</sup>,,6,11350,11050,10700,650,8550,107000
3327,r101,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Computer and informational scientist -> Male -> 4-year educational institutions<sup>b</sup> -> Tenure or on tenure track,All occupations,S&E occupations<sup>d</sup>,Scientist,Computer and informational scientist,Male,4-year educational institutions<sup>b</sup>,Tenure or on tenure track,7,7350,7300,7200,450,5200,110000
3327,r102,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Computer and informational scientist -> Male -> 4-year educational institutions<sup>b</sup> -> Not tenure track or tenure not applicable,All occupations,S&E occupations<sup>d</sup>,Scientist,Computer and informational scientist,Male,4-year educational institutions<sup>b</sup>,Not tenure track or tenure not applicable,7,4000,3750,3450,250,3350,99000
3327,r103,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Computer and informational scientist -> Male -> Other educational institutions<sup>c</sup>,All occupations,S&E occupations<sup>d</sup>,Scientist,Computer and informational scientist,Male,Other educational institutions<sup>c</sup>,,6,400,350,350,,300,74000
3327,r104,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Computer and informational scientist -> Male -> Government,All occupations,S&E occupations<sup>d</sup>,Scientist,Computer and informational scientist,Male,Government,,6,2200,2100,2000,300,2050,139000
3327,r105,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Computer and informational scientist -> Male -> Private sector (profit and nonprofit),All occupations,S&E occupations<sup>d</sup>,Scientist,Computer and informational scientist,Male,Private sector (profit and nonprofit),,6,38700,36350,30700,18550,36450,160000
3327,r106,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Mathematical scientist,All occupations,S&E occupations<sup>d</sup>,Scientist,Mathematical scientist,,,,4,41400,39300,37400,8400,32750,114000
3327,r107,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Mathematical scientist -> 4-year educational institutions<sup>b</sup>,All occupations,S&E occupations<sup>d</sup>,Scientist,Mathematical scientist,4-year educational institutions<sup>b</sup>,,,5,21600,20600,20200,1100,13900,89000
3327,r108,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Mathematical scientist -> 4-year educational institutions<sup>b</sup> -> Tenure or on tenure track,All occupations,S&E occupations<sup>d</sup>,Scientist,Mathematical scientist,4-year educational institutions<sup>b</sup>,Tenure or on tenure track,,6,15150,14950,14900,700,9900,94000
3327,r109,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Mathematical scientist -> 4-year educational institutions<sup>b</sup> -> Not tenure track or tenure not applicable,All occupations,S&E occupations<sup>d</sup>,Scientist,Mathematical scientist,4-year educational institutions<sup>b</sup>,Not tenure track or tenure not applicable,,6,6450,5650,5300,400,4000,71000
3327,r110,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Mathematical scientist -> Other educational institutions<sup>c</sup>,All occupations,S&E occupations<sup>d</sup>,Scientist,Mathematical scientist,Other educational institutions<sup>c</sup>,,,5,1350,1150,1150,150,1100,79000
3327,r111,All occupations -> S&E occupations<sup>d</sup> -> Scientist -> Mathematical scientist -> Government,All occupations,S&E occupations<sup>d</sup>,Scientist,Mathematical scientist,Government,,,5,2600,2450,2400,300,2500,130000
