table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
3128,r030,All R&D fields -> Engineering,All R&D fields,Engineering,,,2,13214359,7667373,920322,2682903,1113463,395038,435260
3128,r031,"All R&D fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,1169928,820512,41708,128303,132974,4178,42253
3128,r032,All R&D fields -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,Engineering,Bioengineering and biomedical engineering,,3,1450156,879674,59251,330866,66257,81124,32984
3128,r033,All R&D fields -> Engineering -> Chemical engineering,All R&D fields,Engineering,Chemical engineering,,3,977867,498380,45176,232442,118026,53610,30233
3128,r034,All R&D fields -> Engineering -> Civil engineering,All R&D fields,Engineering,Civil engineering,,3,1432381,620862,244799,384651,93222,51926,36921
3128,r035,"All R&D fields -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,Engineering,"Electrical, electronic, and communications engineering",,3,2938953,2049254,70010,482011,187479,66447,83752
3128,r036,All R&D fields -> Engineering -> Industrial and manufacturing engineering,All R&D fields,Engineering,Industrial and manufacturing engineering,,3,557350,366535,29913,103343,42675,9554,5330
3128,r037,All R&D fields -> Engineering -> Mechanical engineering,All R&D fields,Engineering,Mechanical engineering,,3,1705397,1055725,61553,335618,175487,38411,38603
3128,r038,All R&D fields -> Engineering -> Metallurgical and materials engineering,All R&D fields,Engineering,Metallurgical and materials engineering,,3,791260,483774,28236,159449,63682,21259,34860
3128,r039,All R&D fields -> Engineering -> Engineering nec,All R&D fields,Engineering,Engineering nec,,3,2191067,892657,339676,526220,233661,68529,130324
3128,r040,All R&D fields -> Non-S&E,All R&D fields,Non-S&E,,,2,4863072,1236233,321943,2488492,153945,496806,165653
3128,r041,All R&D fields -> Non-S&E -> Business management and business administration,All R&D fields,Non-S&E,Business management and business administration,,3,873015,73296,31491,610053,61178,52351,44646
3128,r042,All R&D fields -> Non-S&E -> Communication and communications technologies,All R&D fields,Non-S&E,Communication and communications technologies,,3,209159,35467,11397,127046,4962,25018,5269
3128,r043,All R&D fields -> Non-S&E -> Education,All R&D fields,Non-S&E,Education,,3,1520025,662423,121924,486983,27747,192540,28408
3128,r044,All R&D fields -> Non-S&E -> Humanities,All R&D fields,Non-S&E,Humanities,,3,540935,49747,13707,377992,11470,63755,24264
3128,r045,All R&D fields -> Non-S&E -> Law,All R&D fields,Non-S&E,Law,,3,255618,31585,11437,156024,9786,37641,9145
3128,r046,All R&D fields -> Non-S&E -> Social work,All R&D fields,Non-S&E,Social work,,3,285714,133080,27403,88180,4298,29564,3189
3128,r047,All R&D fields -> Non-S&E -> Visual and performing arts,All R&D fields,Non-S&E,Visual and performing arts,,3,159452,9091,5773,123314,1934,12471,6869
3128,r048,All R&D fields -> Non-S&E -> Non-S&E nec,All R&D fields,Non-S&E,Non-S&E nec,,3,1019154,241544,98811,518900,32570,83466,43863
