table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_level_5,_b_field_of_doctorate_b_hierarchy_depth,field_2021,field_2022
9478,r136,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Geological and earth sciences -> Geology",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Geological and earth sciences,Geology,5,109,79
9478,r137,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Geological and earth sciences -> Geology/ earth science, general",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Geological and earth sciences,"Geology/ earth science, general",5,103,121
9478,r138,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Geological and earth sciences -> Geophysics and seismology",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Geological and earth sciences,Geophysics and seismology,5,102,118
9478,r139,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Geological and earth sciences -> Hydrology and water resources science",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Geological and earth sciences,Hydrology and water resources science,5,81,89
9478,r140,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Geological and earth sciences -> Geological and earth sciences nec",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Geological and earth sciences,Geological and earth sciences nec,5,158,209
9478,r141,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Ocean, marine, and atmospheric sciences",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences","Ocean, marine, and atmospheric sciences",,4,431,507
9478,r142,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Ocean, marine, and atmospheric sciences -> Atmospheric sciences and meteorology, general",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences","Ocean, marine, and atmospheric sciences","Atmospheric sciences and meteorology, general",5,94,120
9478,r143,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Ocean, marine, and atmospheric sciences -> Atmospheric sciences and meteorology nec",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences","Ocean, marine, and atmospheric sciences",Atmospheric sciences and meteorology nec,5,47,95
9478,r144,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Ocean, marine, and atmospheric sciences -> Climatology, atmospheric chemistry/ physics",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences","Ocean, marine, and atmospheric sciences","Climatology, atmospheric chemistry/ physics",5,60,67
9478,r145,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Ocean, marine, and atmospheric sciences -> Marine biology and biological oceanography",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences","Ocean, marine, and atmospheric sciences",Marine biology and biological oceanography,5,89,97
9478,r146,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Ocean, marine, and atmospheric sciences -> Marine sciences",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences","Ocean, marine, and atmospheric sciences",Marine sciences,5,57,63
9478,r147,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Ocean, marine, and atmospheric sciences -> Oceanography, chemical/ physical",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences","Ocean, marine, and atmospheric sciences","Oceanography, chemical/ physical",5,84,65
9478,r148,All fields -> Science and engineering -> Health sciences,All fields,Science and engineering,Health sciences,,,3,2577,2808
9478,r149,All fields -> Science and engineering -> Health sciences -> Nursing and nursing science,All fields,Science and engineering,Health sciences,Nursing and nursing science,,4,601,623
9478,r150,All fields -> Science and engineering -> Health sciences -> Nursing and nursing science -> Nursing education,All fields,Science and engineering,Health sciences,Nursing and nursing science,Nursing education,5,88,81
9478,r151,All fields -> Science and engineering -> Health sciences -> Nursing and nursing science -> Nursing science,All fields,Science and engineering,Health sciences,Nursing and nursing science,Nursing science,5,358,382
9478,r152,All fields -> Science and engineering -> Health sciences -> Nursing and nursing science -> Nursing specialties and practice,All fields,Science and engineering,Health sciences,Nursing and nursing science,Nursing specialties and practice,5,155,160
9478,r153,All fields -> Science and engineering -> Health sciences -> Pharmacy and pharmaceutical sciences,All fields,Science and engineering,Health sciences,Pharmacy and pharmaceutical sciences,,4,408,460
9478,r154,All fields -> Science and engineering -> Health sciences -> Pharmacy and pharmaceutical sciences -> Medicinal and pharmaceutical chemistry,All fields,Science and engineering,Health sciences,Pharmacy and pharmaceutical sciences,Medicinal and pharmaceutical chemistry,5,64,75
9478,r155,All fields -> Science and engineering -> Health sciences -> Pharmacy and pharmaceutical sciences -> Pharmaceutical sciences,All fields,Science and engineering,Health sciences,Pharmacy and pharmaceutical sciences,Pharmaceutical sciences,5,243,281
9478,r156,"All fields -> Science and engineering -> Health sciences -> Pharmacy and pharmaceutical sciences -> Pharmacy, pharmaceutical sciences, and administration nec",All fields,Science and engineering,Health sciences,Pharmacy and pharmaceutical sciences,"Pharmacy, pharmaceutical sciences, and administration nec",5,101,104
9478,r157,All fields -> Science and engineering -> Health sciences -> Public health,All fields,Science and engineering,Health sciences,Public health,,4,696,795
9478,r158,All fields -> Science and engineering -> Health sciences -> Public health -> Environmental health,All fields,Science and engineering,Health sciences,Public health,Environmental health,5,66,68
9478,r159,All fields -> Science and engineering -> Health sciences -> Public health -> Health services research,All fields,Science and engineering,Health sciences,Public health,Health services research,5,86,119
9478,r160,All fields -> Science and engineering -> Health sciences -> Public health -> Health/ medical physics,All fields,Science and engineering,Health sciences,Public health,Health/ medical physics,5,71,68
9478,r161,All fields -> Science and engineering -> Health sciences -> Public health -> Public health education and promotion,All fields,Science and engineering,Health sciences,Public health,Public health education and promotion,5,94,112
9478,r162,"All fields -> Science and engineering -> Health sciences -> Public health -> Public health, general",All fields,Science and engineering,Health sciences,Public health,"Public health, general",5,179,212
9478,r163,All fields -> Science and engineering -> Health sciences -> Public health -> Public health nec,All fields,Science and engineering,Health sciences,Public health,Public health nec,5,200,216
9478,r164,"All fields -> Science and engineering -> Health sciences -> Health sciences, other",All fields,Science and engineering,Health sciences,"Health sciences, other",,4,872,930
9478,r165,"All fields -> Science and engineering -> Health sciences -> Health sciences, other -> Communication disorders sciences",All fields,Science and engineering,Health sciences,"Health sciences, other",Communication disorders sciences,5,127,134
9478,r166,"All fields -> Science and engineering -> Health sciences -> Health sciences, other -> Exercise science and kinesiology",All fields,Science and engineering,Health sciences,"Health sciences, other",Exercise science and kinesiology,5,92,102
9478,r167,"All fields -> Science and engineering -> Health sciences -> Health sciences, other -> Health sciences, general",All fields,Science and engineering,Health sciences,"Health sciences, other","Health sciences, general",5,65,61
9478,r168,"All fields -> Science and engineering -> Health sciences -> Health sciences, other -> Marriage and family therapy/ counseling",All fields,Science and engineering,Health sciences,"Health sciences, other",Marriage and family therapy/ counseling,5,58,68
9478,r169,"All fields -> Science and engineering -> Health sciences -> Health sciences, other -> Medical clinical sciences",All fields,Science and engineering,Health sciences,"Health sciences, other",Medical clinical sciences,5,60,75
9478,r170,"All fields -> Science and engineering -> Health sciences -> Health sciences, other -> Medical, biomedical, and health informatics",All fields,Science and engineering,Health sciences,"Health sciences, other","Medical, biomedical, and health informatics",5,60,75
9478,r171,"All fields -> Science and engineering -> Health sciences -> Health sciences, other -> Mental health, counseling, and therapy services and sciences",All fields,Science and engineering,Health sciences,"Health sciences, other","Mental health, counseling, and therapy services and sciences",5,91,93
9478,r172,"All fields -> Science and engineering -> Health sciences -> Health sciences, other -> Rehabilitation and therapeutic sciences",All fields,Science and engineering,Health sciences,"Health sciences, other",Rehabilitation and therapeutic sciences,5,120,149
9478,r173,"All fields -> Science and engineering -> Health sciences -> Health sciences, other -> Health sciences nec",All fields,Science and engineering,Health sciences,"Health sciences, other",Health sciences nec,5,199,173
9478,r174,All fields -> Science and engineering -> Mathematics and statistics,All fields,Science and engineering,Mathematics and statistics,,,3,1906,2144
9478,r175,All fields -> Science and engineering -> Mathematics and statistics -> Applied mathematics,All fields,Science and engineering,Mathematics and statistics,Applied mathematics,,4,475,477
9478,r176,"All fields -> Science and engineering -> Mathematics and statistics -> Applied mathematics -> Applied mathematics, general",All fields,Science and engineering,Mathematics and statistics,Applied mathematics,"Applied mathematics, general",5,265,275
9478,r177,All fields -> Science and engineering -> Mathematics and statistics -> Applied mathematics -> Computational and applied mathematics,All fields,Science and engineering,Mathematics and statistics,Applied mathematics,Computational and applied mathematics,5,141,139
9478,r178,All fields -> Science and engineering -> Mathematics and statistics -> Applied mathematics -> Applied mathematics nec,All fields,Science and engineering,Mathematics and statistics,Applied mathematics,Applied mathematics nec,5,69,63
9478,r179,All fields -> Science and engineering -> Mathematics and statistics -> Mathematics,All fields,Science and engineering,Mathematics and statistics,Mathematics,,4,814,980
9478,r180,All fields -> Science and engineering -> Mathematics and statistics -> Mathematics -> Algebra and number theory,All fields,Science and engineering,Mathematics and statistics,Mathematics,Algebra and number theory,5,69,75
9478,r181,"All fields -> Science and engineering -> Mathematics and statistics -> Mathematics -> Mathematics, general",All fields,Science and engineering,Mathematics and statistics,Mathematics,"Mathematics, general",5,639,763
9478,r182,All fields -> Science and engineering -> Mathematics and statistics -> Mathematics -> Mathematics nec,All fields,Science and engineering,Mathematics and statistics,Mathematics,Mathematics nec,5,106,142
9478,r183,All fields -> Science and engineering -> Mathematics and statistics -> Statistics,All fields,Science and engineering,Mathematics and statistics,Statistics,,4,617,687
9478,r184,"All fields -> Science and engineering -> Mathematics and statistics -> Statistics -> Applied statistics, general",All fields,Science and engineering,Mathematics and statistics,Statistics,"Applied statistics, general",5,55,70
9478,r185,All fields -> Science and engineering -> Mathematics and statistics -> Statistics -> Mathematics and statistics,All fields,Science and engineering,Mathematics and statistics,Statistics,Mathematics and statistics,5,128,101
9478,r186,All fields -> Science and engineering -> Mathematics and statistics -> Statistics -> Statistics,All fields,Science and engineering,Mathematics and statistics,Statistics,Statistics,5,401,469
9478,r187,All fields -> Science and engineering -> Mathematics and statistics -> Statistics -> Statistics nec,All fields,Science and engineering,Mathematics and statistics,Statistics,Statistics nec,5,33,47
9478,r188,All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences,All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,,,3,1272,1788
9478,r189,All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Interdisciplinary computer sciences,All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,Interdisciplinary computer sciences,,4,448,625
9478,r190,All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Interdisciplinary computer sciences -> Computer science and engineering,All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,Interdisciplinary computer sciences,Computer science and engineering,5,119,230
9478,r191,All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Interdisciplinary computer sciences -> Electrical engineering and computer science,All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,Interdisciplinary computer sciences,Electrical engineering and computer science,5,224,276
9478,r192,All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Interdisciplinary computer sciences -> Interdisciplinary computer sciences nec,All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,Interdisciplinary computer sciences,Interdisciplinary computer sciences nec,5,105,119
9478,r193,"All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other",All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",,4,824,1163
9478,r194,"All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other -> Behavioral and cognitive sciences",All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",Behavioral and cognitive sciences,5,79,89
9478,r195,"All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other -> Computational science and engineering",All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",Computational science and engineering,5,104,112
9478,r196,"All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other -> Data mining and machine learning ",All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",Data mining and machine learning ,5,na,259
9478,r197,"All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other -> Data science and data analytics",All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",Data science and data analytics,5,106,94
9478,r198,"All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other -> History/ philosophy of science, technology, and society",All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other","History/ philosophy of science, technology, and society",5,67,67
9478,r199,"All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other -> Nanoscience/ nanoscale science",All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",Nanoscience/ nanoscale science,5,57,53
9478,r200,"All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other -> Nutrition sciences",All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",Nutrition sciences,5,137,129
9478,r201,"All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other -> Multidisciplinary/ interdisciplinary sciences nec",All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",Multidisciplinary/ interdisciplinary sciences nec,5,274,360
9478,r202,All fields -> Science and engineering -> Physical sciences,All fields,Science and engineering,Physical sciences,,,3,4809,5428
9478,r203,All fields -> Science and engineering -> Physical sciences -> Astronomy and astrophysics,All fields,Science and engineering,Physical sciences,Astronomy and astrophysics,,4,263,289
9478,r204,All fields -> Science and engineering -> Physical sciences -> Astronomy and astrophysics -> Astronomy,All fields,Science and engineering,Physical sciences,Astronomy and astrophysics,Astronomy,5,71,109
9478,r205,All fields -> Science and engineering -> Physical sciences -> Astronomy and astrophysics -> Astrophysics,All fields,Science and engineering,Physical sciences,Astronomy and astrophysics,Astrophysics,5,113,115
9478,r206,All fields -> Science and engineering -> Physical sciences -> Astronomy and astrophysics -> Astronomy and astrophysics nec,All fields,Science and engineering,Physical sciences,Astronomy and astrophysics,Astronomy and astrophysics nec,5,79,65
9478,r207,All fields -> Science and engineering -> Physical sciences -> Chemistry,All fields,Science and engineering,Physical sciences,Chemistry,,4,2366,2782
9478,r208,All fields -> Science and engineering -> Physical sciences -> Chemistry -> Analytical chemistry,All fields,Science and engineering,Physical sciences,Chemistry,Analytical chemistry,5,320,366
9478,r209,All fields -> Science and engineering -> Physical sciences -> Chemistry -> Chemical biology,All fields,Science and engineering,Physical sciences,Chemistry,Chemical biology,5,151,163
9478,r210,"All fields -> Science and engineering -> Physical sciences -> Chemistry -> Chemistry, general",All fields,Science and engineering,Physical sciences,Chemistry,"Chemistry, general",5,494,582
9478,r211,All fields -> Science and engineering -> Physical sciences -> Chemistry -> Inorganic chemistry,All fields,Science and engineering,Physical sciences,Chemistry,Inorganic chemistry,5,282,324
9478,r212,All fields -> Science and engineering -> Physical sciences -> Chemistry -> Organic chemistry,All fields,Science and engineering,Physical sciences,Chemistry,Organic chemistry,5,454,612
9478,r213,All fields -> Science and engineering -> Physical sciences -> Chemistry -> Physical chemistry,All fields,Science and engineering,Physical sciences,Chemistry,Physical chemistry,5,293,315
9478,r214,All fields -> Science and engineering -> Physical sciences -> Chemistry -> Polymer chemistry,All fields,Science and engineering,Physical sciences,Chemistry,Polymer chemistry,5,121,98
9478,r215,All fields -> Science and engineering -> Physical sciences -> Chemistry -> Theoretical and computational chemistry,All fields,Science and engineering,Physical sciences,Chemistry,Theoretical and computational chemistry,5,108,159
9478,r216,All fields -> Science and engineering -> Physical sciences -> Chemistry -> Chemistry nec,All fields,Science and engineering,Physical sciences,Chemistry,Chemistry nec,5,143,163
9478,r217,All fields -> Science and engineering -> Physical sciences -> Materials sciences,All fields,Science and engineering,Physical sciences,Materials sciences,,4,429,385
9478,r218,All fields -> Science and engineering -> Physical sciences -> Materials sciences -> Materials science,All fields,Science and engineering,Physical sciences,Materials sciences,Materials science,5,276,176
9478,r219,All fields -> Science and engineering -> Physical sciences -> Materials sciences -> Materials chemistry and materials sciences nec,All fields,Science and engineering,Physical sciences,Materials sciences,Materials chemistry and materials sciences nec,5,153,209
9478,r220,All fields -> Science and engineering -> Physical sciences -> Physics,All fields,Science and engineering,Physical sciences,Physics,,4,1751,1972
9478,r221,All fields -> Science and engineering -> Physical sciences -> Physics -> Applied physics,All fields,Science and engineering,Physical sciences,Physics,Applied physics,5,133,161
9478,r222,All fields -> Science and engineering -> Physical sciences -> Physics -> Atomic/ molecular physics,All fields,Science and engineering,Physical sciences,Physics,Atomic/ molecular physics,5,89,87
9478,r223,All fields -> Science and engineering -> Physical sciences -> Physics -> Condensed matter and materials physics,All fields,Science and engineering,Physical sciences,Physics,Condensed matter and materials physics,5,359,433
9478,r224,All fields -> Science and engineering -> Physical sciences -> Physics -> Elementary particle physics,All fields,Science and engineering,Physical sciences,Physics,Elementary particle physics,5,166,151
9478,r225,All fields -> Science and engineering -> Physical sciences -> Physics -> Nuclear physics,All fields,Science and engineering,Physical sciences,Physics,Nuclear physics,5,80,104
9478,r226,All fields -> Science and engineering -> Physical sciences -> Physics -> Optics/ optical sciences,All fields,Science and engineering,Physical sciences,Physics,Optics/ optical sciences,5,120,138
9478,r227,All fields -> Science and engineering -> Physical sciences -> Physics -> Physics and astronomy,All fields,Science and engineering,Physical sciences,Physics,Physics and astronomy,5,193,232
9478,r228,"All fields -> Science and engineering -> Physical sciences -> Physics -> Physics, general",All fields,Science and engineering,Physical sciences,Physics,"Physics, general",5,337,402
9478,r229,All fields -> Science and engineering -> Physical sciences -> Physics -> Plasma and high-temperature physics,All fields,Science and engineering,Physical sciences,Physics,Plasma and high-temperature physics,5,57,51
9478,r230,All fields -> Science and engineering -> Physical sciences -> Physics -> Theoretical and mathematical physics,All fields,Science and engineering,Physical sciences,Physics,Theoretical and mathematical physics,5,99,101
9478,r231,All fields -> Science and engineering -> Physical sciences -> Physics -> Physics and physical sciences nec,All fields,Science and engineering,Physical sciences,Physics,Physics and physical sciences nec,5,118,112
9478,r232,All fields -> Science and engineering -> Psychology,All fields,Science and engineering,Psychology,,,3,3698,3900
9478,r233,All fields -> Science and engineering -> Psychology -> Clinical psychology,All fields,Science and engineering,Psychology,Clinical psychology,,4,1245,1144
9478,r234,All fields -> Science and engineering -> Psychology -> Clinical psychology -> Clinical child psychology,All fields,Science and engineering,Psychology,Clinical psychology,Clinical child psychology,5,52,55
9478,r235,All fields -> Science and engineering -> Psychology -> Clinical psychology -> Clinical psychology,All fields,Science and engineering,Psychology,Clinical psychology,Clinical psychology,5,1193,1089
9478,r236,All fields -> Science and engineering -> Psychology -> Counseling and applied psychology,All fields,Science and engineering,Psychology,Counseling and applied psychology,,4,1337,1438
9478,r237,All fields -> Science and engineering -> Psychology -> Counseling and applied psychology -> Applied behavior analysis,All fields,Science and engineering,Psychology,Counseling and applied psychology,Applied behavior analysis,5,59,44
9478,r238,All fields -> Science and engineering -> Psychology -> Counseling and applied psychology -> Counseling psychology,All fields,Science and engineering,Psychology,Counseling and applied psychology,Counseling psychology,5,366,399
9478,r239,All fields -> Science and engineering -> Psychology -> Counseling and applied psychology -> Educational psychology,All fields,Science and engineering,Psychology,Counseling and applied psychology,Educational psychology,5,229,247
9478,r240,All fields -> Science and engineering -> Psychology -> Counseling and applied psychology -> Industrial and organizational psychology,All fields,Science and engineering,Psychology,Counseling and applied psychology,Industrial and organizational psychology,5,181,198
9478,r241,All fields -> Science and engineering -> Psychology -> Counseling and applied psychology -> School psychology,All fields,Science and engineering,Psychology,Counseling and applied psychology,School psychology,5,260,247
9478,r242,All fields -> Science and engineering -> Psychology -> Counseling and applied psychology -> Counseling and applied psychology nec,All fields,Science and engineering,Psychology,Counseling and applied psychology,Counseling and applied psychology nec,5,242,303
9478,r243,All fields -> Science and engineering -> Psychology -> Research and experimental psychology,All fields,Science and engineering,Psychology,Research and experimental psychology,,4,651,854
9478,r244,All fields -> Science and engineering -> Psychology -> Research and experimental psychology -> Behavioral neuroscience,All fields,Science and engineering,Psychology,Research and experimental psychology,Behavioral neuroscience,5,87,105
9478,r245,All fields -> Science and engineering -> Psychology -> Research and experimental psychology -> Cognitive psychology and psycholinguistics,All fields,Science and engineering,Psychology,Research and experimental psychology,Cognitive psychology and psycholinguistics,5,106,100
9478,r246,All fields -> Science and engineering -> Psychology -> Research and experimental psychology -> Developmental and child psychology,All fields,Science and engineering,Psychology,Research and experimental psychology,Developmental and child psychology,5,78,114
9478,r247,All fields -> Science and engineering -> Psychology -> Research and experimental psychology -> Experimental psychology,All fields,Science and engineering,Psychology,Research and experimental psychology,Experimental psychology,5,98,131
9478,r248,All fields -> Science and engineering -> Psychology -> Research and experimental psychology -> Social psychology,All fields,Science and engineering,Psychology,Research and experimental psychology,Social psychology,5,143,221
9478,r249,All fields -> Science and engineering -> Psychology -> Research and experimental psychology -> Research and experimental psychology nec,All fields,Science and engineering,Psychology,Research and experimental psychology,Research and experimental psychology nec,5,139,183
9478,r250,"All fields -> Science and engineering -> Psychology -> Psychology, other",All fields,Science and engineering,Psychology,"Psychology, other",,4,465,464
9478,r251,"All fields -> Science and engineering -> Psychology -> Psychology, other -> Human development",All fields,Science and engineering,Psychology,"Psychology, other",Human development,5,141,145
9478,r252,"All fields -> Science and engineering -> Psychology -> Psychology, other -> Psychology, general",All fields,Science and engineering,Psychology,"Psychology, other","Psychology, general",5,256,266
9478,r253,"All fields -> Science and engineering -> Psychology -> Psychology, other -> Psychology nec",All fields,Science and engineering,Psychology,"Psychology, other",Psychology nec,5,68,53
9478,r254,All fields -> Science and engineering -> Social sciences,All fields,Science and engineering,Social sciences,,,3,4652,5049
9478,r255,All fields -> Science and engineering -> Social sciences -> Anthropology,All fields,Science and engineering,Social sciences,Anthropology,,4,388,409
9478,r256,"All fields -> Science and engineering -> Social sciences -> Anthropology -> Anthropology, general",All fields,Science and engineering,Social sciences,Anthropology,"Anthropology, general",5,78,103
9478,r257,All fields -> Science and engineering -> Social sciences -> Anthropology -> Cultural anthropology,All fields,Science and engineering,Social sciences,Anthropology,Cultural anthropology,5,187,197
9478,r258,All fields -> Science and engineering -> Social sciences -> Anthropology -> Physical and biological anthropology,All fields,Science and engineering,Social sciences,Anthropology,Physical and biological anthropology,5,72,75
9478,r259,All fields -> Science and engineering -> Social sciences -> Anthropology -> Anthropology nec,All fields,Science and engineering,Social sciences,Anthropology,Anthropology nec,5,51,34
9478,r260,"All fields -> Science and engineering -> Social sciences -> Area, ethnic, cultural, gender, and group studies",All fields,Science and engineering,Social sciences,"Area, ethnic, cultural, gender, and group studies",,4,383,442
9478,r261,"All fields -> Science and engineering -> Social sciences -> Area, ethnic, cultural, gender, and group studies -> Area studies",All fields,Science and engineering,Social sciences,"Area, ethnic, cultural, gender, and group studies",Area studies,5,224,245
9478,r262,"All fields -> Science and engineering -> Social sciences -> Area, ethnic, cultural, gender, and group studies -> Ethnic studies",All fields,Science and engineering,Social sciences,"Area, ethnic, cultural, gender, and group studies",Ethnic studies,5,81,101
9478,r263,"All fields -> Science and engineering -> Social sciences -> Area, ethnic, cultural, gender, and group studies -> Area, ethnic, cultural, gender, and group studies nec",All fields,Science and engineering,Social sciences,"Area, ethnic, cultural, gender, and group studies","Area, ethnic, cultural, gender, and group studies nec",5,78,96
9478,r264,All fields -> Science and engineering -> Social sciences -> Economics,All fields,Science and engineering,Social sciences,Economics,,4,1315,1391
9478,r265,All fields -> Science and engineering -> Social sciences -> Economics -> Agricultural economics,All fields,Science and engineering,Social sciences,Economics,Agricultural economics,5,76,97
9478,r266,All fields -> Science and engineering -> Social sciences -> Economics -> Applied economics,All fields,Science and engineering,Social sciences,Economics,Applied economics,5,134,131
9478,r267,All fields -> Science and engineering -> Social sciences -> Economics -> Development economics and international development,All fields,Science and engineering,Social sciences,Economics,Development economics and international development,5,54,50
9478,r268,All fields -> Science and engineering -> Social sciences -> Economics -> Econometrics and quantitative economics,All fields,Science and engineering,Social sciences,Economics,Econometrics and quantitative economics,5,146,179
9478,r269,"All fields -> Science and engineering -> Social sciences -> Economics -> Economics, general",All fields,Science and engineering,Social sciences,Economics,"Economics, general",5,801,826
9478,r270,All fields -> Science and engineering -> Social sciences -> Economics -> Environmental/ natural resource economics,All fields,Science and engineering,Social sciences,Economics,Environmental/ natural resource economics,5,55,50
9478,r271,All fields -> Science and engineering -> Social sciences -> Economics -> Economics nec,All fields,Science and engineering,Social sciences,Economics,Economics nec,5,49,58
9478,r272,All fields -> Science and engineering -> Social sciences -> Political science and government,All fields,Science and engineering,Social sciences,Political science and government,,4,581,678
9478,r273,"All fields -> Science and engineering -> Social sciences -> Political science and government -> Political science and government, general",All fields,Science and engineering,Social sciences,Political science and government,"Political science and government, general",5,488,553
9478,r274,All fields -> Science and engineering -> Social sciences -> Political science and government -> Political science and government nec,All fields,Science and engineering,Social sciences,Political science and government,Political science and government nec,5,93,125
9478,r275,All fields -> Science and engineering -> Social sciences -> Public policy analysis,All fields,Science and engineering,Social sciences,Public policy analysis,,4,400,433
9478,r276,All fields -> Science and engineering -> Social sciences -> Public policy analysis -> Education policy analysis,All fields,Science and engineering,Social sciences,Public policy analysis,Education policy analysis,5,132,130
9478,r277,All fields -> Science and engineering -> Social sciences -> Public policy analysis -> Health policy analysis,All fields,Science and engineering,Social sciences,Public policy analysis,Health policy analysis,5,52,53
9478,r278,"All fields -> Science and engineering -> Social sciences -> Public policy analysis -> Public policy analysis, general",All fields,Science and engineering,Social sciences,Public policy analysis,"Public policy analysis, general",5,158,120
9478,r279,All fields -> Science and engineering -> Social sciences -> Public policy analysis -> Public policy nec,All fields,Science and engineering,Social sciences,Public policy analysis,Public policy nec,5,58,130
9478,r280,"All fields -> Science and engineering -> Social sciences -> Sociology, demography, and population studies",All fields,Science and engineering,Social sciences,"Sociology, demography, and population studies",,4,578,626
9478,r281,"All fields -> Science and engineering -> Social sciences -> Sociology, demography, and population studies -> Sociology, general",All fields,Science and engineering,Social sciences,"Sociology, demography, and population studies","Sociology, general",5,501,555
9478,r282,"All fields -> Science and engineering -> Social sciences -> Sociology, demography, and population studies -> Sociology, demography, and population studies nec",All fields,Science and engineering,Social sciences,"Sociology, demography, and population studies","Sociology, demography, and population studies nec",5,77,71
9478,r283,"All fields -> Science and engineering -> Social sciences -> Social sciences, other",All fields,Science and engineering,Social sciences,"Social sciences, other",,4,1007,1070
9478,r284,"All fields -> Science and engineering -> Social sciences -> Social sciences, other -> Applied linguistics",All fields,Science and engineering,Social sciences,"Social sciences, other",Applied linguistics,5,74,71
9478,r285,"All fields -> Science and engineering -> Social sciences -> Social sciences, other -> Archeology",All fields,Science and engineering,Social sciences,"Social sciences, other",Archeology,5,83,105
9478,r286,"All fields -> Science and engineering -> Social sciences -> Social sciences, other -> Criminology",All fields,Science and engineering,Social sciences,"Social sciences, other",Criminology,5,97,118
