table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_fields,field_agricultural_sciences,field_biological_and_biomedical_sciences,field_computer_and_information_sciences,field_engineering,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_health_sciences,field_mathematics_and_statistics,field_natural_resources_and_conservation,field_physical_sciences,field_psychology,field_social_sciences,field_other_fields_of_s_e
12845,r027,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,26,"['2,066', '']","['0', '']","['628', '']","['37', '']","['261', '']","['211', '']","['485', '']","['28', '']","['28', '']","['276', '']","['54', '']","['58', '']","['0', '']"
12845,r028,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,27,"['2,054', '']","['12', '']","['572', '']","['3', '']","['487', '']","['47', '']","['566', '']","['4', '']","['13', '']","['176', '']","['33', '']","['81', '']","['59', '']"
12845,r029,All institutions -> Cornell U.,All institutions,Cornell U.,2,28,"['1,956', '']","['605', '']","['746', '']","['12', '']","['165', '']","['5', '']","['2', '']","['1', '']","['39', '']","['297', '']","['12', '']","['9', '']","['63', '']"
12845,r030,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,29,"['1,947', '']","['0', '']","['335', '']","['0', '']","['0', '']","['0', '']","['1,396', '']","['0', '']","['0', '']","['0', '']","['0', '']","['6', '']","['211', '']"
12845,r031,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,30,"['1,935', '']","['*', '']","['727', '']","['37', '']","['144', '']","['10', '']","['801', '']","['4', '']","['0', '']","['130', '']","['25', '']","['54', '']","['4', '']"
12845,r032,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,31,"['1,877', '']","['219', '']","['446', '']","['15', '']","['274', '']","['3', '']","['671', '']","['*', '']","['0', '']","['154', '']","['30', '']","['37', '']","['27', '']"
12845,r033,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,32,"['1,801', '']","['29', '']","['652', '']","['17', '']","['114', '']","['14', '']","['694', '']","['18', '']","['0', '']","['187', '']","['45', '']","['31', '']","['0', '']"
12845,r034,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,33,"['1,794', '']","['0', '']","['274', '']","['112', '']","['637', '']","['47', '']","['0', '']","['8', '']","['0', '']","['506', '']","['0', '']","['33', '']","['177', '']"
12845,r035,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,34,"['1,786', '']","['269', '']","['547', '']","['11', '']","['148', '']","['30', '']","['604', '']","['0', '']","['31', '']","['55', '']","['61', '']","['29', '']","['0', '']"
12845,r036,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,35,"['1,741', '']","['0', '']","['465', '']","['62', '']","['315', '']","['49', '']","['445', '']","['17', '']","['0', '']","['246', '']","['50', '']","['93', '']","['0', '']"
12845,r037,All institutions -> U. Arizona,All institutions,U. Arizona,2,36,"['1,720', '']","['303', '']","['321', '']","['10', '']","['174', '']","['210', '']","['171', '']","['3', '']","['52', '']","['371', '']","['16', '']","['34', '']","['55', '']"
12845,r038,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,37,"['1,717', '']","['637', '']","['188', '']","['10', '']","['435', '']","['19', '']","['143', '']","['1', '']","['70', '']","['59', '']","['10', '']","['1', '']","['143', '']"
12845,r039,All institutions -> Wake Forest U.,All institutions,Wake Forest U.,2,38,"['1,704', '']","['3', '']","['882', '']","['4', '']","['29', '']","['0', '']","['744', '']","['0', '']","['4', '']","['19', '']","['14', '']","['5', '']","['0', '']"
12845,r040,All institutions -> U. Utah,All institutions,U. Utah,2,39,"['1,699', '']","['0', '']","['423', '']","['57', '']","['253', '']","['62', '']","['663', '']","['2', '']","['0', '']","['176', '']","['28', '']","['34', '']","['2', '']"
12845,r041,All institutions -> Stanford U.,All institutions,Stanford U.,2,40,"['1,665', '']","['0', '']","['546', '']","['23', '']","['258', '']","['50', '']","['487', '']","['6', '']","['7', '']","['242', '']","['16', '']","['17', '']","['13', '']"
12845,r042,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,41,"['1,629', '']","['0', '']","['217', '']","['47', '']","['520', '']","['69', '']","['72', '']","['2', '']","['0', '']","['167', '']","['39', '']","['27', '']","['469', '']"
12845,r043,"All institutions -> U. Tennessee, Knoxville",All institutions,"U. Tennessee, Knoxville",2,42,"['1,583', '']","['1,011', '']","['91', '']","['24', '']","['271', '']","['0', '']","['0', '']","['4', '']","['49', '']","['105', '']","['3', '']","['15', '']","['8', '']"
12845,r044,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,43,"['1,564', '']","['1,053', '']","['184', '']","['4', '']","['154', '']","['4', '']","['1', '']","['1', '']","['4', '']","['97', '']","['8', '']","['6', '']","['48', '']"
12845,r045,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,44,"['1,506', '']","['65', '']","['1,441', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12845,r046,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,45,"['1,427', '']","['75', '']","['415', '']","['27', '']","['49', '']","['32', '']","['610', '']","['12', '']","['0', '']","['136', '']","['32', '']","['39', '']","['0', '']"
12845,r047,"All institutions -> Louisiana State U., Baton Rouge",All institutions,"Louisiana State U., Baton Rouge",2,46,"['1,422', '']","['566', '']","['164', '']","['2', '']","['255', '']","['160', '']","['17', '']","['7', '']","['39', '']","['148', '']","['11', '']","['32', '']","['21', '']"
12845,r048,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,47,"['1,405', '']","['86', '']","['269', '']","['15', '']","['211', '']","['0', '']","['470', '']","['17', '']","['76', '']","['175', '']","['37', '']","['47', '']","['0', '']"
12845,r049,All institutions -> U. Texas Southwestern Medical Center,All institutions,U. Texas Southwestern Medical Center,2,48,"['1,399', '']","['0', '']","['715', '']","['0', '']","['57', '']","['0', '']","['621', '']","['0', '']","['0', '']","['0', '']","['7', '']","['0', '']","['0', '']"
12845,r050,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,49,"['1,382', '']","['0', '']","['545', '']","['13', '']","['84', '']","['33', '']","['562', '']","['2', '']","['0', '']","['128', '']","['8', '']","['6', '']","['0', '']"
12845,r051,All institutions -> Wichita State U.,All institutions,Wichita State U.,2,50,"['1,338', '']","['0', '']","['18', '']","['0', '']","['1,263', '']","['8', '']","['6', '']","['2', '']","['0', '']","['26', '']","['5', '']","['7', '']","['4', '']"
12845,r052,All institutions -> North Dakota State U.,All institutions,North Dakota State U.,2,51,"['1,304', '']","['1,069', '']","['75', '']","['4', '']","['37', '']","['8', '']","['16', '']","['1', '']","['9', '']","['36', '']","['11', '']","['2', '']","['36', '']"
12845,r053,All institutions -> U. Wyoming,All institutions,U. Wyoming,2,52,"['1,300', '']","['446', '']","['166', '']","['29', '']","['201', '']","['86', '']","['63', '']","['25', '']","['75', '']","['124', '']","['23', '']","['61', '']","['0', '']"
12845,r054,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,53,"['1,294', '']","['2', '']","['306', '']","['7', '']","['415', '']","['88', '']","['94', '']","['14', '']","['9', '']","['226', '']","['52', '']","['58', '']","['22', '']"
12845,r055,"All institutions -> SUNY, Stony Brook U.",All institutions,"SUNY, Stony Brook U.",2,54,"['1,281', '']","['0', '']","['361', '']","['67', '']","['200', '']","['132', '']","['232', '']","['34', '']","['7', '']","['188', '']","['40', '']","['10', '']","['11', '']"
12845,r056,All institutions -> U. Chicago,All institutions,U. Chicago,2,55,"['1,275', '']","['0', '']","['564', '']","['14', '']","['71', '']","['28', '']","['352', '']","['5', '']","['0', '']","['196', '']","['33', '']","['11', '']","['2', '']"
12845,r057,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,56,"['1,275', '']","['29', '']","['378', '']","['14', '']","['247', '']","['313', '']","['69', '']","['4', '']","['10', '']","['147', '']","['17', '']","['45', '']","['0', '']"
12845,r058,All institutions -> Tulane U.,All institutions,Tulane U.,2,57,"['1,192', '']","['0', '']","['143', '']","['4', '']","['42', '']","['43', '']","['306', '']","['15', '']","['8', '']","['65', '']","['23', '']","['64', '']","['479', '']"
12845,r059,"All institutions -> U. California, Riverside",All institutions,"U. California, Riverside",2,58,"['1,170', '']","['344', '']","['206', '']","['5', '']","['179', '']","['40', '']","['41', '']","['17', '']","['0', '']","['154', '']","['40', '']","['23', '']","['121', '']"
12845,r060,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,59,"['1,163', '']","['274', '']","['199', '']","['6', '']","['233', '']","['55', '']","['67', '']","['9', '']","['159', '']","['86', '']","['12', '']","['8', '']","['56', '']"
12845,r061,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,60,"['1,099', '']","['0', '']","['229', '']","['22', '']","['282', '']","['207', '']","['9', '']","['3', '']","['47', '']","['179', '']","['65', '']","['11', '']","['45', '']"
12845,r062,"All institutions -> U. Louisiana, Lafayette",All institutions,"U. Louisiana, Lafayette",2,61,"['1,084', '']","['50', '']","['513', '']","['85', '']","['126', '']","['41', '']","['30', '']","['4', '']","['96', '']","['33', '']","['13', '']","['51', '']","['43', '']"
12845,r063,All institutions -> New York U.,All institutions,New York U.,2,62,"['1,084', '']","['0', '']","['865', '']","['0', '']","['119', '']","['0', '']","['11', '']","['4', '']","['0', '']","['58', '']","['20', '']","['6', '']","['0', '']"
12845,r064,All institutions -> U. Southern California,All institutions,U. Southern California,2,63,"['1,082', '']","['0', '']","['250', '']","['155', '']","['194', '']","['22', '']","['294', '']","['0', '']","['34', '']","['64', '']","['13', '']","['10', '']","['47', '']"
12845,r065,All institutions -> Boston U.,All institutions,Boston U.,2,64,"['1,067', '']","['0', '']","['532', '']","['27', '']","['156', '']","['19', '']","['188', '']","['4', '']","['0', '']","['101', '']","['14', '']","['26', '']","['0', '']"
12845,r066,All institutions -> Clemson U.,All institutions,Clemson U.,2,65,"['1,051', '']","['347', '']","['90', '']","['16', '']","['419', '']","['27', '']","['5', '']","['17', '']","['16', '']","['80', '']","['7', '']","['7', '']","['20', '']"
12845,r067,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,66,"['1,047', '']","['0', '']","['269', '']","['21', '']","['236', '']","['100', '']","['0', '']","['9', '']","['0', '']","['401', '']","['0', '']","['11', '']","['0', '']"
12845,r068,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center<sup>b</sup>,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center<sup>b</sup>,2,67,"['1,044', '']","['0', '']","['328', '']","['48', '']","['84', '']","['6', '']","['492', '']","['2', '']","['0', '']","['60', '']","['19', '']","['5', '']","['0', '']"
12845,r069,All institutions -> Wayne State U.,All institutions,Wayne State U.,2,68,"['1,032', '']","['0', '']","['200', '']","['12', '']","['123', '']","['6', '']","['317', '']","['9', '']","['0', '']","['114', '']","['59', '']","['59', '']","['132', '']"
12845,r070,All institutions -> Emory U.,All institutions,Emory U.,2,69,"['1,031', '']","['0', '']","['445', '']","['*', '']","['0', '']","['0', '']","['401', '']","['12', '']","['20', '']","['100', '']","['40', '']","['13', '']","['0', '']"
12845,r071,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,70,"['1,010', '']","['0', '']","['314', '']","['10', '']","['107', '']","['7', '']","['403', '']","['3', '']","['*', '']","['86', '']","['10', '']","['17', '']","['53', '']"
12845,r072,All institutions -> Duke U.,All institutions,Duke U.,2,71,"['983', '']","['0', '']","['381', '']","['5', '']","['114', '']","['9', '']","['334', '']","['2', '']","['17', '']","['94', '']","['13', '']","['13', '']","['0', '']"
12845,r073,All institutions -> U. Mississippi,All institutions,U. Mississippi,2,72,"['941', '']","['0', '']","['810', '']","['*', '']","['20', '']","['2', '']","['58', '']","['0', '']","['0', '']","['43', '']","['4', '']","['4', '']","['0', '']"
12845,r074,All institutions -> U. Connecticut,All institutions,U. Connecticut,2,73,"['940', '']","['66', '']","['252', '']","['5', '']","['104', '']","['42', '']","['282', '']","['3', '']","['8', '']","['94', '']","['22', '']","['4', '']","['58', '']"
12845,r075,"All institutions -> U. Massachusetts, Medical School",All institutions,"U. Massachusetts, Medical School",2,74,"['912', '']","['0', '']","['623', '']","['0', '']","['0', '']","['0', '']","['289', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12845,r076,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,75,"['905', '']","['0', '']","['159', '']","['26', '']","['246', '']","['80', '']","['1', '']","['9', '']","['34', '']","['171', '']","['44', '']","['91', '']","['44', '']"
12845,r077,All institutions -> U. Rochester,All institutions,U. Rochester,2,76,"['905', '']","['0', '']","['321', '']","['7', '']","['52', '']","['9', '']","['262', '']","['*', '']","['0', '']","['215', '']","['36', '']","['3', '']","['0', '']"
12845,r078,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,77,"['904', '']","['75', '']","['227', '']","['6', '']","['190', '']","['133', '']","['171', '']","['2', '']","['12', '']","['73', '']","['2', '']","['15', '']","['0', '']"
12845,r079,All institutions -> U. Kansas,All institutions,U. Kansas,2,78,"['899', '']","['0', '']","['254', '']","['12', '']","['114', '']","['50', '']","['308', '']","['7', '']","['21', '']","['78', '']","['31', '']","['24', '']","['0', '']"
12845,r080,All institutions -> Baylor C. of Medicine,All institutions,Baylor C. of Medicine,2,79,"['888', '']","['0', '']","['790', '']","['0', '']","['0', '']","['0', '']","['98', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12845,r081,All institutions -> U. Colorado Anschutz Medical Campus,All institutions,U. Colorado Anschutz Medical Campus,2,80,"['882', '']","['0', '']","['198', '']","['0', '']","['17', '']","['0', '']","['667', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12845,r082,All institutions -> Oregon Health and Science U.,All institutions,Oregon Health and Science U.,2,81,"['854', '']","['0', '']","['452', '']","['5', '']","['23', '']","['0', '']","['357', '']","['0', '']","['3', '']","['0', '']","['8', '']","['6', '']","['0', '']"
12845,r083,All institutions -> Texas Tech U.,All institutions,Texas Tech U.,2,82,"['854', '']","['272', '']","['126', '']","['3', '']","['215', '']","['46', '']","['11', '']","['4', '']","['20', '']","['92', '']","['13', '']","['8', '']","['43', '']"
12845,r084,All institutions -> U. Delaware,All institutions,U. Delaware,2,83,"['853', '']","['212', '']","['27', '']","['10', '']","['232', '']","['78', '']","['68', '']","['6', '']","['14', '']","['122', '']","['27', '']","['30', '']","['27', '']"
12845,r085,All institutions -> Kansas State U.,All institutions,Kansas State U.,2,84,"['828', '']","['490', '']","['128', '']","['6', '']","['84', '']","['6', '']","['30', '']","['1', '']","['16', '']","['53', '']","['9', '']","['4', '']","['0', '']"
12845,r086,"All institutions -> U. Alabama, Birmingham",All institutions,"U. Alabama, Birmingham",2,85,"['824', '']","['0', '']","['237', '']","['1', '']","['53', '']","['0', '']","['498', '']","['*', '']","['0', '']","['21', '']","['15', '']","['1', '']","['0', '']"
12845,r087,All institutions -> U. South Florida,All institutions,U. South Florida,2,86,"['823', '']","['0', '']","['59', '']","['15', '']","['119', '']","['139', '']","['316', '']","['1', '']","['1', '']","['86', '']","['32', '']","['56', '']","['0', '']"
12845,r088,All institutions -> Dartmouth C.,All institutions,Dartmouth C.,2,87,"['819', '']","['0', '']","['272', '']","['45', '']","['140', '']","['18', '']","['158', '']","['18', '']","['11', '']","['78', '']","['33', '']","['43', '']","['2', '']"
12845,r089,"All institutions -> Oklahoma State U., Stillwater",All institutions,"Oklahoma State U., Stillwater",2,88,"['806', '']","['382', '']","['157', '']","['4', '']","['140', '']","['21', '']","['2', '']","['1', '']","['12', '']","['73', '']","['10', '']","['2', '']","['0', '']"
12845,r090,All institutions -> Princeton U.,All institutions,Princeton U.,2,89,"['799', '']","['0', '']","['206', '']","['35', '']","['211', '']","['36', '']","['0', '']","['22', '']","['0', '']","['228', '']","['11', '']","['51', '']","['0', '']"
12845,r091,All institutions -> U. Maine,All institutions,U. Maine,2,90,"['796', '']","['290', '']","['70', '']","['24', '']","['231', '']","['95', '']","['2', '']","['*', '']","['23', '']","['34', '']","['7', '']","['12', '']","['7', '']"
12845,r092,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,91,"['786', '']","['227', '']","['123', '']","['31', '']","['84', '']","['8', '']","['75', '']","['1', '']","['153', '']","['50', '']","['25', '']","['6', '']","['2', '']"
12845,r093,"All institutions -> U. Arkansas, Fayetteville",All institutions,"U. Arkansas, Fayetteville",2,92,"['785', '']","['360', '']","['85', '']","['7', '']","['168', '']","['27', '']","['21', '']","['5', '']","['8', '']","['75', '']","['11', '']","['17', '']","['0', '']"
12845,r094,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,93,"['783', '']","['166', '']","['143', '']","['24', '']","['189', '']","['84', '']","['52', '']","['*', '']","['80', '']","['39', '']","['1', '']","['5', '']","['0', '']"
12845,r095,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,94,"['779', '']","['0', '']","['754', '']","['25', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12845,r096,All institutions -> Utah State U.,All institutions,Utah State U.,2,95,"['760', '']","['310', '']","['35', '']","['2', '']","['324', '']","['2', '']","['3', '']","['*', '']","['51', '']","['29', '']","['3', '']","['1', '']","['0', '']"
12845,r097,"All institutions -> U. South Carolina, Columbia",All institutions,"U. South Carolina, Columbia",2,96,"['759', '']","['0', '']","['126', '']","['19', '']","['199', '']","['66', '']","['148', '']","['0', '']","['1', '']","['102', '']","['49', '']","['48', '']","['0', '']"
12845,r098,All institutions -> U. Cincinnati,All institutions,U. Cincinnati,2,97,"['759', '']","['0', '']","['189', '']","['2', '']","['191', '']","['19', '']","['241', '']","['4', '']","['0', '']","['81', '']","['10', '']","['15', '']","['7', '']"
12845,r099,"All institutions -> Indiana U.-Purdue U., Indianapolis",All institutions,"Indiana U.-Purdue U., Indianapolis",2,98,"['757', '']","['0', '']","['169', '']","['7', '']","['41', '']","['10', '']","['483', '']","['0', '']","['0', '']","['30', '']","['11', '']","['5', '']","['0', '']"
12845,r100,All institutions -> Virginia Commonwealth U.,All institutions,Virginia Commonwealth U.,2,99,"['734', '']","['0', '']","['225', '']","['23', '']","['125', '']","['0', '']","['289', '']","['13', '']","['4', '']","['25', '']","['8', '']","['14', '']","['7', '']"
12845,r101,All institutions -> Medical U. South Carolina,All institutions,Medical U. South Carolina,2,100,"['732', '']","['0', '']","['454', '']","['0', '']","['13', '']","['0', '']","['265', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12845,r102,"All institutions -> SUNY, U. Buffalo",All institutions,"SUNY, U. Buffalo",2,101,"['727', '']","['0', '']","['203', '']","['16', '']","['133', '']","['18', '']","['216', '']","['2', '']","['1', '']","['92', '']","['29', '']","['16', '']","['0', '']"
12845,r103,"All institutions -> U. Texas, Dallas",All institutions,"U. Texas, Dallas",2,102,"['707', '']","['0', '']","['141', '']","['22', '']","['327', '']","['32', '']","['30', '']","['*', '']","['0', '']","['107', '']","['10', '']","['3', '']","['34', '']"
12845,r104,All institutions -> Tufts U.,All institutions,Tufts U.,2,103,"['706', '']","['143', '']","['229', '']","['15', '']","['105', '']","['6', '']","['146', '']","['1', '']","['0', '']","['43', '']","['17', '']","['2', '']","['0', '']"
12845,r105,All institutions -> South Dakota State U.,All institutions,South Dakota State U.,2,104,"['704', '']","['544', '']","['39', '']","['0', '']","['50', '']","['0', '']","['11', '']","['1', '']","['25', '']","['26', '']","['4', '']","['3', '']","['0', '']"
12845,r106,All institutions -> U. Houston,All institutions,U. Houston,2,105,"['702', '']","['1', '']","['130', '']","['26', '']","['224', '']","['41', '']","['90', '']","['3', '']","['7', '']","['154', '']","['21', '']","['5', '']","['0', '']"
12845,r107,"All institutions -> CUNY, City C.",All institutions,"CUNY, City C.",2,106,"['695', '']","['0', '']","['124', '']","['37', '']","['141', '']","['19', '']","['35', '']","['11', '']","['0', '']","['261', '']","['30', '']","['36', '']","['1', '']"
