table_id,row_id,_b_field_and_demographic_characteristic_b_full_path,_b_field_and_demographic_characteristic_b_level_1,_b_field_and_demographic_characteristic_b_level_2,_b_field_and_demographic_characteristic_b_level_3,_b_field_and_demographic_characteristic_b_level_4,_b_field_and_demographic_characteristic_b_level_5,_b_field_and_demographic_characteristic_b_hierarchy_depth,field_median_age_at_doctorate_years_,field_all_ages,field_25_and_under,field_26_30,field_31_35,field_36_40,field_41_45,field_over_45
11678,r012,Doctorate recipients reporting birth year -> Science and engineering  -> Psychology  ,Doctorate recipients reporting birth year,Science and engineering ,Psychology  ,,,3,31.3,100.0,0.5,45.9,32.7,9.5,4.5,6.8
11678,r013,Doctorate recipients reporting birth year -> Science and engineering  -> Social sciences  ,Doctorate recipients reporting birth year,Science and engineering ,Social sciences  ,,,3,33.1,100.0,0.3,28.3,40.9,17.8,6.5,6.2
11678,r014,Doctorate recipients reporting birth year -> Non-science and engineering,Doctorate recipients reporting birth year,Non-science and engineering,,,,2,35.8,100.0,0.1,17.5,33.2,20.3,12.2,16.7
11678,r015,Doctorate recipients reporting birth year -> Non-science and engineering -> Business,Doctorate recipients reporting birth year,Non-science and engineering,Business,,,3,33.5,100.0,,26.7,37.0,17.1,,11.4
11678,r016,Doctorate recipients reporting birth year -> Non-science and engineering -> Education  ,Doctorate recipients reporting birth year,Non-science and engineering,Education  ,,,3,39.2,100.0,0.1,10.4,24.9,21.3,16.6,26.6
11678,r017,Doctorate recipients reporting birth year -> Non-science and engineering -> Humanities,Doctorate recipients reporting birth year,Non-science and engineering,Humanities,,,3,34.8,100.0,,18.4,39.0,21.4,,11.3
11678,r018,Doctorate recipients reporting birth year -> Non-science and engineering -> Visual and performing arts  ,Doctorate recipients reporting birth year,Non-science and engineering,Visual and performing arts  ,,,3,34.2,100.0,0.0,21.0,41.2,20.0,11.1,6.7
11678,r019,Doctorate recipients reporting birth year -> Non-science and engineering -> Other non-science and engineering,Doctorate recipients reporting birth year,Non-science and engineering,Other non-science and engineering,,,3,35.0,100.0,,21.5,33.6,19.0,,14.4
11678,r020,Doctorate recipients reporting birth year -> Sex,Doctorate recipients reporting birth year,Sex,,,,2,,,,,,,,
11678,r021,Doctorate recipients reporting birth year -> Sex -> Male,Doctorate recipients reporting birth year,Sex,Male,,,3,31.2,100.0,0.7,47.1,32.0,10.9,4.5,4.7
11678,r022,Doctorate recipients reporting birth year -> Sex -> Female,Doctorate recipients reporting birth year,Sex,Female,,,3,31.7,100.0,0.7,43.2,30.1,11.8,5.8,8.4
11678,r023,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",,,,2,,,,,,,,
11678,r024,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,,,3,31.6,100.0,0.8,44.1,27.9,11.9,6.3,9.0
11678,r025,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Hispanic or Latino",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Hispanic or Latino,,4,31.9,100.0,0.4,42.1,29.6,12.3,6.3,9.3
11678,r026,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Not Hispanic or Latino",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Not Hispanic or Latino,,4,,,,,,,,
11678,r027,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Not Hispanic or Latino -> American Indian or Alaska Native",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Not Hispanic or Latino,American Indian or Alaska Native,5,36.2,100.0,,21.9,24.6,21.1,11.4,
11678,r028,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Not Hispanic or Latino -> Asian",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Not Hispanic or Latino,Asian,5,31.0,100.0,1.0,48.1,31.6,9.2,4.7,5.3
11678,r029,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Not Hispanic or Latino -> Black or African American",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Not Hispanic or Latino,Black or African American,5,35.4,100.0,0.6,27.5,23.7,16.1,10.6,21.5
11678,r030,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Not Hispanic or Latino -> White",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Not Hispanic or Latino,White,5,31.4,100.0,0.8,45.7,27.6,11.7,6.0,8.3
11678,r031,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Not Hispanic or Latino -> More than one race",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Not Hispanic or Latino,More than one race,5,30.7,100.0,1.6,51.5,25.5,11.7,4.5,5.2
11678,r032,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Not Hispanic or Latino -> Other race or race not reported",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Not Hispanic or Latino,Other race or race not reported,5,32.5,100.0,,38.8,30.3,15.8,6.5,
11678,r033,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Ethnicity not reported",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Ethnicity not reported,,4,32.3,100.0,0.5,38.1,31.2,10.2,10.6,9.5
11678,r034,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> Temporary visa holder",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",Temporary visa holder,,,3,31.2,100.0,0.7,47.4,37.0,10.3,3.0,1.6
