table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_all_companies,field_provided_designs_or_specifications_for_the_goods_manufactured_by_others,field_did_not_provide_designs_or_specifications_for_the_goods_manufactured_by_others,field_did_not_answer
7483,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['254', '&nbsp;']","['55.7', '&nbsp;']","['44.3', '&nbsp;']","['0.0', '&nbsp;']"
7483,r014,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['563', '&nbsp;']","['48.0', '&nbsp;']","['51.9', '&nbsp;']","['0.0', '&nbsp;']"
7483,r015,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['1,571', '&nbsp;']","['66.6', '&nbsp;']","['33.3', '&nbsp;']","['0.0', '&nbsp;']"
7483,r016,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['520', '&nbsp;']","['72.9', '&nbsp;']","['27.1', '&nbsp;']","['0.0', '&nbsp;']"
7483,r017,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['453', '&nbsp;']","['74.3', '&nbsp;']","['25.7', '&nbsp;']","['0.0', '&nbsp;']"
7483,r018,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['7,484', '&nbsp;']","['56.1', '&nbsp;']","['43.3', '&nbsp;']","['0.6', 'r']"
7483,r019,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['4,410', '&nbsp;']","['63.2', '&nbsp;']","['36.8', '&nbsp;']","['0.0', '&nbsp;']"
7483,r020,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['2,584', '&nbsp;']","['70.0', '&nbsp;']","['30.0', '&nbsp;']","['0.0', '&nbsp;']"
7483,r021,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['310', '&nbsp;']","['74.9', '&nbsp;']","['25.1', '&nbsp;']","['0.0', '&nbsp;']"
7483,r022,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['770', '&nbsp;']","['68.5', '&nbsp;']","['31.5', '&nbsp;']","['0.0', '&nbsp;']"
7483,r023,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['1,046', '&nbsp;']","['68.4', '&nbsp;']","['31.5', '&nbsp;']","['0.1', 'r']"
7483,r024,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['457', '&nbsp;']","['72.8', '&nbsp;']","['27.2', '&nbsp;']","['0.0', '&nbsp;']"
7483,r025,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['878', '&nbsp;']","['67.9', '&nbsp;']","['32.0', '&nbsp;']","['0.0', '&nbsp;']"
7483,r026,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['1,486', '&nbsp;']","['61.9', '&nbsp;']","['37.8', '&nbsp;']","['0.3', 'r']"
7483,r027,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['936', '&nbsp;']","['64.4', '&nbsp;']","['35.5', '&nbsp;']","['0.2', 'r']"
7483,r028,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['249', '&nbsp;']","['42.0', '&nbsp;']","['57.2', '&nbsp;']","['0.8', 'r']"
7483,r029,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['302', '&nbsp;']","['70.5', '&nbsp;']","['29.5', '&nbsp;']","['0.0', '&nbsp;']"
7483,r030,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['1,570', '&nbsp;']","['61.0', '&nbsp;']","['39.0', '&nbsp;']","['0.0', '&nbsp;']"
7483,r031,All industries -> Manufacturing industries -> Miscellaneous ,All industries,Manufacturing industries,Miscellaneous ,,,3,339,"['3,635', '&nbsp;']","['68.3', '&nbsp;']","['31.6', '&nbsp;']","['0.0', '&nbsp;']"
7483,r032,All industries -> Manufacturing industries -> Miscellaneous  -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous ,Medical equipment and supplies ,,4,3391,"['1,312', '&nbsp;']","['71.6', '&nbsp;']","['28.4', '&nbsp;']","['0.0', '&nbsp;']"
7483,r033,All industries -> Manufacturing industries -> Miscellaneous  -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous ,Other miscellaneous manufacturing,,4,3399,"['2,321', '&nbsp;']","['66.6', '&nbsp;']","['33.5', '&nbsp;']","['0.0', '&nbsp;']"
7483,r034,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"11, 21–23, 42–81","['152,439', '&nbsp;']","['56.8', '&nbsp;']","['43.0', '&nbsp;']","['0.2', '&nbsp;']"
7483,r035,"All industries -> Nonmanufacturing industries -> Agriculture, forestry, fishing, and hunting",All industries,Nonmanufacturing industries,"Agriculture, forestry, fishing, and hunting",,,3,11,"['430', '&nbsp;']","['54.8', '&nbsp;']","['45.2', '&nbsp;']","['0.0', '&nbsp;']"
7483,r036,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['303', '&nbsp;']","['63.7', '&nbsp;']","['36.3', '&nbsp;']","['0.0', '&nbsp;']"
7483,r037,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['30', '&nbsp;']","['61.3', 'r']","['38.7', 'r']","['0.0', '&nbsp;']"
7483,r038,All industries -> Nonmanufacturing industries -> Construction,All industries,Nonmanufacturing industries,Construction,,,3,23,"['17,183', '&nbsp;']","['50.6', '&nbsp;']","['48.9', '&nbsp;']","['0.5', 'r']"
7483,r039,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['46,723', '&nbsp;']","['59.8', '&nbsp;']","['39.9', '&nbsp;']","['0.3', '&nbsp;']"
7483,r040,All industries -> Nonmanufacturing industries -> Retail trade,All industries,Nonmanufacturing industries,Retail trade,,,3,44–45,"['32,562', '&nbsp;']","['56.0', '&nbsp;']","['44.0', '&nbsp;']","['0.0', '&nbsp;']"
7483,r041,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['1,971', '&nbsp;']","['39.2', '&nbsp;']","['58.6', '&nbsp;']","['2.2', 'r']"
7483,r042,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['3,606', '&nbsp;']","['65.3', '&nbsp;']","['34.5', '&nbsp;']","['0.3', 'r']"
7483,r043,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['2,493', '&nbsp;']","['60.0', '&nbsp;']","['39.5', '&nbsp;']","['0.4', 'r']"
7483,r044,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['1,887', '&nbsp;']","['63.4', '&nbsp;']","['36.5', '&nbsp;']","['0.0', '&nbsp;']"
7483,r045,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['605', '&nbsp;']","['49.4', '&nbsp;']","['48.6', '&nbsp;']","['1.8', 'r']"
7483,r046,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['184', '&nbsp;']","['60.1', '&nbsp;']","['39.9', '&nbsp;']","['0.0', '&nbsp;']"
7483,r047,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['306', '&nbsp;']","['82.3', '&nbsp;']","['17.7', '&nbsp;']","['0.0', '&nbsp;']"
7483,r048,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['624', '&nbsp;']","['79.0', '&nbsp;']","['21.0', '&nbsp;']","['0.0', '&nbsp;']"
7483,r049,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['1,008', '&nbsp;']","['47.6', '&nbsp;']","['52.5', '&nbsp;']","['0.0', '&nbsp;']"
7483,r050,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['2,619', '&nbsp;']","['45.7', '&nbsp;']","['54.2', '&nbsp;']","['0.0', '&nbsp;']"
7483,r051,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets <br>  (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets <br>  (except copyrighted works),,4,533,"['96', 'r']","['100.0', '&nbsp;']","['0.0', '&nbsp;']","['0.0', '&nbsp;']"
7483,r052,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['2,521', '&nbsp;']","['43.6', '&nbsp;']","['56.3', '&nbsp;']","['0.0', '&nbsp;']"
7483,r053,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['17,902', '&nbsp;']","['64.9', '&nbsp;']","['35.1', '&nbsp;']","['0.0', '&nbsp;']"
7483,r054,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Legal services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Legal services,,4,5411,"['451', '&nbsp;']","['32.4', 'r']","['67.6', '&nbsp;']","['0.0', '&nbsp;']"
7483,r055,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Accounting, tax preparation, bookkeeping, and payroll services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Accounting, tax preparation, bookkeeping, and payroll services",,4,5412,"['96', 'r']","['46.9', 'r']","['53.1', 'r']","['0.0', '&nbsp;']"
7483,r056,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['2,878', '&nbsp;']","['75.1', '&nbsp;']","['24.9', '&nbsp;']","['0.0', '&nbsp;']"
7483,r057,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Specialized design services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Specialized design services,,4,5414,"['2,586', '&nbsp;']","['81.7', '&nbsp;']","['18.4', '&nbsp;']","['0.0', '&nbsp;']"
7483,r058,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['1,818', '&nbsp;']","['66.2', '&nbsp;']","['33.8', '&nbsp;']","['0.0', '&nbsp;']"
7483,r059,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Management, scientific, and technical consulting services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Management, scientific, and technical consulting services",,4,5416,"['4,237', '&nbsp;']","['54.0', '&nbsp;']","['46.0', '&nbsp;']","['0.0', '&nbsp;']"
7483,r060,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['1,611', '&nbsp;']","['76.7', '&nbsp;']","['23.3', '&nbsp;']","['0.0', '&nbsp;']"
7483,r061,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Advertising, public relations, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Advertising, public relations, and related services",,4,5418,"['2,545', '&nbsp;']","['56.8', '&nbsp;']","['43.2', '&nbsp;']","['0.0', '&nbsp;']"
7483,r062,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,5419,"['1,679', '&nbsp;']","['58.4', '&nbsp;']","['41.6', '&nbsp;']","['0.0', '&nbsp;']"
7483,r063,All industries -> Nonmanufacturing industries -> Management of companies and enterprises,All industries,Nonmanufacturing industries,Management of companies and enterprises,,,3,55,"['145', '&nbsp;']","['41.4', 'r']","['58.6', 'r']","['0.0', '&nbsp;']"
7483,r064,All industries -> Nonmanufacturing industries -> Administrative and support and waste management and remediation services,All industries,Nonmanufacturing industries,Administrative and support and waste management and remediation services,,,3,56,"['3,503', '&nbsp;']","['41.4', '&nbsp;']","['58.6', '&nbsp;']","['0.0', '&nbsp;']"
7483,r065,All industries -> Nonmanufacturing industries -> Educational services,All industries,Nonmanufacturing industries,Educational services,,,3,61,"['1,407', '&nbsp;']","['60.0', '&nbsp;']","['40.0', '&nbsp;']","['0.0', '&nbsp;']"
7483,r066,All industries -> Nonmanufacturing industries -> Health care and social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,,,3,62,"['8,374', '&nbsp;']","['62.7', '&nbsp;']","['36.8', '&nbsp;']","['0.5', 'r']"
7483,r067,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Health care services,All industries,Nonmanufacturing industries,Health care and social assistance,Health care services,,4,621–23,"['8,077', '&nbsp;']","['63.4', '&nbsp;']","['36.0', '&nbsp;']","['0.5', 'r']"
7483,r068,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,Social assistance,,4,624,"['297', '&nbsp;']","['42.8', '&nbsp;']","['57.2', '&nbsp;']","['0.0', '&nbsp;']"
7483,r069,"All industries -> Nonmanufacturing industries -> Arts, entertainment, and recreation",All industries,Nonmanufacturing industries,"Arts, entertainment, and recreation",,,3,71,"['2,176', '&nbsp;']","['61.6', '&nbsp;']","['38.4', '&nbsp;']","['0.0', '&nbsp;']"
7483,r070,All industries -> Nonmanufacturing industries -> Accommodation and food services,All industries,Nonmanufacturing industries,Accommodation and food services,,,3,72,"['6,063', '&nbsp;']","['51.1', '&nbsp;']","['48.0', '&nbsp;']","['0.9', 'r']"
7483,r071,All industries -> Nonmanufacturing industries -> Other services,All industries,Nonmanufacturing industries,Other services,,,3,81,"['6,436', '&nbsp;']","['42.6', '&nbsp;']","['57.4', '&nbsp;']","['0.0', '&nbsp;']"
