table_id,row_id,_b_citizenship_ethnicity_and_race_b_full_path,_b_citizenship_ethnicity_and_race_b_level_1,_b_citizenship_ethnicity_and_race_b_level_2,_b_citizenship_ethnicity_and_race_b_level_3,_b_citizenship_ethnicity_and_race_b_level_4,_b_citizenship_ethnicity_and_race_b_level_5,_b_citizenship_ethnicity_and_race_b_hierarchy_depth,field_total,field_male,field_female
3454,r011,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,5,3.9,3.7,4.0
3454,r012,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,4,8.5,8.0,9.2
3454,r013,Imputation rate (%) -> Temporary visa holders,Imputation rate (%),Temporary visa holders,,,,2,4.6,5.0,4.5
3454,r014,Number imputed<sup>b</sup>,Number imputed<sup>b</sup>,,,,,1,,,
3454,r015,Number imputed<sup>b</sup> -> All postdoctoral appointees,Number imputed<sup>b</sup>,All postdoctoral appointees,,,,2,2986,2049,1423
3454,r016,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup>,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,,,3,,,
3454,r017,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,4,168,81,87
3454,r018,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,4,,,
3454,r019,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,5,8,2,6
3454,r020,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,5,671,400,271
3454,r021,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,5,69,25,44
3454,r022,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,1,0,1
3454,r023,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,5,1239,653,586
3454,r024,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,5,20,9,11
3454,r025,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,4,249,129,121
3454,r026,Number imputed<sup>b</sup> -> All postdoctoral appointees -> Temporary visa holders,Number imputed<sup>b</sup>,All postdoctoral appointees,Temporary visa holders,,,3,1691,1185,597
