table_id,row_id,sex_and_major_field_of_study_full_path,sex_and_major_field_of_study_level_1,sex_and_major_field_of_study_level_2,sex_and_major_field_of_study_level_3,sex_and_major_field_of_study_level_4,sex_and_major_field_of_study_hierarchy_depth,field_all_recipients,field_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
1777,r011,All doctorate recipients<sup>c</sup> -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>c</sup>,Mathematics and computer sciences,Computer and information sciences,,3,2004,1370,1243,233,258,682,70,127,0
1777,r012,All doctorate recipients<sup>c</sup> -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>c</sup>,Mathematics and computer sciences,Mathematics and statistics,,3,2026,1405,1200,489,272,371,68,205,0
1777,r013,All doctorate recipients<sup>c</sup> -> Psychology and social sciences,All doctorate recipients<sup>c</sup>,Psychology and social sciences,,,2,8899,5880,5140,2068,1673,650,749,737,3
1777,r014,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Psychology,,3,3837,2581,2477,1460,438,283,296,103,1
1777,r015,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Anthropology,,3,424,233,189,77,76,16,20,43,1
1777,r016,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Economics,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Economics,,3,1247,940,667,105,285,179,98,273,0
1777,r017,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Political science and government,,3,734,494,411,127,191,33,60,83,0
1777,r018,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Sociology,,3,669,444,402,102,232,24,44,42,0
1777,r019,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Other social sciences,,3,1988,1188,994,197,451,115,231,193,1
1777,r020,All doctorate recipients<sup>c</sup> -> Engineering,All doctorate recipients<sup>c</sup>,Engineering,,,2,10183,6109,5507,1881,466,2699,461,598,4
1777,r021,"All doctorate recipients<sup>c</sup> -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>c</sup>,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,383,245,228,64,23,85,56,16,1
1777,r022,All doctorate recipients<sup>c</sup> -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>c</sup>,Engineering,Bioengineering and biomedical engineering,,3,1134,634,577,326,42,186,23,57,0
1777,r023,All doctorate recipients<sup>c</sup> -> Engineering -> Chemical engineering,All doctorate recipients<sup>c</sup>,Engineering,Chemical engineering,,3,981,551,513,188,18,284,23,37,1
1777,r024,All doctorate recipients<sup>c</sup> -> Engineering -> Civil engineering,All doctorate recipients<sup>c</sup>,Engineering,Civil engineering,,3,677,396,336,135,44,127,30,59,1
1777,r025,"All doctorate recipients<sup>c</sup> -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>c</sup>,Engineering,"Electrical, electronics, and communications engineering",,3,1951,1289,1180,264,66,756,94,109,0
1777,r026,All doctorate recipients<sup>c</sup> -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>c</sup>,Engineering,Industrial and manufacturing engineering,,3,272,166,141,28,36,65,12,25,0
1777,r027,All doctorate recipients<sup>c</sup> -> Engineering -> Materials science engineering,All doctorate recipients<sup>c</sup>,Engineering,Materials science engineering,,3,995,561,513,211,23,247,32,48,0
1777,r028,All doctorate recipients<sup>c</sup> -> Engineering -> Mechanical engineering,All doctorate recipients<sup>c</sup>,Engineering,Mechanical engineering,,3,1504,862,784,289,85,341,69,78,0
1777,r029,All doctorate recipients<sup>c</sup> -> Engineering -> Other engineering,All doctorate recipients<sup>c</sup>,Engineering,Other engineering,,3,2286,1405,1235,376,129,608,122,169,1
1777,r030,All doctorate recipients<sup>c</sup> -> Education,All doctorate recipients<sup>c</sup>,Education,,,2,4834,3121,2913,257,1468,172,1016,207,1
1777,r031,All doctorate recipients<sup>c</sup> -> Education -> Education administration,All doctorate recipients<sup>c</sup>,Education,Education administration,,3,898,583,558,16,238,26,278,25,0
1777,r032,All doctorate recipients<sup>c</sup> -> Education -> Education research,All doctorate recipients<sup>c</sup>,Education,Education research,,3,2507,1628,1518,168,755,106,489,109,1
1777,r033,All doctorate recipients<sup>c</sup> -> Education -> Teacher education,All doctorate recipients<sup>c</sup>,Education,Teacher education,,3,97,60,,,29,8,19,,0
1777,r034,All doctorate recipients<sup>c</sup> -> Education -> Teaching fields,All doctorate recipients<sup>c</sup>,Education,Teaching fields,,3,963,654,594,50,360,22,162,60,0
1777,r035,All doctorate recipients<sup>c</sup> -> Education -> Other education,All doctorate recipients<sup>c</sup>,Education,Other education,,3,369,196,,,86,10,68,,0
1777,r036,All doctorate recipients<sup>c</sup> -> Humanities and arts,All doctorate recipients<sup>c</sup>,Humanities and arts,,,2,5145,2742,2437,444,1485,137,371,303,2
1777,r037,All doctorate recipients<sup>c</sup> -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>c</sup>,Humanities and arts,Foreign languages and literature,,3,617,346,305,52,212,7,34,41,0
1777,r038,All doctorate recipients<sup>c</sup> -> Humanities and arts -> History,All doctorate recipients<sup>c</sup>,Humanities and arts,History,,3,948,510,441,124,229,18,70,67,2
1777,r039,All doctorate recipients<sup>c</sup> -> Humanities and arts -> Letters,All doctorate recipients<sup>c</sup>,Humanities and arts,Letters,,3,1442,787,725,110,505,43,67,62,0
1777,r040,All doctorate recipients<sup>c</sup> -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>c</sup>,Humanities and arts,Other humanities and arts,,3,2138,1099,966,158,539,69,200,133,0
1777,r041,All doctorate recipients<sup>c</sup> -> Other<sup>d</sup>,All doctorate recipients<sup>c</sup>,Other<sup>d</sup>,,,2,2989,1958,1672,150,1148,176,198,285,1
1777,r042,All doctorate recipients<sup>c</sup> -> Other<sup>d</sup> -> Business management and administration,All doctorate recipients<sup>c</sup>,Other<sup>d</sup>,Business management and administration,,3,1481,1063,867,51,640,106,70,195,1
1777,r043,All doctorate recipients<sup>c</sup> -> Other<sup>d</sup> -> Communication,All doctorate recipients<sup>c</sup>,Other<sup>d</sup>,Communication,,3,631,395,363,38,274,31,20,32,0
1777,r044,All doctorate recipients<sup>c</sup> -> Other<sup>d</sup> -> Non-S&E fields nec,All doctorate recipients<sup>c</sup>,Other<sup>d</sup>,Non-S&E fields nec,,3,877,500,442,61,234,39,108,58,0
1777,r045,All doctorate recipients<sup>c</sup> -> Male,All doctorate recipients<sup>c</sup>,Male,,,2,29798,18786,16515,6354,3738,4688,1735,2265,6
1777,r046,All doctorate recipients<sup>c</sup> -> Male -> Life sciences,All doctorate recipients<sup>c</sup>,Male,Life sciences,,3,5659,3511,3193,2085,394,507,207,317,1
1777,r047,All doctorate recipients<sup>c</sup> -> Male -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>c</sup>,Male,Life sciences,Agricultural sciences and natural resources,4,746,476,377,196,64,75,42,99,0
1777,r048,All doctorate recipients<sup>c</sup> -> Male -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>c</sup>,Male,Life sciences,Biological and biomedical sciences,4,4089,2495,2332,1687,177,349,119,162,1
1777,r049,All doctorate recipients<sup>c</sup> -> Male -> Life sciences -> Health sciences,All doctorate recipients<sup>c</sup>,Male,Life sciences,Health sciences,4,824,540,484,202,153,83,46,56,0
1777,r050,All doctorate recipients<sup>c</sup> -> Male -> Physical sciences and earth sciences,All doctorate recipients<sup>c</sup>,Male,Physical sciences and earth sciences,,3,4214,2668,2335,1321,157,724,133,333,0
1777,r051,All doctorate recipients<sup>c</sup> -> Male -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>c</sup>,Male,Physical sciences and earth sciences,Chemistry,4,1743,1087,986,556,66,321,43,101,0
1777,r052,"All doctorate recipients<sup>c</sup> -> Male -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>c</sup>,Male,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",4,659,425,363,232,35,61,35,62,0
1777,r053,All doctorate recipients<sup>c</sup> -> Male -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>c</sup>,Male,Physical sciences and earth sciences,Physics and astronomy,4,1812,1156,986,533,56,342,55,170,0
1777,r054,All doctorate recipients<sup>c</sup> -> Male -> Mathematics and computer sciences,All doctorate recipients<sup>c</sup>,Male,Mathematics and computer sciences,,3,3043,2097,1845,541,379,823,102,252,0
1777,r055,All doctorate recipients<sup>c</sup> -> Male -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>c</sup>,Male,Mathematics and computer sciences,Computer and information sciences,4,1568,1075,975,176,193,553,53,100,0
1777,r056,All doctorate recipients<sup>c</sup> -> Male -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>c</sup>,Male,Mathematics and computer sciences,Mathematics and statistics,4,1475,1022,870,365,186,270,49,152,0
1777,r057,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,,3,3641,2473,2035,642,737,316,340,437,1
1777,r058,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Psychology,4,1097,740,698,356,150,99,93,42,0
1777,r059,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Anthropology,4,126,70,50,25,16,7,2,19,1
1777,r060,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Economics,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Economics,4,850,650,452,82,186,118,66,198,0
1777,r061,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Political science and government,4,429,290,233,72,105,19,37,57,0
1777,r062,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Sociology,4,250,167,153,33,96,10,14,14,0
1777,r063,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Other social sciences,4,889,556,449,74,184,63,128,107,0
1777,r064,All doctorate recipients<sup>c</sup> -> Male -> Engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,,3,7726,4713,4211,1422,346,2100,343,499,3
1777,r065,"All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>c</sup>,Male,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,337,217,200,,17,,50,16,1
1777,r066,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Bioengineering and biomedical engineering,4,688,391,352,201,32,107,12,39,0
1777,r067,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Chemical engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Chemical engineering,4,688,387,354,139,,,17,32,1
1777,r068,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Civil engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Civil engineering,4,507,311,,,32,104,19,,0
1777,r069,"All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>c</sup>,Male,Engineering,"Electrical, electronics, and communications engineering",4,1606,1069,970,213,49,632,76,99,0
1777,r070,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Industrial and manufacturing engineering,4,204,124,,18,,50,6,,0
1777,r071,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Materials science engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Materials science engineering,4,720,417,375,161,14,179,21,42,0
1777,r072,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Mechanical engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Mechanical engineering,4,1286,739,673,244,69,302,58,66,0
1777,r073,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Other engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Other engineering,4,1690,1058,927,282,92,469,84,130,1
1777,r074,All doctorate recipients<sup>c</sup> -> Male -> Education,All doctorate recipients<sup>c</sup>,Male,Education,,3,1496,988,906,71,482,44,309,82,0
1777,r075,All doctorate recipients<sup>c</sup> -> Male -> Education -> Education administration,All doctorate recipients<sup>c</sup>,Male,Education,Education administration,4,323,214,205,6,84,12,103,9,0
1777,r076,All doctorate recipients<sup>c</sup> -> Male -> Education -> Education research,All doctorate recipients<sup>c</sup>,Male,Education,Education research,4,764,508,464,49,260,20,135,44,0
1777,r077,All doctorate recipients<sup>c</sup> -> Male -> Education -> Teacher education,All doctorate recipients<sup>c</sup>,Male,Education,Teacher education,4,18,13,,,,,5,,0
1777,r078,All doctorate recipients<sup>c</sup> -> Male -> Education -> Teaching fields,All doctorate recipients<sup>c</sup>,Male,Education,Teaching fields,4,272,188,165,,109,,42,23,0
1777,r079,All doctorate recipients<sup>c</sup> -> Male -> Education -> Other education,All doctorate recipients<sup>c</sup>,Male,Education,Other education,4,119,65,,5,,,24,,0
1777,r080,All doctorate recipients<sup>c</sup> -> Male -> Humanities and arts,All doctorate recipients<sup>c</sup>,Male,Humanities and arts,,3,2567,1343,1174,206,682,72,214,168,1
1777,r081,All doctorate recipients<sup>c</sup> -> Male -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>c</sup>,Male,Humanities and arts,Foreign languages and literature,4,247,147,129,,85,,15,18,0
1777,r082,All doctorate recipients<sup>c</sup> -> Male -> Humanities and arts -> History,All doctorate recipients<sup>c</sup>,Male,Humanities and arts,History,4,513,265,228,63,116,6,43,36,1
1777,r083,All doctorate recipients<sup>c</sup> -> Male -> Humanities and arts -> Letters,All doctorate recipients<sup>c</sup>,Male,Humanities and arts,Letters,4,585,319,286,35,204,18,29,33,0
1777,r084,All doctorate recipients<sup>c</sup> -> Male -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>c</sup>,Male,Humanities and arts,Other humanities and arts,4,1222,612,531,,277,,127,81,0
1777,r085,All doctorate recipients<sup>c</sup> -> Male -> Other<sup>d</sup>,All doctorate recipients<sup>c</sup>,Male,Other<sup>d</sup>,,3,1452,993,816,66,561,102,87,177,0
1777,r086,All doctorate recipients<sup>c</sup> -> Male -> Other<sup>d</sup> -> Business management and administration,All doctorate recipients<sup>c</sup>,Male,Other<sup>d</sup>,Business management and administration,4,869,647,518,29,381,72,36,129,0
1777,r087,All doctorate recipients<sup>c</sup> -> Male -> Other<sup>d</sup> -> Communication,All doctorate recipients<sup>c</sup>,Male,Other<sup>d</sup>,Communication,4,234,140,123,11,92,11,9,17,0
1777,r088,All doctorate recipients<sup>c</sup> -> Male -> Other<sup>d</sup> -> Non-S&E fields nec,All doctorate recipients<sup>c</sup>,Male,Other<sup>d</sup>,Non-S&E fields nec,4,349,206,175,26,88,19,42,31,0
1777,r089,All doctorate recipients<sup>c</sup> -> Female,All doctorate recipients<sup>c</sup>,Female,,,2,25368,15503,14247,5486,4434,2279,2048,1249,7
1777,r090,All doctorate recipients<sup>c</sup> -> Female -> Life sciences,All doctorate recipients<sup>c</sup>,Female,Life sciences,,3,7114,4243,3977,2268,725,548,436,266,0
1777,r091,All doctorate recipients<sup>c</sup> -> Female -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>c</sup>,Female,Life sciences,Agricultural sciences and natural resources,4,696,389,331,142,73,61,55,58,0
1777,r092,All doctorate recipients<sup>c</sup> -> Female -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>c</sup>,Female,Life sciences,Biological and biomedical sciences,4,4709,2813,2662,1805,288,389,180,151,0
1777,r093,All doctorate recipients<sup>c</sup> -> Female -> Life sciences -> Health sciences,All doctorate recipients<sup>c</sup>,Female,Life sciences,Health sciences,4,1709,1041,984,321,364,98,201,57,0
1777,r094,All doctorate recipients<sup>c</sup> -> Female -> Physical sciences and earth sciences,All doctorate recipients<sup>c</sup>,Female,Physical sciences and earth sciences,,3,2118,1282,1145,644,126,301,74,136,1
1777,r095,All doctorate recipients<sup>c</sup> -> Female -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>c</sup>,Female,Physical sciences and earth sciences,Chemistry,4,1067,609,564,277,63,193,31,45,0
1777,r096,"All doctorate recipients<sup>c</sup> -> Female -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>c</sup>,Female,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",4,526,326,296,188,41,36,31,30,0
1777,r097,All doctorate recipients<sup>c</sup> -> Female -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>c</sup>,Female,Physical sciences and earth sciences,Physics and astronomy,4,525,347,285,179,22,72,12,61,1
1777,r098,All doctorate recipients<sup>c</sup> -> Female -> Mathematics and computer sciences,All doctorate recipients<sup>c</sup>,Female,Mathematics and computer sciences,,3,983,678,598,181,151,230,36,80,0
1777,r099,All doctorate recipients<sup>c</sup> -> Female -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>c</sup>,Female,Mathematics and computer sciences,Computer and information sciences,4,435,295,268,57,65,129,17,27,0
1777,r100,All doctorate recipients<sup>c</sup> -> Female -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>c</sup>,Female,Mathematics and computer sciences,Mathematics and statistics,4,548,383,330,124,86,101,19,53,0
1777,r101,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,,3,5256,3407,3105,1426,936,334,409,300,2
1777,r102,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Psychology,4,2740,1841,1779,1104,288,184,203,61,1
1777,r103,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Anthropology,4,298,163,139,52,60,9,18,24,0
1777,r104,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Economics,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Economics,4,397,290,215,23,99,61,32,75,0
1777,r105,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Political science and government,4,304,204,178,55,86,14,23,26,0
1777,r106,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Sociology,4,419,277,249,69,136,14,30,28,0
1777,r107,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Other social sciences,4,1098,632,545,123,267,52,103,86,1
1777,r108,All doctorate recipients<sup>c</sup> -> Female -> Engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,,3,2453,1396,1296,459,120,599,118,99,1
1777,r109,"All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>c</sup>,Female,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,46,28,28,,6,,6,0,0
1777,r110,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Bioengineering and biomedical engineering,4,445,243,225,125,10,79,11,18,0
1777,r111,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Chemical engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Chemical engineering,4,293,164,159,49,,,6,5,0
1777,r112,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Civil engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Civil engineering,4,170,85,,,12,23,11,,1
1777,r113,"All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>c</sup>,Female,Engineering,"Electrical, electronics, and communications engineering",4,345,220,210,51,17,124,18,10,0
1777,r114,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Industrial and manufacturing engineering,4,68,42,,10,,15,6,,0
1777,r115,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Materials science engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Materials science engineering,4,275,144,138,50,9,68,11,6,0
1777,r116,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Mechanical engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Mechanical engineering,4,216,123,111,45,16,39,11,12,0
1777,r117,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Other engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Other engineering,4,595,347,308,94,37,139,38,39,0
1777,r118,All doctorate recipients<sup>c</sup> -> Female -> Education,All doctorate recipients<sup>c</sup>,Female,Education,,3,3337,2133,2007,186,986,128,707,125,1
1777,r119,All doctorate recipients<sup>c</sup> -> Female -> Education -> Education administration,All doctorate recipients<sup>c</sup>,Female,Education,Education administration,4,575,369,353,10,154,14,175,16,0
1777,r120,All doctorate recipients<sup>c</sup> -> Female -> Education -> Education research,All doctorate recipients<sup>c</sup>,Female,Education,Education research,4,1742,1120,1054,119,495,86,354,65,1
1777,r121,All doctorate recipients<sup>c</sup> -> Female -> Education -> Teacher education,All doctorate recipients<sup>c</sup>,Female,Education,Teacher education,4,79,47,,,,,14,,0
1777,r122,All doctorate recipients<sup>c</sup> -> Female -> Education -> Teaching fields,All doctorate recipients<sup>c</sup>,Female,Education,Teaching fields,4,691,466,429,,251,,120,37,0
1777,r123,All doctorate recipients<sup>c</sup> -> Female -> Education -> Other education,All doctorate recipients<sup>c</sup>,Female,Education,Other education,4,250,131,,,,,44,,0
1777,r124,All doctorate recipients<sup>c</sup> -> Female -> Humanities and arts,All doctorate recipients<sup>c</sup>,Female,Humanities and arts,,3,2575,1399,1263,238,803,65,157,135,1
1777,r125,All doctorate recipients<sup>c</sup> -> Female -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>c</sup>,Female,Humanities and arts,Foreign languages and literature,4,370,199,176,,127,,19,23,0
1777,r126,All doctorate recipients<sup>c</sup> -> Female -> Humanities and arts -> History,All doctorate recipients<sup>c</sup>,Female,Humanities and arts,History,4,435,245,213,61,113,12,27,31,1
1777,r127,All doctorate recipients<sup>c</sup> -> Female -> Humanities and arts -> Letters,All doctorate recipients<sup>c</sup>,Female,Humanities and arts,Letters,4,856,468,439,75,301,25,38,29,0
1777,r128,All doctorate recipients<sup>c</sup> -> Female -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>c</sup>,Female,Humanities and arts,Other humanities and arts,4,914,487,435,,262,,73,52,0
1777,r129,All doctorate recipients<sup>c</sup> -> Female -> Other<sup>d</sup>,All doctorate recipients<sup>c</sup>,Female,Other<sup>d</sup>,,3,1532,965,856,84,587,74,111,108,1
1777,r130,All doctorate recipients<sup>c</sup> -> Female -> Other<sup>d</sup> -> Business management and administration,All doctorate recipients<sup>c</sup>,Female,Other<sup>d</sup>,Business management and administration,4,609,416,349,22,259,34,34,66,1
1777,r131,All doctorate recipients<sup>c</sup> -> Female -> Other<sup>d</sup> -> Communication,All doctorate recipients<sup>c</sup>,Female,Other<sup>d</sup>,Communication,4,396,255,240,27,182,20,11,15,0
1777,r132,All doctorate recipients<sup>c</sup> -> Female -> Other<sup>d</sup> -> Non-S&E fields nec,All doctorate recipients<sup>c</sup>,Female,Other<sup>d</sup>,Non-S&E fields nec,4,527,294,267,35,146,20,66,27,0
