table_id,row_id,state_and_department_or_agency_full_path,state_and_department_or_agency_level_1,state_and_department_or_agency_level_2,state_and_department_or_agency_level_3,state_and_department_or_agency_hierarchy_depth,field_all_r_d_expenditures,field_agriculture,field_energy,field_environment_and_natural_resources,field_health,field_transportation,field_othera
2469,r024,United States<sup>b</sup> -> Arkansas -> Beef Council,United States<sup>b</sup>,Arkansas,Beef Council,3,40250,40250,0,0,0,0,0
2469,r025,United States<sup>b</sup> -> Arkansas -> Corn and Grain Sorghum Board,United States<sup>b</sup>,Arkansas,Corn and Grain Sorghum Board,3,965000,965000,0,0,0,0,0
2469,r026,United States<sup>b</sup> -> Arkansas -> Economic Development Commission,United States<sup>b</sup>,Arkansas,Economic Development Commission,3,7068797,97155,852718,1623779,3477448,50000,967697
2469,r027,United States<sup>b</sup> -> Arkansas -> Game and Fish Commission,United States<sup>b</sup>,Arkansas,Game and Fish Commission,3,802324,0,0,802324,0,0,0
2469,r028,United States<sup>b</sup> -> Arkansas -> Rice Research and Promotion Board,United States<sup>b</sup>,Arkansas,Rice Research and Promotion Board,3,8623500,8623500,0,0,0,0,0
2469,r029,United States<sup>b</sup> -> Arkansas -> Soybean Promotion Board,United States<sup>b</sup>,Arkansas,Soybean Promotion Board,3,2625555,2625555,0,0,0,0,0
2469,r030,United States<sup>b</sup> -> Arkansas -> State Plant Board,United States<sup>b</sup>,Arkansas,State Plant Board,3,118000,118000,0,0,0,0,0
2469,r031,"United States<sup>b</sup> -> Arkansas -> Transportation, Department of",United States<sup>b</sup>,Arkansas,"Transportation, Department of",3,805437,0,0,0,0,805437,0
2469,r032,United States<sup>b</sup> -> Arkansas -> Wheat Promotion Board,United States<sup>b</sup>,Arkansas,Wheat Promotion Board,3,50000,50000,0,0,0,0,0
2469,r033,United States<sup>b</sup> -> California,United States<sup>b</sup>,California,,2,526918585,7004454,202262559,40709827,225535054,34906443,16500248
2469,r034,United States<sup>b</sup> -> California -> Air Resources Board,United States<sup>b</sup>,California,Air Resources Board,3,15271608,0,0,15271608,0,0,0
2469,r035,United States<sup>b</sup> -> California -> Children and Families Commission,United States<sup>b</sup>,California,Children and Families Commission,3,1895000,0,0,0,850000,0,1045000
2469,r036,"United States<sup>b</sup> -> California -> Conservation, Department of",United States<sup>b</sup>,California,"Conservation, Department of",3,184000,0,0,184000,0,0,0
2469,r037,"United States<sup>b</sup> -> California -> Corrections and Rehabilitation, Department of",United States<sup>b</sup>,California,"Corrections and Rehabilitation, Department of",3,2237305,0,0,0,0,0,2237305
2469,r038,United States<sup>b</sup> -> California -> Covered California,United States<sup>b</sup>,California,Covered California,3,3489452,0,0,0,3489452,0,0
2469,r039,United States<sup>b</sup> -> California -> Delta Stewardship Council,United States<sup>b</sup>,California,Delta Stewardship Council,3,6372069,0,0,6372069,0,0,0
2469,r040,United States<sup>b</sup> -> California -> Earthquake Authority,United States<sup>b</sup>,California,Earthquake Authority,3,1816792,0,0,0,0,0,1816792
2469,r041,United States<sup>b</sup> -> California -> Energy Commission,United States<sup>b</sup>,California,Energy Commission,3,165441000,0,165441000,0,0,0,0
2469,r042,"United States<sup>b</sup> -> California -> Environmental Health Hazard Assessment, Office of",United States<sup>b</sup>,California,"Environmental Health Hazard Assessment, Office of",3,17563188,0,0,0,17563188,0,0
2469,r043,"United States<sup>b</sup> -> California -> Food and Agriculture, Department of",United States<sup>b</sup>,California,"Food and Agriculture, Department of",3,4871361,4871361,0,0,0,0,0
2469,r044,"United States<sup>b</sup> -> California -> Forestry and Fire Protection, Department of",United States<sup>b</sup>,California,"Forestry and Fire Protection, Department of",3,3665406,0,0,3665406,0,0,0
2469,r045,United States<sup>b</sup> -> California -> Horse Racing Board,United States<sup>b</sup>,California,Horse Racing Board,3,701000,0,0,0,701000,0,0
2469,r046,United States<sup>b</sup> -> California -> Housing and Community Development,United States<sup>b</sup>,California,Housing and Community Development,3,50000,0,0,0,0,0,50000
2469,r047,United States<sup>b</sup> -> California -> Institute for Regenerative Medicine,United States<sup>b</sup>,California,Institute for Regenerative Medicine,3,184982872,0,0,0,184982872,0,0
2469,r048,United States<sup>b</sup> -> California -> Mental Health Services Oversight and Accountability Commission,United States<sup>b</sup>,California,Mental Health Services Oversight and Accountability Commission,3,2500000,0,0,0,2500000,0,0
2469,r049,"United States<sup>b</sup> -> California -> Motor Vehicles, Department of",United States<sup>b</sup>,California,"Motor Vehicles, Department of",3,1331851,0,0,0,1331851,0,0
2469,r050,"United States<sup>b</sup> -> California -> Parks and Recreation, Department of",United States<sup>b</sup>,California,"Parks and Recreation, Department of",3,1500000,0,0,1500000,0,0,0
2469,r051,"United States<sup>b</sup> -> California -> Pesticide Regulation, Department of ",United States<sup>b</sup>,California,"Pesticide Regulation, Department of ",3,12746628,2133093,0,1892221,8721314,0,0
2469,r052,"United States<sup>b</sup> -> California -> Public Health, Department of",United States<sup>b</sup>,California,"Public Health, Department of",3,3313977,0,0,400000,2913977,0,0
2469,r053,"United States<sup>b</sup> -> California -> Public Utilities Commission, Executive Division",United States<sup>b</sup>,California,"Public Utilities Commission, Executive Division",3,37221559,0,36821559,0,0,0,400000
2469,r054,"United States<sup>b</sup> -> California -> Rehabilitation, Department of ",United States<sup>b</sup>,California,"Rehabilitation, Department of ",3,10800000,0,0,0,0,0,10800000
2469,r055,"United States<sup>b</sup> -> California -> Social Services, Department of ",United States<sup>b</sup>,California,"Social Services, Department of ",3,151151,0,0,0,0,0,151151
2469,r056,United States<sup>b</sup> -> California -> State Coastal Conservancy,United States<sup>b</sup>,California,State Coastal Conservancy,3,838000,0,0,838000,0,0,0
2469,r057,United States<sup>b</sup> -> California -> State Water Resources Control Board,United States<sup>b</sup>,California,State Water Resources Control Board,3,8768254,0,0,6286854,2481400,0,0
2469,r058,"United States<sup>b</sup> -> California -> Transportation, Department of",United States<sup>b</sup>,California,"Transportation, Department of",3,34906443,0,0,0,0,34906443,0
2469,r059,"United States<sup>b</sup> -> California -> Water Resources, Department of",United States<sup>b</sup>,California,"Water Resources, Department of",3,4299669,0,0,4299669,0,0,0
2469,r060,United States<sup>b</sup> -> Colorado,United States<sup>b</sup>,Colorado,,2,36586577,721768,3184039,10798678,10026796,3288163,8567133
2469,r061,"United States<sup>b</sup> -> Colorado -> Agriculture, Department of",United States<sup>b</sup>,Colorado,"Agriculture, Department of",3,1316868,263736,0,1053132,0,0,0
2469,r062,"United States<sup>b</sup> -> Colorado -> Economic Development and International Trade, Office of",United States<sup>b</sup>,Colorado,"Economic Development and International Trade, Office of",3,15192123,250000,2784039,75000,6470143,88252,5524689
2469,r063,"United States<sup>b</sup> -> Colorado -> Higher Education Competitive, Research Authority",United States<sup>b</sup>,Colorado,"Higher Education Competitive, Research Authority",3,1700000,0,400000,100000,0,0,1200000
2469,r064,"United States<sup>b</sup> -> Colorado -> Higher Education, Department of ",United States<sup>b</sup>,Colorado,"Higher Education, Department of ",3,745000,0,0,0,0,0,745000
2469,r065,"United States<sup>b</sup> -> Colorado -> Natural Resources, Department of",United States<sup>b</sup>,Colorado,"Natural Resources, Department of",3,7567568,0,0,7542124,0,5000,20444
2469,r066,"United States<sup>b</sup> -> Colorado -> Public Health and Environment, Department of",United States<sup>b</sup>,Colorado,"Public Health and Environment, Department of",3,5585075,0,0,2028422,3556653,0,0
2469,r067,"United States<sup>b</sup> -> Colorado -> Public Safety, Department of",United States<sup>b</sup>,Colorado,"Public Safety, Department of",3,1077000,0,0,0,0,0,1077000
2469,r068,"United States<sup>b</sup> -> Colorado -> Transportation, Department of",United States<sup>b</sup>,Colorado,"Transportation, Department of",3,3194911,0,0,0,0,3194911,0
2469,r069,United States<sup>b</sup> -> Colorado -> Wine Industry Development Board,United States<sup>b</sup>,Colorado,Wine Industry Development Board,3,208032,208032,0,0,0,0,0
2469,r070,United States<sup>b</sup> -> Connecticut,United States<sup>b</sup>,Connecticut,,2,57241037,3856987,0,10599160,29921946,3283420,9579524
2469,r071,United States<sup>b</sup> -> Connecticut -> Agricultural Experiment Station,United States<sup>b</sup>,Connecticut,Agricultural Experiment Station,3,12445226,3856987,0,3975471,4612768,0,0
2469,r072,"United States<sup>b</sup> -> Connecticut -> Children and Families, Department of",United States<sup>b</sup>,Connecticut,"Children and Families, Department of",3,81949,0,0,0,0,0,81949
2469,r073,"United States<sup>b</sup> -> Connecticut -> Education, Department of",United States<sup>b</sup>,Connecticut,"Education, Department of",3,452289,0,0,0,0,0,452289
2469,r074,"United States<sup>b</sup> -> Connecticut -> Energy and Environmental Protection, Department of",United States<sup>b</sup>,Connecticut,"Energy and Environmental Protection, Department of",3,6623689,0,0,6623689,0,0,0
2469,r075,United States<sup>b</sup> -> Connecticut -> Innovation Inc.,United States<sup>b</sup>,Connecticut,Innovation Inc.,3,26858089,0,0,0,17812803,0,9045286
2469,r076,"United States<sup>b</sup> -> Connecticut -> Mental Health and Addiction Services, Department of",United States<sup>b</sup>,Connecticut,"Mental Health and Addiction Services, Department of",3,5951993,0,0,0,5951993,0,0
2469,r077,"United States<sup>b</sup> -> Connecticut -> Public Health, Department of",United States<sup>b</sup>,Connecticut,"Public Health, Department of",3,114974,0,0,0,114974,0,0
2469,r078,"United States<sup>b</sup> -> Connecticut -> Social Services, Department of",United States<sup>b</sup>,Connecticut,"Social Services, Department of",3,1429408,0,0,0,1429408,0,0
2469,r079,"United States<sup>b</sup> -> Connecticut -> Transportation, Department of",United States<sup>b</sup>,Connecticut,"Transportation, Department of",3,3283420,0,0,0,0,3283420,0
2469,r080,United States<sup>b</sup> -> Delaware,United States<sup>b</sup>,Delaware,,2,3826318,0,24256,2701302,0,1100760,0
2469,r081,United States<sup>b</sup> -> Delaware -> Geological Survey,United States<sup>b</sup>,Delaware,Geological Survey,3,2441975,0,0,2441975,0,0,0
2469,r082,"United States<sup>b</sup> -> Delaware -> Natural Resources and Environmental Control, Department of",United States<sup>b</sup>,Delaware,"Natural Resources and Environmental Control, Department of",3,259327,0,0,259327,0,0,0
2469,r083,United States<sup>b</sup> -> Delaware -> Sustainable Energy Utility,United States<sup>b</sup>,Delaware,Sustainable Energy Utility,3,24256,0,24256,0,0,0,0
2469,r084,"United States<sup>b</sup> -> Delaware -> Transportation, Department of",United States<sup>b</sup>,Delaware,"Transportation, Department of",3,1100760,0,0,0,0,1100760,0
2469,r085,United States<sup>b</sup> -> District of Columbia,United States<sup>b</sup>,District of Columbia,,2,4222412,0,0,2000000,1716302,422412,83698
2469,r086,"United States<sup>b</sup> -> District of Columbia -> Health, Department of",United States<sup>b</sup>,District of Columbia,"Health, Department of",3,1800000,0,0,0,1716302,0,83698
2469,r087,"United States<sup>b</sup> -> District of Columbia -> Transportation, Department of",United States<sup>b</sup>,District of Columbia,"Transportation, Department of",3,422412,0,0,0,0,422412,0
2469,r088,United States<sup>b</sup> -> District of Columbia -> Water and Sewer Authority,United States<sup>b</sup>,District of Columbia,Water and Sewer Authority,3,2000000,0,0,2000000,0,0,0
2469,r089,United States<sup>b</sup> -> Florida,United States<sup>b</sup>,Florida,,2,170508724,11725430,557060,52486202,90372743,15367289,0
2469,r090,"United States<sup>b</sup> -> Florida -> Agriculture and Consumer Services, Department of",United States<sup>b</sup>,Florida,"Agriculture and Consumer Services, Department of",3,12822683,11075430,557060,272569,917624,0,0
2469,r091,"United States<sup>b</sup> -> Florida -> Citrus, Department of",United States<sup>b</sup>,Florida,"Citrus, Department of",3,941902,650000,0,0,291902,0,0
2469,r092,"United States<sup>b</sup> -> Florida -> Environmental Protection, Department of",United States<sup>b</sup>,Florida,"Environmental Protection, Department of",3,63430,0,0,63430,0,0,0
2469,r093,United States<sup>b</sup> -> Florida -> Fish and Wildlife Conservation Commission,United States<sup>b</sup>,Florida,Fish and Wildlife Conservation Commission,3,52150203,0,0,52150203,0,0,0
2469,r094,"United States<sup>b</sup> -> Florida -> Health, Department of",United States<sup>b</sup>,Florida,"Health, Department of",3,89163217,0,0,0,89163217,0,0
2469,r095,United States<sup>b</sup> -> Florida -> Space Florida,United States<sup>b</sup>,Florida,Space Florida,3,1497850,0,0,0,0,1497850,0
2469,r096,"United States<sup>b</sup> -> Florida -> Transportation, Department of",United States<sup>b</sup>,Florida,"Transportation, Department of",3,13869439,0,0,0,0,13869439,0
2469,r097,United States<sup>b</sup> -> Georgia,United States<sup>b</sup>,Georgia,,2,18875484,633607,6335903,3871745,0,8034229,0
2469,r098,"United States<sup>b</sup> -> Georgia -> Natural Resources, Department of",United States<sup>b</sup>,Georgia,"Natural Resources, Department of",3,1956371,0,0,1956371,0,0,0
2469,r099,United States<sup>b</sup> -> Georgia -> Seed Development Commission,United States<sup>b</sup>,Georgia,Seed Development Commission,3,633607,633607,0,0,0,0,0
2469,r100,United States<sup>b</sup> -> Georgia -> Southern States Energy Board,United States<sup>b</sup>,Georgia,Southern States Energy Board,3,10501076,0,6335903,1915374,0,2249799,0
2469,r101,"United States<sup>b</sup> -> Georgia -> Transportation, Department of",United States<sup>b</sup>,Georgia,"Transportation, Department of",3,5784430,0,0,0,0,5784430,0
2469,r102,United States<sup>b</sup> -> Hawaii,United States<sup>b</sup>,Hawaii,,2,7325591,1680702,2510732,895592,0,802000,1436565
2469,r103,"United States<sup>b</sup> -> Hawaii -> Agriculture, Department of",United States<sup>b</sup>,Hawaii,"Agriculture, Department of",3,680702,680702,0,0,0,0,0
2469,r104,"United States<sup>b</sup> -> Hawaii -> Business, Economic Development, and Tourism, Department of",United States<sup>b</sup>,Hawaii,"Business, Economic Development, and Tourism, Department of",3,3947297,0,2510732,0,0,0,1436565
2469,r105,"United States<sup>b</sup> -> Hawaii -> Land and Natural Resources, Department of",United States<sup>b</sup>,Hawaii,"Land and Natural Resources, Department of",3,895592,0,0,895592,0,0,0
2469,r106,United States<sup>b</sup> -> Hawaii -> Natural Energy Laboratory,United States<sup>b</sup>,Hawaii,Natural Energy Laboratory,3,1000000,1000000,0,0,0,0,0
2469,r107,"United States<sup>b</sup> -> Hawaii -> Transportation, Department of",United States<sup>b</sup>,Hawaii,"Transportation, Department of",3,802000,0,0,0,0,802000,0
2469,r108,United States<sup>b</sup> -> Idaho,United States<sup>b</sup>,Idaho,,2,17828263,5349416,0,8364544,338288,3339242,436773
2469,r109,"United States<sup>b</sup> -> Idaho -> Agriculture, Department of",United States<sup>b</sup>,Idaho,"Agriculture, Department of",3,922104,922104,0,0,0,0,0
2469,r110,United States<sup>b</sup> -> Idaho -> Alfalfa and Clover Seed Commission,United States<sup>b</sup>,Idaho,Alfalfa and Clover Seed Commission,3,15000,15000,0,0,0,0,0
2469,r111,United States<sup>b</sup> -> Idaho -> Barley Commission,United States<sup>b</sup>,Idaho,Barley Commission,3,237498,237498,0,0,0,0,0
2469,r112,United States<sup>b</sup> -> Idaho -> Bean Commission,United States<sup>b</sup>,Idaho,Bean Commission,3,26400,26400,0,0,0,0,0
2469,r113,United States<sup>b</sup> -> Idaho -> Beef Council,United States<sup>b</sup>,Idaho,Beef Council,3,16500,16500,0,0,0,0,0
2469,r114,"United States<sup>b</sup> -> Idaho -> Commerce, Department of ",United States<sup>b</sup>,Idaho,"Commerce, Department of ",3,1016728,241667,0,0,338288,0,436773
2469,r115,United States<sup>b</sup> -> Idaho -> Dairy West,United States<sup>b</sup>,Idaho,Dairy West,3,2000000,2000000,0,0,0,0,0
2469,r116,"United States<sup>b</sup> -> Idaho -> Environmental Quality, Department of",United States<sup>b</sup>,Idaho,"Environmental Quality, Department of",3,460000,0,0,460000,0,0,0
2469,r117,"United States<sup>b</sup> -> Idaho -> Fish and Game, Department of",United States<sup>b</sup>,Idaho,"Fish and Game, Department of",3,7904544,0,0,7904544,0,0,0
2469,r118,United States<sup>b</sup> -> Idaho -> Honey Commission,United States<sup>b</sup>,Idaho,Honey Commission,3,1635,1635,0,0,0,0,0
2469,r119,United States<sup>b</sup> -> Idaho -> Oilseed Commission,United States<sup>b</sup>,Idaho,Oilseed Commission,3,61565,61565,0,0,0,0,0
2469,r120,United States<sup>b</sup> -> Idaho -> Pea and Lentil Commission,United States<sup>b</sup>,Idaho,Pea and Lentil Commission,3,80836,80836,0,0,0,0,0
2469,r121,United States<sup>b</sup> -> Idaho -> Potato Commission,United States<sup>b</sup>,Idaho,Potato Commission,3,850000,850000,0,0,0,0,0
2469,r122,United States<sup>b</sup> -> Idaho -> Transportation Department,United States<sup>b</sup>,Idaho,Transportation Department,3,3339242,0,0,0,0,3339242,0
2469,r123,United States<sup>b</sup> -> Idaho -> Wheat Commission,United States<sup>b</sup>,Idaho,Wheat Commission,3,896211,896211,0,0,0,0,0
2469,r124,United States<sup>b</sup> -> Illinois,United States<sup>b</sup>,Illinois,,2,17548556,3989560,0,0,15596,9458562,4084838
2469,r125,"United States<sup>b</sup> -> Illinois -> Children and Family Services, Department of",United States<sup>b</sup>,Illinois,"Children and Family Services, Department of",3,3848765,0,0,0,0,0,3848765
2469,r126,"United States<sup>b</sup> -> Illinois -> Human Services, Department of",United States<sup>b</sup>,Illinois,"Human Services, Department of",3,236073,0,0,0,0,0,236073
2469,r127,United States<sup>b</sup> -> Illinois -> Nutrient Research and Education,United States<sup>b</sup>,Illinois,Nutrient Research and Education,3,3989560,3989560,0,0,0,0,0
2469,r128,"United States<sup>b</sup> -> Illinois -> Public Health, Department of",United States<sup>b</sup>,Illinois,"Public Health, Department of",3,15596,0,0,0,15596,0,0
2469,r129,"United States<sup>b</sup> -> Illinois -> Transportation, Department of",United States<sup>b</sup>,Illinois,"Transportation, Department of",3,9458562,0,0,0,0,9458562,0
2469,r130,United States<sup>b</sup> -> Indiana,United States<sup>b</sup>,Indiana,,2,12357151,141876,268086,0,600000,8495933,2851256
2469,r131,United States<sup>b</sup> -> Indiana -> Economic Development Corporation,United States<sup>b</sup>,Indiana,Economic Development Corporation,3,3936062,41876,268086,0,600000,174844,2851256
2469,r132,"United States<sup>b</sup> -> Indiana -> Natural Resources, Department of",United States<sup>b</sup>,Indiana,"Natural Resources, Department of",3,100000,100000,0,0,0,0,0
2469,r133,"United States<sup>b</sup> -> Indiana -> Transportation, Department of",United States<sup>b</sup>,Indiana,"Transportation, Department of",3,8321089,0,0,0,0,8321089,0
2469,r134,United States<sup>b</sup> -> Iowa,United States<sup>b</sup>,Iowa,,2,9386675,0,0,3797923,61000,5190691,337061
2469,r135,"United States<sup>b</sup> -> Iowa -> Human Rights, Criminal and Juvenile Justice Planning, Division of",United States<sup>b</sup>,Iowa,"Human Rights, Criminal and Juvenile Justice Planning, Division of",3,433061,0,0,0,61000,35000,337061
2469,r136,"United States<sup>b</sup> -> Iowa -> Natural Resources, Department of",United States<sup>b</sup>,Iowa,"Natural Resources, Department of",3,3797923,0,0,3797923,0,0,0
2469,r137,"United States<sup>b</sup> -> Iowa -> Transportation, Department of",United States<sup>b</sup>,Iowa,"Transportation, Department of",3,5155691,0,0,0,0,5155691,0
2469,r138,United States<sup>b</sup> -> Kansas,United States<sup>b</sup>,Kansas,,2,12355458,3998895,0,3645223,0,3714875,996465
2469,r139,United States<sup>b</sup> -> Kansas -> Corn Commission,United States<sup>b</sup>,Kansas,Corn Commission,3,850050,850050,0,0,0,0,0
2469,r140,United States<sup>b</sup> -> Kansas -> Grain Sorghum Commission,United States<sup>b</sup>,Kansas,Grain Sorghum Commission,3,444660,444660,0,0,0,0,0
2469,r141,United States<sup>b</sup> -> Kansas -> Soybean Commission,United States<sup>b</sup>,Kansas,Soybean Commission,3,1463379,1463379,0,0,0,0,0
2469,r142,United States<sup>b</sup> -> Kansas -> State Board of Regents,United States<sup>b</sup>,Kansas,State Board of Regents,3,996465,0,0,0,0,0,996465
2469,r143,"United States<sup>b</sup> -> Kansas -> Transportation, Department of",United States<sup>b</sup>,Kansas,"Transportation, Department of",3,3714875,0,0,0,0,3714875,0
2469,r144,United States<sup>b</sup> -> Kansas -> Water Office,United States<sup>b</sup>,Kansas,Water Office,3,465725,0,0,465725,0,0,0
2469,r145,United States<sup>b</sup> -> Kansas -> Wheat Commission,United States<sup>b</sup>,Kansas,Wheat Commission,3,1240806,1240806,0,0,0,0,0
2469,r146,"United States<sup>b</sup> -> Kansas -> Wildlife, Parks, and Tours",United States<sup>b</sup>,Kansas,"Wildlife, Parks, and Tours",3,3179498,0,0,3179498,0,0,0
2469,r147,United States<sup>b</sup> -> Kentucky,United States<sup>b</sup>,Kentucky,,2,26668173,627270,2020000,2531000,14469601,7020302,0
2469,r148,"United States<sup>b</sup> -> Kentucky -> Behavioral Health, Developmental and Intellectual Disabilities",United States<sup>b</sup>,Kentucky,"Behavioral Health, Developmental and Intellectual Disabilities",3,67500,0,0,0,67500,0,0
2469,r149,"United States<sup>b</sup> -> Kentucky -> Economic Development, Cabinet for",United States<sup>b</sup>,Kentucky,"Economic Development, Cabinet for",3,4040000,0,2020000,0,2020000,0,0
2469,r150,"United States<sup>b</sup> -> Kentucky -> Environmental Protection, Department of",United States<sup>b</sup>,Kentucky,"Environmental Protection, Department of",3,100000,0,0,100000,0,0,0
2469,r151,"United States<sup>b</sup> -> Kentucky -> Fish and Wildlife Resources, Department of ",United States<sup>b</sup>,Kentucky,"Fish and Wildlife Resources, Department of ",3,2000000,0,0,2000000,0,0,0
2469,r152,United States<sup>b</sup> -> Kentucky -> Horse Racing Commission,United States<sup>b</sup>,Kentucky,Horse Racing Commission,3,293414,27270,0,30000,236144,0,0
2469,r153,"United States<sup>b</sup> -> Kentucky -> Nature Preserves, Office of ",United States<sup>b</sup>,Kentucky,"Nature Preserves, Office of ",3,401000,0,0,401000,0,0,0
2469,r154,"United States<sup>b</sup> -> Kentucky -> Postsecondary Education, Council on",United States<sup>b</sup>,Kentucky,"Postsecondary Education, Council on",3,10559315,0,0,0,10559315,0,0
2469,r155,"United States<sup>b</sup> -> Kentucky -> Public Health, Department for ",United States<sup>b</sup>,Kentucky,"Public Health, Department for ",3,1586642,0,0,0,1586642,0,0
2469,r156,United States<sup>b</sup> -> Kentucky -> Soybean Promotion Board,United States<sup>b</sup>,Kentucky,Soybean Promotion Board,3,600000,600000,0,0,0,0,0
2469,r157,United States<sup>b</sup> -> Kentucky -> Transportation Cabinet,United States<sup>b</sup>,Kentucky,Transportation Cabinet,3,7020302,0,0,0,0,7020302,0
2469,r158,United States<sup>b</sup> -> Louisiana,United States<sup>b</sup>,Louisiana,,2,35142225,270090,2875376,11751729,1532501,10000000,8712529
2469,r159,"United States<sup>b</sup> -> Louisiana -> Agriculture and Forestry, Department of",United States<sup>b</sup>,Louisiana,"Agriculture and Forestry, Department of",3,26840,26840,0,0,0,0,0
2469,r160,United States<sup>b</sup> -> Louisiana -> Board of Regents,United States<sup>b</sup>,Louisiana,Board of Regents,3,15162504,243250,2875376,2227437,1532501,0,8283940
2469,r161,United States<sup>b</sup> -> Louisiana -> Coastal Protection and Restoration Authority,United States<sup>b</sup>,Louisiana,Coastal Protection and Restoration Authority,3,3368965,0,0,3368965,0,0,0
2469,r162,"United States<sup>b</sup> -> Louisiana -> Education, Department of",United States<sup>b</sup>,Louisiana,"Education, Department of",3,428589,0,0,0,0,0,428589
2469,r163,"United States<sup>b</sup> -> Louisiana -> Transportation and Development, Department of ",United States<sup>b</sup>,Louisiana,"Transportation and Development, Department of ",3,10000000,0,0,0,0,10000000,0
2469,r164,"United States<sup>b</sup> -> Louisiana -> Wildlife and Fisheries, Department of",United States<sup>b</sup>,Louisiana,"Wildlife and Fisheries, Department of",3,6155327,0,0,6155327,0,0,0
2469,r165,United States<sup>b</sup> -> Maine,United States<sup>b</sup>,Maine,,2,32592625,7182948,0,12055909,2467740,1136000,9750028
