table_id,row_id,industry_vertical_or_technology_area_full_path,industry_vertical_or_technology_area_level_1,industry_vertical_or_technology_area_level_2,industry_vertical_or_technology_area_hierarchy_depth,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
1942,r036,China -> Manufacturing,China,Manufacturing,2,85,488,790,2478,4757,8957
1942,r037,China -> Marketing technology,China,Marketing technology,2,53,165,302,215,898,2823
1942,r038,China -> Micromobility,China,Micromobility,2,0,25,130,172,967,47
1942,r039,China -> Mobile,China,Mobile,2,722,5677,13639,19996,16546,35813
1942,r040,China -> Mobile commerce,China,Mobile commerce,2,22,360,2649,5043,640,18916
1942,r041,China -> Mortgage technology,China,Mortgage technology,2,0,165,24,159,0,0
1942,r042,China -> Nanotechnology,China,Nanotechnology,2,0,30,97,17,196,15
1942,r043,China -> Oil and Gas,China,Oil and Gas,2,0,22,7,40,56,210
1942,r044,China -> Oncology,China,Oncology,2,136,97,219,574,1324,2741
1942,r045,China -> Pet technology,China,Pet technology,2,0,25,0,0,0,16
1942,r046,China -> Real estate technology,China,Real estate technology,2,14,190,386,1571,349,1230
1942,r047,China -> Restaurant technology,China,Restaurant technology,2,42,106,1137,3389,55,9512
1942,r048,China -> Ridesharing,China,Ridesharing,2,15,810,4140,9336,6873,5900
1942,r049,China -> Robotics and drones,China,Robotics and drones,2,12,131,369,332,811,1818
1942,r050,China -> Software as a service,China,Software as a service,2,383,1962,5918,6780,3140,20258
1942,r051,China -> Space technology,China,Space technology,2,0,0,0,22,216,199
1942,r052,"China -> Technology, media, and telecommunications",China,"Technology, media, and telecommunications",2,2368,11548,27887,35686,30079,73040
1942,r053,China -> Virtual reality,China,Virtual reality,2,0,25,115,61,156,88
1942,r054,China -> Wearables and quantified self,China,Wearables and quantified self,2,0,103,202,54,368,33
1942,r055,United States,United States,,1,,,,,,
1942,r056,United States -> 3D printing,United States,3D printing,2,94,119,224,655,300,768
1942,r057,United States -> Advanced manufacturing,United States,Advanced manufacturing,2,107,142,364,696,964,1529
1942,r058,United States -> Advertising technology,United States,Advertising technology,2,1309,1649,1654,864,916,1057
1942,r059,United States -> Agricultural technology,United States,Agricultural technology,2,182,499,494,815,1520,1675
1942,r060,United States -> Artificial intelligence and machine learning,United States,Artificial intelligence and machine learning,2,2355,6473,7610,12263,8279,15995
1942,r061,United States -> Audio technology,United States,Audio technology,2,192,351,320,135,345,259
1942,r062,United States -> Augmented reality,United States,Augmented reality,2,232,801,414,1516,1196,2883
1942,r063,United States -> Autonomous cars,United States,Autonomous cars,2,59,91,227,527,868,1710
1942,r064,United States -> B2B payments,United States,B2B payments,2,235,452,769,582,700,1109
1942,r065,United States -> Beauty,United States,Beauty,2,263,383,443,418,582,823
1942,r066,United States -> Big data,United States,Big data,2,3472,6570,6728,6927,8142,13131
1942,r067,United States -> Blockchain/ cryptocurrency,United States,Blockchain/ cryptocurrency,2,189,306,380,405,664,2577
1942,r068,United States -> Cannabis,United States,Cannabis,2,2,53,240,151,314,1198
1942,r069,United States -> Car-sharing,United States,Car-sharing,2,19,59,75,35,108,932
1942,r070,United States -> Clean technology,United States,Clean technology,2,2959,3454,2420,2952,2679,4459
1942,r071,United States -> Construction technology,United States,Construction technology,2,93,76,353,300,520,1329
1942,r072,United States -> Cybersecurity,United States,Cybersecurity,2,1828,2549,3654,2998,3576,4434
1942,r073,United States -> Digital health,United States,Digital health,2,939,1505,1694,2893,3351,3513
1942,r074,United States -> E-commerce,United States,E-commerce,2,2879,4265,5401,3557,6404,6077
1942,r075,United States -> Educational technology,United States,Educational technology,2,1007,1262,1699,1154,1256,1371
1942,r076,United States -> Ephemeral content,United States,Ephemeral content,2,86,582,243,1814,14,25
1942,r077,United States -> eSports,United States,eSports,2,107,269,955,315,598,2077
1942,r078,United States -> Female technology,United States,Female technology,2,55,158,242,183,307,457
1942,r079,United States -> Financial technology,United States,Financial technology,2,2078,4791,7112,6497,6743,11331
1942,r080,United States -> Food technology,United States,Food technology,2,583,3282,3597,7131,1527,4992
1942,r081,United States -> Gaming,United States,Gaming,2,428,890,1182,992,1440,2420
1942,r082,United States -> Health technology,United States,Health technology,2,2077,3147,4358,4547,5427,6767
1942,r083,United States -> Human resources technology,United States,Human resources technology,2,373,645,1512,945,708,1339
1942,r084,United States -> Impact investing,United States,Impact investing,2,761,1107,1108,878,1426,1388
1942,r085,United States -> Industrials,United States,Industrials,2,3315,4762,7817,6171,7831,12010
1942,r086,United States -> Infrastructure,United States,Infrastructure,2,136,144,136,243,307,362
1942,r087,United States -> InsurTech,United States,InsurTech,2,196,353,696,1386,1075,2432
1942,r088,United States -> Internet of things,United States,Internet of things,2,947,1387,1520,1765,2662,2503
1942,r089,United States -> Life sciences,United States,Life sciences,2,7281,9817,12583,11132,14680,21353
1942,r090,United States -> LOHAS,United States,LOHAS,2,1480,1522,2139,2403,3183,5809
1942,r091,United States -> Manufacturing,United States,Manufacturing,2,3290,3595,4162,2811,4637,7088
1942,r092,United States -> Marketing technology,United States,Marketing technology,2,1855,2737,3219,2158,1936,2535
1942,r093,United States -> Micromobility,United States,Micromobility,2,76,255,689,1010,676,3109
1942,r094,United States -> Mobile,United States,Mobile,2,7533,13979,15688,19051,12921,22651
1942,r095,United States -> Mobile commerce,United States,Mobile commerce,2,334,1059,650,579,767,1613
1942,r096,United States -> Mortgage technology,United States,Mortgage technology,2,13,188,1332,246,706,250
1942,r097,United States -> Nanotechnology,United States,Nanotechnology,2,510,378,553,426,443,719
1942,r098,United States -> Oil and gas,United States,Oil and gas,2,655,761,609,419,511,497
1942,r099,United States -> Oncology,United States,Oncology,2,2569,3849,5061,5108,6446,9895
1942,r100,United States -> Pet technology,United States,Pet technology,2,37,75,57,159,188,585
1942,r101,United States -> Real estate technology,United States,Real estate technology,2,391,1494,2825,2159,4646,3688
1942,r102,United States -> Restaurant technology,United States,Restaurant technology,2,301,496,610,957,738,1911
1942,r103,United States -> Ridesharing,United States,Ridesharing,2,349,2698,3388,6840,969,4154
1942,r104,United States -> Robotics and drones,United States,Robotics and drones,2,296,409,806,892,2035,2208
1942,r105,United States -> Software as a service,United States,Software as a service,2,12306,19223,21164,17371,19275,25326
1942,r106,United States -> Space technology,United States,Space technology,2,164,75,1351,299,1360,944
1942,r107,"United States -> Technology, media, and telecommunications",United States,"Technology, media, and telecommunications",2,32034,50729,58563,55232,55176,76073
1942,r108,United States -> Virtual reality,United States,Virtual reality,2,252,846,551,1736,1132,3076
1942,r109,United States -> Wearables and quantified self,United States,Wearables and quantified self,2,394,1477,588,1821,582,1988
