table_id,row_id,_b_country_or_economy_b_full_path,_b_country_or_economy_b_level_1,_b_country_or_economy_b_level_2,_b_country_or_economy_b_level_3,_b_country_or_economy_b_hierarchy_depth,field_rank,field_doctorate_recipients
9505,r021,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Germany,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Germany,3,19,160
9505,r022,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Spain ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Spain ,3,20,146
9505,r023,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Egypt ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Egypt ,3,21,143
9505,r024,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> United Kingdom,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,United Kingdom,3,22,138
9505,r025,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> France ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,France ,3,23,133
9505,r026,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Ghana ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Ghana ,3,24,125
9505,r027,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Japan ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Japan ,3,25,121
9505,r028,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Greece,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Greece,3,26,115
9505,r029,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Thailand ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Thailand ,3,27,112
9505,r030,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Iraq,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Iraq,3,28,110
9505,r031,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Russia,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Russia,3,29,106
9505,r032,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Jordan ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Jordan ,3,30,93
9505,r033,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Chile ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Chile ,3,31,92
9505,r034,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Singapore,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Singapore,3,32,77
9505,r035,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Indonesia ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Indonesia ,3,33,76
9505,r036,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Israel ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Israel ,3,34,71
9505,r037,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Malaysia ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Malaysia ,3,34,71
9505,r038,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Lebanon,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Lebanon,3,36,65
9505,r039,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Peru ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Peru ,3,37,63
9505,r040,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Philippines ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Philippines ,3,38,55
9505,r041,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Australia,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Australia,3,39,50
9505,r042,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Ecuador,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Ecuador,3,40,45
9505,r043,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Kuwait,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Kuwait,3,40,45
