table_id,row_id,characteristics_full_path,characteristics_level_1,characteristics_level_2,characteristics_level_3,characteristics_level_4,characteristics_hierarchy_depth,field_totala,field_u_s_citizen,field_non_u_s_citizen,field_hispanic_or_latino_u_s_citizen,field_hispanic_or_latino_non_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_non_u_s_citizen,field_not_hispanic_or_latino_asian_u_s_citizen,field_not_hispanic_or_latino_asian_non_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_non_u_s_citizen,field_not_hispanic_or_latino_white_u_s_citizen,field_not_hispanic_or_latino_white_non_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_non_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_non_u_s_citizen,field_ethnicity_not_reported_u_s_citizen,field_ethnicity_not_reported_non_u_s_citizen
1017,r011,All doctorate recipients (number) -> Postgraduation status (number)<sup>e</sup> -> Definite employment,All doctorate recipients (number),Postgraduation status (number)<sup>e</sup>,Definite employment,,3,19635,13764,5793,916,365,42,,1169,3919,950,182,10152,1229,373,,114,49,48,21
1017,r012,All doctorate recipients (number) -> Postgraduation status (number)<sup>e</sup> -> Seeking employment or study,All doctorate recipients (number),Postgraduation status (number)<sup>e</sup>,Seeking employment or study,,3,14806,9742,5026,711,316,29,,1007,3405,793,220,6783,995,299,,90,35,30,25
1017,r013,All doctorate recipients (number) -> Postgraduation status (number)<sup>e</sup> -> Other status<sup>f</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>e</sup>,Other status<sup>f</sup>,,3,1769,1326,432,89,19,7,0,171,268,78,18,892,113,52,1,22,5,15,8
1017,r014,All doctorate recipients (number) -> Postgraduation status (number)<sup>e</sup> -> Postgraduation study plans (%)<sup>g</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>e</sup>,Postgraduation study plans (%)<sup>g</sup>,,3,39.1,37.2,43.3,40.5,43.1,32.3,0.0,40.7,43.1,29.7,32.6,36.9,45.0,42.1,56.5,39.0,38.8,31.4,41.7
1017,r015,All doctorate recipients (number) -> Postgraduation status (number)<sup>e</sup> -> Postgraduation employment plans (%)<sup>h</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>e</sup>,Postgraduation employment plans (%)<sup>h</sup>,,3,,,,,,,,,,,,,,,,,,,
1017,r016,All doctorate recipients (number) -> Postgraduation status (number)<sup>e</sup> -> Postgraduation employment plans (%)<sup>h</sup> -> Academe,All doctorate recipients (number),Postgraduation status (number)<sup>e</sup>,Postgraduation employment plans (%)<sup>h</sup>,Academe,4,48.2,51.0,41.6,55.6,59.5,50.0,,40.5,35.4,51.8,58.2,51.8,52.9,48.5,,49.1,57.1,54.2,28.6
1017,r017,All doctorate recipients (number) -> Postgraduation status (number)<sup>e</sup> -> Postgraduation employment plans (%)<sup>h</sup> -> Government,All doctorate recipients (number),Postgraduation status (number)<sup>e</sup>,Postgraduation employment plans (%)<sup>h</sup>,Government,4,7.7,9.2,4.1,10.3,10.4,,0.0,7.1,3.4,13.1,4.9,8.9,4.3,,,12.3,,12.5,0.0
1017,r018,All doctorate recipients (number) -> Postgraduation status (number)<sup>e</sup> -> Postgraduation employment plans (%)<sup>h</sup> -> Industry or business<sup>i</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>e</sup>,Postgraduation employment plans (%)<sup>h</sup>,Industry or business<sup>i</sup>,4,32.9,26.0,49.3,22.5,22.2,28.6,0.0,43.5,57.3,14.1,23.1,25.3,37.3,29.2,25.9,26.3,28.6,22.9,52.4
1017,r019,All doctorate recipients (number) -> Postgraduation status (number)<sup>e</sup> -> Postgraduation employment plans (%)<sup>h</sup> -> Nonprofit,All doctorate recipients (number),Postgraduation status (number)<sup>e</sup>,Postgraduation employment plans (%)<sup>h</sup>,Nonprofit,4,6.2,7.3,3.7,5.2,5.5,,0.0,6.5,3.0,8.8,10.4,7.4,4.3,,,6.1,,6.3,9.5
1017,r020,All doctorate recipients (number) -> Postgraduation status (number)<sup>e</sup> -> Postgraduation employment plans (%)<sup>h</sup> -> Other or unknown plans<sup>j</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>e</sup>,Postgraduation employment plans (%)<sup>h</sup>,Other or unknown plans<sup>j</sup>,4,5.0,6.6,1.2,6.4,2.5,,0.0,2.5,1.0,12.2,3.3,6.6,1.2,,0.0,6.1,2.0,4.2,9.5
1017,r021,All doctorate recipients (number) -> Postgraduation status (number)<sup>e</sup> -> Employment location (%)<sup>k</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>e</sup>,Employment location (%)<sup>k</sup>,,3,,,,,,,,,,,,,,,,,,,
1017,r022,All doctorate recipients (number) -> Postgraduation status (number)<sup>e</sup> -> Employment location (%)<sup>k</sup> -> United States,All doctorate recipients (number),Postgraduation status (number)<sup>e</sup>,Employment location (%)<sup>k</sup>,United States,4,90.4,98.0,72.2,98.0,47.1,,,95.9,78.5,99.4,64.8,98.2,62.7,97.9,37.0,,44.9,95.8,61.9
1017,r023,All doctorate recipients (number) -> Postgraduation status (number)<sup>e</sup> -> Employment location (%)<sup>k</sup> -> Not United States,All doctorate recipients (number),Postgraduation status (number)<sup>e</sup>,Employment location (%)<sup>k</sup>,Not United States,4,9.6,2.0,27.7,2.0,52.9,,,4.1,21.4,0.6,35.2,1.8,37.3,2.1,,,55.1,2.1,38.1
1017,r024,All doctorate recipients (number) -> Postgraduation status (number)<sup>e</sup> -> Employment location (%)<sup>k</sup> -> Unknown,All doctorate recipients (number),Postgraduation status (number)<sup>e</sup>,Employment location (%)<sup>k</sup>,Unknown,4,0.0,0.0,0.1,0.0,0.0,0.0,,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,2.1,0.0
1017,r025,All doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number),Age at doctorate (median years),,,2,31.6,31.9,31.1,32.4,33.4,37.9,,31.3,30.5,35.4,34.5,31.7,31.8,31.3,31.6,32.2,31.3,32.3,31.7
1017,r026,All doctorate recipients (number) -> Time to degree (median years),All doctorate recipients (number),Time to degree (median years),,,2,,,,,,,,,,,,,,,,,,,
1017,r027,All doctorate recipients (number) -> Time to degree (median years) -> From bachelor's,All doctorate recipients (number),Time to degree (median years),From bachelor's,,3,8.8,9.0,8.3,9.1,9.5,12.1,,8.8,8.0,11.6,10.5,8.9,8.9,8.4,8.8,9.9,9.0,9.3,9.0
1017,r028,All doctorate recipients (number) -> Time to degree (median years) -> From graduate school start,All doctorate recipients (number),Time to degree (median years),From graduate school start,,3,7.5,7.3,7.7,7.7,8.0,8.8,,7.3,7.3,9.8,7.9,7.3,8.0,6.9,7.7,7.9,7.9,8.7,8.7
1017,r029,All doctorate recipients (number) -> Time to degree (median years) -> From doctoral program start<sup>l</sup>,All doctorate recipients (number),Time to degree (median years),From doctoral program start<sup>l</sup>,,3,5.8,5.9,5.7,6.0,5.8,6.5,,5.8,5.7,6.3,5.8,5.9,5.8,5.8,5.8,6.0,5.9,5.9,5.8
