table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
12713,r011,"United States -> Alabama -> Public -> U. Alabama, Huntsville",United States,Alabama,Public,"U. Alabama, Huntsville",4,"['163,428', '']","['126,040', '']","['5,071', '']","['30,635', '']","['731', '']","['689', '']","['262', '']"
12713,r012,"United States -> Alabama -> Public -> U. Alabama, Tuscaloosa",United States,Alabama,Public,"U. Alabama, Tuscaloosa",4,"['184,880', '']","['86,244', '']","['16,660', '']","['77,554', '']","['1,973', '']","['1,753', '']","['696', '']"
12713,r013,United States -> Alabama -> Public -> U. South Alabama,United States,Alabama,Public,U. South Alabama,4,"['53,182', '']","['28,637', '']","['683', '']","['19,291', '']","['1,300', '']","['2,422', '']","['849', '']"
12713,r014,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['25,625', '']","['16,023', '']","['3,565', '']","['2,539', '']","['0', '']","['0', '']","['3,498', '']"
12713,r015,United States -> Alabama -> Private -> Tuskegee U.,United States,Alabama,Private,Tuskegee U.,4,"['25,625', '']","['16,023', '']","['3,565', '']","['2,539', '']","['0', '']","['0', '']","['3,498', '']"
12713,r016,United States -> Alaska,United States,Alaska,,,2,"['241,536', '']","['171,438', '']","['9,966', '']","['46,631', '']","['6,961', '']","['3,456', '']","['3,084', '']"
12713,r017,United States -> Alaska -> Public,United States,Alaska,Public,,3,"['239,713', '']","['170,811', '']","['9,966', '']","['46,631', '']","['5,788', '']","['3,456', '']","['3,061', '']"
12713,r018,"United States -> Alaska -> Public -> U. Alaska, Anchorage",United States,Alaska,Public,"U. Alaska, Anchorage",4,"['19,850', '']","['12,646', '']","['2,175', '']","['3,798', '']","['283', '']","['537', '']","['411', '']"
12713,r019,"United States -> Alaska -> Public -> U. Alaska, Fairbanks",United States,Alaska,Public,"U. Alaska, Fairbanks",4,"['218,041', '']","['156,702', '']","['7,674', '']","['42,733', '']","['5,505', '']","['2,814', '']","['2,613', '']"
12713,r020,"United States -> Alaska -> Public -> U. Alaska, Southeast",United States,Alaska,Public,"U. Alaska, Southeast",4,"['1,822', '']","['1,463', '']","['117', '']","['100', '']","['0', '']","['105', '']","['37', '']"
12713,r021,United States -> Alaska -> Private,United States,Alaska,Private,,3,"['1,823', '']","['627', '']","['0', '']","['0', '']","['1,173', '']","['0', '']","['23', '']"
12713,r022,United States -> Alaska -> Private -> Alaska Pacific U.,United States,Alaska,Private,Alaska Pacific U.,4,"['1,823', '']","['627', '']","['0', '']","['0', '']","['1,173', '']","['0', '']","['23', '']"
12713,r023,United States -> Arizona,United States,Arizona,,,2,"['1,939,790', '']","['828,326', '']","['148,673', '']","['630,991', '']","['51,044', '']","['132,499', '']","['148,257', '']"
12713,r024,United States -> Arizona -> Public,United States,Arizona,Public,,3,"['1,939,790', '']","['828,326', '']","['148,673', '']","['630,991', '']","['51,044', '']","['132,499', '']","['148,257', '']"
12713,r025,United States -> Arizona -> Public -> Arizona State U.,United States,Arizona,Public,Arizona State U.,4,"['903,779', '']","['340,880', '']","['102,208', '']","['310,531', '']","['24,693', '']","['99,781', '']","['25,686', '']"
12713,r026,United States -> Arizona -> Public -> Dine C.,United States,Arizona,Public,Dine C.,4,"['3,054', '']","['2,255', '']","['262', '']","['223', '']","['0', '']","['314', '']","['0', '']"
12713,r027,United States -> Arizona -> Public -> Northern Arizona U.,United States,Arizona,Public,Northern Arizona U.,4,"['77,533', '']","['50,491', '']","['9,030', '']","['15,566', '']","['1,023', '']","['1,250', '']","['173', '']"
12713,r028,United States -> Arizona -> Public -> U. Arizona,United States,Arizona,Public,U. Arizona,4,"['955,424', '']","['434,700', '']","['37,173', '']","['304,671', '']","['25,328', '']","['31,154', '']","['122,398', '']"
12713,r029,United States -> Arkansas,United States,Arkansas,,,2,"['457,800', '']","['193,302', '']","['61,055', '']","['160,876', '']","['13,496', '']","['13,769', '']","['15,302', '']"
12713,r030,United States -> Arkansas -> Public,United States,Arkansas,Public,,3,"['457,800', '']","['193,302', '']","['61,055', '']","['160,876', '']","['13,496', '']","['13,769', '']","['15,302', '']"
12713,r031,"United States -> Arkansas -> Public -> Arkansas State U., Jonesboro",United States,Arkansas,Public,"Arkansas State U., Jonesboro",4,"['7,323', '']","['3,083', '']","['3,419', '']","['561', '']","['260', '']","['0', '']","['0', '']"
12713,r032,United States -> Arkansas -> Public -> U. Arkansas for Medical Sciences,United States,Arkansas,Public,U. Arkansas for Medical Sciences,4,"['209,409', '']","['94,483', '']","['13,854', '']","['84,563', '']","['5,274', '']","['6,102', '']","['5,133', '']"
12713,r033,"United States -> Arkansas -> Public -> U. Arkansas, Fayetteville",United States,Arkansas,Public,"U. Arkansas, Fayetteville",4,"['221,525', '']","['82,164', '']","['41,687', '']","['72,849', '']","['7,368', '']","['7,514', '']","['9,943', '']"
12713,r034,"United States -> Arkansas -> Public -> U. Arkansas, Little Rock",United States,Arkansas,Public,"U. Arkansas, Little Rock",4,"['8,685', '']","['7,544', '']","['218', '']","['69', '']","['513', '']","['134', '']","['207', '']"
12713,r035,"United States -> Arkansas -> Public -> U. Arkansas, Pine Bluff",United States,Arkansas,Public,"U. Arkansas, Pine Bluff",4,"['7,766', '']","['4,204', '']","['1,294', '']","['2,219', '']","['41', '']","['8', '']","['0', '']"
12713,r036,United States -> Arkansas -> Public -> U. Central Arkansas,United States,Arkansas,Public,U. Central Arkansas,4,"['3,092', '']","['1,824', '']","['583', '']","['615', '']","['40', '']","['11', '']","['19', '']"
12713,r037,United States -> California,United States,California,,,2,"['13,473,649', '']","['7,190,081', '']","['548,596', '']","['2,872,732', '']","['876,382', '']","['1,383,387', '']","['602,471', '']"
12713,r038,United States -> California -> Public,United States,California,Public,,3,"['9,596,502', '']","['4,905,367', '']","['489,783', '']","['2,162,764', '']","['563,818', '']","['995,188', '']","['479,582', '']"
12713,r039,"United States -> California -> Public -> California Polytechnic State U., San Luis Obispo",United States,California,Public,"California Polytechnic State U., San Luis Obispo",4,"['35,830', '']","['14,810', '']","['4,997', '']","['12,550', '']","['1,205', '']","['2,182', '']","['86', '']"
12713,r040,"United States -> California -> Public -> California State Polytechnic U., Humboldt",United States,California,Public,"California State Polytechnic U., Humboldt",4,"['18,800', '']","['3,280', '']","['3,338', '']","['5,724', '']","['437', '']","['3,094', '']","['2,927', '']"
12713,r041,"United States -> California -> Public -> California State Polytechnic U., Pomona",United States,California,Public,"California State Polytechnic U., Pomona",4,"['10,722', '']","['8,162', '']","['881', '']","['1,438', '']","['171', '']","['70', '']","['0', '']"
12713,r042,"United States -> California -> Public -> California State U., Bakersfield",United States,California,Public,"California State U., Bakersfield",4,"['6,409', '']","['3,525', '']","['154', '']","['2,580', '']","['0', '']","['150', '']","['0', '']"
12713,r043,"United States -> California -> Public -> California State U., Channel Islands",United States,California,Public,"California State U., Channel Islands",4,"['3,992', '']","['1,773', '']","['1,086', '']","['737', '']","['219', '']","['177', '']","['0', '']"
12713,r044,"United States -> California -> Public -> California State U., Chico",United States,California,Public,"California State U., Chico",4,"['5,984', '']","['3,152', '']","['1,130', '']","['636', '']","['18', '']","['97', '']","['951', '']"
12713,r045,"United States -> California -> Public -> California State U., Dominguez Hills",United States,California,Public,"California State U., Dominguez Hills",4,"['5,558', '']","['2,457', '']","['870', '']","['1,996', '']","['41', '']","['52', '']","['142', '']"
12713,r046,"United States -> California -> Public -> California State U., East Bay",United States,California,Public,"California State U., East Bay",4,"['21,312', '']","['8,508', '']","['433', '']","['9,969', '']","['0', '']","['2,381', '']","['21', '']"
12713,r047,"United States -> California -> Public -> California State U., Fresno",United States,California,Public,"California State U., Fresno",4,"['11,411', '']","['4,864', '']","['1,394', '']","['3,770', '']","['238', '']","['1,120', '']","['25', '']"
12713,r048,"United States -> California -> Public -> California State U., Fullerton",United States,California,Public,"California State U., Fullerton",4,"['25,811', '']","['6,049', '']","['205', '']","['18,925', '']","['204', '']","['428', '']","['0', '']"
12713,r049,"United States -> California -> Public -> California State U., Long Beach",United States,California,Public,"California State U., Long Beach",4,"['21,458', '']","['13,758', '']","['1,930', '']","['3,618', '']","['149', '']","['1,468', '']","['535', '']"
12713,r050,"United States -> California -> Public -> California State U., Los Angeles",United States,California,Public,"California State U., Los Angeles",4,"['10,186', '']","['8,973', '']","['108', '']","['788', '']","['0', '']","['317', '']","['0', '']"
12713,r051,"United States -> California -> Public -> California State U., Monterey Bay",United States,California,Public,"California State U., Monterey Bay",4,"['10,678', '']","['5,639', '']","['2,125', '']","['2,706', '']","['64', '']","['144', '']","['0', '']"
12713,r052,"United States -> California -> Public -> California State U., Northridge",United States,California,Public,"California State U., Northridge",4,"['23,093', '']","['19,169', '']","['1,152', '']","['1,278', '']","['113', '']","['1,381', '']","['0', '']"
12713,r053,"United States -> California -> Public -> California State U., Sacramento",United States,California,Public,"California State U., Sacramento",4,"['28,027', '']","['11,284', '']","['10,056', '']","['5,821', '']","['26', '']","['556', '']","['284', '']"
12713,r054,"United States -> California -> Public -> California State U., San Bernardino",United States,California,Public,"California State U., San Bernardino",4,"['13,152', '']","['7,606', '']","['2,799', '']","['2,051', '']","['1', '']","['695', '']","['0', '']"
12713,r055,"United States -> California -> Public -> California State U., San Marcos",United States,California,Public,"California State U., San Marcos",4,"['11,443', '']","['9,845', '']","['1,171', '']","['326', '']","['0', '']","['101', '']","['0', '']"
12713,r056,"United States -> California -> Public -> California State U., Stanislaus",United States,California,Public,"California State U., Stanislaus",4,"['2,305', '']","['1,150', '']","['513', '']","['168', '']","['468', '']","['6', '']","['0', '']"
12713,r057,United States -> California -> Public -> Naval Postgraduate School,United States,California,Public,Naval Postgraduate School,4,"['77,364', '']","['62,715', '']","['0', '']","['13,261', '']","['654', '']","['67', '']","['667', '']"
12713,r058,United States -> California -> Public -> San Diego State U.,United States,California,Public,San Diego State U.,4,"['158,013', '']","['68,045', '']","['6,745', '']","['77,130', '']","['469', '']","['3,666', '']","['1,958', '']"
12713,r059,United States -> California -> Public -> San Francisco State U.,United States,California,Public,San Francisco State U.,4,"['34,466', '']","['16,507', '']","['1,978', '']","['14,434', '']","['0', '']","['1,536', '']","['11', '']"
12713,r060,United States -> California -> Public -> San Jose State U.,United States,California,Public,San Jose State U.,4,"['83,406', '']","['31,780', '']","['7,116', '']","['38,582', '']","['2,101', '']","['2,478', '']","['1,349', '']"
12713,r061,United States -> California -> Public -> Sonoma State U.,United States,California,Public,Sonoma State U.,4,"['4,625', '']","['3,483', '']","['585', '']","['321', '']","['46', '']","['190', '']","['0', '']"
12713,r062,"United States -> California -> Public -> U. California, Berkeley",United States,California,Public,"U. California, Berkeley",4,"['1,076,754', '']","['496,298', '']","['47,005', '']","['242,494', '']","['75,493', '']","['188,887', '']","['26,577', '']"
12713,r063,"United States -> California -> Public -> U. California, Davis",United States,California,Public,"U. California, Davis",4,"['962,399', '']","['494,847', '']","['78,096', '']","['244,082', '']","['55,403', '']","['48,643', '']","['41,328', '']"
12713,r064,"United States -> California -> Public -> U. California, Irvine",United States,California,Public,"U. California, Irvine",4,"['609,614', '']","['335,393', '']","['19,360', '']","['132,261', '']","['46,182', '']","['33,514', '']","['42,904', '']"
12713,r065,"United States -> California -> Public -> U. California, Los Angeles",United States,California,Public,"U. California, Los Angeles",4,"['1,721,665', '']","['878,571', '']","['105,632', '']","['354,575', '']","['109,531', '']","['219,227', '']","['54,129', '']"
12713,r066,"United States -> California -> Public -> U. California, Merced",United States,California,Public,"U. California, Merced",4,"['62,279', '']","['28,576', '']","['6,985', '']","['20,709', '']","['1,294', '']","['2,464', '']","['2,251', '']"
12713,r067,"United States -> California -> Public -> U. California, Office of the President",United States,California,Public,"U. California, Office of the President",4,"['63,629', '']","['25', '']","['41,345', '']","['22,143', '']","['0', '']","['0', '']","['116', '']"
12713,r068,"United States -> California -> Public -> U. California, Riverside",United States,California,Public,"U. California, Riverside",4,"['214,802', '']","['120,524', '']","['10,655', '']","['55,114', '']","['7,288', '']","['10,826', '']","['10,395', '']"
12713,r069,"United States -> California -> Public -> U. California, San Diego",United States,California,Public,"U. California, San Diego",4,"['1,705,410', '']","['1,083,790', '']","['70,790', '']","['250,973', '']","['96,416', '']","['109,398', '']","['94,043', '']"
12713,r070,"United States -> California -> Public -> U. California, San Francisco",United States,California,Public,"U. California, San Francisco",4,"['2,046,539', '']","['858,066', '']","['45,056', '']","['505,006', '']","['143,206', '']","['313,964', '']","['181,241', '']"
12713,r071,"United States -> California -> Public -> U. California, Santa Barbara",United States,California,Public,"U. California, Santa Barbara",4,"['305,483', '']","['179,896', '']","['7,230', '']","['65,230', '']","['14,790', '']","['27,455', '']","['10,882', '']"
12713,r072,"United States -> California -> Public -> U. California, Santa Cruz",United States,California,Public,"U. California, Santa Cruz",4,"['203,883', '']","['112,847', '']","['6,863', '']","['51,368', '']","['7,591', '']","['18,454', '']","['6,760', '']"
12713,r073,United States -> California -> Private,United States,California,Private,,3,"['3,877,147', '']","['2,284,714', '']","['58,813', '']","['709,968', '']","['312,564', '']","['388,199', '']","['122,889', '']"
12713,r074,United States -> California -> Private -> Azusa Pacific U.,United States,California,Private,Azusa Pacific U.,4,"['6,097', '']","['140', '']","['40', '']","['5,545', '']","['35', '']","['273', '']","['64', '']"
12713,r075,United States -> California -> Private -> Biola U.,United States,California,Private,Biola U.,4,"['1,461', '']","['0', '']","['0', '']","['9', '']","['0', '']","['1,298', '']","['154', '']"
12713,r076,United States -> California -> Private -> California Institute of Technology,United States,California,Private,California Institute of Technology,4,"['490,672', '']","['310,519', '']","['3,870', '']","['53,950', '']","['35,867', '']","['29,024', '']","['57,442', '']"
12713,r077,United States -> California -> Private -> Chapman U.,United States,California,Private,Chapman U.,4,"['41,791', '']","['10,015', '']","['303', '']","['23,533', '']","['383', '']","['7,481', '']","['76', '']"
12713,r078,United States -> California -> Private -> Charles R. Drew U. of Medicine and Science,United States,California,Private,Charles R. Drew U. of Medicine and Science,4,"['19,551', '']","['13,297', '']","['886', '']","['3,758', '']","['0', '']","['1,610', '']","['0', '']"
12713,r079,United States -> California -> Private -> Claremont Graduate U.,United States,California,Private,Claremont Graduate U.,4,"['7,262', '']","['1,422', '']","['354', '']","['984', '']","['2,709', '']","['1,228', '']","['565', '']"
12713,r080,United States -> California -> Private -> Claremont McKenna C.,United States,California,Private,Claremont McKenna C.,4,"['6,925', '']","['1,035', '']","['62', '']","['5,293', '']","['0', '']","['485', '']","['50', '']"
12713,r081,United States -> California -> Private -> Harvey Mudd C.,United States,California,Private,Harvey Mudd C.,4,"['3,682', '']","['1,968', '']","['0', '']","['1,389', '']","['0', '']","['161', '']","['164', '']"
12713,r082,United States -> California -> Private -> High Tech High Graduate School of Ed.,United States,California,Private,High Tech High Graduate School of Ed.,4,"['5,939', '']","['0', '']","['0', '']","['0', '']","['0', '']","['5,939', '']","['0', '']"
12713,r083,United States -> California -> Private -> Keck Graduate Institute,United States,California,Private,Keck Graduate Institute,4,"['4,059', '']","['2,338', '']","['4', '']","['388', '']","['634', '']","['354', '']","['341', '']"
12713,r084,United States -> California -> Private -> La Sierra U.,United States,California,Private,La Sierra U.,4,"['2,496', 'i']","['1,066', 'i']","['0', 'i']","['734', 'i']","['0', 'i']","['696', 'i']","['0', 'i']"
12713,r085,United States -> California -> Private -> Loma Linda U.,United States,California,Private,Loma Linda U.,4,"['22,262', '']","['12,485', '']","['745', '']","['4,913', '']","['1,469', '']","['2,634', '']","['16', '']"
12713,r086,United States -> California -> Private -> Loyola Marymount U.,United States,California,Private,Loyola Marymount U.,4,"['14,086', '']","['2,921', '']","['1,096', '']","['7,708', '']","['84', '']","['2,277', '']","['0', '']"
12713,r087,United States -> California -> Private -> Marshall B. Ketchum U.,United States,California,Private,Marshall B. Ketchum U.,4,"['1,777', 'i']","['433', 'i']","['0', 'i']","['890', 'i']","['454', 'i']","['0', 'i']","['0', 'i']"
12713,r088,United States -> California -> Private -> Occidental C.,United States,California,Private,Occidental C.,4,"['4,718', 'i']","['2,967', 'i']","['559', 'i']","['NA', '']","['554', 'i']","['638', 'i']","['0', 'i']"
12713,r089,United States -> California -> Private -> Pepperdine U.,United States,California,Private,Pepperdine U.,4,"['10,632', '']","['674', '']","['1', '']","['7,179', '']","['0', '']","['2,771', '']","['7', '']"
12713,r090,United States -> California -> Private -> Pomona C.,United States,California,Private,Pomona C.,4,"['4,149', '']","['1,205', '']","['0', '']","['2,659', '']","['0', '']","['285', '']","['0', '']"
12713,r091,United States -> California -> Private -> Santa Clara U.,United States,California,Private,Santa Clara U.,4,"['5,679', '']","['3,448', '']","['372', '']","['NA', '']","['364', '']","['1,424', '']","['71', '']"
12713,r092,United States -> California -> Private -> Scripps Research Institute,United States,California,Private,Scripps Research Institute,4,"['494,946', '']","['278,099', '']","['3,331', '']","['146,451', '']","['31,164', '']","['35,901', '']","['0', '']"
12713,r093,United States -> California -> Private -> Stanford U.,United States,California,Private,Stanford U.,4,"['1,537,846', '']","['943,669', '']","['31,872', '']","['189,108', '']","['144,300', '']","['219,578', '']","['9,319', '']"
12713,r094,"United States -> California -> Private -> Touro U., California",United States,California,Private,"Touro U., California",4,"['2,877', '']","['1,279', '']","['0', '']","['1,405', '']","['79', '']","['0', '']","['114', '']"
12713,r095,United States -> California -> Private -> U. of the Pacific,United States,California,Private,U. of the Pacific,4,"['1,972', '']","['1,300', '']","['586', '']","['NA', '']","['9', '']","['77', '']","['0', '']"
12713,r096,United States -> California -> Private -> U. San Diego,United States,California,Private,U. San Diego,4,"['12,902', '']","['3,501', '']","['684', '']","['7,498', '']","['69', '']","['542', '']","['608', '']"
12713,r097,United States -> California -> Private -> U. San Francisco,United States,California,Private,U. San Francisco,4,"['9,633', '']","['1,015', '']","['532', '']","['6,848', '']","['0', '']","['279', '']","['959', '']"
12713,r098,United States -> California -> Private -> U. Southern California,United States,California,Private,U. Southern California,4,"['1,154,804', '']","['683,819', '']","['11,881', '']","['239,488', '']","['93,933', '']","['72,744', '']","['52,939', '']"
12713,r099,United States -> California -> Private -> Western U. of Health Sciences,United States,California,Private,Western U. of Health Sciences,4,"['8,929', '']","['6,099', '']","['1,635', '']","['238', '']","['457', '']","['500', '']","['0', '']"
12713,r100,United States -> Colorado,United States,Colorado,,,2,"['2,084,784', '']","['1,542,108', '']","['66,741', '']","['198,776', '']","['102,949', '']","['104,272', '']","['69,938', '']"
12713,r101,United States -> Colorado -> Public,United States,Colorado,Public,,3,"['2,028,802', '']","['1,508,349', '']","['61,832', '']","['192,748', '']","['100,971', '']","['96,347', '']","['68,555', '']"
12713,r102,United States -> Colorado -> Public -> Colorado School of Mines,United States,Colorado,Public,Colorado School of Mines,4,"['104,297', '']","['68,795', '']","['1,804', '']","['14,035', '']","['11,399', '']","['3,388', '']","['4,876', '']"
12713,r103,"United States -> Colorado -> Public -> Colorado State U., Fort Collins",United States,Colorado,Public,"Colorado State U., Fort Collins",4,"['498,073', '']","['354,401', '']","['22,951', '']","['75,358', '']","['13,597', '']","['21,049', '']","['10,717', '']"
12713,r104,"United States -> Colorado -> Public -> Colorado State U., Pueblo",United States,Colorado,Public,"Colorado State U., Pueblo",4,"['1,624', '']","['952', '']","['199', '']","['347', '']","['0', '']","['0', '']","['126', '']"
12713,r105,United States -> Colorado -> Public -> Fort Lewis C.,United States,Colorado,Public,Fort Lewis C.,4,"['3,372', '']","['2,816', '']","['23', '']","['143', '']","['6', '']","['384', '']","['0', '']"
12713,r106,United States -> Colorado -> Public -> U. Colorado Anschutz Medical Campus,United States,Colorado,Public,U. Colorado Anschutz Medical Campus,4,"['686,026', '']","['474,523', '']","['28,973', '']","['52,000', '']","['59,129', '']","['51,546', '']","['19,855', '']"
12713,r107,United States -> Colorado -> Public -> U. Colorado Boulder,United States,Colorado,Public,U. Colorado Boulder,4,"['651,924', '']","['538,715', '']","['5,264', '']","['42,462', '']","['15,045', '']","['18,275', '']","['32,163', '']"
12713,r108,United States -> Colorado -> Public -> U. Colorado Colorado Springs,United States,Colorado,Public,U. Colorado Colorado Springs,4,"['7,012', '']","['5,205', '']","['29', '']","['1,042', '']","['523', '']","['207', '']","['6', '']"
12713,r109,United States -> Colorado -> Public -> U. Colorado Denver,United States,Colorado,Public,U. Colorado Denver,4,"['22,530', '']","['17,181', '']","['2,387', '']","['513', '']","['846', '']","['1,258', '']","['345', '']"
12713,r110,United States -> Colorado -> Public -> U. Northern Colorado,United States,Colorado,Public,U. Northern Colorado,4,"['9,064', '']","['1,705', '']","['202', '']","['6,848', '']","['69', '']","['240', '']","['0', '']"
12713,r111,United States -> Colorado -> Public -> U.S. Air Force Academy,United States,Colorado,Public,U.S. Air Force Academy,4,"['44,880', '']","['44,056', '']","['0', '']","['0', '']","['357', '']","['0', '']","['467', '']"
12713,r112,United States -> Colorado -> Private,United States,Colorado,Private,,3,"['55,982', '']","['33,759', '']","['4,909', '']","['6,028', '']","['1,978', '']","['7,925', '']","['1,383', '']"
12713,r113,United States -> Colorado -> Private -> Colorado C.,United States,Colorado,Private,Colorado C.,4,"['2,498', '']","['611', '']","['0', '']","['1,000', '']","['0', '']","['887', '']","['0', '']"
12713,r114,United States -> Colorado -> Private -> U. Denver,United States,Colorado,Private,U. Denver,4,"['53,484', '']","['33,148', '']","['4,909', '']","['5,028', '']","['1,978', '']","['7,038', '']","['1,383', '']"
12713,r115,United States -> Connecticut,United States,Connecticut,,,2,"['1,757,255', '']","['993,818', '']","['8,507', '']","['542,244', '']","['91,795', '']","['109,772', '']","['11,119', '']"
12713,r116,United States -> Connecticut -> Public,United States,Connecticut,Public,,3,"['401,244', '']","['241,015', '']","['6,160', '']","['125,068', '']","['11,319', '']","['12,658', '']","['5,024', '']"
12713,r117,United States -> Connecticut -> Public -> Central Connecticut State U.,United States,Connecticut,Public,Central Connecticut State U.,4,"['934', '']","['393', '']","['51', '']","['480', '']","['0', '']","['2', '']","['8', '']"
12713,r118,United States -> Connecticut -> Public -> Eastern Connecticut State U.,United States,Connecticut,Public,Eastern Connecticut State U.,4,"['1,449', '']","['210', '']","['0', '']","['1,239', '']","['0', '']","['0', '']","['0', '']"
12713,r119,United States -> Connecticut -> Public -> Southern Connecticut State U.,United States,Connecticut,Public,Southern Connecticut State U.,4,"['8,007', '']","['1,433', '']","['136', '']","['5,810', '']","['68', '']","['239', '']","['321', '']"
12713,r120,United States -> Connecticut -> Public -> U. Connecticut,United States,Connecticut,Public,U. Connecticut,4,"['390,165', '']","['238,701', '']","['5,973', '']","['117,252', '']","['11,251', '']","['12,293', '']","['4,695', '']"
12713,r121,United States -> Connecticut -> Public -> U.S. Coast Guard Academy,United States,Connecticut,Public,U.S. Coast Guard Academy,4,"['689', '']","['278', '']","['0', '']","['287', '']","['0', '']","['124', '']","['0', '']"
12713,r122,United States -> Connecticut -> Private,United States,Connecticut,Private,,3,"['1,356,011', '']","['752,803', '']","['2,347', '']","['417,176', '']","['80,476', '']","['97,114', '']","['6,095', '']"
12713,r123,United States -> Connecticut -> Private -> Connecticut C.,United States,Connecticut,Private,Connecticut C.,4,"['1,440', '']","['648', '']","['0', '']","['575', '']","['0', '']","['211', '']","['6', '']"
12713,r124,United States -> Connecticut -> Private -> Fairfield U.,United States,Connecticut,Private,Fairfield U.,4,"['1,484', '']","['180', '']","['0', '']","['751', '']","['0', '']","['553', '']","['0', '']"
12713,r125,United States -> Connecticut -> Private -> Hartford International U. for Religion and Peace,United States,Connecticut,Private,Hartford International U. for Religion and Peace,4,"['1,485', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1,485', '']","['0', '']"
12713,r126,United States -> Connecticut -> Private -> Sacred Heart U.,United States,Connecticut,Private,Sacred Heart U.,4,"['4,733', '']","['639', '']","['0', '']","['3,892', '']","['0', '']","['202', '']","['0', '']"
12713,r127,"United States -> Connecticut -> Private -> Trinity C., Hartford",United States,Connecticut,Private,"Trinity C., Hartford",4,"['4,099', '']","['687', '']","['0', '']","['3,330', '']","['7', '']","['75', '']","['0', '']"
12713,r128,United States -> Connecticut -> Private -> U. Hartford,United States,Connecticut,Private,U. Hartford,4,"['1,533', '']","['1,269', '']","['8', '']","['203', '']","['3', '']","['50', '']","['0', '']"
12713,r129,United States -> Connecticut -> Private -> U. New Haven,United States,Connecticut,Private,U. New Haven,4,"['3,602', '']","['2,227', '']","['629', '']","['204', '']","['24', '']","['487', '']","['31', '']"
12713,r130,United States -> Connecticut -> Private -> Wesleyan U.,United States,Connecticut,Private,Wesleyan U.,4,"['10,828', '']","['5,955', '']","['0', '']","['3,515', '']","['221', '']","['688', '']","['449', '']"
12713,r131,United States -> Connecticut -> Private -> Yale U.,United States,Connecticut,Private,Yale U.,4,"['1,326,807', '']","['741,198', '']","['1,710', '']","['404,706', '']","['80,221', '']","['93,363', '']","['5,609', '']"
12713,r132,United States -> Delaware,United States,Delaware,,,2,"['461,627', '']","['226,636', '']","['17,254', '']","['192,620', '']","['5,252', '']","['9,372', '']","['10,493', '']"
