table_id,row_id,_b_sex_and_financial_resource_b_full_path,_b_sex_and_financial_resource_b_level_1,_b_sex_and_financial_resource_b_level_2,_b_sex_and_financial_resource_b_level_3,_b_sex_and_financial_resource_b_level_4,_b_sex_and_financial_resource_b_hierarchy_depth,field_all_fields_number_,field_all_fields_percent_,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_other_non_science_and_engineering
9588,r042,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Traineeship,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Traineeship,,3,1181,100.0,95.0,1.4,50.4,0.4,7.8,1.1,9.5,1.0,1.7,4.5,13.2,4.0,5.0,,,1.3,,1.1
9588,r043,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Internship or clinical residency,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Internship or clinical residency,,3,2653,100.0,90.6,1.4,8.3,6.7,16.4,2.0,3.2,4.3,3.6,3.4,36.1,5.2,9.4,0.6,3.2,2.2,1.5,1.8
9588,r044,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Loan (any source),All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Loan (any source),,3,6041,100.0,62.2,1.9,10.4,0.6,3.5,1.0,10.7,0.4,1.6,2.3,18.3,11.6,37.8,2.2,18.5,7.5,2.4,7.3
9588,r045,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Personal sources,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Personal sources,,3,,,,,,,,,,,,,,,,,,,,
9588,r046,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Personal sources -> Savings,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Personal sources,Savings,4,13255,100.0,71.6,2.3,17.0,1.5,8.3,1.7,8.1,1.8,2.2,4.8,12.7,11.1,28.4,2.5,11.6,6.8,2.1,5.4
9588,r047,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Personal sources -> Other earnings during graduate school,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Personal sources,Other earnings during graduate school,4,8329,100.0,63.1,1.8,11.9,1.0,5.1,1.4,9.8,1.1,1.8,2.9,13.6,12.6,36.9,1.8,16.4,9.4,2.9,6.4
9588,r048,"All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Spouse's, partner's, or family's earnings or savings",All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,"Spouse's, partner's, or family's earnings or savings",,3,10789,100.0,72.8,2.4,17.7,1.7,8.9,1.7,7.6,1.9,2.3,4.6,13.4,10.7,27.2,2.6,10.4,6.9,2.2,5.2
9588,r049,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Employer reimbursement or assistance,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Employer reimbursement or assistance,,3,2596,100.0,59.1,2.5,12.6,1.7,5.3,1.4,14.8,1.5,1.5,2.4,8.0,7.4,40.9,2.4,26.4,4.7,0.7,6.7
9588,r050,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Foreign (non-U.S.) support,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Foreign (non-U.S.) support,,3,1149,100.0,73.4,4.0,14.7,3.2,12.1,2.3,7.3,3.7,3.9,4.0,5.6,12.5,26.6,3.2,6.8,6.7,3.7,6.2
9588,r051,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Other ,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Other ,,3,263,100.0,72.6,2.3,16.7,1.5,5.3,0.0,11.4,1.1,1.9,4.9,16.0,11.4,27.4,2.3,12.9,4.6,1.9,5.7
