table_id,row_id,_b_field_and_demographic_characteristic_b_full_path,_b_field_and_demographic_characteristic_b_level_1,_b_field_and_demographic_characteristic_b_level_2,_b_field_and_demographic_characteristic_b_level_3,_b_field_and_demographic_characteristic_b_level_4,_b_field_and_demographic_characteristic_b_hierarchy_depth,field_one_or_more_limitations_of_any_type_number,field_one_or_more_limitations_of_any_type_percent,field_visual_limitations_number,field_visual_limitations_percent,field_hearing_limitations_number,field_hearing_limitations_percent,field_walking_limitations_number,field_walking_limitations_percent,field_lifting_limitations_number,field_lifting_limitations_percent,field_cognitive_limitations_number,field_cognitive_limitations_percent
9491,r011,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Multidisciplinary/ interdisciplinary sciences,4,199,13.0,87,5.7,11,0.7,7,0.5,12,0.8,110,7.2
9491,r012,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Physical sciences,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Physical sciences,4,634,13.1,214,4.4,90,1.9,27,0.6,34,0.7,404,8.3
9491,r013,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Psychology,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Psychology,4,502,15.6,109,3.4,53,1.6,22,0.7,45,1.4,363,11.2
9491,r014,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Social sciences,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Social sciences,4,714,15.8,210,4.6,98,2.2,34,0.8,52,1.1,474,10.5
9491,r015,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Non-science and engineering,Doctorate recipients reporting functional limitation status,Field of doctorate,Non-science and engineering,,3,1532,15.4,528,5.3,256,2.6,115,1.2,169,1.7,903,9.1
9491,r016,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Non-science and engineering -> Business,Doctorate recipients reporting functional limitation status,Field of doctorate,Non-science and engineering,Business,4,113,9.7,59,5.0,27,2.3,9,0.8,15,1.3,46,3.9
9491,r017,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Non-science and engineering -> Education,Doctorate recipients reporting functional limitation status,Field of doctorate,Non-science and engineering,Education,4,468,14.2,175,5.3,74,2.2,38,1.1,56,1.7,248,7.5
9491,r018,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Non-science and engineering -> Humanities,Doctorate recipients reporting functional limitation status,Field of doctorate,Non-science and engineering,Humanities,4,515,17.7,134,4.6,91,3.1,33,1.1,52,1.8,344,11.8
9491,r019,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Non-science and engineering -> Visual and performing arts,Doctorate recipients reporting functional limitation status,Field of doctorate,Non-science and engineering,Visual and performing arts,4,139,19.0,44,6.0,14,1.9,14,1.9,17,2.3,89,12.2
9491,r020,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Non-science and engineering -> Other non-science and engineering,Doctorate recipients reporting functional limitation status,Field of doctorate,Non-science and engineering,Other non-science and engineering,4,297,16.3,116,6.4,50,2.7,21,1.2,29,1.6,176,9.7
9491,r021,Doctorate recipients reporting functional limitation status -> Sex,Doctorate recipients reporting functional limitation status,Sex,,,2,,,,,,,,,,,,
9491,r022,Doctorate recipients reporting functional limitation status -> Sex -> Male,Doctorate recipients reporting functional limitation status,Sex,Male,,3,3103,11.6,1190,4.4,501,1.9,143,0.5,184,0.7,1774,6.6
9491,r023,Doctorate recipients reporting functional limitation status -> Sex -> Female,Doctorate recipients reporting functional limitation status,Sex,Female,,3,3564,15.1,1094,4.6,408,1.7,202,0.9,369,1.6,2320,9.8
9491,r024,Doctorate recipients reporting functional limitation status -> Citizenship status<sup>a</sup>,Doctorate recipients reporting functional limitation status,Citizenship status<sup>a</sup>,,,2,,,,,,,,,,,,
9491,r025,Doctorate recipients reporting functional limitation status -> Citizenship status<sup>a</sup> -> U.S. citizen or permanent resident,Doctorate recipients reporting functional limitation status,Citizenship status<sup>a</sup>,U.S. citizen or permanent resident,,3,4828,14.9,1135,3.5,725,2.2,251,0.8,339,1.0,3413,10.5
9491,r026,Doctorate recipients reporting functional limitation status -> Citizenship status<sup>a</sup> -> Temporary visa holder,Doctorate recipients reporting functional limitation status,Citizenship status<sup>a</sup>,Temporary visa holder,,3,1835,10.2,1148,6.4,184,1.0,94,0.5,213,1.2,678,3.8
