table_id,row_id,sex_and_major_field_of_study_full_path,sex_and_major_field_of_study_level_1,sex_and_major_field_of_study_level_2,sex_and_major_field_of_study_level_3,sex_and_major_field_of_study_level_4,sex_and_major_field_of_study_hierarchy_depth,field_all_recipients,field_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
996,r018,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Sociology,,3,689,417,371,91,215,20,45,46,0
996,r019,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Other social sciences,,3,1986,1072,932,187,451,96,198,140,0
996,r020,All doctorate recipients<sup>c</sup> -> Engineering,All doctorate recipients<sup>c</sup>,Engineering,,,2,9843,5603,5059,1897,426,2326,410,542,2
996,r021,"All doctorate recipients<sup>c</sup> -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>c</sup>,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,378,225,211,58,16,82,55,14,0
996,r022,All doctorate recipients<sup>c</sup> -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>c</sup>,Engineering,Bioengineering and biomedical engineering,,3,1041,554,499,302,35,143,19,55,0
996,r023,All doctorate recipients<sup>c</sup> -> Engineering -> Chemical engineering,All doctorate recipients<sup>c</sup>,Engineering,Chemical engineering,,3,936,523,486,222,18,228,18,37,0
996,r024,All doctorate recipients<sup>c</sup> -> Engineering -> Civil engineering,All doctorate recipients<sup>c</sup>,Engineering,Civil engineering,,3,741,416,361,146,49,139,27,55,0
996,r025,"All doctorate recipients<sup>c</sup> -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>c</sup>,Engineering,"Electrical, electronics, and communications engineering",,3,1900,1161,1047,288,57,624,78,112,2
996,r026,All doctorate recipients<sup>c</sup> -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>c</sup>,Engineering,Industrial and manufacturing engineering,,3,253,127,106,18,36,39,13,21,0
996,r027,All doctorate recipients<sup>c</sup> -> Engineering -> Materials science engineering,All doctorate recipients<sup>c</sup>,Engineering,Materials science engineering,,3,958,515,476,220,19,214,23,39,0
996,r028,All doctorate recipients<sup>c</sup> -> Engineering -> Mechanical engineering,All doctorate recipients<sup>c</sup>,Engineering,Mechanical engineering,,3,1409,766,702,256,69,321,56,64,0
996,r029,All doctorate recipients<sup>c</sup> -> Engineering -> Other engineering,All doctorate recipients<sup>c</sup>,Engineering,Other engineering,,3,2227,1316,1171,387,127,536,121,145,0
996,r030,All doctorate recipients<sup>c</sup> -> Education,All doctorate recipients<sup>c</sup>,Education,,,2,4823,2863,2684,225,1487,134,838,179,0
996,r031,All doctorate recipients<sup>c</sup> -> Education -> Education administration,All doctorate recipients<sup>c</sup>,Education,Education administration,,3,1023,588,567,18,274,23,252,21,0
996,r032,All doctorate recipients<sup>c</sup> -> Education -> Education research,All doctorate recipients<sup>c</sup>,Education,Education research,,3,2405,1444,1350,140,761,81,368,94,0
996,r033,All doctorate recipients<sup>c</sup> -> Education -> Teacher education,All doctorate recipients<sup>c</sup>,Education,Teacher education,,3,112,74,,0,40,,27,,0
996,r034,All doctorate recipients<sup>c</sup> -> Education -> Teaching fields,All doctorate recipients<sup>c</sup>,Education,Teaching fields,,3,908,552,501,42,321,13,125,51,0
996,r035,All doctorate recipients<sup>c</sup> -> Education -> Other education,All doctorate recipients<sup>c</sup>,Education,Other education,,3,375,205,,25,91,,66,,0
996,r036,All doctorate recipients<sup>c</sup> -> Humanities and arts,All doctorate recipients<sup>c</sup>,Humanities and arts,,,2,5290,2624,2334,439,1462,104,329,289,1
996,r037,All doctorate recipients<sup>c</sup> -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>c</sup>,Humanities and arts,Foreign languages and literature,,3,624,317,284,44,210,6,24,33,0
996,r038,All doctorate recipients<sup>c</sup> -> Humanities and arts -> History,All doctorate recipients<sup>c</sup>,Humanities and arts,History,,3,1066,554,472,122,252,11,87,82,0
996,r039,All doctorate recipients<sup>c</sup> -> Humanities and arts -> Letters,All doctorate recipients<sup>c</sup>,Humanities and arts,Letters,,3,1465,775,719,123,503,38,55,55,1
996,r040,All doctorate recipients<sup>c</sup> -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>c</sup>,Humanities and arts,Other humanities and arts,,3,2135,978,859,150,497,49,163,119,0
996,r041,All doctorate recipients<sup>c</sup> -> Other<sup>d</sup>,All doctorate recipients<sup>c</sup>,Other<sup>d</sup>,,,2,3113,1918,1686,145,1228,164,149,231,1
996,r042,All doctorate recipients<sup>c</sup> -> Other<sup>d</sup> -> Business management and administration,All doctorate recipients<sup>c</sup>,Other<sup>d</sup>,Business management and administration,,3,1522,1043,893,31,713,99,50,149,1
996,r043,All doctorate recipients<sup>c</sup> -> Other<sup>d</sup> -> Communication,All doctorate recipients<sup>c</sup>,Other<sup>d</sup>,Communication,,3,626,359,332,41,258,21,12,27,0
996,r044,All doctorate recipients<sup>c</sup> -> Other<sup>d</sup> -> Non-S&E fields nec,All doctorate recipients<sup>c</sup>,Other<sup>d</sup>,Non-S&E fields nec,,3,965,516,461,73,257,44,87,55,0
996,r045,All doctorate recipients<sup>c</sup> -> Male,All doctorate recipients<sup>c</sup>,Male,,,2,29146,17694,15719,6271,3667,4228,1553,1969,6
996,r046,All doctorate recipients<sup>c</sup> -> Male -> Life sciences,All doctorate recipients<sup>c</sup>,Male,Life sciences,,3,5629,3415,3151,2040,413,496,202,264,0
996,r047,All doctorate recipients<sup>c</sup> -> Male -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>c</sup>,Male,Life sciences,Agricultural sciences and natural resources,4,809,470,401,193,66,96,46,69,0
996,r048,All doctorate recipients<sup>c</sup> -> Male -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>c</sup>,Male,Life sciences,Biological and biomedical sciences,4,4014,2448,2300,1657,206,335,102,148,0
996,r049,All doctorate recipients<sup>c</sup> -> Male -> Life sciences -> Health sciences,All doctorate recipients<sup>c</sup>,Male,Life sciences,Health sciences,4,806,497,450,190,141,65,54,47,0
996,r050,All doctorate recipients<sup>c</sup> -> Male -> Physical sciences and earth sciences,All doctorate recipients<sup>c</sup>,Male,Physical sciences and earth sciences,,3,4068,2527,2250,1323,202,600,125,277,0
996,r051,All doctorate recipients<sup>c</sup> -> Male -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>c</sup>,Male,Physical sciences and earth sciences,Chemistry,4,1669,988,918,536,82,273,27,70,0
996,r052,"All doctorate recipients<sup>c</sup> -> Male -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>c</sup>,Male,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",4,645,426,375,228,45,51,51,51,0
996,r053,All doctorate recipients<sup>c</sup> -> Male -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>c</sup>,Male,Physical sciences and earth sciences,Physics and astronomy,4,1754,1113,957,559,75,276,47,156,0
996,r054,All doctorate recipients<sup>c</sup> -> Male -> Mathematics and computer sciences,All doctorate recipients<sup>c</sup>,Male,Mathematics and computer sciences,,3,2866,1920,1710,485,342,788,95,209,1
996,r055,All doctorate recipients<sup>c</sup> -> Male -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>c</sup>,Male,Mathematics and computer sciences,Computer and information sciences,4,1540,1067,971,172,187,554,58,95,1
996,r056,All doctorate recipients<sup>c</sup> -> Male -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>c</sup>,Male,Mathematics and computer sciences,Mathematics and statistics,4,1326,853,739,313,155,234,37,114,0
996,r057,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,,3,3693,2346,1955,647,737,291,280,390,1
996,r058,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Psychology,4,1135,727,697,367,162,89,79,30,0
996,r059,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Anthropology,4,158,76,59,27,,,7,17,0
996,r060,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Economics,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Economics,4,812,621,426,64,175,123,64,194,1
996,r061,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Political science and government,4,454,283,240,67,,,28,43,0
996,r062,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Sociology,4,267,170,142,43,75,6,18,28,0
996,r063,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Other social sciences,4,867,469,391,79,177,51,84,78,0
996,r064,All doctorate recipients<sup>c</sup> -> Male -> Engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,,3,7389,4362,3926,1461,284,1855,326,434,2
996,r065,"All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>c</sup>,Male,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,334,201,,,,71,50,,0
996,r066,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Bioengineering and biomedical engineering,4,612,342,310,186,16,98,10,32,0
996,r067,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Chemical engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Chemical engineering,4,663,380,352,175,11,153,13,28,0
996,r068,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Civil engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Civil engineering,4,520,299,,111,,96,16,,0
996,r069,"All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>c</sup>,Male,Engineering,"Electrical, electronics, and communications engineering",4,1541,975,873,239,43,527,64,100,2
996,r070,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Industrial and manufacturing engineering,4,169,90,,,21,28,10,,0
996,r071,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Materials science engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Materials science engineering,4,706,391,366,170,11,165,20,25,0
996,r072,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Mechanical engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Mechanical engineering,4,1168,659,601,216,57,278,50,58,0
996,r073,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Other engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Other engineering,4,1676,1025,913,298,83,439,93,112,0
996,r074,All doctorate recipients<sup>c</sup> -> Male -> Education,All doctorate recipients<sup>c</sup>,Male,Education,,3,1521,922,824,58,448,44,274,98,0
996,r075,All doctorate recipients<sup>c</sup> -> Male -> Education -> Education administration,All doctorate recipients<sup>c</sup>,Male,Education,Education administration,4,372,224,212,5,88,11,108,12,0
996,r076,All doctorate recipients<sup>c</sup> -> Male -> Education -> Education research,All doctorate recipients<sup>c</sup>,Male,Education,Education research,4,768,455,395,33,236,25,101,60,0
996,r077,All doctorate recipients<sup>c</sup> -> Male -> Education -> Teacher education,All doctorate recipients<sup>c</sup>,Male,Education,Teacher education,4,22,11,11,0,8,,,0,0
996,r078,All doctorate recipients<sup>c</sup> -> Male -> Education -> Teaching fields,All doctorate recipients<sup>c</sup>,Male,Education,Teaching fields,4,256,167,146,11,92,,,21,0
996,r079,All doctorate recipients<sup>c</sup> -> Male -> Education -> Other education,All doctorate recipients<sup>c</sup>,Male,Education,Other education,4,103,65,60,9,24,,,5,0
996,r080,All doctorate recipients<sup>c</sup> -> Male -> Humanities and arts,All doctorate recipients<sup>c</sup>,Male,Humanities and arts,,3,2581,1274,1109,200,664,62,183,164,1
996,r081,All doctorate recipients<sup>c</sup> -> Male -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>c</sup>,Male,Humanities and arts,Foreign languages and literature,4,239,118,107,15,79,,,11,0
996,r082,All doctorate recipients<sup>c</sup> -> Male -> Humanities and arts -> History,All doctorate recipients<sup>c</sup>,Male,Humanities and arts,History,4,596,309,254,63,128,,,55,0
996,r083,All doctorate recipients<sup>c</sup> -> Male -> Humanities and arts -> Letters,All doctorate recipients<sup>c</sup>,Male,Humanities and arts,Letters,4,591,314,287,52,193,23,19,26,1
996,r084,All doctorate recipients<sup>c</sup> -> Male -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>c</sup>,Male,Humanities and arts,Other humanities and arts,4,1155,533,461,70,264,29,98,72,0
996,r085,All doctorate recipients<sup>c</sup> -> Male -> Other<sup>d</sup>,All doctorate recipients<sup>c</sup>,Male,Other<sup>d</sup>,,3,1399,928,794,57,577,92,68,133,1
996,r086,All doctorate recipients<sup>c</sup> -> Male -> Other<sup>d</sup> -> Business management and administration,All doctorate recipients<sup>c</sup>,Male,Other<sup>d</sup>,Business management and administration,4,846,617,518,20,406,63,29,98,1
996,r087,All doctorate recipients<sup>c</sup> -> Male -> Other<sup>d</sup> -> Communication,All doctorate recipients<sup>c</sup>,Male,Other<sup>d</sup>,Communication,4,198,122,113,13,86,10,4,9,0
996,r088,All doctorate recipients<sup>c</sup> -> Male -> Other<sup>d</sup> -> Non-S&E fields nec,All doctorate recipients<sup>c</sup>,Male,Other<sup>d</sup>,Non-S&E fields nec,4,355,189,163,24,85,19,35,26,0
996,r089,All doctorate recipients<sup>c</sup> -> Female,All doctorate recipients<sup>c</sup>,Female,,,2,25495,14544,13436,5141,4570,1932,1793,1106,2
996,r090,All doctorate recipients<sup>c</sup> -> Female -> Life sciences,All doctorate recipients<sup>c</sup>,Female,Life sciences,,3,6958,3986,3717,2137,679,515,386,269,0
996,r091,All doctorate recipients<sup>c</sup> -> Female -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>c</sup>,Female,Life sciences,Agricultural sciences and natural resources,4,795,402,342,157,88,53,44,60,0
996,r092,All doctorate recipients<sup>c</sup> -> Female -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>c</sup>,Female,Life sciences,Biological and biomedical sciences,4,4461,2549,2405,1705,227,341,132,144,0
996,r093,All doctorate recipients<sup>c</sup> -> Female -> Life sciences -> Health sciences,All doctorate recipients<sup>c</sup>,Female,Life sciences,Health sciences,4,1702,1035,970,275,364,121,210,65,0
996,r094,All doctorate recipients<sup>c</sup> -> Female -> Physical sciences and earth sciences,All doctorate recipients<sup>c</sup>,Female,Physical sciences and earth sciences,,3,2011,1144,1020,543,129,273,75,122,2
996,r095,All doctorate recipients<sup>c</sup> -> Female -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>c</sup>,Female,Physical sciences and earth sciences,Chemistry,4,1026,565,525,241,71,188,25,39,1
996,r096,"All doctorate recipients<sup>c</sup> -> Female -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>c</sup>,Female,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",4,520,310,263,156,34,35,38,46,1
996,r097,All doctorate recipients<sup>c</sup> -> Female -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>c</sup>,Female,Physical sciences and earth sciences,Physics and astronomy,4,465,269,232,146,24,50,12,37,0
996,r098,All doctorate recipients<sup>c</sup> -> Female -> Mathematics and computer sciences,All doctorate recipients<sup>c</sup>,Female,Mathematics and computer sciences,,3,976,568,504,146,149,170,39,64,0
996,r099,All doctorate recipients<sup>c</sup> -> Female -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>c</sup>,Female,Mathematics and computer sciences,Computer and information sciences,4,447,254,231,54,69,88,20,23,0
996,r100,All doctorate recipients<sup>c</sup> -> Female -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>c</sup>,Female,Mathematics and computer sciences,Mathematics and statistics,4,529,314,273,92,80,82,19,41,0
996,r101,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,,3,5381,3324,3085,1385,983,299,418,239,0
996,r102,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Psychology,4,2824,1834,1781,1096,329,160,196,53,0
996,r103,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Anthropology,4,297,158,135,57,,,17,23,0
996,r104,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Economics,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Economics,4,423,289,231,27,99,64,41,58,0
996,r105,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Political science and government,4,298,193,168,49,,,23,25,0
996,r106,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Sociology,4,421,247,229,48,140,14,27,18,0
996,r107,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Other social sciences,4,1118,603,541,108,274,45,114,62,0
996,r108,All doctorate recipients<sup>c</sup> -> Female -> Engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,,3,2448,1241,1133,436,142,471,84,108,0
996,r109,"All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>c</sup>,Female,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,44,24,,,,11,5,,0
996,r110,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Bioengineering and biomedical engineering,4,429,212,189,116,19,45,9,23,0
996,r111,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Chemical engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Chemical engineering,4,272,143,134,47,7,75,5,9,0
996,r112,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Civil engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Civil engineering,4,219,117,,35,,43,11,,0
996,r113,"All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>c</sup>,Female,Engineering,"Electrical, electronics, and communications engineering",4,359,186,174,49,14,97,14,12,0
996,r114,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Industrial and manufacturing engineering,4,83,37,,,15,11,3,,0
996,r115,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Materials science engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Materials science engineering,4,252,124,110,50,8,49,3,14,0
996,r116,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Mechanical engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Mechanical engineering,4,241,107,101,40,12,43,6,6,0
996,r117,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Other engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Other engineering,4,549,291,258,89,44,97,28,33,0
996,r118,All doctorate recipients<sup>c</sup> -> Female -> Education,All doctorate recipients<sup>c</sup>,Female,Education,,3,3300,1941,1860,167,1039,90,564,81,0
996,r119,All doctorate recipients<sup>c</sup> -> Female -> Education -> Education administration,All doctorate recipients<sup>c</sup>,Female,Education,Education administration,4,651,364,355,13,186,12,144,9,0
996,r120,All doctorate recipients<sup>c</sup> -> Female -> Education -> Education research,All doctorate recipients<sup>c</sup>,Female,Education,Education research,4,1636,989,955,107,525,56,267,34,0
996,r121,All doctorate recipients<sup>c</sup> -> Female -> Education -> Teacher education,All doctorate recipients<sup>c</sup>,Female,Education,Teacher education,4,89,63,,0,32,,,,0
996,r122,All doctorate recipients<sup>c</sup> -> Female -> Education -> Teaching fields,All doctorate recipients<sup>c</sup>,Female,Education,Teaching fields,4,652,385,355,31,229,,,30,0
996,r123,All doctorate recipients<sup>c</sup> -> Female -> Education -> Other education,All doctorate recipients<sup>c</sup>,Female,Education,Other education,4,272,140,,16,67,10,,,0
996,r124,All doctorate recipients<sup>c</sup> -> Female -> Humanities and arts,All doctorate recipients<sup>c</sup>,Female,Humanities and arts,,3,2708,1350,1225,239,798,42,146,125,0
996,r125,All doctorate recipients<sup>c</sup> -> Female -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>c</sup>,Female,Humanities and arts,Foreign languages and literature,4,385,199,177,29,131,,,22,0
996,r126,All doctorate recipients<sup>c</sup> -> Female -> Humanities and arts -> History,All doctorate recipients<sup>c</sup>,Female,Humanities and arts,History,4,470,245,218,59,124,,,27,0
996,r127,All doctorate recipients<sup>c</sup> -> Female -> Humanities and arts -> Letters,All doctorate recipients<sup>c</sup>,Female,Humanities and arts,Letters,4,874,461,432,71,310,15,36,29,0
996,r128,All doctorate recipients<sup>c</sup> -> Female -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>c</sup>,Female,Humanities and arts,Other humanities and arts,4,979,445,398,80,233,20,65,47,0
996,r129,All doctorate recipients<sup>c</sup> -> Female -> Other<sup>d</sup>,All doctorate recipients<sup>c</sup>,Female,Other<sup>d</sup>,,3,1713,990,892,88,651,72,81,98,0
996,r130,All doctorate recipients<sup>c</sup> -> Female -> Other<sup>d</sup> -> Business management and administration,All doctorate recipients<sup>c</sup>,Female,Other<sup>d</sup>,Business management and administration,4,675,426,375,11,307,36,21,51,0
996,r131,All doctorate recipients<sup>c</sup> -> Female -> Other<sup>d</sup> -> Communication,All doctorate recipients<sup>c</sup>,Female,Other<sup>d</sup>,Communication,4,428,237,219,28,172,11,8,18,0
996,r132,All doctorate recipients<sup>c</sup> -> Female -> Other<sup>d</sup> -> Non-S&E fields nec,All doctorate recipients<sup>c</sup>,Female,Other<sup>d</sup>,Non-S&E fields nec,4,610,327,298,49,172,25,52,29,0
