table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2017,field_2018,field_2019_all_non_s_e_fields,field_2019_business_management_and_business_administration,field_2019_communication_and_communications_technologies,field_2019_education,field_2019_humanities,field_2019_law,field_2019_social_work,field_2019_visual_and_performing_arts,field_2019_other
3172,r022,All institutions -> Georgia State U.,All institutions,Georgia State U.,2,21,"['16,406', '']","['16,409', '']","['15,303', '']","['117', '']","['1,380', '']","['10,831', '']","['18', '']","['50', '']","['2,907', '']","['0', '']","['0', '']"
3172,r023,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,22,"['14,747', '']","['14,947', '']","['14,982', '']","['1,478', '']","['126', '']","['13,146', '']","['209', '']","['0', '']","['1', '']","['0', '']","['22', '']"
3172,r024,"All institutions -> U. South Carolina, Columbia",All institutions,"U. South Carolina, Columbia",2,23,"['6,483', '']","['7,654', '']","['14,940', '']","['350', '']","['0', '']","['2,492', '']","['231', '']","['0', '']","['4,574', '']","['0', '']","['7,293', '']"
3172,r025,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,24,"['17,813', '']","['18,382', '']","['14,831', '']","['119', '']","['202', '']","['13,185', '']","['623', '']","['0', '']","['32', '']","['1', '']","['669', '']"
3172,r026,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,25,"['16,506', '']","['16,517', '']","['14,612', '']","['283', '']","['2,990', '']","['7,244', '']","['259', '']","['181', '']","['0', '']","['128', '']","['3,527', '']"
3172,r027,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,26,"['12,776', '']","['9,589', '']","['13,557', '']","['1,856', '']","['568', '']","['4,025', '']","['920', '']","['1,861', '']","['4,298', '']","['29', '']","['0', '']"
3172,r028,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,27,"['14,218', '']","['12,944', '']","['13,495', '']","['440', '']","['1,182', '']","['8,870', '']","['384', '']","['0', '']","['478', '']","['3', '']","['2,138', '']"
3172,r029,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,28,"['14,248', '']","['13,978', '']","['13,200', '']","['28', '']","['0', '']","['2,620', '']","['376', '']","['25', '']","['1,974', '']","['92', '']","['8,085', '']"
3172,r030,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,29,"['8,047', '']","['18,090', '']","['12,974', '']","['132', '']","['1,672', '']","['9,996', '']","['587', '']","['58', '']","['0', '']","['289', '']","['240', '']"
3172,r031,All institutions -> U. Southern California,All institutions,U. Southern California,2,30,"['13,689', '']","['13,812', '']","['12,636', '']","['1,073', '']","['644', '']","['2,365', '']","['308', '']","['583', '']","['5,238', '']","['2,021', '']","['404', '']"
3172,r032,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,31,"['14,846', '']","['12,546', '']","['12,304', '']","['855', '']","['24', '']","['4,299', '']","['304', '']","['42', '']","['6,475', '']","['0', '']","['305', '']"
3172,r033,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,32,"['5,809', '']","['9,358', '']","['11,623', '']","['101', '']","['0', '']","['260', '']","['0', '']","['0', '']","['11,262', '']","['0', '']","['0', '']"
3172,r034,All institutions -> Temple U.,All institutions,Temple U.,2,33,"['9,768', '']","['13,807', '']","['11,472', '']","['538', '']","['0', '']","['5,606', '']","['103', '']","['390', '']","['1,568', '']","['6', '']","['3,261', '']"
3172,r035,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,34,"['7,629', '']","['9,006', '']","['10,651', '']","['623', '']","['149', '']","['6,388', '']","['621', '']","['191', '']","['499', '']","['40', '']","['2,140', '']"
3172,r036,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,35,"['24,683', '']","['20,089', '']","['10,578', '']","['920', '']","['743', '']","['5,512', '']","['283', '']","['0', '']","['2,008', '']","['0', '']","['1,112', '']"
3172,r037,All institutions -> Tufts U.,All institutions,Tufts U.,2,36,"['1,528', '']","['10,930', '']","['10,542', '']","['0', '']","['0', '']","['1,915', '']","['93', '']","['0', '']","['0', '']","['0', '']","['8,534', '']"
3172,r038,All institutions -> U. West Florida,All institutions,U. West Florida,2,37,"['9,334', '']","['7,485', '']","['10,296', '']","['8,239', '']","['0', '']","['985', '']","['238', '']","['0', '']","['31', '']","['0', '']","['803', '']"
3172,r039,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,38,"['8,746', '']","['8,991', '']","['9,860', '']","['613', '']","['0', '']","['9,106', '']","['141', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3172,r040,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,39,"['9,983', '']","['8,025', '']","['9,288', '']","['2,265', '']","['46', '']","['5,336', '']","['1,531', '']","['74', '']","['0', '']","['36', '']","['0', '']"
3172,r041,"All institutions -> U. Massachusetts, Boston",All institutions,"U. Massachusetts, Boston",2,40,"['13,626', '']","['13,560', '']","['8,966', '']","['0', '']","['0', '']","['8,706', '']","['120', '']","['0', '']","['140', '']","['0', '']","['0', '']"
3172,r042,All institutions -> U. Denver,All institutions,U. Denver,2,41,"['1,967', '']","['2,775', '']","['8,855', '']","['28', '']","['27', '']","['2,209', '']","['0', '']","['39', '']","['6,552', '']","['0', '']","['0', '']"
3172,r043,All institutions -> Clemson U.,All institutions,Clemson U.,2,42,"['7,336', '']","['7,117', '']","['8,745', '']","['81', '']","['0', '']","['767', '']","['14', '']","['0', '']","['0', '']","['0', '']","['7,883', '']"
3172,r044,All institutions -> Western Michigan U. and Homer Stryker M.D. School of Medicine,All institutions,Western Michigan U. and Homer Stryker M.D. School of Medicine,2,42,"['3,118', '']","['3,880', '']","['8,745', '']","['0', '']","['0', '']","['8,735', '']","['10', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3172,r045,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,44,"['7,127', '']","['8,035', '']","['8,459', '']","['28', '']","['1,335', '']","['2,357', '']","['97', '']","['0', '']","['651', '']","['11', '']","['3,980', '']"
3172,r046,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,45,"['5,035', '']","['11,686', '']","['8,352', '']","['0', '']","['0', '']","['0', '']","['6,114', '']","['0', '']","['0', '']","['0', '']","['2,238', '']"
3172,r047,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,46,"['6,760', '']","['11,392', '']","['8,309', '']","['62', '']","['658', '']","['1,728', '']","['63', '']","['0', '']","['86', '']","['0', '']","['5,712', '']"
3172,r048,"All institutions -> Montana State U., Bozeman",All institutions,"Montana State U., Bozeman",2,47,"['8,339', '']","['7,819', '']","['8,000', '']","['197', '']","['0', '']","['1,140', '']","['8', '']","['0', '']","['0', '']","['15', '']","['6,640', '']"
3172,r049,All institutions -> U. Baltimore,All institutions,U. Baltimore,2,48,"['1,367', '']","['5,789', '']","['7,794', '']","['0', '']","['0', '']","['15', '']","['0', '']","['548', '']","['0', '']","['0', '']","['7,231', '']"
3172,r050,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,49,"['9,319', '']","['7,518', '']","['7,677', '']","['0', '']","['0', '']","['3,304', '']","['1,260', '']","['0', '']","['874', '']","['0', '']","['2,239', '']"
3172,r051,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,50,"['6,784', '']","['8,560', '']","['7,525', '']","['82', '']","['1,218', '']","['2,234', '']","['116', '']","['0', '']","['0', '']","['347', '']","['3,528', '']"
3172,r052,"All institutions -> U. North Carolina, Greensboro",All institutions,"U. North Carolina, Greensboro",2,51,"['6,509', '']","['6,575', '']","['7,396', '']","['86', '']","['0', '']","['6,189', '']","['12', '']","['0', '']","['621', '']","['40', '']","['448', '']"
3172,r053,"All institutions -> U. Massachusetts, Amherst",All institutions,"U. Massachusetts, Amherst",2,52,"['6,879', '']","['7,099', '']","['7,296', '']","['180', '']","['0', '']","['4,937', '']","['42', '']","['76', '']","['0', '']","['405', '']","['1,656', '']"
3172,r054,All institutions -> Harvard U.,All institutions,Harvard U.,2,53,"['7,888', '']","['8,862', '']","['7,282', '']","['0', '']","['0', '']","['7,056', '']","['154', '']","['72', '']","['0', '']","['0', '']","['0', '']"
3172,r055,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,54,"['7,259', '']","['7,965', '']","['6,897', '']","['406', '']","['0', '']","['3,698', '']","['92', '']","['0', '']","['1,990', '']","['345', '']","['366', '']"
3172,r056,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,55,"['2,955', '']","['4,231', '']","['6,871', '']","['0', '']","['141', '']","['4,669', '']","['174', '']","['0', '']","['683', '']","['0', '']","['1,204', '']"
3172,r057,All institutions -> Florida International U.,All institutions,Florida International U.,2,56,"['5,228', '']","['5,124', '']","['6,845', '']","['670', '']","['0', '']","['5,778', '']","['128', '']","['0', '']","['19', '']","['0', '']","['250', '']"
3172,r058,All institutions -> Portland State U.,All institutions,Portland State U.,2,57,"['9,082', '']","['7,797', '']","['6,754', '']","['21', '']","['36', '']","['1,663', '']","['251', '']","['0', '']","['1,765', '']","['0', '']","['3,018', '']"
3172,r059,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,58,"['3,791', '']","['4,943', '']","['6,273', '']","['140', '']","['1,192', '']","['4,447', '']","['98', '']","['386', '']","['0', '']","['10', '']","['0', '']"
3172,r060,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,59,"['5,130', '']","['6,037', '']","['6,179', '']","['1,058', '']","['0', '']","['3,548', '']","['94', '']","['0', '']","['504', '']","['0', '']","['975', '']"
3172,r061,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,60,"['5,771', '']","['5,451', '']","['5,790', '']","['0', '']","['0', '']","['10', '']","['75', '']","['0', '']","['0', '']","['0', '']","['5,705', '']"
3172,r062,All institutions -> U. Connecticut,All institutions,U. Connecticut,2,61,"['3,660', '']","['5,026', '']","['5,724', '']","['1,474', '']","['85', '']","['2,828', '']","['16', '']","['4', '']","['650', '']","['50', '']","['617', '']"
3172,r063,All institutions -> Syracuse U.,All institutions,Syracuse U.,2,62,"['7,879', '']","['6,493', '']","['5,660', '']","['1,605', '']","['311', '']","['1,284', '']","['28', '']","['2,363', '']","['0', '']","['0', '']","['69', '']"
3172,r064,All institutions -> U. New Hampshire,All institutions,U. New Hampshire,2,63,"['6,624', '']","['7,953', '']","['5,642', '']","['952', '']","['0', '']","['3,908', '']","['65', '']","['0', '']","['717', '']","['0', '']","['0', '']"
3172,r065,All institutions -> Illinois State U.,All institutions,Illinois State U.,2,64,"['2,613', '']","['3,570', '']","['5,437', '']","['0', '']","['0', '']","['5,207', '']","['7', '']","['0', '']","['46', '']","['0', '']","['177', '']"
3172,r066,All institutions -> Texas Tech U.,All institutions,Texas Tech U.,2,65,"['7,921', '']","['6,854', '']","['5,279', '']","['430', '']","['102', '']","['4,627', '']","['48', '']","['0', '']","['0', '']","['9', '']","['63', '']"
3172,r067,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,66,"['6,667', '']","['6,847', '']","['5,215', '']","['127', '']","['686', '']","['657', '']","['59', '']","['40', '']","['74', '']","['20', '']","['3,552', '']"
3172,r068,All institutions -> Naval Postgraduate School,All institutions,Naval Postgraduate School,2,67,"['4,836', '']","['2,989', '']","['5,190', '']","['2,009', '']","['0', '']","['1,907', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1,274', '']"
3172,r069,All institutions -> U. Colorado Denver and Anschutz Medical Campus,All institutions,U. Colorado Denver and Anschutz Medical Campus,2,68,"['6,247', '']","['5,691', '']","['5,122', '']","['137', '']","['0', '']","['3,833', '']","['228', '']","['0', '']","['172', '']","['0', '']","['752', '']"
3172,r070,All institutions -> U. Chicago,All institutions,U. Chicago,2,69,"['5,641', '']","['5,351', '']","['4,939', '']","['283', '']","['0', '']","['1,348', '']","['620', '']","['58', '']","['2,630', '']","['0', '']","['0', '']"
3172,r071,All institutions -> George Mason U.,All institutions,George Mason U.,2,70,"['4,913', '']","['5,166', '']","['4,930', '']","['808', '']","['969', '']","['2,285', '']","['462', '']","['0', '']","['0', '']","['11', '']","['395', '']"
3172,r072,All institutions -> William & Mary,All institutions,William & Mary,2,71,"['4,698', '']","['5,667', '']","['4,871', '']","['0', '']","['0', '']","['4,341', '']","['85', '']","['281', '']","['0', '']","['7', '']","['157', '']"
3172,r073,All institutions -> Boston U.,All institutions,Boston U.,2,72,"['6,004', '']","['20,607', '']","['4,841', '']","['132', '']","['0', '']","['3,227', '']","['0', '']","['0', '']","['1,482', '']","['0', '']","['0', '']"
3172,r074,"All institutions -> U. Alabama, Tuscaloosa",All institutions,"U. Alabama, Tuscaloosa",2,73,"['3,348', '']","['2,787', '']","['4,683', '']","['614', '']","['7', '']","['1,504', '']","['0', '']","['0', '']","['2,374', '']","['10', '']","['174', '']"
3172,r075,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,74,"['7,877', '']","['4,836', '']","['4,560', '']","['530', '']","['1,184', '']","['1,979', '']","['298', '']","['509', '']","['0', '']","['60', '']","['0', '']"
3172,r076,"All institutions -> SUNY, U. Buffalo",All institutions,"SUNY, U. Buffalo",2,75,"['2,523', '']","['3,370', '']","['4,525', '']","['88', '']","['0', '']","['3,935', '']","['453', '']","['0', '']","['0', '']","['30', '']","['19', '']"
3172,r077,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,76,"['4,730', '']","['4,818', '']","['4,474', '']","['102', '']","['0', '']","['3,266', '']","['1,106', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3172,r078,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,77,"['3,805', '']","['3,841', '']","['4,470', '']","['165', '']","['0', '']","['3,033', '']","['209', '']","['0', '']","['0', '']","['30', '']","['1,033', '']"
3172,r079,All institutions -> Boston C.,All institutions,Boston C.,2,78,"['3,511', '']","['2,867', '']","['4,458', '']","['0', '']","['0', '']","['2,253', '']","['0', '']","['67', '']","['2,138', '']","['0', '']","['0', '']"
3172,r080,All institutions -> Naval War C.,All institutions,Naval War C.,2,79,"['0', 'i']","['0', '']","['4,381', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['4,381', '']"
3172,r081,All institutions -> U. Delaware,All institutions,U. Delaware,2,80,"['4,782', '']","['4,991', '']","['4,369', '']","['2', '']","['19', '']","['4,321', '']","['27', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3172,r082,All institutions -> Rochester Institute of Technology,All institutions,Rochester Institute of Technology,2,81,"['3,398', '']","['3,298', '']","['4,164', '']","['0', '']","['0', '']","['3,254', '']","['208', '']","['0', '']","['0', '']","['571', '']","['131', '']"
3172,r083,All institutions -> U. Louisville,All institutions,U. Louisville,2,82,"['2,397', '']","['3,230', '']","['4,142', '']","['205', '']","['0', '']","['323', '']","['0', '']","['356', '']","['2,570', '']","['0', '']","['688', '']"
3172,r084,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,83,"['4,412', '']","['5,195', '']","['4,106', '']","['64', '']","['0', '']","['3,797', '']","['89', '']","['5', '']","['0', '']","['151', '']","['0', '']"
3172,r085,All institutions -> Northeastern U.,All institutions,Northeastern U.,2,84,"['3,382', '']","['5,268', '']","['4,099', '']","['378', '']","['220', '']","['1,987', '']","['360', '']","['887', '']","['0', '']","['149', '']","['118', '']"
3172,r086,All institutions -> U.S. Military Academy,All institutions,U.S. Military Academy,2,85,"['6,183', '']","['7,080', '']","['4,096', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['4,096', '']"
3172,r087,All institutions -> U. Notre Dame,All institutions,U. Notre Dame,2,86,"['1,749', '']","['4,038', '']","['4,076', '']","['28', '']","['0', '']","['0', '']","['295', '']","['0', '']","['0', '']","['0', '']","['3,753', '']"
3172,r088,"All institutions -> U. Louisiana, Lafayette",All institutions,"U. Louisiana, Lafayette",2,87,"['8,942', '']","['8,108', '']","['4,059', '']","['375', '']","['0', '']","['3,675', '']","['6', '']","['0', '']","['0', '']","['3', '']","['0', '']"
3172,r089,"All institutions -> U. Arkansas, Fayetteville",All institutions,"U. Arkansas, Fayetteville",2,88,"['4,292', '']","['4,649', '']","['4,004', '']","['29', '']","['8', '']","['2,746', '']","['47', '']","['654', '']","['34', '']","['98', '']","['388', '']"
3172,r090,All institutions -> U. Arizona,All institutions,U. Arizona,2,89,"['4,366', '']","['3,915', '']","['3,965', '']","['0', '']","['79', '']","['3,075', '']","['0', '']","['158', '']","['0', '']","['0', '']","['653', '']"
3172,r091,All institutions -> U. Iowa,All institutions,U. Iowa,2,90,"['2,163', '']","['2,901', '']","['3,924', '']","['285', '']","['0', '']","['2,110', '']","['434', '']","['674', '']","['421', '']","['0', '']","['0', '']"
3172,r092,"All institutions -> CUNY, John Jay C. of Criminal Justice",All institutions,"CUNY, John Jay C. of Criminal Justice",2,91,"['2,993', '']","['2,947', '']","['3,817', '']","['0', '']","['0', '']","['0', '']","['0', '']","['3,811', '']","['0', '']","['0', '']","['6', '']"
3172,r093,All institutions -> Old Dominion U.,All institutions,Old Dominion U.,2,92,"['9,514', '']","['3,792', '']","['3,722', '']","['94', '']","['0', '']","['3,622', '']","['3', '']","['0', '']","['0', '']","['3', '']","['0', '']"
3172,r094,All institutions -> Wayne State U.,All institutions,Wayne State U.,2,93,"['2,556', '']","['3,227', '']","['3,694', '']","['0', '']","['0', '']","['552', '']","['0', '']","['46', '']","['1,660', '']","['80', '']","['1,356', '']"
3172,r095,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,94,"['2,837', '']","['3,078', '']","['3,524', '']","['2,583', '']","['0', '']","['824', '']","['60', '']","['0', '']","['0', '']","['0', '']","['57', '']"
3172,r096,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,95,"['4,675', '']","['4,757', '']","['3,399', '']","['10', '']","['49', '']","['2,478', '']","['235', '']","['0', '']","['21', '']","['0', '']","['606', '']"
3172,r097,All institutions -> Drexel U.,All institutions,Drexel U.,2,96,"['1,595', '']","['2,703', '']","['3,321', '']","['158', '']","['0', '']","['1,822', '']","['0', '']","['0', '']","['0', '']","['266', '']","['1,075', '']"
3172,r098,All institutions -> U. Georgia,All institutions,U. Georgia,2,97,"['4,950', '']","['3,617', '']","['3,320', '']","['8', '']","['8', '']","['2,079', '']","['450', '']","['0', '']","['0', '']","['0', '']","['775', '']"
3172,r099,All institutions -> Yale U.,All institutions,Yale U.,2,98,"['9,613', '']","['3,216', '']","['3,285', '']","['2,388', '']","['0', '']","['47', '']","['813', '']","['0', '']","['0', '']","['19', '']","['18', '']"
3172,r100,All institutions -> Florida A&M U.,All institutions,Florida A&M U.,2,99,"['2,484', '']","['2,561', '']","['3,245', '']","['354', '']","['0', '']","['530', '']","['0', '']","['0', '']","['0', '']","['51', '']","['2,310', '']"
3172,r101,All institutions -> U. Cincinnati,All institutions,U. Cincinnati,2,100,"['2,578', '']","['3,802', '']","['3,236', '']","['0', '']","['0', '']","['2,015', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1,221', '']"
3172,r102,All institutions -> Rensselaer Polytechnic Institute,All institutions,Rensselaer Polytechnic Institute,2,101,"['3,381', '']","['3,735', '']","['3,203', '']","['24', '']","['17', '']","['0', '']","['0', '']","['0', '']","['0', '']","['70', '']","['3,092', '']"
3172,r103,All institutions -> Seton Hall U.,All institutions,Seton Hall U.,2,102,"['1,132', '']","['2,827', '']","['3,172', '']","['0', '']","['0', '']","['3,172', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3172,r104,All institutions -> U. Rhode Island,All institutions,U. Rhode Island,2,103,"['3,162', '']","['2,891', '']","['3,167', '']","['8', '']","['262', '']","['759', '']","['784', '']","['136', '']","['0', '']","['0', '']","['1,218', '']"
3172,r105,All institutions -> Cornell U.,All institutions,Cornell U.,2,104,"['2,827', '']","['5,552', '']","['3,147', '']","['180', '']","['659', '']","['0', '']","['152', '']","['113', '']","['0', '']","['261', '']","['1,782', '']"
3172,r106,All institutions -> George Washington U.,All institutions,George Washington U.,2,105,"['3,802', '']","['3,356', '']","['3,135', '']","['343', '']","['0', '']","['2,085', '']","['331', '']","['39', '']","['0', '']","['0', '']","['337', '']"
3172,r107,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,106,"['2,976', '']","['2,704', '']","['3,085', '']","['441', '']","['126', '']","['509', '']","['0', '']","['0', '']","['473', '']","['0', '']","['1,536', '']"
3172,r108,All institutions -> U. New Mexico,All institutions,U. New Mexico,2,107,"['5,545', '']","['2,637', '']","['3,075', '']","['727', '']","['5', '']","['1,401', '']","['102', '']","['78', '']","['243', '']","['0', '']","['519', '']"
3172,r109,All institutions -> U. Idaho,All institutions,U. Idaho,2,108,"['2,056', '']","['3,697', '']","['3,067', '']","['840', '']","['0', '']","['2,074', '']","['2', '']","['0', '']","['0', '']","['0', '']","['151', '']"
3172,r110,All institutions -> West Virginia U.,All institutions,West Virginia U.,2,109,"['2,511', '']","['3,009', '']","['3,033', '']","['75', '']","['193', '']","['903', '']","['33', '']","['0', '']","['2', '']","['0', '']","['1,827', '']"
3172,r111,All institutions -> Wichita State U.,All institutions,Wichita State U.,2,110,"['2,178', '']","['2,184', '']","['3,001', '']","['4', '']","['2', '']","['0', '']","['109', '']","['0', '']","['0', '']","['0', '']","['2,886', '']"
3172,r112,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,111,"['4,284', '']","['3,323', '']","['2,948', '']","['514', '']","['212', '']","['1,976', '']","['246', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3172,r113,All institutions -> North Carolina Agricultural and Technical State U.,All institutions,North Carolina Agricultural and Technical State U.,2,112,"['1,450', '']","['2,662', '']","['2,939', '']","['1,120', '']","['0', '']","['813', '']","['0', '']","['0', '']","['1', '']","['0', '']","['1,005', '']"
