table_id,row_id,_b_citizenship_ethnicity_and_race_b_full_path,_b_citizenship_ethnicity_and_race_b_level_1,_b_citizenship_ethnicity_and_race_b_level_2,_b_citizenship_ethnicity_and_race_b_level_3,_b_citizenship_ethnicity_and_race_b_level_4,_b_citizenship_ethnicity_and_race_b_level_5,_b_citizenship_ethnicity_and_race_b_hierarchy_depth,field_part_time_total,field_part_time_male,field_part_time_female,field_full_time_total,field_full_time_male,field_full_time_female,field_full_time_first_time_total,field_full_time_first_time_male,field_full_time_first_time_female
10637,r037,"Master's students, imputation rate (%) -> All master's students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race","Master's students, imputation rate (%)",All master's students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,5,0.7,0.8,2.7,1.9,2.2,2.5,1.2,1.7,1.3
10637,r038,"Master's students, imputation rate (%) -> All master's students -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race","Master's students, imputation rate (%)",All master's students,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,4,2.1,2.6,5.7,3.6,2.8,4.4,4.2,3.4,5.0
10637,r039,"Master's students, imputation rate (%) -> Temporary visa holders","Master's students, imputation rate (%)",Temporary visa holders,,,,2,1.0,1.3,1.4,0.9,1.6,1.6,0.7,1.1,0.8
10637,r040,"Master's students, number imputed<sup>b</sup>","Master's students, number imputed<sup>b</sup>",,,,,1,,,,,,,,,
10637,r041,"Master's students, number imputed<sup>b</sup> -> All master's students","Master's students, number imputed<sup>b</sup>",All master's students,,,,2,2305,1592,3594,4004,4041,5928,1843,1239,2023
10637,r042,"Master's students, number imputed<sup>b</sup> -> All master's students -> U.S. citizens and permanent residents<sup>a</sup>","Master's students, number imputed<sup>b</sup>",All master's students,U.S. citizens and permanent residents<sup>a</sup>,,,3,,,,,,,,,
10637,r043,"Master's students, number imputed<sup>b</sup> -> All master's students -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino","Master's students, number imputed<sup>b</sup>",All master's students,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,4,468,217,827,1103,319,1107,430,114,399
10637,r044,"Master's students, number imputed<sup>b</sup> -> All master's students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino","Master's students, number imputed<sup>b</sup>",All master's students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,4,,,,,,,,,
10637,r045,"Master's students, number imputed<sup>b</sup> -> All master's students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native","Master's students, number imputed<sup>b</sup>",All master's students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,5,17,4,13,131,16,117,94,6,90
10637,r046,"Master's students, number imputed<sup>b</sup> -> All master's students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian","Master's students, number imputed<sup>b</sup>",All master's students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,5,138,77,114,302,174,278,117,53,91
10637,r047,"Master's students, number imputed<sup>b</sup> -> All master's students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American","Master's students, number imputed<sup>b</sup>",All master's students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,5,533,185,501,749,248,560,356,129,241
10637,r048,"Master's students, number imputed<sup>b</sup> -> All master's students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander","Master's students, number imputed<sup>b</sup>",All master's students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,2,1,1,5,2,3,0,0,0
10637,r049,"Master's students, number imputed<sup>b</sup> -> All master's students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White","Master's students, number imputed<sup>b</sup>",All master's students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,5,1134,681,1654,2271,1044,2328,983,325,818
10637,r050,"Master's students, number imputed<sup>b</sup> -> All master's students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race","Master's students, number imputed<sup>b</sup>",All master's students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,5,38,19,70,131,61,104,37,22,24
10637,r051,"Master's students, number imputed<sup>b</sup> -> All master's students -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race","Master's students, number imputed<sup>b</sup>",All master's students,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,4,181,114,235,242,76,178,119,39,83
10637,r052,"Master's students, number imputed<sup>b</sup> -> All master's students -> Temporary visa holders","Master's students, number imputed<sup>b</sup>",All master's students,Temporary visa holders,,,3,270,229,148,1389,1505,916,511,514,238
