table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_research_and_development_any_r_d_number,field_research_and_development_any_r_d_se,field_research_and_development_basic_research_number,field_research_and_development_basic_research_se,field_research_and_development_applied_research_number,field_research_and_development_applied_research_se,field_research_and_development_experimental_development_number,field_research_and_development_experimental_development_se,field_total_number,field_total_se,field_computer_applications_number,field_computer_applications_se,field_design_number,field_design_se,field_management_sales_or_administrationa_number,field_management_sales_or_administrationa_se,field_professional_services_number,field_professional_services_se,field_teaching_number,field_teaching_se,field_otherb_number,field_otherb_se
8210,r042,Doctorate recipient -> Sector of employment -> State or local government,Doctorate recipient,Sector of employment,State or local government,,3,19650,750,6950,425,1050,200,4950,375,950,225,12700,575,850,150,450,125,6400,450,3150,350,150,50,1800,225
8210,r043,Doctorate recipient -> Sector of employment -> Self-employed<sup>i</sup>,Doctorate recipient,Sector of employment,Self-employed<sup>i</sup>,,3,42650,1075,8100,500,700,175,5250,400,2150,250,34500,1050,1400,250,700,150,5200,425,22400,800,1800,250,3050,375
8210,r044,Doctorate recipient -> Sector of employment -> Other sector<sup>j</sup>,Doctorate recipient,Sector of employment,Other sector<sup>j</sup>,,3,7300,425,3350,300,400,125,1950,250,1000,200,3950,325,500,150,400,100,1600,200,900,150,S,S,500,125
8210,r045,Doctorate recipient -> Employer location,Doctorate recipient,Employer location,,,2,,,,,,,,,,,,,,,,,,,,,,,,
8210,r046,Doctorate recipient -> Employer location -> New England,Doctorate recipient,Employer location,New England,,3,81350,1750,33650,950,9350,525,17650,650,6700,475,47700,1275,4200,375,1650,225,16600,725,9700,650,12550,600,3000,325
8210,r047,Doctorate recipient -> Employer location -> Middle Atlantic,Doctorate recipient,Employer location,Middle Atlantic,,3,117150,1750,43400,1225,13550,725,22150,850,7650,475,73750,1600,5500,400,2600,300,21350,775,14950,775,24700,800,4650,425
8210,r048,Doctorate recipient -> Employer location -> East North Central,Doctorate recipient,Employer location,East North Central,,3,101700,1550,38200,975,12050,600,18750,700,7400,500,63500,1200,3850,400,2400,300,19500,675,11400,550,22950,850,3450,325
8210,r049,Doctorate recipient -> Employer location -> West North Central,Doctorate recipient,Employer location,West North Central,,3,48800,1175,17850,625,5950,450,8150,400,3750,350,30950,975,1550,275,900,175,9150,525,5700,425,11900,600,1750,250
8210,r050,Doctorate recipient -> Employer location -> South Atlantic,Doctorate recipient,Employer location,South Atlantic,,3,167250,1950,62150,1225,16300,725,36950,925,8850,500,105100,1625,6350,450,3850,325,35850,975,19200,700,29850,950,10050,575
8210,r051,Doctorate recipient -> Employer location -> East South Central,Doctorate recipient,Employer location,East South Central,,3,30000,900,11000,600,3850,375,5750,400,1400,225,19000,725,650,125,500,125,5300,400,3250,325,8150,400,1200,150
8210,r052,Doctorate recipient -> Employer location -> West South Central,Doctorate recipient,Employer location,West South Central,,3,66900,1325,24850,825,7600,450,12850,575,4450,400,42050,1025,3300,275,2450,375,12350,550,7100,450,14100,625,2750,300
8210,r053,Doctorate recipient -> Employer location -> Mountain,Doctorate recipient,Employer location,Mountain,,3,59300,1150,23600,825,6150,500,13150,600,4300,400,35700,875,2300,275,1950,275,11000,500,6800,475,10750,525,2850,300
8210,r054,Doctorate recipient -> Employer location -> Pacific,Doctorate recipient,Employer location,Pacific,,3,193000,2200,76100,1400,16400,625,37600,975,22100,825,116900,1750,17100,775,8300,500,39000,1025,20300,850,23400,775,8800,625
8210,r055,Doctorate recipient -> Employer location -> U.S. territories and other areas,Doctorate recipient,Employer location,U.S. territories and other areas,,3,6650,425,2400,275,850,175,1150,250,400,125,4250,400,S,S,250,125,1550,225,500,125,1450,200,350,150
