table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_expensed_machinery_and_equipment,field_materials_and_supplies,field_payments_to_business_partners_for_collaborative_r_d,field_purchased_r_d_service,field_depreciation_on_r_d_property_and_equipment,field_other
2570,r014,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['S', '&nbsp;']","['    0 ', '&nbsp;']"
2570,r015,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['    27,976 ', '&nbsp;']","['    16,541 ', 'r']","['    2,484 ', 'r']","['    5,915 ', '&nbsp;']","['    123 ', 'r']","['    744 ', 'r']","['    288 ', 'r']","['    1,882 ', 'r']"
2570,r016,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['    144,870 ', '&nbsp;']","['    83,465 ', '&nbsp;']","['    8,251 ', 'r']","['    18,319 ', '&nbsp;']","['    6,244 ', 'r']","['    8,058 ', 'r']","['    1,079 ', '&nbsp;']","['    19,454 ', '&nbsp;']"
2570,r017,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['    10,757 ', 'r']","['    6,724 ', 'r']","['    672 ', 'r']","['    1,343 ', 'r']","['    504 ', 'r']","['    504 ', 'r']","['    504 ', 'r']","['    504 ', 'r']"
2570,r018,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['    2,055 ', '&nbsp;']","['    707 ', '&nbsp;']","['    48 ', 'r']","['    720 ', '&nbsp;']","['    203 ', '&nbsp;']","['S', '&nbsp;']","['    0 ', '&nbsp;']","['    123 ', '&nbsp;']"
2570,r019,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2570,r020,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['    25,993 ', '&nbsp;']","['    10,762 ', '&nbsp;']","['    642 ', 'r']","['    3,339 ', '&nbsp;']","['    279 ', 'r']","['    6,804 ', 'r']","['    230 ', 'r']","['    3,938 ', 'r']"
2570,r021,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['    2,849,769 ', '&nbsp;']","['    1,615,839 ', '&nbsp;']","['    89,311 ', '&nbsp;']","['    221,838 ', '&nbsp;']","['    122,887 ', '&nbsp;']","['    288,912 ', '&nbsp;']","['    37,312 ', '&nbsp;']","['    473,670 ', '&nbsp;']"
2570,r022,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['    79,414 ', '&nbsp;']","['    40,106 ', '&nbsp;']","['    1,508 ', '&nbsp;']","['    2,261 ', '&nbsp;']","['    7,388 ', 'r']","['    17,257 ', 'r']","['    421 ', '&nbsp;']","['    10,474 ', '&nbsp;']"
2570,r023,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['    388,034 ', '&nbsp;']","['    243,867 ', '&nbsp;']","['    11,481 ', '&nbsp;']","['    12,523 ', '&nbsp;']","['    9,357 ', '&nbsp;']","['    9,898 ', '&nbsp;']","['    926 ', '&nbsp;']","['    99,980 ', 'r']"
2570,r024,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['    216,041 ', '&nbsp;']","['    156,520 ', '&nbsp;']","['    10,235 ', 'r']","['    10,724 ', '&nbsp;']","['    4,420 ', 'r']","['    9,035 ', '&nbsp;']","['    909 ', '&nbsp;']","['    24,197 ', '&nbsp;']"
2570,r025,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 (excluding 5112),"['    171,992 ', 'r']","['    87,347 ', '&nbsp;']","['    1,246 ', 'r']","['    1,799 ', 'r']","['    4,938 ', 'r']","['    863 ', 'r']","['    17 ', 'r']","['    75,783 ', 'r']"
2570,r026,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['    216,146 ', '&nbsp;']","['    120,927 ', '&nbsp;']","['    11,077 ', '&nbsp;']","['    24,118 ', '&nbsp;']","['    9,067 ', '&nbsp;']","['    9,550 ', 'r']","['    2,645 ', '&nbsp;']","['    38,762 ', '&nbsp;']"
2570,r027,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['    904,128 ', '&nbsp;']","['    697,459 ', '&nbsp;']","['    27,576 ', '&nbsp;']","['    33,373 ', '&nbsp;']","['    14,019 ', '&nbsp;']","['    18,301 ', '&nbsp;']","['    9,375 ', '&nbsp;']","['    104,025 ', '&nbsp;']"
2570,r028,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['    1,262,048 ', '&nbsp;']","['    513,481 ', '&nbsp;']","['    37,670 ', '&nbsp;']","['    149,562 ', '&nbsp;']","['    83,055 ', '&nbsp;']","['    233,906 ', '&nbsp;']","['    23,945 ', '&nbsp;']","['    220,428 ', '&nbsp;']"
