table_id,row_id,level_and_field_of_highest_degree_full_path,level_and_field_of_highest_degree_level_1,level_and_field_of_highest_degree_level_2,level_and_field_of_highest_degree_level_3,level_and_field_of_highest_degree_level_4,level_and_field_of_highest_degree_level_5,level_and_field_of_highest_degree_hierarchy_depth,field_2003,field_2010,field_2013,field_2015,field_2017,field_2019,field_2021
7784,r014,Employed scientists and engineers -> S&E fields -> Physical and related sciences -> Other physical sciences,Employed scientists and engineers,S&E fields,Physical and related sciences,Other physical sciences,,4,9000,8000,5000,4000,8000,4000,6000
7784,r015,Employed scientists and engineers -> S&E fields -> Social and related sciences,Employed scientists and engineers,S&E fields,Social and related sciences,,,3,462000,556000,599000,660000,679000,754000,758000
7784,r016,Employed scientists and engineers -> S&E fields -> Social and related sciences -> Economics,Employed scientists and engineers,S&E fields,Social and related sciences,Economics,,4,67000,80000,78000,98000,115000,130000,123000
7784,r017,Employed scientists and engineers -> S&E fields -> Social and related sciences -> Political and related sciences,Employed scientists and engineers,S&E fields,Social and related sciences,Political and related sciences,,4,61000,89000,82000,89000,107000,107000,115000
7784,r018,Employed scientists and engineers -> S&E fields -> Social and related sciences -> Psychology,Employed scientists and engineers,S&E fields,Social and related sciences,Psychology,,4,237000,260000,296000,309000,306000,341000,337000
7784,r019,Employed scientists and engineers -> S&E fields -> Social and related sciences -> Sociology and anthropology,Employed scientists and engineers,S&E fields,Social and related sciences,Sociology and anthropology,,4,61000,66000,78000,88000,95000,102000,112000
7784,r020,Employed scientists and engineers -> S&E fields -> Social and related sciences -> Other social sciences,Employed scientists and engineers,S&E fields,Social and related sciences,Other social sciences,,4,36000,61000,65000,75000,58000,74000,71000
7784,r021,Employed scientists and engineers -> S&E fields -> Engineering,Employed scientists and engineers,S&E fields,Engineering,,,3,1362000,1498000,1611000,1834000,1970000,2159000,2277000
7784,r022,"Employed scientists and engineers -> S&E fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",Employed scientists and engineers,S&E fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,4,42000,44000,46000,62000,58000,81000,84000
7784,r023,Employed scientists and engineers -> S&E fields -> Engineering -> Chemical engineering,Employed scientists and engineers,S&E fields,Engineering,Chemical engineering,,4,89000,95000,101000,114000,129000,138000,148000
7784,r024,Employed scientists and engineers -> S&E fields -> Engineering -> Civil and architectural engineering,Employed scientists and engineers,S&E fields,Engineering,Civil and architectural engineering,,4,225000,223000,229000,235000,250000,284000,296000
7784,r025,Employed scientists and engineers -> S&E fields -> Engineering -> Electrical and computer engineering,Employed scientists and engineers,S&E fields,Engineering,Electrical and computer engineering,,4,497000,580000,621000,739000,820000,849000,885000
7784,r026,Employed scientists and engineers -> S&E fields -> Engineering -> Industrial engineering,Employed scientists and engineers,S&E fields,Engineering,Industrial engineering,,4,57000,62000,73000,80000,83000,86000,82000
7784,r027,Employed scientists and engineers -> S&E fields -> Engineering -> Mechanical engineering,Employed scientists and engineers,S&E fields,Engineering,Mechanical engineering,,4,278000,308000,338000,396000,387000,452000,500000
7784,r028,Employed scientists and engineers -> S&E fields -> Engineering -> Other engineering,Employed scientists and engineers,S&E fields,Engineering,Other engineering,,4,174000,186000,202000,209000,243000,269000,283000
7784,r029,Employed scientists and engineers -> S&E-related fields,Employed scientists and engineers,S&E-related fields,,,,2,274000,329000,326000,367000,382000,428000,439000
7784,r030,Employed scientists and engineers -> S&E-related fields -> Health,Employed scientists and engineers,S&E-related fields,Health,,,3,93000,119000,117000,133000,146000,164000,190000
7784,r031,Employed scientists and engineers -> S&E-related fields -> Science and mathematics teacher education,Employed scientists and engineers,S&E-related fields,Science and mathematics teacher education,,,3,23000,23000,30000,23000,29000,29000,30000
7784,r032,Employed scientists and engineers -> S&E-related fields -> Technology and technical fields,Employed scientists and engineers,S&E-related fields,Technology and technical fields,,,3,130000,153000,135000,168000,173000,186000,170000
7784,r033,Employed scientists and engineers -> S&E-related fields -> Other S&E-related fields,Employed scientists and engineers,S&E-related fields,Other S&E-related fields,,,3,28000,34000,43000,44000,35000,49000,48000
7784,r034,Employed scientists and engineers -> Non-S&E fields,Employed scientists and engineers,Non-S&E fields,,,,2,995000,1074000,1090000,1186000,1301000,1330000,1396000
7784,r035,Employed scientists and engineers -> Non-S&E fields -> Management and administration fields,Employed scientists and engineers,Non-S&E fields,Management and administration fields,,,3,511000,567000,514000,559000,573000,666000,647000
7784,r036,"Employed scientists and engineers -> Non-S&E fields -> Education, except science and math teacher education",Employed scientists and engineers,Non-S&E fields,"Education, except science and math teacher education",,,3,92000,57000,54000,62000,98000,76000,94000
7784,r037,Employed scientists and engineers -> Non-S&E fields -> Social service and related fields,Employed scientists and engineers,Non-S&E fields,Social service and related fields,,,3,47000,57000,70000,66000,58000,77000,77000
7784,r038,Employed scientists and engineers -> Non-S&E fields -> Sales and marketing fields,Employed scientists and engineers,Non-S&E fields,Sales and marketing fields,,,3,52000,42000,33000,43000,103000,53000,61000
7784,r039,Employed scientists and engineers -> Non-S&E fields -> Art and humanities fields,Employed scientists and engineers,Non-S&E fields,Art and humanities fields,,,3,146000,183000,192000,229000,226000,224000,273000
7784,r040,Employed scientists and engineers -> Non-S&E fields -> Other non-S&E fields,Employed scientists and engineers,Non-S&E fields,Other non-S&E fields,,,3,147000,168000,227000,228000,242000,233000,244000
7784,r041,Employed scientists and engineers -> Bachelor's,Employed scientists and engineers,Bachelor's,,,,2,2529000,2980000,3288000,3518000,3846000,4176000,4438000
7784,r042,Employed scientists and engineers -> Bachelor's -> S&E fields,Employed scientists and engineers,Bachelor's,S&E fields,,,3,1821000,2204000,2482000,2707000,2918000,3251000,3499000
7784,r043,"Employed scientists and engineers -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences",Employed scientists and engineers,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",,4,184000,237000,291000,270000,321000,344000,371000
7784,r044,"Employed scientists and engineers -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",Employed scientists and engineers,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,5,23000,35000,28000,22000,24000,31000,39000
7784,r045,"Employed scientists and engineers -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",Employed scientists and engineers,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,5,125000,170000,223000,204000,265000,266000,281000
7784,r046,"Employed scientists and engineers -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",Employed scientists and engineers,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,5,36000,32000,39000,44000,31000,47000,51000
7784,r047,Employed scientists and engineers -> Bachelor's -> S&E fields -> Computer and mathematical sciences,Employed scientists and engineers,Bachelor's,S&E fields,Computer and mathematical sciences,,4,454000,640000,757000,808000,879000,1032000,1137000
7784,r048,Employed scientists and engineers -> Bachelor's -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,Employed scientists and engineers,Bachelor's,S&E fields,Computer and mathematical sciences,Computer and information sciences,5,366000,552000,661000,721000,807000,915000,1024000
7784,r049,Employed scientists and engineers -> Bachelor's -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,Employed scientists and engineers,Bachelor's,S&E fields,Computer and mathematical sciences,Mathematics and statistics,5,88000,88000,95000,87000,72000,117000,113000
7784,r050,Employed scientists and engineers -> Bachelor's -> S&E fields -> Physical and related sciences,Employed scientists and engineers,Bachelor's,S&E fields,Physical and related sciences,,4,144000,148000,150000,159000,147000,194000,199000
7784,r051,"Employed scientists and engineers -> Bachelor's -> S&E fields -> Physical and related sciences -> Chemistry, except biochemistry",Employed scientists and engineers,Bachelor's,S&E fields,Physical and related sciences,"Chemistry, except biochemistry",5,68000,73000,73000,86000,73000,91000,93000
7784,r052,"Employed scientists and engineers -> Bachelor's -> S&E fields -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",Employed scientists and engineers,Bachelor's,S&E fields,Physical and related sciences,"Earth, atmospheric, and ocean sciences",5,42000,38000,40000,39000,39000,59000,54000
7784,r053,Employed scientists and engineers -> Bachelor's -> S&E fields -> Physical and related sciences -> Physics and astronomy,Employed scientists and engineers,Bachelor's,S&E fields,Physical and related sciences,Physics and astronomy,5,29000,33000,33000,31000,29000,40000,49000
7784,r054,Employed scientists and engineers -> Bachelor's -> S&E fields -> Physical and related sciences -> Other physical sciences,Employed scientists and engineers,Bachelor's,S&E fields,Physical and related sciences,Other physical sciences,5,5000,4000,4000,S,7000,S,S
7784,r055,Employed scientists and engineers -> Bachelor's -> S&E fields -> Social and related sciences,Employed scientists and engineers,Bachelor's,S&E fields,Social and related sciences,,4,159000,207000,226000,272000,305000,327000,321000
7784,r056,Employed scientists and engineers -> Bachelor's -> S&E fields -> Social and related sciences -> Economics,Employed scientists and engineers,Bachelor's,S&E fields,Social and related sciences,Economics,5,34000,37000,38000,57000,70000,79000,67000
7784,r057,Employed scientists and engineers -> Bachelor's -> S&E fields -> Social and related sciences -> Political and related sciences,Employed scientists and engineers,Bachelor's,S&E fields,Social and related sciences,Political and related sciences,5,35000,37000,39000,33000,52000,48000,52000
7784,r058,Employed scientists and engineers -> Bachelor's -> S&E fields -> Social and related sciences -> Psychology,Employed scientists and engineers,Bachelor's,S&E fields,Social and related sciences,Psychology,5,45000,73000,77000,88000,101000,116000,108000
7784,r059,Employed scientists and engineers -> Bachelor's -> S&E fields -> Social and related sciences -> Sociology and anthropology,Employed scientists and engineers,Bachelor's,S&E fields,Social and related sciences,Sociology and anthropology,5,26000,26000,38000,42000,50000,45000,54000
7784,r060,Employed scientists and engineers -> Bachelor's -> S&E fields -> Social and related sciences -> Other social sciences,Employed scientists and engineers,Bachelor's,S&E fields,Social and related sciences,Other social sciences,5,19000,34000,35000,51000,32000,39000,39000
7784,r061,Employed scientists and engineers -> Bachelor's -> S&E fields -> Engineering,Employed scientists and engineers,Bachelor's,S&E fields,Engineering,,4,880000,973000,1058000,1197000,1265000,1355000,1470000
7784,r062,"Employed scientists and engineers -> Bachelor's -> S&E fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",Employed scientists and engineers,Bachelor's,S&E fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",5,25000,22000,29000,40000,32000,47000,47000
7784,r063,Employed scientists and engineers -> Bachelor's -> S&E fields -> Engineering -> Chemical engineering,Employed scientists and engineers,Bachelor's,S&E fields,Engineering,Chemical engineering,5,59000,66000,71000,83000,95000,98000,112000
7784,r064,Employed scientists and engineers -> Bachelor's -> S&E fields -> Engineering -> Civil and architectural engineering,Employed scientists and engineers,Bachelor's,S&E fields,Engineering,Civil and architectural engineering,5,157000,163000,154000,150000,169000,182000,194000
7784,r065,Employed scientists and engineers -> Bachelor's -> S&E fields -> Engineering -> Electrical and computer engineering,Employed scientists and engineers,Bachelor's,S&E fields,Engineering,Electrical and computer engineering,5,312000,364000,402000,476000,516000,523000,569000
7784,r066,Employed scientists and engineers -> Bachelor's -> S&E fields -> Engineering -> Industrial engineering,Employed scientists and engineers,Bachelor's,S&E fields,Engineering,Industrial engineering,5,37000,38000,54000,53000,51000,54000,46000
7784,r067,Employed scientists and engineers -> Bachelor's -> S&E fields -> Engineering -> Mechanical engineering,Employed scientists and engineers,Bachelor's,S&E fields,Engineering,Mechanical engineering,5,205000,229000,247000,297000,284000,325000,372000
7784,r068,Employed scientists and engineers -> Bachelor's -> S&E fields -> Engineering -> Other engineering,Employed scientists and engineers,Bachelor's,S&E fields,Engineering,Other engineering,5,84000,91000,99000,98000,118000,125000,130000
7784,r069,Employed scientists and engineers -> Bachelor's -> S&E-related fields,Employed scientists and engineers,Bachelor's,S&E-related fields,,,3,151000,180000,170000,183000,189000,193000,203000
7784,r070,Employed scientists and engineers -> Bachelor's -> S&E-related fields -> Health,Employed scientists and engineers,Bachelor's,S&E-related fields,Health,,4,28000,44000,37000,43000,43000,36000,57000
7784,r071,Employed scientists and engineers -> Bachelor's -> S&E-related fields -> Science and mathematics teacher education,Employed scientists and engineers,Bachelor's,S&E-related fields,Science and mathematics teacher education,,4,7000,10000,8000,5000,5000,4000,S
7784,r072,Employed scientists and engineers -> Bachelor's -> S&E-related fields -> Technology and technical fields,Employed scientists and engineers,Bachelor's,S&E-related fields,Technology and technical fields,,4,102000,115000,109000,117000,125000,132000,117000
7784,r073,Employed scientists and engineers -> Bachelor's -> S&E-related fields -> Other S&E-related fields,Employed scientists and engineers,Bachelor's,S&E-related fields,Other S&E-related fields,,4,13000,12000,16000,18000,16000,21000,18000
7784,r074,Employed scientists and engineers -> Bachelor's -> Non-S&E fields,Employed scientists and engineers,Bachelor's,Non-S&E fields,,,3,558000,596000,637000,628000,740000,732000,736000
7784,r075,Employed scientists and engineers -> Bachelor's -> Non-S&E fields -> Management and administration fields,Employed scientists and engineers,Bachelor's,Non-S&E fields,Management and administration fields,,4,263000,309000,264000,263000,274000,344000,292000
7784,r076,"Employed scientists and engineers -> Bachelor's -> Non-S&E fields -> Education, except science and math teacher education",Employed scientists and engineers,Bachelor's,Non-S&E fields,"Education, except science and math teacher education",,4,37000,22000,19000,18000,38000,28000,32000
7784,r077,Employed scientists and engineers -> Bachelor's -> Non-S&E fields -> Social service and related fields,Employed scientists and engineers,Bachelor's,Non-S&E fields,Social service and related fields,,4,17000,14000,22000,15000,17000,22000,26000
7784,r078,Employed scientists and engineers -> Bachelor's -> Non-S&E fields -> Sales and marketing fields,Employed scientists and engineers,Bachelor's,Non-S&E fields,Sales and marketing fields,,4,33000,31000,21000,24000,83000,37000,44000
7784,r079,Employed scientists and engineers -> Bachelor's -> Non-S&E fields -> Art and humanities fields,Employed scientists and engineers,Bachelor's,Non-S&E fields,Art and humanities fields,,4,123000,149000,164000,191000,197000,189000,231000
7784,r080,Employed scientists and engineers -> Bachelor's -> Non-S&E fields -> Other non-S&E fields,Employed scientists and engineers,Bachelor's,Non-S&E fields,Other non-S&E fields,,4,85000,71000,146000,117000,130000,112000,112000
7784,r081,Employed scientists and engineers -> Master's,Employed scientists and engineers,Master's,,,,2,1406000,1644000,1689000,2076000,2069000,2286000,2411000
7784,r082,Employed scientists and engineers -> Master's -> S&E fields,Employed scientists and engineers,Master's,S&E fields,,,3,929000,1126000,1192000,1461000,1442000,1589000,1671000
7784,r083,"Employed scientists and engineers -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences",Employed scientists and engineers,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",,4,82000,123000,119000,175000,123000,132000,157000
7784,r084,"Employed scientists and engineers -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",Employed scientists and engineers,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,5,9000,25000,23000,29000,21000,13000,20000
7784,r085,"Employed scientists and engineers -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",Employed scientists and engineers,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,5,57000,78000,79000,125000,83000,90000,107000
7784,r086,"Employed scientists and engineers -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",Employed scientists and engineers,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,5,15000,20000,17000,21000,18000,28000,29000
7784,r087,Employed scientists and engineers -> Master's -> S&E fields -> Computer and mathematical sciences,Employed scientists and engineers,Master's,S&E fields,Computer and mathematical sciences,,4,246000,321000,375000,474000,482000,543000,560000
7784,r088,Employed scientists and engineers -> Master's -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,Employed scientists and engineers,Master's,S&E fields,Computer and mathematical sciences,Computer and information sciences,5,194000,255000,308000,401000,411000,463000,481000
7784,r089,Employed scientists and engineers -> Master's -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,Employed scientists and engineers,Master's,S&E fields,Computer and mathematical sciences,Mathematics and statistics,5,52000,65000,67000,73000,70000,81000,79000
7784,r090,Employed scientists and engineers -> Master's -> S&E fields -> Physical and related sciences,Employed scientists and engineers,Master's,S&E fields,Physical and related sciences,,4,75000,78000,81000,91000,98000,88000,106000
7784,r091,"Employed scientists and engineers -> Master's -> S&E fields -> Physical and related sciences -> Chemistry, except biochemistry",Employed scientists and engineers,Master's,S&E fields,Physical and related sciences,"Chemistry, except biochemistry",5,26000,24000,26000,25000,32000,26000,28000
7784,r092,"Employed scientists and engineers -> Master's -> S&E fields -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",Employed scientists and engineers,Master's,S&E fields,Physical and related sciences,"Earth, atmospheric, and ocean sciences",5,29000,32000,34000,41000,38000,28000,39000
7784,r093,Employed scientists and engineers -> Master's -> S&E fields -> Physical and related sciences -> Physics and astronomy,Employed scientists and engineers,Master's,S&E fields,Physical and related sciences,Physics and astronomy,5,19000,19000,20000,24000,27000,33000,37000
7784,r094,Employed scientists and engineers -> Master's -> S&E fields -> Physical and related sciences -> Other physical sciences,Employed scientists and engineers,Master's,S&E fields,Physical and related sciences,Other physical sciences,5,1000,3000,1000,1000,1000,1000,S
7784,r095,Employed scientists and engineers -> Master's -> S&E fields -> Social and related sciences,Employed scientists and engineers,Master's,S&E fields,Social and related sciences,,4,146000,179000,182000,203000,176000,194000,212000
7784,r096,Employed scientists and engineers -> Master's -> S&E fields -> Social and related sciences -> Economics,Employed scientists and engineers,Master's,S&E fields,Social and related sciences,Economics,5,17000,17000,19000,20000,20000,26000,30000
7784,r097,Employed scientists and engineers -> Master's -> S&E fields -> Social and related sciences -> Political and related sciences,Employed scientists and engineers,Master's,S&E fields,Social and related sciences,Political and related sciences,5,17000,37000,27000,39000,37000,34000,46000
7784,r098,Employed scientists and engineers -> Master's -> S&E fields -> Social and related sciences -> Psychology,Employed scientists and engineers,Master's,S&E fields,Social and related sciences,Psychology,5,84000,82000,99000,102000,87000,92000,96000
7784,r099,Employed scientists and engineers -> Master's -> S&E fields -> Social and related sciences -> Sociology and anthropology,Employed scientists and engineers,Master's,S&E fields,Social and related sciences,Sociology and anthropology,5,18000,20000,16000,24000,18000,19000,22000
7784,r100,Employed scientists and engineers -> Master's -> S&E fields -> Social and related sciences -> Other social sciences,Employed scientists and engineers,Master's,S&E fields,Social and related sciences,Other social sciences,5,10000,23000,21000,16000,14000,23000,18000
7784,r101,Employed scientists and engineers -> Master's -> S&E fields -> Engineering,Employed scientists and engineers,Master's,S&E fields,Engineering,,4,381000,425000,434000,518000,563000,632000,635000
7784,r102,"Employed scientists and engineers -> Master's -> S&E fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",Employed scientists and engineers,Master's,S&E fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",5,12000,16000,13000,17000,22000,27000,29000
7784,r103,Employed scientists and engineers -> Master's -> S&E fields -> Engineering -> Chemical engineering,Employed scientists and engineers,Master's,S&E fields,Engineering,Chemical engineering,5,18000,16000,18000,18000,21000,17000,19000
7784,r104,Employed scientists and engineers -> Master's -> S&E fields -> Engineering -> Civil and architectural engineering,Employed scientists and engineers,Master's,S&E fields,Engineering,Civil and architectural engineering,5,58000,53000,63000,76000,69000,85000,85000
7784,r105,Employed scientists and engineers -> Master's -> S&E fields -> Engineering -> Electrical and computer engineering,Employed scientists and engineers,Master's,S&E fields,Engineering,Electrical and computer engineering,5,152000,183000,179000,227000,257000,273000,262000
7784,r106,Employed scientists and engineers -> Master's -> S&E fields -> Engineering -> Industrial engineering,Employed scientists and engineers,Master's,S&E fields,Engineering,Industrial engineering,5,18000,22000,17000,21000,28000,26000,31000
7784,r107,Employed scientists and engineers -> Master's -> S&E fields -> Engineering -> Mechanical engineering,Employed scientists and engineers,Master's,S&E fields,Engineering,Mechanical engineering,5,60000,67000,70000,79000,79000,104000,107000
7784,r108,Employed scientists and engineers -> Master's -> S&E fields -> Engineering -> Other engineering,Employed scientists and engineers,Master's,S&E fields,Engineering,Other engineering,5,65000,69000,75000,81000,86000,101000,102000
7784,r109,Employed scientists and engineers -> Master's -> S&E-related fields,Employed scientists and engineers,Master's,S&E-related fields,,,3,81000,99000,102000,125000,131000,172000,156000
7784,r110,Employed scientists and engineers -> Master's -> S&E-related fields -> Health,Employed scientists and engineers,Master's,S&E-related fields,Health,,4,28000,33000,35000,42000,52000,76000,65000
7784,r111,Employed scientists and engineers -> Master's -> S&E-related fields -> Science and mathematics teacher education,Employed scientists and engineers,Master's,S&E-related fields,Science and mathematics teacher education,,4,13000,10000,18000,14000,19000,21000,14000
7784,r112,Employed scientists and engineers -> Master's -> S&E-related fields -> Technology and technical fields,Employed scientists and engineers,Master's,S&E-related fields,Technology and technical fields,,4,26000,34000,24000,44000,43000,49000,48000
7784,r113,Employed scientists and engineers -> Master's -> S&E-related fields -> Other S&E-related fields,Employed scientists and engineers,Master's,S&E-related fields,Other S&E-related fields,,4,14000,21000,25000,25000,17000,27000,28000
7784,r114,Employed scientists and engineers -> Master's -> Non-S&E fields,Employed scientists and engineers,Master's,Non-S&E fields,,,3,395000,419000,396000,490000,496000,524000,584000
7784,r115,Employed scientists and engineers -> Master's -> Non-S&E fields -> Management and administration fields,Employed scientists and engineers,Master's,Non-S&E fields,Management and administration fields,,4,245000,255000,246000,290000,295000,314000,349000
7784,r116,"Employed scientists and engineers -> Master's -> Non-S&E fields -> Education, except science and math teacher education",Employed scientists and engineers,Master's,Non-S&E fields,"Education, except science and math teacher education",,4,43000,27000,29000,39000,54000,40000,53000
7784,r117,Employed scientists and engineers -> Master's -> Non-S&E fields -> Social service and related fields,Employed scientists and engineers,Master's,Non-S&E fields,Social service and related fields,,4,27000,36000,34000,37000,33000,40000,39000
7784,r118,Employed scientists and engineers -> Master's -> Non-S&E fields -> Sales and marketing fields,Employed scientists and engineers,Master's,Non-S&E fields,Sales and marketing fields,,4,19000,11000,12000,19000,20000,16000,17000
7784,r119,Employed scientists and engineers -> Master's -> Non-S&E fields -> Art and humanities fields,Employed scientists and engineers,Master's,Non-S&E fields,Art and humanities fields,,4,20000,27000,24000,32000,25000,30000,38000
7784,r120,Employed scientists and engineers -> Master's -> Non-S&E fields -> Other non-S&E fields,Employed scientists and engineers,Master's,Non-S&E fields,Other non-S&E fields,,4,41000,64000,52000,73000,69000,84000,89000
7784,r121,Employed scientists and engineers -> Doctorate,Employed scientists and engineers,Doctorate,,,,2,605000,692000,724000,751000,786000,938000,962000
7784,r122,Employed scientists and engineers -> Doctorate -> S&E fields,Employed scientists and engineers,Doctorate,S&E fields,,,3,556000,624000,650000,664000,702000,841000,861000
7784,r123,"Employed scientists and engineers -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences",Employed scientists and engineers,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",,4,149000,179000,177000,178000,189000,229000,240000
7784,r124,"Employed scientists and engineers -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",Employed scientists and engineers,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,5,14000,11000,10000,9000,12000,15000,14000
7784,r125,"Employed scientists and engineers -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",Employed scientists and engineers,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,5,133000,162000,162000,166000,173000,209000,221000
7784,r126,"Employed scientists and engineers -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",Employed scientists and engineers,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,5,2000,6000,5000,3000,4000,5000,5000
7784,r127,Employed scientists and engineers -> Doctorate -> S&E fields -> Computer and mathematical sciences,Employed scientists and engineers,Doctorate,S&E fields,Computer and mathematical sciences,,4,51000,63000,63000,68000,76000,94000,98000
7784,r128,Employed scientists and engineers -> Doctorate -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,Employed scientists and engineers,Doctorate,S&E fields,Computer and mathematical sciences,Computer and information sciences,5,15000,24000,28000,30000,39000,50000,51000
7784,r129,Employed scientists and engineers -> Doctorate -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,Employed scientists and engineers,Doctorate,S&E fields,Computer and mathematical sciences,Mathematics and statistics,5,36000,38000,35000,38000,37000,45000,47000
7784,r130,Employed scientists and engineers -> Doctorate -> S&E fields -> Physical and related sciences,Employed scientists and engineers,Doctorate,S&E fields,Physical and related sciences,,4,111000,128000,128000,136000,121000,140000,155000
7784,r131,"Employed scientists and engineers -> Doctorate -> S&E fields -> Physical and related sciences -> Chemistry, except biochemistry",Employed scientists and engineers,Doctorate,S&E fields,Physical and related sciences,"Chemistry, except biochemistry",5,53000,57000,59000,61000,51000,62000,68000
