table_id,row_id,employment_sector_and_occupation_full_path,employment_sector_and_occupation_level_1,employment_sector_and_occupation_level_2,employment_sector_and_occupation_level_3,employment_sector_and_occupation_level_4,employment_sector_and_occupation_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_hispanic_or_latinoa_median_salary,field_hispanic_or_latinoa_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_median_salary,field_not_hispanic_or_latinob_american_indian_or_alaska_native_se,field_not_hispanic_or_latinob_asian_median_salary,field_not_hispanic_or_latinob_asian_se,field_not_hispanic_or_latinob_black_or_african_american_median_salary,field_not_hispanic_or_latinob_black_or_african_american_se,field_not_hispanic_or_latinob_white_median_salary,field_not_hispanic_or_latinob_white_se,field_not_hispanic_or_latinob_other_racec_median_salary,field_not_hispanic_or_latinob_other_racec_se
3753,r019,All sectors -> 4-year educational institution<sup>d</sup>&#160;&#160; -> Science occupations&#160; -> Social scientist,All sectors,4-year educational institution<sup>d</sup>&#160;&#160;,Science occupations&#160;,Social scientist,4,93000,1500,88000,2000,69000,6000,95000,2500,88000,4000,94000,2000,93000,6500
3753,r020,All sectors -> 4-year educational institution<sup>d</sup>&#160;&#160; -> Engineering occupations&#160;,All sectors,4-year educational institution<sup>d</sup>&#160;&#160;,Engineering occupations&#160;,,3,108000,2000,99000,4000,,,101000,3500,98000,5500,110000,2000,102000,9000
3753,r021,All sectors -> 4-year educational institution<sup>d</sup>&#160;&#160; -> S&E-related occupations&#160;,All sectors,4-year educational institution<sup>d</sup>&#160;&#160;,S&E-related occupations&#160;,,3,106000,2500,96000,8000,94000,8500,106000,9000,90000,4000,109000,2000,88000,11000
3753,r022,All sectors -> 4-year educational institution<sup>d</sup>&#160;&#160; -> Non-S&E occupations&#160;,All sectors,4-year educational institution<sup>d</sup>&#160;&#160;,Non-S&E occupations&#160;,,3,120000,2500,94000,3500,86000,9000,120000,9500,100000,3000,125000,2000,106000,14000
3753,r023,All sectors -> Other educational institution<sup>e</sup>&#160;&#160;,All sectors,Other educational institution<sup>e</sup>&#160;&#160;,,,2,76000,1500,76000,4000,67000,6500,73000,7500,78000,3500,76000,2000,76000,3500
3753,r024,All sectors -> Other educational institution<sup>e</sup>&#160;&#160; -> Science occupations&#160;,All sectors,Other educational institution<sup>e</sup>&#160;&#160;,Science occupations&#160;,,3,76000,2000,75000,2500,S,S,70000,11500,76000,5500,77000,2000,81000,6000
3753,r025,"All sectors -> Other educational institution<sup>e</sup>&#160;&#160; -> Science occupations&#160; -> Biological, agricultural, and other life scientist",All sectors,Other educational institution<sup>e</sup>&#160;&#160;,Science occupations&#160;,"Biological, agricultural, and other life scientist",4,73000,2500,74000,3000,,,64000,13500,62000,12000,74000,2500,,
3753,r026,All sectors -> Other educational institution<sup>e</sup>&#160;&#160; -> Science occupations&#160; -> Computer and information scientist,All sectors,Other educational institution<sup>e</sup>&#160;&#160;,Science occupations&#160;,Computer and information scientist,4,78000,9500,,,,,S,S,,,73000,10500,,
3753,r027,All sectors -> Other educational institution<sup>e</sup>&#160;&#160; -> Science occupations&#160; -> Mathematical scientist,All sectors,Other educational institution<sup>e</sup>&#160;&#160;,Science occupations&#160;,Mathematical scientist,4,79000,4000,70000,13500,,,81000,9500,,,75000,13000,,
3753,r028,All sectors -> Other educational institution<sup>e</sup>&#160;&#160; -> Science occupations&#160; -> Physical scientist,All sectors,Other educational institution<sup>e</sup>&#160;&#160;,Science occupations&#160;,Physical scientist,4,70000,3000,70000,12000,,,67000,4000,64000,5500,72000,3500,,
3753,r029,All sectors -> Other educational institution<sup>e</sup>&#160;&#160; -> Science occupations&#160; -> Psychologist,All sectors,Other educational institution<sup>e</sup>&#160;&#160;,Science occupations&#160;,Psychologist,4,84000,5000,88000,14500,,,,,87000,6000,80000,5500,S,S
3753,r030,All sectors -> Other educational institution<sup>e</sup>&#160;&#160; -> Science occupations&#160; -> Social scientist,All sectors,Other educational institution<sup>e</sup>&#160;&#160;,Science occupations&#160;,Social scientist,4,76000,2500,74000,1000,,,,,73000,9500,76000,3000,,
3753,r031,All sectors -> Other educational institution<sup>e</sup>&#160;&#160; -> Engineering occupations&#160;,All sectors,Other educational institution<sup>e</sup>&#160;&#160;,Engineering occupations&#160;,,3,73000,11500,,,,,,,,,93000,18000,,
3753,r032,All sectors -> Other educational institution<sup>e</sup>&#160;&#160; -> S&E-related occupations&#160;,All sectors,Other educational institution<sup>e</sup>&#160;&#160;,S&E-related occupations&#160;,,3,65000,3500,70000,11000,,,58000,11000,58000,8000,66000,3500,66000,12500
3753,r033,All sectors -> Other educational institution<sup>e</sup>&#160;&#160; -> Non-S&E occupations&#160;,All sectors,Other educational institution<sup>e</sup>&#160;&#160;,Non-S&E occupations&#160;,,3,94000,4000,85000,5000,,,79000,8000,106000,7500,96000,3500,69000,9500
3753,r034,"All sectors -> Private, for profit<sup>f</sup>&#160;&#160;",All sectors,"Private, for profit<sup>f</sup>&#160;&#160;",,,2,150000,500,134000,4000,126000,17500,149000,500,124000,4000,150000,500,145000,7500
3753,r035,"All sectors -> Private, for profit<sup>f</sup>&#160;&#160; -> Science occupations&#160;",All sectors,"Private, for profit<sup>f</sup>&#160;&#160;",Science occupations&#160;,,3,140000,2000,129000,4000,109000,9000,149000,2000,119000,2000,140000,1000,139000,7500
3753,r036,"All sectors -> Private, for profit<sup>f</sup>&#160;&#160; -> Science occupations&#160; -> Biological, agricultural, and other life scientist",All sectors,"Private, for profit<sup>f</sup>&#160;&#160;",Science occupations&#160;,"Biological, agricultural, and other life scientist",4,127000,2500,124000,4500,,,122000,3500,120000,4000,130000,1000,129000,11500
3753,r037,"All sectors -> Private, for profit<sup>f</sup>&#160;&#160; -> Science occupations&#160; -> Computer and information scientist",All sectors,"Private, for profit<sup>f</sup>&#160;&#160;",Science occupations&#160;,Computer and information scientist,4,160000,2000,153000,12000,,,168000,6500,131000,3500,159000,3000,151000,11500
3753,r038,"All sectors -> Private, for profit<sup>f</sup>&#160;&#160; -> Science occupations&#160; -> Mathematical scientist",All sectors,"Private, for profit<sup>f</sup>&#160;&#160;",Science occupations&#160;,Mathematical scientist,4,150000,4500,137000,14500,,,150000,6000,122000,22000,157000,8000,145000,17000
3753,r039,"All sectors -> Private, for profit<sup>f</sup>&#160;&#160; -> Science occupations&#160; -> Physical scientist",All sectors,"Private, for profit<sup>f</sup>&#160;&#160;",Science occupations&#160;,Physical scientist,4,133000,2000,119000,5000,,,123000,4500,112000,13500,140000,4500,138000,11000
3753,r040,"All sectors -> Private, for profit<sup>f</sup>&#160;&#160; -> Science occupations&#160; -> Psychologist",All sectors,"Private, for profit<sup>f</sup>&#160;&#160;",Science occupations&#160;,Psychologist,4,117000,4500,113000,8500,,,120000,11500,90000,15000,118000,5500,S,S
3753,r041,"All sectors -> Private, for profit<sup>f</sup>&#160;&#160; -> Science occupations&#160; -> Social scientist",All sectors,"Private, for profit<sup>f</sup>&#160;&#160;",Science occupations&#160;,Social scientist,4,154000,6500,118000,24000,,,158000,12000,116000,11500,158000,7000,144000,22000
3753,r042,"All sectors -> Private, for profit<sup>f</sup>&#160;&#160; -> Engineering occupations&#160;",All sectors,"Private, for profit<sup>f</sup>&#160;&#160;",Engineering occupations&#160;,,3,140000,2000,133000,6500,,,139000,3000,125000,5500,148000,3000,143000,14500
3753,r043,"All sectors -> Private, for profit<sup>f</sup>&#160;&#160; -> S&E-related occupations&#160;",All sectors,"Private, for profit<sup>f</sup>&#160;&#160;",S&E-related occupations&#160;,,3,169000,4000,151000,18500,S,S,158000,6000,129000,17500,179000,4000,151000,17000
3753,r044,"All sectors -> Private, for profit<sup>f</sup>&#160;&#160; -> Non-S&E occupations&#160;",All sectors,"Private, for profit<sup>f</sup>&#160;&#160;",Non-S&E occupations&#160;,,3,164000,4500,148000,4000,156000,33000,160000,5000,130000,10500,170000,5500,155000,20000
3753,r045,"All sectors -> Private, nonprofit&#160;&#160;",All sectors,"Private, nonprofit&#160;&#160;",,,2,119000,500,100000,4000,110000,9000,110000,4500,98000,8500,125000,1500,109000,6500
3753,r046,"All sectors -> Private, nonprofit&#160;&#160; -> Science occupations&#160;",All sectors,"Private, nonprofit&#160;&#160;",Science occupations&#160;,,3,110000,2500,91000,7000,,,104000,6000,90000,6500,116000,3000,108000,8500
3753,r047,"All sectors -> Private, nonprofit&#160;&#160; -> Science occupations&#160; -> Biological, agricultural, and other life scientist",All sectors,"Private, nonprofit&#160;&#160;",Science occupations&#160;,"Biological, agricultural, and other life scientist",4,100000,2500,67000,5000,,,90000,4500,95000,16500,110000,2500,87000,19500
3753,r048,"All sectors -> Private, nonprofit&#160;&#160; -> Science occupations&#160; -> Computer and information scientist",All sectors,"Private, nonprofit&#160;&#160;",Science occupations&#160;,Computer and information scientist,4,137000,13000,,,,,117000,8000,0.05,0.05,152000,7500,S,S
3753,r049,"All sectors -> Private, nonprofit&#160;&#160; -> Science occupations&#160; -> Mathematical scientist",All sectors,"Private, nonprofit&#160;&#160;",Science occupations&#160;,Mathematical scientist,4,130000,3000,99000,10000,,,131000,11000,S,S,130000,7000,,
3753,r050,"All sectors -> Private, nonprofit&#160;&#160; -> Science occupations&#160; -> Physical scientist",All sectors,"Private, nonprofit&#160;&#160;",Science occupations&#160;,Physical scientist,4,128000,4500,102000,21500,,,116000,11500,S,S,136000,7000,97000,10500
3753,r051,"All sectors -> Private, nonprofit&#160;&#160; -> Science occupations&#160; -> Psychologist",All sectors,"Private, nonprofit&#160;&#160;",Science occupations&#160;,Psychologist,4,104000,2000,96000,8500,,,97000,6000,87000,6500,104000,1000,,
3753,r052,"All sectors -> Private, nonprofit&#160;&#160; -> Science occupations&#160; -> Social scientist",All sectors,"Private, nonprofit&#160;&#160;",Science occupations&#160;,Social scientist,4,120000,9000,118000,14000,,,106000,28000,92000,9000,126000,10500,,
3753,r053,"All sectors -> Private, nonprofit&#160;&#160; -> Engineering occupations&#160;",All sectors,"Private, nonprofit&#160;&#160;",Engineering occupations&#160;,,3,137000,7000,143000,16500,,,134000,7000,126000,10000,142000,7500,,
3753,r054,"All sectors -> Private, nonprofit&#160;&#160; -> S&E-related occupations&#160;",All sectors,"Private, nonprofit&#160;&#160;",S&E-related occupations&#160;,,3,149000,8000,111000,29000,,,147000,47500,129000,14500,150000,17000,135000,34500
3753,r055,"All sectors -> Private, nonprofit&#160;&#160; -> Non-S&E occupations&#160;",All sectors,"Private, nonprofit&#160;&#160;",Non-S&E occupations&#160;,,3,112000,7000,103000,13500,,,93000,12000,92000,9500,122000,7500,88000,22000
3753,r056,All sectors -> Federal government&#160;&#160;,All sectors,Federal government&#160;&#160;,,,2,126000,1500,120000,2500,121000,2500,130000,4000,114000,3500,128000,2000,114000,4500
3753,r057,All sectors -> Federal government&#160;&#160; -> Science occupations&#160;,All sectors,Federal government&#160;&#160;,Science occupations&#160;,,3,121000,2500,119000,3000,S,S,120000,3000,107000,3000,124000,2000,114000,3000
3753,r058,"All sectors -> Federal government&#160;&#160; -> Science occupations&#160; -> Biological, agricultural, and other life scientist",All sectors,Federal government&#160;&#160;,Science occupations&#160;,"Biological, agricultural, and other life scientist",4,120000,1500,118000,6000,,,112000,8500,106000,6500,120000,2000,103000,14500
3753,r059,All sectors -> Federal government&#160;&#160; -> Science occupations&#160; -> Computer and information scientist,All sectors,Federal government&#160;&#160;,Science occupations&#160;,Computer and information scientist,4,134000,5500,,,,,133000,13500,S,S,140000,7000,,
3753,r060,All sectors -> Federal government&#160;&#160; -> Science occupations&#160; -> Mathematical scientist,All sectors,Federal government&#160;&#160;,Science occupations&#160;,Mathematical scientist,4,136000,6500,149000,6000,,,137000,12000,134000,21500,132000,7000,,
3753,r061,All sectors -> Federal government&#160;&#160; -> Science occupations&#160; -> Physical scientist,All sectors,Federal government&#160;&#160;,Science occupations&#160;,Physical scientist,4,130000,1500,119000,14000,,,125000,15500,94000,3000,130000,4500,113000,10500
3753,r062,All sectors -> Federal government&#160;&#160; -> Science occupations&#160; -> Psychologist,All sectors,Federal government&#160;&#160;,Science occupations&#160;,Psychologist,4,110000,2500,111000,4000,,,106000,21500,105000,10000,110000,2500,,
3753,r063,All sectors -> Federal government&#160;&#160; -> Science occupations&#160; -> Social scientist,All sectors,Federal government&#160;&#160;,Science occupations&#160;,Social scientist,4,139000,5000,155000,6000,,,128000,12500,127000,17000,140000,5000,0.05,0.05
3753,r064,All sectors -> Federal government&#160;&#160; -> Engineering occupations&#160;,All sectors,Federal government&#160;&#160;,Engineering occupations&#160;,,3,130000,2000,110000,7000,,,133000,6500,128000,1500,130000,3000,,
3753,r065,All sectors -> Federal government&#160;&#160; -> S&E-related occupations&#160;,All sectors,Federal government&#160;&#160;,S&E-related occupations&#160;,,3,145000,7000,128000,8500,,,152000,11500,126000,6500,148000,6500,152000,18500
3753,r066,All sectors -> Federal government&#160;&#160; -> Non-S&E occupations&#160;,All sectors,Federal government&#160;&#160;,Non-S&E occupations&#160;,,3,139000,3500,129000,9000,,,142000,7500,119000,6000,140000,8500,S,S
3753,r067,All sectors -> State or local government&#160;&#160;,All sectors,State or local government&#160;&#160;,,,2,98000,2500,85000,8000,,,100000,2500,90000,6000,98000,3500,92000,15000
3753,r068,All sectors -> State or local government&#160;&#160; -> Science occupations&#160;,All sectors,State or local government&#160;&#160;,Science occupations&#160;,,3,90000,2500,84000,10000,,,89000,8500,89000,8000,92000,2500,91000,28500
3753,r069,"All sectors -> State or local government&#160;&#160; -> Science occupations&#160; -> Biological, agricultural, and other life scientist",All sectors,State or local government&#160;&#160;,Science occupations&#160;,"Biological, agricultural, and other life scientist",4,75000,3500,60000,12000,,,74000,2500,78000,24500,77000,3500,S,S
3753,r070,All sectors -> State or local government&#160;&#160; -> Science occupations&#160; -> Computer and information scientist,All sectors,State or local government&#160;&#160;,Science occupations&#160;,Computer and information scientist,4,97000,13000,,,,,83000,3500,0.05,0.05,110000,11500,,
3753,r071,All sectors -> State or local government&#160;&#160; -> Science occupations&#160; -> Mathematical scientist,All sectors,State or local government&#160;&#160;,Science occupations&#160;,Mathematical scientist,4,97000,23000,S,S,,,127000,10000,,,82000,22500,,
3753,r072,All sectors -> State or local government&#160;&#160; -> Science occupations&#160; -> Physical scientist,All sectors,State or local government&#160;&#160;,Science occupations&#160;,Physical scientist,4,100000,6000,85000,12000,,,90000,30500,,,116000,13000,S,S
3753,r073,All sectors -> State or local government&#160;&#160; -> Science occupations&#160; -> Psychologist,All sectors,State or local government&#160;&#160;,Science occupations&#160;,Psychologist,4,95000,5000,86000,15500,,,100000,10500,82000,6000,96000,6500,,
3753,r074,All sectors -> State or local government&#160;&#160; -> Science occupations&#160; -> Social scientist,All sectors,State or local government&#160;&#160;,Science occupations&#160;,Social scientist,4,91000,2000,S,S,,,97000,12500,93000,5500,90000,3000,,
3753,r075,All sectors -> State or local government&#160;&#160; -> Engineering occupations&#160;,All sectors,State or local government&#160;&#160;,Engineering occupations&#160;,,3,102000,7000,78000,13000,,,101000,11500,S,S,106000,8000,,
3753,r076,All sectors -> State or local government&#160;&#160; -> S&E-related occupations&#160;,All sectors,State or local government&#160;&#160;,S&E-related occupations&#160;,,3,121000,9500,124000,18500,,,120000,18000,95000,19000,125000,10500,,
3753,r077,All sectors -> State or local government&#160;&#160; -> Non-S&E occupations&#160;,All sectors,State or local government&#160;&#160;,Non-S&E occupations&#160;,,3,100000,9000,119000,13000,,,126000,12000,87000,15000,100000,6500,75000,13000
3753,r078,All sectors -> Self-employed<sup>g</sup>&#160;&#160;,All sectors,Self-employed<sup>g</sup>&#160;&#160;,,,2,100000,500,83000,8000,,,89000,13500,99000,7000,100000,4000,82000,22500
3753,r079,All sectors -> Self-employed<sup>g</sup>&#160;&#160; -> Science occupations&#160;,All sectors,Self-employed<sup>g</sup>&#160;&#160;,Science occupations&#160;,,3,101000,9000,80000,14500,,,97000,13000,99000,5000,108000,8000,89000,17500
3753,r080,"All sectors -> Self-employed<sup>g</sup>&#160;&#160; -> Science occupations&#160; -> Biological, agricultural, and other life scientist",All sectors,Self-employed<sup>g</sup>&#160;&#160;,Science occupations&#160;,"Biological, agricultural, and other life scientist",4,78000,6500,S,S,,,77000,12000,,,85000,14500,,
3753,r081,All sectors -> Self-employed<sup>g</sup>&#160;&#160; -> Science occupations&#160; -> Computer and information scientist,All sectors,Self-employed<sup>g</sup>&#160;&#160;,Science occupations&#160;,Computer and information scientist,4,90000,21500,,,,,S,S,,,93000,18000,,
3753,r082,All sectors -> Self-employed<sup>g</sup>&#160;&#160; -> Science occupations&#160; -> Mathematical scientist,All sectors,Self-employed<sup>g</sup>&#160;&#160;,Science occupations&#160;,Mathematical scientist,4,181000,37000,,,,,,,,,,,,
3753,r083,All sectors -> Self-employed<sup>g</sup>&#160;&#160; -> Science occupations&#160; -> Physical scientist,All sectors,Self-employed<sup>g</sup>&#160;&#160;,Science occupations&#160;,Physical scientist,4,133000,23000,,,,,,,,,132000,26000,,
3753,r084,All sectors -> Self-employed<sup>g</sup>&#160;&#160; -> Science occupations&#160; -> Psychologist,All sectors,Self-employed<sup>g</sup>&#160;&#160;,Science occupations&#160;,Psychologist,4,108000,7000,85000,11000,,,,,98000,27000,109000,8500,,
3753,r085,All sectors -> Self-employed<sup>g</sup>&#160;&#160; -> Science occupations&#160; -> Social scientist,All sectors,Self-employed<sup>g</sup>&#160;&#160;,Science occupations&#160;,Social scientist,4,90000,12000,,,,,,,,,87000,13500,,
3753,r086,All sectors -> Self-employed<sup>g</sup>&#160;&#160; -> Engineering occupations&#160;,All sectors,Self-employed<sup>g</sup>&#160;&#160;,Engineering occupations&#160;,,3,99000,12000,,,,,S,S,,,99000,15000,,
3753,r087,All sectors -> Self-employed<sup>g</sup>&#160;&#160; -> S&E-related occupations&#160;,All sectors,Self-employed<sup>g</sup>&#160;&#160;,S&E-related occupations&#160;,,3,172000,29000,S,S,,,132000,38500,,,174000,38000,,
3753,r088,All sectors -> Self-employed<sup>g</sup>&#160;&#160; -> Non-S&E occupations&#160;,All sectors,Self-employed<sup>g</sup>&#160;&#160;,Non-S&E occupations&#160;,,3,80000,7500,S,S,,,64000,18000,76000,21500,86000,6500,,
3753,r089,All sectors -> Other sector<sup>h</sup>&#160;&#160;,All sectors,Other sector<sup>h</sup>&#160;&#160;,,,2,132000,5500,155000,15500,,,135000,6000,132000,18000,128000,6000,136000,42500
3753,r090,All sectors -> Other sector<sup>h</sup>&#160;&#160; -> Science occupations&#160;,All sectors,Other sector<sup>h</sup>&#160;&#160;,Science occupations&#160;,,3,130000,3000,157000,20000,,,130000,9500,126000,21000,128000,6000,,
3753,r091,"All sectors -> Other sector<sup>h</sup>&#160;&#160; -> Science occupations&#160; -> Biological, agricultural, and other life scientist",All sectors,Other sector<sup>h</sup>&#160;&#160;,Science occupations&#160;,"Biological, agricultural, and other life scientist",4,105000,20500,0.05,0.05,,,93000,24500,,,131000,23500,,
3753,r092,All sectors -> Other sector<sup>h</sup>&#160;&#160; -> Science occupations&#160; -> Computer and information scientist,All sectors,Other sector<sup>h</sup>&#160;&#160;,Science occupations&#160;,Computer and information scientist,4,139000,15000,,,,,163000,25000,,,136000,6500,,
3753,r093,All sectors -> Other sector<sup>h</sup>&#160;&#160; -> Science occupations&#160; -> Mathematical scientist,All sectors,Other sector<sup>h</sup>&#160;&#160;,Science occupations&#160;,Mathematical scientist,4,147000,20500,,,,,S,S,S,S,,,,
3753,r094,All sectors -> Other sector<sup>h</sup>&#160;&#160; -> Science occupations&#160; -> Physical scientist,All sectors,Other sector<sup>h</sup>&#160;&#160;,Science occupations&#160;,Physical scientist,4,121000,7000,,,,,74000,16500,,,125000,5000,,
3753,r095,All sectors -> Other sector<sup>h</sup>&#160;&#160; -> Science occupations&#160; -> Psychologist,All sectors,Other sector<sup>h</sup>&#160;&#160;,Science occupations&#160;,Psychologist,4,111000,15000,,,,,,,,,111000,25500,,
3753,r096,All sectors -> Other sector<sup>h</sup>&#160;&#160; -> Science occupations&#160; -> Social scientist,All sectors,Other sector<sup>h</sup>&#160;&#160;,Science occupations&#160;,Social scientist,4,159000,24000,167000,15000,,,168000,74000,,,135000,44500,,
3753,r097,All sectors -> Other sector<sup>h</sup>&#160;&#160; -> Engineering occupations&#160;,All sectors,Other sector<sup>h</sup>&#160;&#160;,Engineering occupations&#160;,,3,139000,6000,136000,17000,,,136000,12000,S,S,146000,12500,,
3753,r098,All sectors -> Other sector<sup>h</sup>&#160;&#160; -> S&E-related occupations&#160;,All sectors,Other sector<sup>h</sup>&#160;&#160;,S&E-related occupations&#160;,,3,116000,13500,,,,,122000,36000,,,109000,11000,,
3753,r099,All sectors -> Other sector<sup>h</sup>&#160;&#160; -> Non-S&E occupations&#160;,All sectors,Other sector<sup>h</sup>&#160;&#160;,Non-S&E occupations&#160;,,3,139000,8500,179000,58000,,,139000,32500,160000,36500,126000,11500,,
