table_id,row_id,time_to_degree_and_demographic_characteristic_full_path,time_to_degree_and_demographic_characteristic_level_1,time_to_degree_and_demographic_characteristic_level_2,time_to_degree_and_demographic_characteristic_level_3,time_to_degree_and_demographic_characteristic_level_4,time_to_degree_and_demographic_characteristic_level_5,time_to_degree_and_demographic_characteristic_hierarchy_depth,field_all_fields_median,field_all_fields_number,field_life_sciencesa_median,field_life_sciencesa_number,field_physical_sciences_and_earth_sciences_median,field_physical_sciences_and_earth_sciences_number,field_mathematics_and_computer_sciences_median,field_mathematics_and_computer_sciences_number,field_psychology_and_social_sciences_median,field_psychology_and_social_sciences_number,field_engineering_median,field_engineering_number,field_education_median,field_education_number,field_humanities_and_arts_median,field_humanities_and_arts_number,field_otherb_median,field_otherb_number
975,r020,Years since entering graduate school -> All doctorate recipients<sup>d</sup>,Years since entering graduate school,All doctorate recipients<sup>d</sup>,,,,2,7.5,48967,6.8,11501,6.2,5585,7.0,3450,7.8,7955,6.7,8835,12.0,4283,9.3,4717,9.3,2641
975,r021,Years since entering graduate school -> All doctorate recipients<sup>d</sup> -> Sex,Years since entering graduate school,All doctorate recipients<sup>d</sup>,Sex,,,3,,,,,,,,,,,,,,,,,,
975,r022,Years since entering graduate school -> All doctorate recipients<sup>d</sup> -> Sex -> Male,Years since entering graduate school,All doctorate recipients<sup>d</sup>,Sex,Male,,4,7.2,26516,6.8,5165,6.3,3764,6.9,2631,7.8,3290,6.7,6764,11.7,1367,9.4,2317,9.0,1218
975,r023,Years since entering graduate school -> All doctorate recipients<sup>d</sup> -> Sex -> Female,Years since entering graduate school,All doctorate recipients<sup>d</sup>,Sex,Female,,4,7.8,22448,7.0,6334,6.0,1820,7.2,819,7.8,4665,6.3,2071,12.3,2916,9.3,2400,9.5,1423
975,r024,Years since entering graduate school -> All doctorate recipients<sup>d</sup> -> Citizenship status,Years since entering graduate school,All doctorate recipients<sup>d</sup>,Citizenship status,,,3,,,,,,,,,,,,,,,,,,
975,r025,Years since entering graduate school -> All doctorate recipients<sup>d</sup> -> Citizenship status -> U.S. citizen or permanent resident,Years since entering graduate school,All doctorate recipients<sup>d</sup>,Citizenship status,U.S. citizen or permanent resident,,4,7.3,33221,6.7,8299,5.9,3514,6.8,1584,7.7,6324,6.0,3964,12.4,3764,9.3,4029,9.8,1743
975,r026,Years since entering graduate school -> All doctorate recipients<sup>d</sup> -> Citizenship status -> Temporary visa holder,Years since entering graduate school,All doctorate recipients<sup>d</sup>,Citizenship status,Temporary visa holder,,4,7.7,15515,7.7,3157,6.9,2059,7.0,1852,8.6,1591,6.9,4825,9.8,497,10.1,664,8.7,870
975,r027,Years since entering graduate school -> All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents),Years since entering graduate school,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),,,3,,,,,,,,,,,,,,,,,,
975,r028,Years since entering graduate school -> All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Years since entering graduate school,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,4,7.7,2369,6.7,578,6.0,209,7.3,75,7.8,526,6.3,270,11.8,298,9.3,291,10.0,122
975,r029,Years since entering graduate school -> All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Years since entering graduate school,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,4,,,,,,,,,,,,,,,,,,
975,r030,Years since entering graduate school -> All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Years since entering graduate school,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,5,8.8,96,7.7,24,5.4,6,,,8.4,21,6.2,10,13.0,18,,,,
975,r031,Years since entering graduate school -> All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Years since entering graduate school,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,5,7.3,3140,6.9,919,6.3,310,7.3,240,8.0,466,6.7,655,11.7,211,9.0,173,9.0,166
975,r032,Years since entering graduate school -> All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Years since entering graduate school,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,5,9.8,2266,8.1,551,6.5,88,9.7,47,9.6,503,6.9,162,12.7,555,10.1,140,11.7,220
975,r033,Years since entering graduate school -> All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Years since entering graduate school,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,5,7.3,23929,6.5,5851,5.8,2749,6.8,1140,7.3,4539,5.9,2710,12.7,2548,9.1,3230,9.7,1162
975,r034,Years since entering graduate school -> All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Years since entering graduate school,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,5,6.9,1008,6.7,283,5.8,112,7.1,49,6.9,203,6.0,114,11.8,83,9.0,114,9.0,50
975,r035,Years since entering graduate school -> All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Years since entering graduate school,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,5,7.9,302,6.6,65,6.3,35,,,9.3,47,7.3,31,13.3,31,,,,
975,r036,Years since entering graduate school -> All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Years since entering graduate school,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,4,8.7,111,6.7,28,5.8,5,6.8,8,7.8,19,6.2,12,15.7,20,10.3,13,14.3,6
975,r037,Years since entering doctoral program<sup>e</sup>,Years since entering doctoral program<sup>e</sup>,,,,,1,,,,,,,,,,,,,,,,,,
975,r038,Years since entering doctoral program<sup>e</sup> -> All doctorate recipients<sup>f</sup>,Years since entering doctoral program<sup>e</sup>,All doctorate recipients<sup>f</sup>,,,,2,5.8,48707,5.8,11505,5.7,5555,5.7,3450,6.0,7860,5.3,8768,6.3,4230,7.1,4701,5.8,2638
975,r039,Years since entering doctoral program<sup>e</sup> -> All doctorate recipients<sup>f</sup> -> Sex,Years since entering doctoral program<sup>e</sup>,All doctorate recipients<sup>f</sup>,Sex,,,3,,,,,,,,,,,,,,,,,,
975,r040,Years since entering doctoral program<sup>e</sup> -> All doctorate recipients<sup>f</sup> -> Sex -> Male,Years since entering doctoral program<sup>e</sup>,All doctorate recipients<sup>f</sup>,Sex,Male,,4,5.8,26305,5.7,5168,5.7,3723,5.7,2614,6.0,3245,5.3,6681,6.3,1352,7.0,2301,5.4,1221
975,r041,Years since entering doctoral program<sup>e</sup> -> All doctorate recipients<sup>f</sup> -> Sex -> Female,Years since entering doctoral program<sup>e</sup>,All doctorate recipients<sup>f</sup>,Sex,Female,,4,5.9,22397,5.8,6335,5.6,1831,5.8,836,6.0,4614,5.3,2086,6.5,2878,7.3,2400,6.0,1417
975,r042,Years since entering doctoral program<sup>e</sup> -> All doctorate recipients<sup>f</sup> -> Citizenship status,Years since entering doctoral program<sup>e</sup>,All doctorate recipients<sup>f</sup>,Citizenship status,,,3,,,,,,,,,,,,,,,,,,
975,r043,Years since entering doctoral program<sup>e</sup> -> All doctorate recipients<sup>f</sup> -> Citizenship status -> U.S. citizen or permanent resident,Years since entering doctoral program<sup>e</sup>,All doctorate recipients<sup>f</sup>,Citizenship status,U.S. citizen or permanent resident,,4,5.9,32702,5.8,8221,5.7,3466,5.8,1562,6.0,6179,5.3,3891,6.5,3677,7.2,3982,5.9,1724
975,r044,Years since entering doctoral program<sup>e</sup> -> All doctorate recipients<sup>f</sup> -> Citizenship status -> Temporary visa holder,Years since entering doctoral program<sup>e</sup>,All doctorate recipients<sup>f</sup>,Citizenship status,Temporary visa holder,,4,5.7,15517,5.8,3186,5.7,2059,5.4,1850,5.8,1597,5.3,4787,6.0,496,6.9,672,5.7,870
975,r045,Years since entering doctoral program<sup>e</sup> -> All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents),Years since entering doctoral program<sup>e</sup>,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),,,3,,,,,,,,,,,,,,,,,,
975,r046,Years since entering doctoral program<sup>e</sup> -> All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Years since entering doctoral program<sup>e</sup>,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,4,6.0,2318,5.8,567,5.8,205,6.0,74,6.3,503,5.6,265,6.3,299,7.0,286,7.3,119
975,r047,Years since entering doctoral program<sup>e</sup> -> All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Years since entering doctoral program<sup>e</sup>,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,4,,,,,,,,,,,,,,,,,,
975,r048,Years since entering doctoral program<sup>e</sup> -> All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Years since entering doctoral program<sup>e</sup>,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,5,6.5,94,5.8,21,5.5,5,,,6.8,22,5.9,10,6.9,19,,,,
975,r049,Years since entering doctoral program<sup>e</sup> -> All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Years since entering doctoral program<sup>e</sup>,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,5,5.8,3107,5.8,916,5.7,312,5.8,235,6.4,458,5.8,644,5.8,201,7.3,174,5.8,167
975,r050,Years since entering doctoral program<sup>e</sup> -> All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Years since entering doctoral program<sup>e</sup>,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,5,6.3,2188,6.0,537,5.8,86,5.9,44,6.7,482,5.6,158,6.6,528,7.5,138,6.0,215
975,r051,Years since entering doctoral program<sup>e</sup> -> All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Years since entering doctoral program<sup>e</sup>,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,5,5.9,23573,5.8,5803,5.7,2706,5.8,1123,6.0,4447,5.3,2654,6.6,2497,7.2,3194,5.8,1149
975,r052,Years since entering doctoral program<sup>e</sup> -> All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Years since entering doctoral program<sup>e</sup>,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,5,5.8,995,5.4,281,5.7,108,5.8,49,6.0,202,5.8,109,6.0,83,7.0,113,5.7,50
975,r053,Years since entering doctoral program<sup>e</sup> -> All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Years since entering doctoral program<sup>e</sup>,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,5,6.0,295,5.6,60,5.4,34,,,7.0,47,5.3,33,6.8,31,,,,
975,r054,Years since entering doctoral program<sup>e</sup> -> All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Years since entering doctoral program<sup>e</sup>,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,4,5.9,132,5.7,36,6.0,10,6.1,12,6.1,18,4.9,18,7.3,19,7.9,13,5.8,6
