table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_biotechnology_r_d_total_companiesb_number_,field_biotechnology_r_d_total_amount,field_biotechnology_r_d_paid_for_by_the_company_companiesb_number_,field_biotechnology_r_d_paid_for_by_the_company_amount,field_biotechnology_r_d_paid_for_by_others_companiesb_number_,field_biotechnology_r_d_paid_for_by_others_amount
8811,r077,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['9,510', '&nbsp;']","['12,994', '&nbsp;']","['870', 'i']","['3,584', '&nbsp;']","['780', 'i']","['3,105', '&nbsp;']","['190', 'i']","['479', '&nbsp;']"
8811,r078,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
8811,r079,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['5,530', '&nbsp;']","['12,993', '&nbsp;']","['390', 'i']","['3,802', '&nbsp;']","['360', 'i']","['3,235', '&nbsp;']","['90', 'i']","['567', '&nbsp;']"
8811,r080,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['4,950', '&nbsp;']","['25,411', '&nbsp;']","['480', '&nbsp;']","['7,191', '&nbsp;']","['450', '&nbsp;']","['6,372', '&nbsp;']","['110', '&nbsp;']","['819', '&nbsp;']"
8811,r081,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
8811,r082,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['2,100', '&nbsp;']","['20,878', '&nbsp;']","['170', '&nbsp;']","['3,812', '&nbsp;']","['160', '&nbsp;']","['3,318', '&nbsp;']","['30', '&nbsp;']","['494', '&nbsp;']"
8811,r083,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['1,280', '&nbsp;']","['21,264', '&nbsp;']","['90', '&nbsp;']","['4,211', '&nbsp;']","['80', '&nbsp;']","['3,741', 'i']","['20', '&nbsp;']","['470', '&nbsp;']"
8811,r084,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['1,320', '&nbsp;']","['88,238', '&nbsp;']","['120', '&nbsp;']","['12,666', 'i']","['110', '&nbsp;']","['10,094', 'i']","['30', 'i']","['2,572', 'i']"
8811,r085,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['260', '&nbsp;']","['48,397', '&nbsp;']","['30', '&nbsp;']","['11,716', 'i']","['30', '&nbsp;']","['8,136', 'i']","['10', '&nbsp;']","['3,580', 'i']"
8811,r086,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['220', '&nbsp;']","['88,567', '&nbsp;']","['40', '&nbsp;']","['22,623', 'i']","['40', '&nbsp;']","['17,458', 'i']","['20', '&nbsp;']","['5,164', '&nbsp;']"
8811,r087,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['130', '&nbsp;']","['213,829', '&nbsp;']","['20', '&nbsp;']","['17,403', '&nbsp;']","['20', '&nbsp;']","['15,814', '&nbsp;']","['10', '&nbsp;']","['1,589', '&nbsp;']"
