table_id,row_id,primary_source_of_support_ethnicity_race_and_sex_full_path,primary_source_of_support_ethnicity_race_and_sex_level_1,primary_source_of_support_ethnicity_race_and_sex_level_2,primary_source_of_support_ethnicity_race_and_sex_level_3,primary_source_of_support_ethnicity_race_and_sex_level_4,primary_source_of_support_ethnicity_race_and_sex_level_5,primary_source_of_support_ethnicity_race_and_sex_level_6,primary_source_of_support_ethnicity_race_and_sex_hierarchy_depth,field_all_s_e,field_science_all_science,field_science_agricultural_sciences,field_science_biological_sciences,field_science_computer_sciences,field_science_earth_atmospheric_and_ocean_sciences,field_science_mathematics_and_statistics,field_science_physical_sciences,field_science_psychology,field_science_social_sciences,field_engineering
1220,r011,All recipients (number)<sup>a</sup> -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Hispanic or Latino<sup>d</sup> (number),All sources,Teaching assistantship,,,4,14.3,16.0,10.9,8.0,8.1,15.4,44.1,20.0,12.6,28.1,6.0
1220,r012,"All recipients (number)<sup>a</sup> -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Hispanic or Latino<sup>d</sup> (number),All sources,"Research assistantship, traineeship, or internship",,,4,21.4,19.0,29.1,20.0,32.4,29.7,10.0,32.9,13.6,9.8,35.0
1220,r013,"All recipients (number)<sup>a</sup> -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Hispanic or Latino<sup>d</sup> (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",,,4,40.2,40.0,32.6,58.6,27.6,42.3,29.9,36.5,23.0,32.5,40.2
1220,r014,All recipients (number)<sup>a</sup> -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Hispanic or Latino<sup>d</sup> (number),All sources,Other<sup>c</sup>,,,4,10.3,10.0,15.7,6.7,13.5,5.7,10.0,8.3,15.5,9.3,12.8
1220,r015,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,,,,,2,,,,,,,,,,,
1220,r016,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native (number),All recipients (number)<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native (number),,,,3,321,285,17,63,,10,6,,59,99,36
1220,r017,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r018,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,Personal or family funds,,5,18.1,,,,0.0,,0.0,,27.1,30.3,
1220,r019,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,Teaching assistantship,,5,13.7,,,9.5,,,,,15.3,18.2,
1220,r020,"All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,"Research assistantship, traineeship, or internship",,5,12.8,10.0,,12.7,,,0.0,22.2,8.5,,33.3
1220,r021,"All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",,5,41.7,42.0,52.9,,,60.0,0.0,51.9,32.2,35.4,38.9
1220,r022,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,Other<sup>c</sup>,,5,13.7,14.0,11.8,14.3,25.0,,,11.1,16.9,,11.1
1220,r023,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> Asian (number),All recipients (number)<sup>a</sup>,Not Hispanic or Latino,Asian (number),,,,3,11837,8696,199,3599,659,147,525,1295,916,1356,3141
1220,r024,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> Asian (number) -> All sources,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,Asian (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r025,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> Asian (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,Asian (number),All sources,Personal or family funds,,5,7.6,8.0,6.0,4.9,10.3,4.8,5.7,2.7,23.0,14.1,5.5
1220,r026,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> Asian (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,Asian (number),All sources,Teaching assistantship,,5,15.3,19.0,11.6,8.7,11.2,12.9,47.2,21.9,23.0,32.6,6.3
1220,r027,"All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> Asian (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Not Hispanic or Latino,Asian (number),All sources,"Research assistantship, traineeship, or internship",,5,34.4,29.0,47.7,29.3,46.4,42.2,14.1,45.4,20.5,13.4,48.7
1220,r028,"All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> Asian (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Not Hispanic or Latino,Asian (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",,5,33.5,35.0,19.1,50.3,18.8,28.6,21.3,22.2,23.8,32.6,28.4
1220,r029,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> Asian (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,Asian (number),All sources,Other<sup>c</sup>,,5,9.2,8.0,15.6,6.9,13.2,11.6,11.6,7.9,9.6,7.3,11.1
1220,r030,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> Black or African American (number),All recipients (number)<sup>a</sup>,Not Hispanic or Latino,Black or African American (number),,,,3,5738,4897,158,1342,176,56,141,429,1084,1511,841
1220,r031,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> Black or African American (number) -> All sources,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,Black or African American (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r032,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,Black or African American (number),All sources,Personal or family funds,,5,24.8,27.0,19.6,8.6,29.5,,9.2,,45.2,40.6,10.2
1220,r033,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,Black or African American (number),All sources,Teaching assistantship,,5,12.5,14.0,7.0,7.5,5.7,,50.4,,11.0,15.0,6.2
1220,r034,"All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Not Hispanic or Latino,Black or African American (number),All sources,"Research assistantship, traineeship, or internship",,5,16.3,14.0,36.1,19.0,18.2,26.8,6.4,25.2,10.8,7.3,27.5
1220,r035,"All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Not Hispanic or Latino,Black or African American (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",,5,36.0,35.0,25.9,57.5,30.7,53.6,27.7,34.7,21.0,26.3,42.6
1220,r036,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,Black or African American (number),All sources,Other<sup>c</sup>,,5,10.4,10.0,11.4,7.4,15.9,5.4,6.4,7.2,12.0,10.9,13.6
1220,r037,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> White (number),All recipients (number)<sup>a</sup>,Not Hispanic or Latino,White (number),,,,3,82736,68968,2780,21630,2831,2691,3386,10763,11618,13269,13768
1220,r038,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> White (number) -> All sources,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,White (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r039,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> White (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,White (number),All sources,Personal or family funds,,5,12.3,14.0,11.9,5.7,14.1,5.4,5.6,3.4,31.7,22.2,6.5
1220,r040,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> White (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,White (number),All sources,Teaching assistantship,,5,18.2,21.0,11.0,12.3,8.7,16.1,56.6,20.4,21.5,30.1,5.7
1220,r041,"All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> White (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Not Hispanic or Latino,White (number),All sources,"Research assistantship, traineeship, or internship",,5,31.5,29.0,40.6,29.6,43.3,41.0,13.8,48.7,21.2,13.8,44.9
1220,r042,"All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> White (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Not Hispanic or Latino,White (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",,5,30.6,30.0,25.6,47.1,22.6,32.2,18.5,22.9,16.5,26.8,31.8
1220,r043,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> White (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,White (number),All sources,Other<sup>c</sup>,,5,7.5,7.0,10.8,5.3,11.3,5.3,5.6,4.7,9.1,7.2,11.2
1220,r044,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> More than one race (number),All recipients (number)<sup>a</sup>,Not Hispanic or Latino,More than one race (number),,,,3,3292,2767,60,964,108,82,123,406,465,559,525
1220,r045,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> More than one race (number) -> All sources,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,More than one race (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r046,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,More than one race (number),All sources,Personal or family funds,,5,11.8,13.0,,,12.0,8.5,,1.5,32.9,24.7,3.6
1220,r047,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,More than one race (number),All sources,Teaching assistantship,,5,16.5,19.0,,9.2,,17.1,54.5,23.9,20.0,25.4,5.5
1220,r048,"All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Not Hispanic or Latino,More than one race (number),All sources,"Research assistantship, traineeship, or internship",,5,28.8,26.0,,28.4,46.3,30.5,10.6,42.9,20.4,,43.4
1220,r049,"All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Not Hispanic or Latino,More than one race (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",,5,37.7,38.0,31.7,,,31.7,31.7,28.8,20.2,34.9,37.9
1220,r050,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,More than one race (number),All sources,Other<sup>c</sup>,,5,5.2,4.0,3.3,3.2,11.1,12.2,,3.0,6.5,,9.5
1220,r051,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> Other race or race not reported (number),All recipients (number)<sup>a</sup>,Not Hispanic or Latino,Other race or race not reported (number),,,,3,1017,816,29,238,,24,53,,104,196,201
1220,r052,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,Other race or race not reported (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r053,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,Other race or race not reported (number),All sources,Personal or family funds,,5,10.1,,6.9,5.9,7.3,4.2,,0.9,21.2,20.9,
1220,r054,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,Other race or race not reported (number),All sources,Teaching assistantship,,5,14.7,,10.3,9.2,9.1,,,,13.5,24.0,
1220,r055,"All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Not Hispanic or Latino,Other race or race not reported (number),All sources,"Research assistantship, traineeship, or internship",,5,21.5,18.0,17.2,23.1,,,7.5,36.8,5.8,5.6,34.3
1220,r056,"All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Not Hispanic or Latino,Other race or race not reported (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",,5,26.4,28.0,13.8,44.1,21.8,33.3,15.1,17.1,16.3,26.5,20.9
1220,r057,All recipients (number)<sup>a</sup> -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Not Hispanic or Latino,Other race or race not reported (number),All sources,Other<sup>c</sup>,,5,27.3,26.0,51.7,17.6,29.1,25.0,24.5,23.9,43.3,23.0,33.8
1220,r058,All recipients (number)<sup>a</sup> -> Ethnicity not reported (number),All recipients (number)<sup>a</sup>,Ethnicity not reported (number),,,,,2,2472,1904,87,438,122,58,144,253,420,382,568
1220,r059,All recipients (number)<sup>a</sup> -> Ethnicity not reported (number) -> All sources,All recipients (number)<sup>a</sup>,Ethnicity not reported (number),All sources,,,,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r060,All recipients (number)<sup>a</sup> -> Ethnicity not reported (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Ethnicity not reported (number),All sources,Personal or family funds,,,4,3.6,5.0,4.6,3.7,8.2,5.2,2.1,1.2,5.5,6.0,0.9
1220,r061,All recipients (number)<sup>a</sup> -> Ethnicity not reported (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Ethnicity not reported (number),All sources,Teaching assistantship,,,4,4.4,6.0,1.1,3.4,1.6,6.9,18.1,3.6,3.6,8.6,0.9
1220,r062,"All recipients (number)<sup>a</sup> -> Ethnicity not reported (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Ethnicity not reported (number),All sources,"Research assistantship, traineeship, or internship",,,4,8.5,8.0,6.9,11.0,15.6,13.8,4.2,15.4,2.6,4.7,9.5
1220,r063,"All recipients (number)<sup>a</sup> -> Ethnicity not reported (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Ethnicity not reported (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",,,4,7.8,8.0,8.0,13.7,9.8,10.3,4.2,8.7,3.1,7.9,6.3
1220,r064,All recipients (number)<sup>a</sup> -> Ethnicity not reported (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Ethnicity not reported (number),All sources,Other<sup>c</sup>,,,4,75.7,74.0,79.3,68.3,64.8,63.8,71.5,71.1,85.2,72.8,82.4
1220,r065,All recipients (number)<sup>a</sup> -> Female (number),All recipients (number)<sup>a</sup>,Female (number),,,,,2,52581,47440,1758,16494,871,1451,1248,4339,11465,9814,5141
1220,r066,All recipients (number)<sup>a</sup> -> Female (number) -> All sources,All recipients (number)<sup>a</sup>,Female (number),All sources,,,,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r067,All recipients (number)<sup>a</sup> -> Female (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Female (number),All sources,Personal or family funds,,,4,15.3,16.0,11.3,6.2,17.5,4.3,6.9,2.8,33.1,23.9,4.8
1220,r068,All recipients (number)<sup>a</sup> -> Female (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Female (number),All sources,Teaching assistantship,,,4,17.1,18.0,12.8,11.1,10.3,16.6,51.6,21.8,18.1,27.3,5.3
1220,r069,"All recipients (number)<sup>a</sup> -> Female (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Female (number),All sources,"Research assistantship, traineeship, or internship",,,4,25.6,24.0,36.4,27.7,31.8,35.7,13.1,41.4,19.8,12.7,38.2
1220,r070,"All recipients (number)<sup>a</sup> -> Female (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Female (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",,,4,33.4,33.0,27.8,48.7,27.8,37.6,19.2,28.2,17.2,27.6,41.4
1220,r071,All recipients (number)<sup>a</sup> -> Female (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Female (number),All sources,Other<sup>c</sup>,,,4,8.6,8.0,11.7,6.3,12.6,5.8,9.1,5.9,11.8,8.4,10.2
1220,r072,All recipients (number)<sup>a</sup> -> Female (number) -> Hispanic or Latino<sup>d</sup> (number),All recipients (number)<sup>a</sup>,Female (number),Hispanic or Latino<sup>d</sup> (number),,,,3,3925,3568,126,1280,38,88,41,277,969,749,357
1220,r073,All recipients (number)<sup>a</sup> -> Female (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources,All recipients (number)<sup>a</sup>,Female (number),Hispanic or Latino<sup>d</sup> (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r074,All recipients (number)<sup>a</sup> -> Female (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Female (number),Hispanic or Latino<sup>d</sup> (number),All sources,Personal or family funds,,5,17.3,19.0,11.9,7.6,,5.7,,1.8,36.8,23.2,3.9
1220,r075,All recipients (number)<sup>a</sup> -> Female (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Female (number),Hispanic or Latino<sup>d</sup> (number),All sources,Teaching assistantship,,5,13.7,14.0,12.7,8.7,,9.1,,19.5,10.8,26.4,6.4
1220,r076,"All recipients (number)<sup>a</sup> -> Female (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Female (number),Hispanic or Latino<sup>d</sup> (number),All sources,"Research assistantship, traineeship, or internship",,5,18.6,17.0,27.8,20.0,,29.5,,31.4,13.4,9.5,32.2
1220,r077,"All recipients (number)<sup>a</sup> -> Female (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Female (number),Hispanic or Latino<sup>d</sup> (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",,5,40.7,40.0,33.3,58.1,34.2,48.9,22.0,40.1,22.5,32.2,49.3
1220,r078,All recipients (number)<sup>a</sup> -> Female (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Female (number),Hispanic or Latino<sup>d</sup> (number),All sources,Other<sup>c</sup>,,5,9.7,10.0,14.3,5.6,13.2,6.8,17.1,7.2,16.4,8.7,8.1
1220,r079,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,,,,3,,,,,,,,,,,
1220,r080,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number),All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,American Indian or Alaska Native (number),,,4,158,153,8,44,,,,12,37,47,5
1220,r081,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r082,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,Personal or family funds,6,17.7,,,,0.0,0.0,0.0,0.0,24.3,31.9,
1220,r083,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,Teaching assistantship,6,12.0,12.0,0.0,,,0.0,,0.0,,,0.0
1220,r084,"All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,"Research assistantship, traineeship, or internship",6,9.5,,,,0.0,0.0,0.0,,,,
1220,r085,"All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",6,47.5,,,61.4,0.0,,0.0,,37.8,36.2,
1220,r086,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,Other<sup>c</sup>,6,13.3,14.0,12.5,13.6,,,,8.3,24.3,8.5,0.0
1220,r087,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> Asian (number),All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,Asian (number),,,4,5943,4901,126,2167,183,77,216,537,731,864,1042
1220,r088,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> Asian (number) -> All sources,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,Asian (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r089,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,Asian (number),All sources,Personal or family funds,6,8.5,10.0,,4.9,7.1,,7.9,2.2,23.9,15.5,4.0
