table_id,row_id,_b_sex_and_financial_resource_b_full_path,_b_sex_and_financial_resource_b_level_1,_b_sex_and_financial_resource_b_level_2,_b_sex_and_financial_resource_b_level_3,_b_sex_and_financial_resource_b_hierarchy_depth,field_all_fields_number_,field_all_fields_percent_,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_othera
7552,r023,Female doctorate recipients reporting source of support -> Research,Female doctorate recipients reporting source of support,Research,,2,13256,100.0,82.4,3.3,19.3,2.9,14.1,2.7,5.6,2.2,2.4,9.4,10.0,10.3,17.6,2.2,6.4,3.8,1.0,4.2
7552,r024,Female doctorate recipients reporting source of support -> Other,Female doctorate recipients reporting source of support,Other,,2,2112,100.0,61.4,2.2,7.5,1.4,4.7,0.9,5.5,1.2,1.6,2.0,21.4,12.9,38.6,2.0,16.9,10.9,2.9,5.9
7552,r025,Female doctorate recipients reporting source of support -> Traineeship,Female doctorate recipients reporting source of support,Traineeship,,2,1064,100.0,94.1,1.1,47.9,,7.1,1.5,11.1,1.3,,4.1,13.3,4.6,5.9,,2.1,1.3,,1.9
7552,r026,Female doctorate recipients reporting source of support -> Internship or clinical residency,Female doctorate recipients reporting source of support,Internship or clinical residency,,2,2355,100.0,91.3,1.4,7.0,7.0,14.8,1.8,3.7,4.8,2.8,4.2,40.1,3.7,8.7,0.8,3.5,1.6,1.1,1.7
7552,r027,Female doctorate recipients reporting source of support -> Loan (any source),Female doctorate recipients reporting source of support,Loan (any source),,2,5735,100.0,62.4,1.9,9.5,0.7,2.9,1.0,12.0,0.6,1.6,2.1,18.1,11.9,37.6,2.3,18.1,7.4,2.5,7.3
7552,r028,Female doctorate recipients reporting source of support -> Personal sources,Female doctorate recipients reporting source of support,Personal sources,,2,,,,,,,,,,,,,,,,,,,,
7552,r029,Female doctorate recipients reporting source of support -> Personal sources -> Savings,Female doctorate recipients reporting source of support,Personal sources,Savings,3,11517,100.0,71.1,2.4,16.2,1.7,8.0,1.6,8.8,1.8,2.2,4.8,12.5,11.1,28.9,2.8,12.5,6.4,2.0,5.2
7552,r030,Female doctorate recipients reporting source of support -> Personal sources -> Other earnings during graduate school,Female doctorate recipients reporting source of support,Personal sources,Other earnings during graduate school,3,7376,100.0,62.6,2.1,10.9,1.1,4.4,1.5,10.4,1.2,2.1,2.5,13.7,12.8,37.4,1.9,17.4,9.2,2.9,6.0
7552,r031,"Female doctorate recipients reporting source of support -> Spouse's, partner's, or family's earnings or savings",Female doctorate recipients reporting source of support,"Spouse's, partner's, or family's earnings or savings",,2,9490,100.0,71.1,2.5,16.3,1.7,8.2,1.5,7.8,2.0,1.9,4.6,13.7,10.9,28.9,2.7,11.7,7.1,2.1,5.3
7552,r032,Female doctorate recipients reporting source of support -> Employer reimbursement or assistance,Female doctorate recipients reporting source of support,Employer reimbursement or assistance,,2,2374,100.0,59.4,2.0,11.5,1.6,5.4,1.1,14.7,1.1,2.2,2.9,7.6,9.4,40.6,3.2,26.3,4.3,1.1,5.8
7552,r033,Female doctorate recipients reporting source of support -> Foreign (non-U.S.) support,Female doctorate recipients reporting source of support,Foreign (non-U.S.) support,,2,1038,100.0,76.0,4.2,17.0,4.1,13.8,1.8,6.1,3.4,2.4,4.3,4.9,14.0,24.0,2.7,7.1,6.0,2.6,5.6
7552,r034,Female doctorate recipients reporting source of support -> Other ,Female doctorate recipients reporting source of support,Other ,,2,236,100.0,61.4,3.0,13.1,0.0,2.5,0.8,14.0,0.4,2.1,3.0,11.9,10.6,38.6,4.7,16.1,5.1,2.5,10.2
