table_id,row_id,_b_selected_characteristic_and_company_size_b_full_path,_b_selected_characteristic_and_company_size_b_level_1,_b_selected_characteristic_and_company_size_b_level_2,_b_selected_characteristic_and_company_size_b_level_3,_b_selected_characteristic_and_company_size_b_level_4,_b_selected_characteristic_and_company_size_b_hierarchy_depth,field_2017,field_2018,field_2019,field_2020
7361,r015,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Source of funds -> Federal,Domestic R&D performance<sup>a</sup>,Paid for by others,Source of funds,Federal,4,"['24,277', 'i']","['24,685', '&#160;']","['21,941', '&#160;']","['28,905', '&#160;']"
7361,r016,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Source of funds -> Other<sup>d</sup>,Domestic R&D performance<sup>a</sup>,Paid for by others,Source of funds,Other<sup>d</sup>,4,"['36,788', '&#160;']","['38,545', '&#160;']","['42,048', '&#160;']","['42,552', '&#160;']"
7361,r017,Size of company (number of domestic employees),Size of company (number of domestic employees),,,,1,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']"
7361,r018,Size of company (number of domestic employees) -> Small companies<sup>e</sup>,Size of company (number of domestic employees),Small companies<sup>e</sup>,,,2,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']"
7361,r019,Size of company (number of domestic employees) -> Small companies<sup>e</sup> -> 10&#8211;19,Size of company (number of domestic employees),Small companies<sup>e</sup>,10&#8211;19,,3,"['3,311', '  ']","['4,390', '  ']","['5,501', '  ']","['5,047', '&#160;']"
7361,r020,Size of company (number of domestic employees) -> Small companies<sup>e</sup> -> 20&#8211;49,Size of company (number of domestic employees),Small companies<sup>e</sup>,20&#8211;49,,3,"['9,435', '  ']","['11,252', '  ']","['12,418', '  ']","['12,994', '&#160;']"
7361,r021,Size of company (number of domestic employees) -> Medium companies,Size of company (number of domestic employees),Medium companies,,,2,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']"
7361,r022,Size of company (number of domestic employees) -> Medium companies -> 50&#8211;99,Size of company (number of domestic employees),Medium companies,50&#8211;99,,3,"['10,141', '  ']","['12,321', '  ']","['14,021', '  ']","['12,993', '&#160;']"
7361,r023,Size of company (number of domestic employees) -> Medium companies -> 100&#8211;249,Size of company (number of domestic employees),Medium companies,100&#8211;249,,3,"['17,216', '  ']","['18,547', '  ']","['19,793', '  ']","['25,411', '&#160;']"
7361,r024,Size of company (number of domestic employees) -> Large companies,Size of company (number of domestic employees),Large companies,,,2,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']"
7361,r025,Size of company (number of domestic employees) -> Large companies -> 250&#8211;499,Size of company (number of domestic employees),Large companies,250&#8211;499,,3,"['14,103', '  ']","['19,645', '  ']","['18,883', '  ']","['20,878', '&#160;']"
7361,r026,Size of company (number of domestic employees) -> Large companies -> 500&#8211;999,Size of company (number of domestic employees),Large companies,500&#8211;999,,3,"['17,871', '  ']","['17,657', '  ']","['23,969', '  ']","['21,264', '&#160;']"
7361,r027,"Size of company (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",Size of company (number of domestic employees),Large companies,"1,000&#8211;4,999",,3,"['65,112', '  ']","['68,578', '  ']","['75,671', '  ']","['88,238', '&#160;']"
7361,r028,"Size of company (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",Size of company (number of domestic employees),Large companies,"5,000&#8211;9,999",,3,"['40,198', '  ']","['45,337', '  ']","['50,811', '  ']","['48,397', '&#160;']"
7361,r029,"Size of company (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",Size of company (number of domestic employees),Large companies,"10,000&#8211;24,999",,3,"['73,485', '  ']","['84,420', '  ']","['88,263', '  ']","['88,567', '&#160;']"
7361,r030,"Size of company (number of domestic employees) -> Large companies -> 25,000 or more",Size of company (number of domestic employees),Large companies,"25,000 or more",,3,"['149,227', '  ']","['158,889', '  ']","['183,626', '  ']","['213,829', '&#160;']"
