table_id,row_id,class_prevalence_2015_2017_2019_full_path,class_prevalence_2015_2017_2019_level_1,class_prevalence_2015_2017_2019_level_2,class_prevalence_2015_2017_2019_hierarchy_depth,field_response_very_important,field_response_somewhat_important,field_response_unimportant
9164,r038,"Class 4 (13.5, 13.4, 12.5%): Everything Is Somewhat Important -> Responsibility","Class 4 (13.5, 13.4, 12.5%): Everything Is Somewhat Important",Responsibility,2,0.025,0.828,0.147
9164,r039,"Class 4 (13.5, 13.4, 12.5%): Everything Is Somewhat Important -> Independence","Class 4 (13.5, 13.4, 12.5%): Everything Is Somewhat Important",Independence,2,0.274,0.675,0.051
9164,r040,"Class 4 (13.5, 13.4, 12.5%): Everything Is Somewhat Important -> Contribution","Class 4 (13.5, 13.4, 12.5%): Everything Is Somewhat Important",Contribution,2,0.217,0.695,0.088
9164,r041,"Class 5 (7.7, 8.9, 9.5%): Advancement, Security, and Benefits Are Unimportant","Class 5 (7.7, 8.9, 9.5%): Advancement, Security, and Benefits Are Unimportant",,1,,,
9164,r042,"Class 5 (7.7, 8.9, 9.5%): Advancement, Security, and Benefits Are Unimportant -> Salary","Class 5 (7.7, 8.9, 9.5%): Advancement, Security, and Benefits Are Unimportant",Salary,2,0.175,0.432,0.393
9164,r043,"Class 5 (7.7, 8.9, 9.5%): Advancement, Security, and Benefits Are Unimportant -> Benefits","Class 5 (7.7, 8.9, 9.5%): Advancement, Security, and Benefits Are Unimportant",Benefits,2,0.108,0.267,0.624
9164,r044,"Class 5 (7.7, 8.9, 9.5%): Advancement, Security, and Benefits Are Unimportant -> Security","Class 5 (7.7, 8.9, 9.5%): Advancement, Security, and Benefits Are Unimportant",Security,2,0.088,0.223,0.689
9164,r045,"Class 5 (7.7, 8.9, 9.5%): Advancement, Security, and Benefits Are Unimportant -> Location","Class 5 (7.7, 8.9, 9.5%): Advancement, Security, and Benefits Are Unimportant",Location,2,0.563,0.248,0.189
9164,r046,"Class 5 (7.7, 8.9, 9.5%): Advancement, Security, and Benefits Are Unimportant -> Opportunities","Class 5 (7.7, 8.9, 9.5%): Advancement, Security, and Benefits Are Unimportant",Opportunities,2,0.072,0.16,0.768
9164,r047,"Class 5 (7.7, 8.9, 9.5%): Advancement, Security, and Benefits Are Unimportant -> Challenge","Class 5 (7.7, 8.9, 9.5%): Advancement, Security, and Benefits Are Unimportant",Challenge,2,0.663,0.231,0.106
9164,r048,"Class 5 (7.7, 8.9, 9.5%): Advancement, Security, and Benefits Are Unimportant -> Responsibility","Class 5 (7.7, 8.9, 9.5%): Advancement, Security, and Benefits Are Unimportant",Responsibility,2,0.29,0.366,0.344
9164,r049,"Class 5 (7.7, 8.9, 9.5%): Advancement, Security, and Benefits Are Unimportant -> Independence","Class 5 (7.7, 8.9, 9.5%): Advancement, Security, and Benefits Are Unimportant",Independence,2,0.63,0.246,0.123
9164,r050,"Class 5 (7.7, 8.9, 9.5%): Advancement, Security, and Benefits Are Unimportant -> Contribution","Class 5 (7.7, 8.9, 9.5%): Advancement, Security, and Benefits Are Unimportant",Contribution,2,0.543,0.296,0.161
