table_id,row_id,state_or_territory_control_and_institution_full_path,state_or_territory_control_and_institution_level_1,state_or_territory_control_and_institution_level_2,state_or_territory_control_and_institution_level_3,state_or_territory_control_and_institution_hierarchy_depth,field_all_fields,field_agricultural_sciences,field_biological_and_biomedical_sciences,field_computer_and_information_sciences,field_engineering,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_health_sciences,field_mathematics_and_statistics,field_natural_resources_and_conservation,field_physical_sciences,field_psychology,field_social_sciences,field_other
3027,r011,Alabama -> Private -> Tuskegee U.,Alabama,Private,Tuskegee U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r012,Alaska,Alaska,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3027,r013,Alaska -> Public,Alaska,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3027,r014,"Alaska -> Public -> U. Alaska, Anchorage",Alaska,Public,"U. Alaska, Anchorage",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r015,"Alaska -> Public -> U. Alaska, Fairbanks",Alaska,Public,"U. Alaska, Fairbanks",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r016,"Alaska -> Public -> U. Alaska, Southeast",Alaska,Public,"U. Alaska, Southeast",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r017,Alaska -> Private,Alaska,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3027,r018,Alaska -> Private -> Alaska Pacific U.,Alaska,Private,Alaska Pacific U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r019,Arizona,Arizona,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3027,r020,Arizona -> Public,Arizona,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3027,r021,Arizona -> Public -> Arizona State U.,Arizona,Public,Arizona State U.,3,"['102', '']","['0', '']","['77', '']","['0', '']","['10', '']","['0', '']","['15', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r022,Arizona -> Public -> Dine C.,Arizona,Public,Dine C.,3,"['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
3027,r023,Arizona -> Public -> Northern Arizona U.,Arizona,Public,Northern Arizona U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r024,Arizona -> Public -> U. Arizona,Arizona,Public,U. Arizona,3,"['16', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['16', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r025,Arkansas,Arkansas,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3027,r026,Arkansas -> Public,Arkansas,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3027,r027,"Arkansas -> Public -> Arkansas State U., Jonesboro",Arkansas,Public,"Arkansas State U., Jonesboro",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r028,Arkansas -> Public -> U. Arkansas for Medical Sciences,Arkansas,Public,U. Arkansas for Medical Sciences,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r029,"Arkansas -> Public -> U. Arkansas, Fayetteville",Arkansas,Public,"U. Arkansas, Fayetteville",3,"['25', '']","['0', '']","['0', '']","['0', '']","['25', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r030,"Arkansas -> Public -> U. Arkansas, Little Rock",Arkansas,Public,"U. Arkansas, Little Rock",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r031,"Arkansas -> Public -> U. Arkansas, Pine Bluff",Arkansas,Public,"U. Arkansas, Pine Bluff",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r032,Arkansas -> Public -> U. Central Arkansas,Arkansas,Public,U. Central Arkansas,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r033,California,California,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3027,r034,California -> Public,California,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3027,r035,"California -> Public -> California Polytechnic State U., San Luis Obispo",California,Public,"California Polytechnic State U., San Luis Obispo",3,"['61', '']","['24', '']","['34', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1', '']","['0', '']","['1', '']","['0', '']","['3', '']","['0', '']"
3027,r036,"California -> Public -> California State Polytechnic U., Pomona",California,Public,"California State Polytechnic U., Pomona",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r037,"California -> Public -> California State U., Bakersfield",California,Public,"California State U., Bakersfield",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r038,"California -> Public -> California State U., Channel Islands",California,Public,"California State U., Channel Islands",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r039,"California -> Public -> California State U., Chico",California,Public,"California State U., Chico",3,"['11', '']","['0', '']","['0', '']","['0', '']","['0', '']","['3', '']","['0', '']","['0', '']","['0', '']","['7', '']","['0', '']","['0', '']","['1', '']"
3027,r040,"California -> Public -> California State U., Dominguez Hills",California,Public,"California State U., Dominguez Hills",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r041,"California -> Public -> California State U., Fresno",California,Public,"California State U., Fresno",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r042,"California -> Public -> California State U., Fullerton",California,Public,"California State U., Fullerton",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r043,"California -> Public -> California State U., Long Beach",California,Public,"California State U., Long Beach",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r044,"California -> Public -> California State U., Los Angeles",California,Public,"California State U., Los Angeles",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r045,"California -> Public -> California State U., Maritime Academy",California,Public,"California State U., Maritime Academy",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r046,"California -> Public -> California State U., Monterey Bay",California,Public,"California State U., Monterey Bay",3,"['*', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['*', '']","['0', '']"
3027,r047,"California -> Public -> California State U., Northridge",California,Public,"California State U., Northridge",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r048,"California -> Public -> California State U., Sacramento",California,Public,"California State U., Sacramento",3,"['9', '']","['0', '']","['5', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['4', '']","['0', '']","['0', '']","['0', '']"
3027,r049,"California -> Public -> California State U., San Bernardino",California,Public,"California State U., San Bernardino",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r050,"California -> Public -> California State U., San Marcos",California,Public,"California State U., San Marcos",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r051,"California -> Public -> California State U., Stanislaus",California,Public,"California State U., Stanislaus",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r052,California -> Public -> Humboldt State U.,California,Public,Humboldt State U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r053,California -> Public -> San Diego State U.,California,Public,San Diego State U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r054,California -> Public -> San Francisco State U.,California,Public,San Francisco State U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r055,California -> Public -> San Jose State U.,California,Public,San Jose State U.,3,"['40', '']","['0', '']","['20', '']","['1', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['18', '']","['0', '']","['0', '']","['0', '']"
3027,r056,"California -> Public -> U. California, Berkeley",California,Public,"U. California, Berkeley",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r057,"California -> Public -> U. California, Davis",California,Public,"U. California, Davis",3,"['27', '']","['27', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r058,"California -> Public -> U. California, Irvine",California,Public,"U. California, Irvine",3,"['66', '']","['0', '']","['0', '']","['7', '']","['39', '']","['0', '']","['0', '']","['0', '']","['0', '']","['20', '']","['0', '']","['0', '']","['0', '']"
3027,r059,"California -> Public -> U. California, Los Angeles",California,Public,"U. California, Los Angeles",3,"['117', '']","['0', '']","['0', '']","['0', '']","['58', '']","['0', '']","['59', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r060,"California -> Public -> U. California, Merced",California,Public,"U. California, Merced",3,"['78', '']","['0', '']","['32', '']","['0', '']","['33', '']","['0', '']","['1', '']","['0', '']","['0', '']","['11', '']","['0', '']","['0', '']","['0', '']"
3027,r061,"California -> Public -> U. California, Riverside",California,Public,"U. California, Riverside",3,"['28', '']","['28', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r062,"California -> Public -> U. California, San Diego",California,Public,"U. California, San Diego",3,"['5', '']","['0', '']","['3', '']","['0', '']","['0', '']","['0', '']","['3', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r063,"California -> Public -> U. California, San Francisco",California,Public,"U. California, San Francisco",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r064,"California -> Public -> U. California, Santa Barbara",California,Public,"U. California, Santa Barbara",3,"['31', '']","['0', '']","['0', '']","['0', '']","['31', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r065,"California -> Public -> U. California, Santa Cruz",California,Public,"U. California, Santa Cruz",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r066,California -> Private,California,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3027,r067,California -> Private -> Azusa Pacific U.,California,Private,Azusa Pacific U.,3,"['1', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r068,California -> Private -> Biola U.,California,Private,Biola U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r069,California -> Private -> California Institute of Technology,California,Private,California Institute of Technology,3,"['82', '']","['0', '']","['82', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r070,California -> Private -> Chapman U.,California,Private,Chapman U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r071,California -> Private -> Charles R. Drew U. of Medicine and Science,California,Private,Charles R. Drew U. of Medicine and Science,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r072,California -> Private -> Claremont Graduate U.,California,Private,Claremont Graduate U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r073,California -> Private -> Claremont McKenna C.,California,Private,Claremont McKenna C.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r074,California -> Private -> Harvey Mudd C.,California,Private,Harvey Mudd C.,3,"['12', '']","['0', '']","['0', '']","['6', '']","['6', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r075,California -> Private -> Keck Graduate Institute,California,Private,Keck Graduate Institute,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r076,California -> Private -> Loma Linda U.,California,Private,Loma Linda U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r077,California -> Private -> Loyola Marymount U.,California,Private,Loyola Marymount U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r078,California -> Private -> Marshall B. Ketchum U.,California,Private,Marshall B. Ketchum U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r079,California -> Private -> Occidental C.,California,Private,Occidental C.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r080,California -> Private -> Pomona C.,California,Private,Pomona C.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r081,California -> Private -> Santa Clara U.,California,Private,Santa Clara U.,3,"['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
3027,r082,California -> Private -> Scripps Research Institute,California,Private,Scripps Research Institute,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r083,California -> Private -> Stanford U.,California,Private,Stanford U.,3,"['58', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['58', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r084,California -> Private -> Touro U.,California,Private,Touro U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r085,California -> Private -> U. of the Pacific,California,Private,U. of the Pacific,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r086,California -> Private -> U. San Diego,California,Private,U. San Diego,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r087,California -> Private -> U. San Francisco,California,Private,U. San Francisco,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r088,California -> Private -> U. Southern California,California,Private,U. Southern California,3,"['48', '']","['0', '']","['21', '']","['0', '']","['13', '']","['0', '']","['14', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r089,California -> Private -> Western U. of Health Sciences,California,Private,Western U. of Health Sciences,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r090,Colorado,Colorado,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3027,r091,Colorado -> Public,Colorado,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3027,r092,Colorado -> Public -> Colorado School of Mines,Colorado,Public,Colorado School of Mines,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r093,"Colorado -> Public -> Colorado State U., Fort Collins",Colorado,Public,"Colorado State U., Fort Collins",3,"['32', '']","['6', '']","['21', '']","['0', '']","['0', '']","['0', '']","['6', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r094,"Colorado -> Public -> Colorado State U., Pueblo",Colorado,Public,"Colorado State U., Pueblo",3,"['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
3027,r095,Colorado -> Public -> Fort Lewis C.,Colorado,Public,Fort Lewis C.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r096,Colorado -> Public -> U. Colorado Boulder,Colorado,Public,U. Colorado Boulder,3,"['10', '']","['0', '']","['0', '']","['0', '']","['10', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r097,Colorado -> Public -> U. Colorado Colorado Springs,Colorado,Public,U. Colorado Colorado Springs,3,"['5', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['5', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r098,Colorado -> Public -> U. Colorado Denver and Anschutz Medical Campus,Colorado,Public,U. Colorado Denver and Anschutz Medical Campus,3,"['92', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['92', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r099,Colorado -> Public -> U. Northern Colorado,Colorado,Public,U. Northern Colorado,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r100,Colorado -> Private,Colorado,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3027,r101,Colorado -> Private -> Colorado C.,Colorado,Private,Colorado C.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r102,Colorado -> Private -> U. Denver,Colorado,Private,U. Denver,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r103,Connecticut,Connecticut,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3027,r104,Connecticut -> Public,Connecticut,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3027,r105,Connecticut -> Public -> Central Connecticut State U.,Connecticut,Public,Central Connecticut State U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r106,Connecticut -> Public -> Southern Connecticut State U.,Connecticut,Public,Southern Connecticut State U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r107,Connecticut -> Public -> U. Connecticut,Connecticut,Public,U. Connecticut,3,"['2', '']","['2', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r108,Connecticut -> Private,Connecticut,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3027,r109,Connecticut -> Private -> Connecticut C.,Connecticut,Private,Connecticut C.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r110,Connecticut -> Private -> Fairfield U.,Connecticut,Private,Fairfield U.,3,"['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
3027,r111,"Connecticut -> Private -> Trinity C., Hartford",Connecticut,Private,"Trinity C., Hartford",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3027,r112,Connecticut -> Private -> U. New Haven,Connecticut,Private,U. New Haven,3,"['4', '']","['0', '']","['0', '']","['0', '']","['4', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
