table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_level_5,field_of_study_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_research_and_development_any_r_d_number,field_research_and_development_any_r_d_se,field_research_and_development_basic_research_number,field_research_and_development_basic_research_se,field_research_and_development_applied_research_number,field_research_and_development_applied_research_se,field_research_and_development_experimental_development_number,field_research_and_development_experimental_development_se,field_computer_applications_number,field_computer_applications_se,field_design_number,field_design_se,field_management_sales_or_administrationa_number,field_management_sales_or_administrationa_se,field_professional_services_number,field_professional_services_se,field_teaching_number,field_teaching_se,field_otherb_number,field_otherb_se
9261,r029,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Pharmacology and toxicology",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Pharmacology and toxicology,5,13100,300,5800,350,2050,275,2850,275,900,150,,,S,S,3050,325,2100,275,1250,200,700,175
9261,r030,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Physiology, pathology, and related sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,"Physiology, pathology, and related sciences",5,15350,300,5750,350,2450,225,2650,275,650,100,150,75,100,50,3100,300,2950,275,2550,250,700,125
9261,r031,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Biological and biomedical sciences, general",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,"Biological and biomedical sciences, general",5,13650,325,5950,350,3000,250,2200,225,800,150,250,125,150,75,2950,250,1500,225,2150,250,700,175
9261,r032,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Biological and biomedical sciences, other",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,"Biological and biomedical sciences, other",5,4700,225,2050,200,900,150,1000,150,200,75,50,50,S,S,950,150,350,100,1050,150,150,75
9261,r033,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,,3,33600,425,11650,450,3200,350,6300,400,2100,225,8050,525,850,150,6050,400,550,125,5550,325,950,200
9261,r034,All fields -> Science -> Computer and information sciences -> Computer science,All fields,Science,Computer and information sciences,Computer science,,4,29100,400,10050,450,2900,325,5200,375,1950,225,7400,500,700,150,5300,375,350,100,4500,350,850,200
9261,r035,"All fields -> Science -> Computer and information sciences -> Information science, studies",All fields,Science,Computer and information sciences,"Information science, studies",,4,2500,125,850,125,200,75,550,100,100,25,200,50,100,50,450,75,200,75,650,100,50,25
9261,r036,"All fields -> Science -> Computer and information sciences -> Computer and information sciences, other",All fields,Science,Computer and information sciences,"Computer and information sciences, other",,4,2000,100,750,75,150,50,500,75,100,25,450,50,50,25,350,50,0.05,0.05,400,75,S,S
9261,r037,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,,3,36600,575,12900,525,5300,400,6450,425,1100,175,4200,350,800,125,4850,375,600,125,12450,425,850,150
9261,r038,All fields -> Science -> Mathematics and statistics -> Applied mathematics,All fields,Science,Mathematics and statistics,Applied mathematics,,4,7850,300,2650,200,1050,200,1300,150,250,75,1150,200,100,50,700,125,150,75,2950,250,150,50
9261,r039,All fields -> Science -> Mathematics and statistics -> Mathematics,All fields,Science,Mathematics and statistics,Mathematics,,4,16850,400,5100,375,3050,325,1550,225,500,125,1900,225,450,100,2100,200,150,75,6700,350,450,125
9261,r040,All fields -> Science -> Mathematics and statistics -> Statistics,All fields,Science,Mathematics and statistics,Statistics,,4,7450,325,3750,350,850,200,2600,325,300,100,450,125,250,75,1450,275,150,75,1200,150,150,75
9261,r041,"All fields -> Science -> Mathematics and statistics -> Mathematics and statistics, other",All fields,Science,Mathematics and statistics,"Mathematics and statistics, other",,4,4450,150,1400,175,350,75,1000,150,50,25,650,125,50,25,550,100,100,50,1650,125,100,50
9261,r042,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,,3,137050,1025,57750,1075,17450,600,26800,875,13550,650,9050,575,4250,375,29000,800,6550,475,23800,675,6600,425
9261,r043,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Astronomy and astrophysics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Astronomy and astrophysics,,4,6350,175,2650,200,1700,175,750,125,200,75,700,100,200,75,1050,125,250,75,1300,200,200,75
9261,r044,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",,4,66350,800,28050,850,6800,475,12800,675,8450,500,2050,250,1400,200,15550,575,3700,375,12150,525,3450,300
9261,r045,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry -> Inorganic chemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",Inorganic chemistry,5,8500,275,3300,250,1000,175,1100,125,1200,175,150,75,150,75,2050,225,300,125,1950,200,550,125
9261,r046,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry -> Organic chemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",Organic chemistry,5,17650,400,8000,425,1600,250,4150,350,2250,275,150,75,150,75,3800,300,1500,275,3300,275,800,175
9261,r047,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry -> Chemistry, other, except biochemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry","Chemistry, other, except biochemistry",5,40200,625,16700,675,4200,350,7600,500,4950,400,1750,225,1100,200,9700,525,1900,225,6900,400,2100,225
9261,r048,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",,4,22050,325,9450,275,3550,200,5200,275,700,125,1250,125,400,75,4500,225,750,125,4400,250,1300,125
9261,r049,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric sciences and meteorology",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",Atmospheric sciences and meteorology,5,4150,100,2100,100,850,75,1100,100,150,50,450,75,100,50,750,75,50,25,450,50,200,50
9261,r050,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences, geosciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences","Geological and earth sciences, geosciences",5,13550,300,5450,250,1900,175,3150,225,450,125,650,125,250,75,2700,200,500,100,3200,250,750,125
9261,r051,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,5,2400,75,950,75,400,50,500,50,50,25,50,25,0.05,0.05,600,75,50,25,500,75,200,50
9261,r052,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Oceanography, chemical and physical",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences","Oceanography, chemical and physical",5,2000,125,950,100,450,75,500,75,50,25,100,50,,,500,75,100,75,250,75,100,25
9261,r053,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Physics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Physics,,4,42300,675,17600,650,5400,375,8050,500,4200,425,5050,500,2300,300,7900,600,1800,300,5950,450,1650,275
9261,r054,All fields -> Science -> Psychology,All fields,Science,Psychology,,,3,113500,825,21250,675,4950,350,14000,525,2300,275,900,175,700,125,19000,725,48300,1025,19300,675,4050,400
9261,r055,All fields -> Science -> Psychology -> Clinical psychology,All fields,Science,Psychology,Clinical psychology,,4,40650,600,4550,425,650,200,3300,350,550,200,,,200,100,5300,500,26150,775,3250,350,1200,275
9261,r056,All fields -> Science -> Psychology -> Counseling and applied psychology,All fields,Science,Psychology,Counseling and applied psychology,,4,14600,300,900,175,150,75,650,150,50,50,,,,,2400,300,9000,375,1750,225,550,175
9261,r057,All fields -> Science -> Psychology -> Educational and school psychology,All fields,Science,Psychology,Educational and school psychology,,4,13300,325,1850,175,150,50,1300,150,400,100,,,,,2500,250,4900,300,3350,275,650,125
9261,r058,All fields -> Science -> Psychology -> Industrial and organizational psychology,All fields,Science,Psychology,Industrial and organizational psychology,,4,4950,175,1050,150,100,50,850,150,150,50,,,100,50,2200,200,750,125,700,125,150,50
9261,r059,All fields -> Science -> Psychology -> Research and experimental psychology,All fields,Science,Psychology,Research and experimental psychology,,4,27700,425,9900,400,3300,275,5750,325,800,150,650,150,300,75,4650,350,3200,300,7900,375,1150,175
9261,r060,"All fields -> Science -> Psychology -> Psychology, general",All fields,Science,Psychology,"Psychology, general",,4,7600,275,1900,250,400,100,1350,225,200,75,S,S,,,1000,150,3000,300,1350,225,150,75
9261,r061,"All fields -> Science -> Psychology -> Psychology, other",All fields,Science,Psychology,"Psychology, other",,4,4700,150,1100,125,200,75,750,125,100,50,,,,,950,125,1350,150,1050,175,200,75
9261,r062,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,,3,99700,1000,30750,800,10350,575,18650,700,1700,200,1900,225,1100,150,18850,725,5450,325,36250,875,5400,425
9261,r063,All fields -> Science -> Social sciences -> Economics,All fields,Science,Social sciences,Economics,,4,27300,550,11600,525,3300,375,7850,450,400,125,900,175,450,100,4900,375,1600,250,6800,425,1100,200
9261,r064,All fields -> Science -> Social sciences -> Political science and government,All fields,Science,Social sciences,Political science and government,,4,20500,550,5750,375,2150,250,3350,325,250,100,100,50,200,75,4450,325,950,150,7850,475,1150,225
9261,r065,All fields -> Science -> Social sciences -> Political science and government -> Political science and government,All fields,Science,Social sciences,Political science and government,Political science and government,5,16150,550,4350,350,2000,250,2150,275,150,75,50,50,100,50,3100,300,600,150,7000,475,950,225
9261,r066,All fields -> Science -> Social sciences -> Political science and government -> Public policy analysis,All fields,Science,Social sciences,Political science and government,Public policy analysis,5,4300,150,1400,125,150,50,1200,125,100,50,50,25,100,50,1350,150,350,75,850,125,250,75
9261,r067,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies",All fields,Science,Social sciences,"Sociology, demography, and population studies",,4,15650,375,4650,325,2000,250,2500,250,150,75,200,75,200,75,2700,250,600,125,6200,375,1100,200
9261,r068,All fields -> Science -> Social sciences -> Other social sciences,All fields,Science,Social sciences,Other social sciences,,4,36300,575,8750,325,2900,275,4950,275,850,125,700,150,300,75,6800,375,2250,200,15400,475,2050,175
9261,r069,All fields -> Science -> Social sciences -> Other social sciences -> Anthropology,All fields,Science,Social sciences,Other social sciences,Anthropology,5,10900,275,2900,225,1150,200,1500,175,250,100,S,S,,,1800,200,650,175,4650,250,750,125
9261,r070,"All fields -> Science -> Social sciences -> Other social sciences -> Area, ethnic, cultural, gender, and group studies",All fields,Science,Social sciences,Other social sciences,"Area, ethnic, cultural, gender, and group studies",5,4050,150,500,100,200,75,150,50,100,50,,,,,850,125,250,75,2000,150,350,75
9261,r071,All fields -> Science -> Social sciences -> Other social sciences -> Geography and cartography,All fields,Science,Social sciences,Other social sciences,Geography and cartography,5,4400,225,1350,125,200,50,1050,125,150,50,100,50,50,25,800,150,150,50,1700,175,200,50
9261,r072,All fields -> Science -> Social sciences -> Other social sciences -> International relations and national security studies,All fields,Science,Social sciences,Other social sciences,International relations and national security studies,5,2150,125,500,100,150,50,350,75,50,25,,,,,400,75,150,50,950,100,150,50
9261,r073,All fields -> Science -> Social sciences -> Other social sciences -> Linguistics,All fields,Science,Social sciences,Other social sciences,Linguistics,5,4500,250,800,150,450,125,300,75,50,50,200,75,100,50,700,125,250,100,2350,225,150,50
9261,r074,"All fields -> Science -> Social sciences -> Other social sciences -> Urban studies, affairs",All fields,Science,Social sciences,Other social sciences,"Urban studies, affairs",5,1200,100,300,50,50,25,250,50,,,50,25,,,350,75,150,50,350,50,50,25
9261,r075,"All fields -> Science -> Social sciences -> Other social sciences -> Social sciences, other",All fields,Science,Social sciences,Other social sciences,"Social sciences, other",5,9150,275,2400,175,750,100,1400,150,200,50,150,50,50,25,1950,200,700,125,3400,225,500,100
9261,r076,All fields -> Engineering,All fields,Engineering,,,,2,183100,1325,82950,1200,10300,550,40800,1075,31850,975,15850,600,14350,675,37250,925,6450,450,18400,575,7900,475
9261,r077,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,,3,7150,250,2650,200,350,75,1400,150,900,125,1000,200,600,100,1650,175,150,50,600,125,500,150
9261,r078,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,,,3,21650,500,10250,500,1200,200,4850,400,4200,400,1450,275,1250,225,5150,425,600,150,1500,225,1450,275
9261,r079,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,,,3,19750,575,5800,400,800,150,3900,350,1100,225,1100,175,3000,350,4850,400,1150,200,3050,300,750,125
9261,r080,All fields -> Engineering -> Electrical and computer engineering,All fields,Engineering,Electrical and computer engineering,,,3,50400,650,24250,650,2650,300,10200,575,11350,600,6650,350,3800,400,8500,500,1200,225,4450,350,1600,250
9261,r081,All fields -> Engineering -> Electrical and computer engineering -> Computer engineering,All fields,Engineering,Electrical and computer engineering,Computer engineering,,4,7150,275,3000,250,450,75,1600,200,950,150,1900,175,400,125,900,125,100,50,800,150,100,50
9261,r082,"All fields -> Engineering -> Electrical and computer engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,Electrical and computer engineering,"Electrical, electronics, and communications engineering",,4,43250,600,21250,625,2200,325,8600,525,10450,575,4800,350,3400,375,7550,475,1100,225,3650,300,1550,250
9261,r083,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,,,3,27500,450,13050,550,1500,225,6150,450,5350,425,2000,250,2950,350,4850,400,600,175,3000,300,1100,225
9261,r084,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,,,3,17450,400,9150,450,1250,225,4100,350,3800,350,650,175,650,175,4300,325,600,125,1050,200,1000,200
9261,r085,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,,,3,39250,525,17800,525,2500,275,10150,475,5150,350,3000,250,2100,200,8000,325,2100,225,4700,300,1550,200
9261,r086,All fields -> Engineering -> Other engineering -> Agricultural engineering,All fields,Engineering,Other engineering,Agricultural engineering,,4,1700,100,750,100,50,25,500,75,150,50,100,50,100,50,300,50,50,25,300,50,100,50
9261,r087,All fields -> Engineering -> Other engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Other engineering,Bioengineering and biomedical engineering,,4,14900,275,7700,375,1000,175,4550,325,2200,250,900,200,550,125,2850,225,1300,200,850,150,750,150
9261,r088,"All fields -> Engineering -> Other engineering -> Engineering mechanics, physics, and science",All fields,Engineering,Other engineering,"Engineering mechanics, physics, and science",,4,3900,200,1900,150,300,75,950,125,700,100,300,75,250,75,750,100,100,50,450,100,100,50
9261,r089,All fields -> Engineering -> Other engineering -> Industrial and manufacturing engineering,All fields,Engineering,Other engineering,Industrial and manufacturing engineering,,4,8700,325,3050,250,650,175,1700,175,700,125,900,150,550,150,1900,175,300,100,1850,200,200,75
9261,r090,All fields -> Engineering -> Other engineering -> Nuclear engineering,All fields,Engineering,Other engineering,Nuclear engineering,,4,3100,125,1400,125,100,50,900,100,350,75,250,50,200,50,700,100,150,50,250,75,150,50
9261,r091,"All fields -> Engineering -> Other engineering -> Engineering, other",All fields,Engineering,Other engineering,"Engineering, other",,4,6900,250,3050,225,400,125,1550,175,1100,175,500,125,400,75,1500,150,200,75,1000,125,250,75
9261,r092,All fields -> Health,All fields,Health,,,,2,41650,525,14800,500,1600,225,10850,425,2350,250,250,75,450,150,8450,450,5600,350,10600,450,1450,200
9261,r093,All fields -> Health -> Communication disorders sciences and services,All fields,Health,Communication disorders sciences and services,,,3,3100,125,900,125,S,S,700,125,150,50,,,,,550,100,650,100,900,125,100,50
9261,r094,All fields -> Health -> Hospital and medical administration services,All fields,Health,Hospital and medical administration services,,,3,1300,100,450,50,,,350,50,50,25,,,0.05,0.05,400,50,100,25,300,75,50,25
9261,r095,"All fields -> Health -> Pharmacy, pharmaceutical sciences, and administration",All fields,Health,"Pharmacy, pharmaceutical sciences, and administration",,,3,7850,250,3800,225,500,100,1900,200,1350,175,100,50,100,50,1650,200,800,175,1000,200,400,150
9261,r096,All fields -> Health -> Public health,All fields,Health,Public health,,,3,9400,225,4450,250,250,75,3900,250,300,75,50,25,S,S,2000,200,1000,150,1400,175,350,75
9261,r097,"All fields -> Health -> Registered nursing, nursing administration, nursing research",All fields,Health,"Registered nursing, nursing administration, nursing research",,,3,8550,375,1650,225,S,S,1450,200,50,50,,,S,S,2100,225,1350,200,3150,300,200,75
9261,r098,"All fields -> Health -> Health sciences, other",All fields,Health,"Health sciences, other",,,3,11500,275,3600,275,600,150,2550,200,450,150,50,25,S,S,1800,200,1750,200,3850,250,350,75
