table_id,row_id,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_6,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_7,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_hispanic_or_latinoa,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race
1295,r011,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> 50&#8211;75,Both sexes,All occupations,S&E occupations<sup>b</sup>,50&#8211;75,,,,4,104000,95000,100000,110000,90000,80000,105000,112000
1295,r012,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,,,,4,88000,70000,68000,100000,72000,81000,88000,79000
1295,r013,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 29 and younger,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,29 and younger,,,5,60000,S,,72000,49000,S,58000,50000
1295,r014,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 30&#8211;39,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,30&#8211;39,,,5,82000,70000,55000,95000,64000,116000,80000,80000
1295,r015,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 40&#8211;49,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,40&#8211;49,,,5,100000,84000,S,109000,78000,72000,99000,95000
1295,r016,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 50&#8211;75,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,50&#8211;75,,,5,100000,85000,105000,110000,89000,74000,100000,114000
1295,r017,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,,,5,60000,48000,0.05,56000,73000,75000,61000,59000
1295,r018,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist -> 29 and younger,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,29 and younger,,6,38000,33000,,31000,29000,,40000,38000
1295,r019,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist -> 30&#8211;39,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,30&#8211;39,,6,55000,48000,,50000,72000,S,56000,73000
1295,r020,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist -> 40&#8211;49,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,40&#8211;49,,6,88000,S,,86000,76000,,89000,98000
1295,r021,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist -> 50&#8211;75,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,50&#8211;75,,6,95000,85000,,80000,101000,,95000,
1295,r022,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,,,5,96000,80000,S,103000,72000,81000,97000,84000
1295,r023,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 29 and younger,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,29 and younger,,6,75000,65000,,80000,51000,,77000,60000
1295,r024,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 30&#8211;39,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,30&#8211;39,,6,95000,79000,S,100000,69000,,95000,75000
1295,r025,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 40&#8211;49,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,40&#8211;49,,6,105000,88000,,114000,78000,,105000,93000
1295,r026,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 50&#8211;75,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,50&#8211;75,,6,100000,87000,,120000,83000,,101000,115000
1295,r027,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,,,5,73000,65000,,95000,S,,72000,94000
1295,r028,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 29 and younger,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,29 and younger,,6,58000,S,,77000,S,,57000,
1295,r029,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 30&#8211;39,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,30&#8211;39,,6,71000,69000,,94000,S,,71000,S
1295,r030,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 40&#8211;49,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,40&#8211;49,,6,93000,S,,90000,75000,,96000,
1295,r031,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 50&#8211;75,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,50&#8211;75,,6,98000,75000,,124000,90000,,98000,S
1295,r032,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,,,5,75000,74000,S,64000,65000,S,76000,68000
1295,r033,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 29 and younger,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,29 and younger,,6,36000,S,,28000,28000,,38000,S
1295,r034,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 30&#8211;39,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,30&#8211;39,,6,68000,56000,,55000,64000,,70000,85000
1295,r035,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 40&#8211;49,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,40&#8211;49,,6,81000,80000,,93000,S,,88000,
1295,r036,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 50&#8211;75,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,50&#8211;75,,6,100000,62000,,100000,111000,,100000,S
1295,r037,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,,,5,72000,71000,0.05,80000,63000,,73000,S
1295,r038,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 29 and younger,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,29 and younger,,6,39000,53000,,S,S,,31000,0.05
1295,r039,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 30&#8211;39,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,30&#8211;39,,6,70000,S,,46000,71000,,65000,
1295,r040,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 40&#8211;49,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,40&#8211;49,,6,80000,97000,,80000,63000,,80000,
1295,r041,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 50&#8211;75,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,50&#8211;75,,6,89000,90000,,104000,88000,,87000,S
1295,r042,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,,,5,69000,S,S,87000,91000,,72000,71000
1295,r043,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 29 and younger,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,29 and younger,,6,S,S,,63000,51000,,39000,
1295,r044,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 30&#8211;39,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,30&#8211;39,,6,59000,56000,,85000,66000,,59000,63000
1295,r045,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 40&#8211;49,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,40&#8211;49,,6,84000,129000,,116000,80000,,78000,
1295,r046,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 50&#8211;75,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,50&#8211;75,,6,96000,S,,82000,103000,,95000,S
1295,r047,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations&#160;,Both sexes,All occupations,S&E occupations<sup>b</sup>,Engineering occupations&#160;,,,,4,96000,90000,95000,99000,90000,108000,97000,86000
1295,r048,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations&#160; -> 29 and younger,Both sexes,All occupations,S&E occupations<sup>b</sup>,Engineering occupations&#160;,29 and younger,,,5,70000,71000,,65000,66000,,70000,68000
1295,r049,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations&#160; -> 30&#8211;39,Both sexes,All occupations,S&E occupations<sup>b</sup>,Engineering occupations&#160;,30&#8211;39,,,5,91000,94000,,99000,84000,0.05,90000,90000
1295,r050,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations&#160; -> 40&#8211;49,Both sexes,All occupations,S&E occupations<sup>b</sup>,Engineering occupations&#160;,40&#8211;49,,,5,109000,106000,S,115000,90000,109000,107000,107000
1295,r051,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations&#160; -> 50&#8211;75,Both sexes,All occupations,S&E occupations<sup>b</sup>,Engineering occupations&#160;,50&#8211;75,,,5,115000,110000,,110000,101000,,117000,112000
1295,r052,Both sexes -> All occupations -> S&E-related occupations<sup>c</sup>&#160;,Both sexes,All occupations,S&E-related occupations<sup>c</sup>&#160;,,,,,3,80000,70000,80000,92000,61000,79000,79000,77000
1295,r053,Both sexes -> All occupations -> S&E-related occupations<sup>c</sup>&#160; -> 29 and younger,Both sexes,All occupations,S&E-related occupations<sup>c</sup>&#160;,29 and younger,,,,4,53000,53000,,55000,49000,S,53000,62000
1295,r054,Both sexes -> All occupations -> S&E-related occupations<sup>c</sup>&#160; -> 30&#8211;39,Both sexes,All occupations,S&E-related occupations<sup>c</sup>&#160;,30&#8211;39,,,,4,71000,62000,S,90000,55000,89000,70000,83000
1295,r055,Both sexes -> All occupations -> S&E-related occupations<sup>c</sup>&#160; -> 40&#8211;49,Both sexes,All occupations,S&E-related occupations<sup>c</sup>&#160;,40&#8211;49,,,,4,90000,90000,,110000,71000,71000,88000,95000
1295,r056,Both sexes -> All occupations -> S&E-related occupations<sup>c</sup>&#160; -> 50&#8211;75,Both sexes,All occupations,S&E-related occupations<sup>c</sup>&#160;,50&#8211;75,,,,4,92000,89000,S,100000,85000,S,92000,78000
1295,r057,Both sexes -> All occupations -> Non-S&E occupations,Both sexes,All occupations,Non-S&E occupations,,,,,3,70000,60000,54000,76000,50000,85000,73000,60000
1295,r058,Both sexes -> All occupations -> Non-S&E occupations -> 29 and younger,Both sexes,All occupations,Non-S&E occupations,29 and younger,,,,4,43000,42000,S,50000,43000,28000,43000,46000
1295,r059,Both sexes -> All occupations -> Non-S&E occupations -> 30&#8211;39,Both sexes,All occupations,Non-S&E occupations,30&#8211;39,,,,4,66000,62000,74000,80000,47000,89000,68000,65000
1295,r060,Both sexes -> All occupations -> Non-S&E occupations -> 40&#8211;49,Both sexes,All occupations,Non-S&E occupations,40&#8211;49,,,,4,81000,67000,63000,89000,58000,143000,86000,72000
1295,r061,Both sexes -> All occupations -> Non-S&E occupations -> 50&#8211;75,Both sexes,All occupations,Non-S&E occupations,50&#8211;75,,,,4,80000,65000,54000,65000,61000,78000,86000,66000
1295,r062,Both sexes -> Female&#160;,Both sexes,Female&#160;,,,,,,2,,,,,,,,
1295,r063,Both sexes -> Female&#160; -> All occupations,Both sexes,Female&#160;,All occupations,,,,,3,66000,57000,67000,80000,57000,87000,67000,64000
1295,r064,Both sexes -> Female&#160; -> All occupations -> 29 and younger,Both sexes,Female&#160;,All occupations,29 and younger,,,,4,47000,45000,53000,56000,45000,S,46000,49000
1295,r065,Both sexes -> Female&#160; -> All occupations -> 30&#8211;39,Both sexes,Female&#160;,All occupations,30&#8211;39,,,,4,66000,61000,66000,84000,54000,91000,65000,70000
1295,r066,Both sexes -> Female&#160; -> All occupations -> 40&#8211;49,Both sexes,Female&#160;,All occupations,40&#8211;49,,,,4,74000,70000,64000,89000,58000,S,73000,94000
1295,r067,Both sexes -> Female&#160; -> All occupations -> 50&#8211;75,Both sexes,Female&#160;,All occupations,50&#8211;75,,,,4,75000,55000,56000,94000,68000,78000,75000,64000
1295,r068,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup>,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,,,,4,78000,72000,96000,88000,68000,74000,76000,62000
1295,r069,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> 29 and younger,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,29 and younger,,,5,58000,59000,,71000,40000,,58000,49000
1295,r070,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> 30&#8211;39,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,30&#8211;39,,,5,75000,71000,S,89000,58000,,73000,67000
1295,r071,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> 40&#8211;49,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,40&#8211;49,,,5,90000,90000,0.05,100000,90000,S,80000,99000
1295,r072,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> 50&#8211;75,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,50&#8211;75,,,5,86000,77000,,92000,S,S,86000,78000
1295,r073,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,,,5,75000,70000,88000,86000,68000,74000,73000,62000
1295,r074,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 29 and younger,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,29 and younger,,6,57000,51000,,71000,39000,,50000,42000
1295,r075,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 30&#8211;39,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,30&#8211;39,,6,70000,70000,0.05,81000,58000,,70000,62000
1295,r076,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 40&#8211;49,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,40&#8211;49,,6,89000,89000,0.05,100000,88000,S,80000,99000
1295,r077,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 50&#8211;75,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,50&#8211;75,,6,82000,69000,,84000,89000,S,82000,50000
1295,r078,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,,6,56000,48000,,55000,54000,S,60000,S
1295,r079,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist -> 29 and younger,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,29 and younger,7,35000,30000,,31000,S,,35000,36000
1295,r080,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist -> 30&#8211;39,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,30&#8211;39,7,55000,49000,,52000,66000,S,55000,S
1295,r081,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist -> 40&#8211;49,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,40&#8211;49,7,89000,44000,,94000,85000,,89000,S
1295,r082,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist -> 50&#8211;75,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,50&#8211;75,7,85000,S,,75000,112000,,98000,
1295,r083,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,,6,84000,80000,,91000,66000,S,82000,61000
1295,r084,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 29 and younger,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,29 and younger,7,80000,100000,,75000,S,,83000,48000
1295,r085,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 30&#8211;39,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,30&#8211;39,7,81000,80000,,89000,57000,,81000,50000
1295,r086,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 40&#8211;49,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,40&#8211;49,7,93000,81000,,100000,92000,,77000,
1295,r087,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 50&#8211;75,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,50&#8211;75,7,82000,S,,95000,S,,82000,S
1295,r088,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,,6,70000,67000,,88000,60000,,69000,S
1295,r089,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 29 and younger,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,29 and younger,7,57000,,,80000,,,55000,
1295,r090,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 30&#8211;39,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,30&#8211;39,7,70000,S,,88000,0.05,,70000,
1295,r091,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 40&#8211;49,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,40&#8211;49,7,70000,S,,84000,S,,64000,
1295,r092,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 50&#8211;75,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,50&#8211;75,7,101000,S,,108000,S,,118000,
1295,r093,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,,6,62000,53000,,62000,65000,0.05,64000,58000
1295,r094,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 29 and younger,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,29 and younger,7,41000,S,,43000,,,41000,S
1295,r095,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 30&#8211;39,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,30&#8211;39,7,70000,60000,,48000,56000,,70000,89000
1295,r096,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 40&#8211;49,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,40&#8211;49,7,76000,60000,,79000,,,74000,
1295,r097,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 50&#8211;75,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,50&#8211;75,7,72000,S,,84000,96000,,69000,
1295,r098,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,,6,71000,71000,,79000,71000,,70000,52000
1295,r099,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 29 and younger,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,29 and younger,7,39000,35000,,,,,38000,
1295,r100,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 30&#8211;39,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,30&#8211;39,7,70000,S,,44000,72000,,65000,S
1295,r101,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 40&#8211;49,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,40&#8211;49,7,80000,96000,,,63000,,80000,
1295,r102,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 50&#8211;75,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,50&#8211;75,7,83000,94000,,S,88000,,83000,
1295,r103,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,,6,66000,58000,0.05,79000,74000,,64000,70000
1295,r104,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 29 and younger,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,29 and younger,7,38000,S,,69000,,,S,
1295,r105,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 30&#8211;39,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,30&#8211;39,7,57000,S,,67000,58000,,54000,45000
1295,r106,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 40&#8211;49,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,40&#8211;49,7,81000,S,,S,74000,,75000,
