table_id,row_id,_b_demographic_characteristic_b_full_path,_b_demographic_characteristic_b_level_1,_b_demographic_characteristic_b_level_2,_b_demographic_characteristic_b_level_3,_b_demographic_characteristic_b_level_4,_b_demographic_characteristic_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_othera
7558,r017,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,84.1,78.8,50.0,58.6,100.0,80.6,100.0,85.7,90.0,100.0,62.5,89.5,100.0,100.0,,100.0,100.0,,100.0
7558,r018,Doctorate recipients reporting master's degree -> Master's degree in the same field as doctorate,Doctorate recipients reporting master's degree,Master's degree in the same field as doctorate,,,2,57.6,54.9,52.1,30.5,52.0,68.1,52.3,59.7,66.1,25.6,45.5,75.9,68.8,68.4,59.0,62.1,81.7,82.2,60.6
7558,r019,Doctorate recipients reporting master's degree -> Master's degree in the same field as doctorate -> Sex,Doctorate recipients reporting master's degree,Master's degree in the same field as doctorate,Sex,,3,,,,,,,,,,,,,,,,,,,
7558,r020,Doctorate recipients reporting master's degree -> Master's degree in the same field as doctorate -> Sex -> Male,Doctorate recipients reporting master's degree,Master's degree in the same field as doctorate,Sex,Male,4,58.0,55.7,55.3,29.2,52.0,70.5,53.1,50.6,64.5,25.6,47.2,74.5,70.5,70.1,59.6,59.7,83.9,84.5,59.7
7558,r021,Doctorate recipients reporting master's degree -> Master's degree in the same field as doctorate -> Sex -> Female,Doctorate recipients reporting master's degree,Master's degree in the same field as doctorate,Sex,Female,4,57.2,53.7,49.0,31.7,52.0,61.5,51.3,63.8,70.3,25.6,42.2,76.4,67.1,67.2,58.2,63.1,79.3,80.2,61.2
7558,r022,Doctorate recipients reporting master's degree -> Master's degree in the same field as doctorate -> Citizenship status,Doctorate recipients reporting master's degree,Master's degree in the same field as doctorate,Citizenship status,,3,,,,,,,,,,,,,,,,,,,
7558,r023,Doctorate recipients reporting master's degree -> Master's degree in the same field as doctorate -> Citizenship status -> U.S. citizen or permanent resident,Doctorate recipients reporting master's degree,Master's degree in the same field as doctorate,Citizenship status,U.S. citizen or permanent resident,4,56.1,51.5,49.8,26.1,57.3,63.0,49.2,61.8,65.7,26.1,40.3,77.6,66.2,70.4,62.9,63.4,83.1,84.9,60.5
7558,r024,Doctorate recipients reporting master's degree -> Master's degree in the same field as doctorate -> Citizenship status -> Temporary visa holder,Doctorate recipients reporting master's degree,Master's degree in the same field as doctorate,Citizenship status,Temporary visa holder,4,62.0,61.3,57.0,43.6,50.2,72.6,59.8,55.7,67.8,25.8,53.7,69.8,76.8,66.0,57.5,60.9,80.5,77.3,62.9
7558,r025,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents),Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,,
7558,r026,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,54.7,50.5,41.5,24.3,74.2,61.5,42.6,68.4,61.9,15.2,39.7,75.6,65.3,67.9,,59.1,83.0,,60.2
7558,r027,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,,
7558,r028,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,57.1,49.2,,,-,,,,-,0.0,,87.5,46.7,73.3,,77.8,,,
7558,r029,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,52.8,49.6,56.4,29.1,48.9,61.3,36.7,54.8,58.7,23.5,42.4,79.0,66.1,70.3,67.6,65.6,75.7,87.1,67.9
7558,r030,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,58.1,55.4,48.3,31.0,,69.7,,,,,,68.2,55.8,62.1,67.6,61.5,,,56.6
7558,r031,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,56.5,51.6,50.8,25.1,59.4,63.2,51.4,61.1,65.8,28.6,40.5,78.9,67.9,72.4,59.8,64.1,84.9,86.3,61.5
7558,r032,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,54.0,49.0,,27.8,,,30.3,53.7,65.6,25.9,34.4,79.0,65.6,70.4,,62.4,78.2,86.4,
7558,r033,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,61.7,60.2,,,54.5,74.3,16.7,53.8,,,43.5,78.8,72.7,65.9,60.0,73.1,73.3,50.0,47.1
7558,r034,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,59.6,57.0,37.5,42.9,50.0,63.3,100.0,42.9,60.0,50.0,62.5,68.4,68.8,67.3,,66.7,84.6,,25.0
