table_id,row_id,sex_and_major_field_of_study_full_path,sex_and_major_field_of_study_level_1,sex_and_major_field_of_study_level_2,sex_and_major_field_of_study_level_3,sex_and_major_field_of_study_level_4,sex_and_major_field_of_study_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field__change_2008_17
953,r053,"All doctorate recipients<sup>a</sup> -> Male -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>a</sup>,Male,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",4,548,539,496,522,538,539,623,600,716,645,17.7
953,r054,All doctorate recipients<sup>a</sup> -> Male -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>a</sup>,Male,Physical sciences and earth sciences,Physics and astronomy,4,1478,1504,1443,1599,1625,1681,1704,1736,1857,1754,18.7
953,r055,All doctorate recipients<sup>a</sup> -> Male -> Mathematics and computer sciences,All doctorate recipients<sup>a</sup>,Male,Mathematics and computer sciences,,3,2353,2327,2409,2456,2638,2792,2912,2877,2996,2866,21.8
953,r056,All doctorate recipients<sup>a</sup> -> Male -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>a</sup>,Male,Mathematics and computer sciences,Computer and information sciences,4,1387,1260,1286,1312,1419,1502,1580,1581,1664,1540,11.0
953,r057,All doctorate recipients<sup>a</sup> -> Male -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>a</sup>,Male,Mathematics and computer sciences,Mathematics and statistics,4,966,1067,1123,1144,1219,1290,1332,1296,1332,1326,37.3
953,r058,All doctorate recipients<sup>a</sup> -> Male -> Psychology and social sciences,All doctorate recipients<sup>a</sup>,Male,Psychology and social sciences,,3,3171,3297,3358,3332,3539,3501,3508,3758,3743,3693,16.5
953,r059,All doctorate recipients<sup>a</sup> -> Male -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>a</sup>,Male,Psychology and social sciences,Psychology,4,999,991,1032,1003,1040,997,1063,1057,1134,1135,13.6
953,r060,All doctorate recipients<sup>a</sup> -> Male -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>a</sup>,Male,Psychology and social sciences,Anthropology,4,189,195,201,223,187,188,195,185,171,158,-16.4
953,r061,All doctorate recipients<sup>a</sup> -> Male -> Psychology and social sciences -> Economics,All doctorate recipients<sup>a</sup>,Male,Psychology and social sciences,Economics,4,717,735,703,734,840,767,785,821,819,812,13.2
953,r062,All doctorate recipients<sup>a</sup> -> Male -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>a</sup>,Male,Psychology and social sciences,Political science and government,4,367,409,434,389,420,469,434,527,462,454,23.7
953,r063,All doctorate recipients<sup>a</sup> -> Male -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>a</sup>,Male,Psychology and social sciences,Sociology,4,235,263,250,254,230,259,247,284,259,267,13.6
953,r064,All doctorate recipients<sup>a</sup> -> Male -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>a</sup>,Male,Psychology and social sciences,Other social sciences,4,664,704,738,729,822,821,784,884,898,867,30.6
953,r065,All doctorate recipients<sup>a</sup> -> Male -> Engineering,All doctorate recipients<sup>a</sup>,Male,Engineering,,3,6168,6006,5829,6242,6565,6946,7402,7579,7268,7389,19.8
953,r066,"All doctorate recipients<sup>a</sup> -> Male -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>a</sup>,Male,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,238,255,215,228,268,293,330,308,314,334,40.3
953,r067,All doctorate recipients<sup>a</sup> -> Male -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>a</sup>,Male,Engineering,Bioengineering and biomedical engineering,4,477,525,509,563,608,684,660,699,687,612,28.3
953,r068,All doctorate recipients<sup>a</sup> -> Male -> Engineering -> Chemical engineering,All doctorate recipients<sup>a</sup>,Male,Engineering,Chemical engineering,4,641,591,574,566,583,566,682,685,624,663,3.4
953,r069,All doctorate recipients<sup>a</sup> -> Male -> Engineering -> Civil engineering,All doctorate recipients<sup>a</sup>,Male,Engineering,Civil engineering,4,568,559,473,486,388,417,465,457,436,520,-8.5
953,r070,"All doctorate recipients<sup>a</sup> -> Male -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>a</sup>,Male,Engineering,"Electrical, electronics, and communications engineering",4,1568,1433,1462,1579,1594,1616,1615,1704,1528,1541,-1.7
953,r071,All doctorate recipients<sup>a</sup> -> Male -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>a</sup>,Male,Engineering,Industrial and manufacturing engineering,4,201,186,159,180,164,176,209,154,185,169,-15.9
953,r072,All doctorate recipients<sup>a</sup> -> Male -> Engineering -> Materials science engineering,All doctorate recipients<sup>a</sup>,Male,Engineering,Materials science engineering,4,482,466,495,496,556,598,617,648,722,706,46.5
953,r073,All doctorate recipients<sup>a</sup> -> Male -> Engineering -> Mechanical engineering,All doctorate recipients<sup>a</sup>,Male,Engineering,Mechanical engineering,4,930,942,858,934,1042,1081,1126,1265,1096,1168,25.6
953,r074,All doctorate recipients<sup>a</sup> -> Male -> Engineering -> Other engineering,All doctorate recipients<sup>a</sup>,Male,Engineering,Other engineering,4,1063,1049,1084,1210,1362,1515,1698,1659,1676,1676,57.7
953,r075,All doctorate recipients<sup>a</sup> -> Male -> Education,All doctorate recipients<sup>a</sup>,Male,Education,,3,2158,2161,1661,1432,1500,1570,1468,1605,1547,1521,-29.5
953,r076,All doctorate recipients<sup>a</sup> -> Male -> Education -> Education administration,All doctorate recipients<sup>a</sup>,Male,Education,Education administration,4,892,838,547,349,389,372,371,344,305,372,-58.3
953,r077,All doctorate recipients<sup>a</sup> -> Male -> Education -> Education research,All doctorate recipients<sup>a</sup>,Male,Education,Education research,4,763,819,706,699,761,826,723,849,718,768,0.7
953,r078,All doctorate recipients<sup>a</sup> -> Male -> Education -> Teacher education,All doctorate recipients<sup>a</sup>,Male,Education,Teacher education,4,58,92,59,38,43,22,35,36,43,22,-62.1
953,r079,All doctorate recipients<sup>a</sup> -> Male -> Education -> Teaching fields,All doctorate recipients<sup>a</sup>,Male,Education,Teaching fields,4,289,275,233,250,229,275,265,294,314,256,-11.4
953,r080,All doctorate recipients<sup>a</sup> -> Male -> Education -> Other education,All doctorate recipients<sup>a</sup>,Male,Education,Other education,4,156,137,116,96,78,75,74,82,167,103,-34.0
953,r081,All doctorate recipients<sup>a</sup> -> Male -> Humanities and arts,All doctorate recipients<sup>a</sup>,Male,Humanities and arts,,3,2308,2404,2462,2572,2741,2829,2760,2763,2637,2581,11.8
953,r082,All doctorate recipients<sup>a</sup> -> Male -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>a</sup>,Male,Humanities and arts,Foreign languages and literature,4,220,224,218,248,238,271,248,238,228,239,8.6
953,r083,All doctorate recipients<sup>a</sup> -> Male -> Humanities and arts -> History,All doctorate recipients<sup>a</sup>,Male,Humanities and arts,History,4,561,608,556,586,602,632,664,632,621,596,6.2
953,r084,All doctorate recipients<sup>a</sup> -> Male -> Humanities and arts -> Letters,All doctorate recipients<sup>a</sup>,Male,Humanities and arts,Letters,4,527,524,625,615,659,665,657,647,600,591,12.1
953,r085,All doctorate recipients<sup>a</sup> -> Male -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>a</sup>,Male,Humanities and arts,Other humanities and arts,4,1000,1048,1063,1123,1242,1261,1191,1246,1188,1155,15.5
953,r086,All doctorate recipients<sup>a</sup> -> Male -> Other<sup>b</sup>,All doctorate recipients<sup>a</sup>,Male,Other<sup>b</sup>,,3,1386,1420,1326,1283,1360,1479,1478,1462,1480,1399,0.9
953,r087,All doctorate recipients<sup>a</sup> -> Male -> Other<sup>b</sup> -> Business management and administration,All doctorate recipients<sup>a</sup>,Male,Other<sup>b</sup>,Business management and administration,4,861,872,814,792,837,909,909,935,932,846,-1.7
953,r088,All doctorate recipients<sup>a</sup> -> Male -> Other<sup>b</sup> -> Communication,All doctorate recipients<sup>a</sup>,Male,Other<sup>b</sup>,Communication,4,232,263,247,233,244,244,277,256,261,198,-14.7
953,r089,All doctorate recipients<sup>a</sup> -> Male -> Other<sup>b</sup> -> Non-S&E fields nec,All doctorate recipients<sup>a</sup>,Male,Other<sup>b</sup>,Non-S&E fields nec,4,293,285,265,258,279,326,292,271,280,355,21.2
953,r090,All doctorate recipients<sup>a</sup> -> Male -> Other<sup>b</sup> -> Unknown field,All doctorate recipients<sup>a</sup>,Male,Other<sup>b</sup>,Unknown field,4,0,0,0,0,0,0,0,0,7,0,0.0
953,r091,All doctorate recipients<sup>a</sup> -> Female,All doctorate recipients<sup>a</sup>,Female,,,2,22494,23187,22488,22700,23527,24366,24816,25354,25256,25495,13.3
953,r092,All doctorate recipients<sup>a</sup> -> Female -> Life sciences,All doctorate recipients<sup>a</sup>,Female,Life sciences,,3,5859,6210,6213,6289,6614,6713,6930,6932,6918,6958,18.8
953,r093,All doctorate recipients<sup>a</sup> -> Female -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>a</sup>,Female,Life sciences,Agricultural sciences and natural resources,4,498,559,490,554,554,622,646,688,624,795,59.6
953,r094,All doctorate recipients<sup>a</sup> -> Female -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>a</sup>,Female,Life sciences,Biological and biomedical sciences,4,3934,4185,4219,4272,4422,4411,4747,4684,4713,4461,13.4
953,r095,All doctorate recipients<sup>a</sup> -> Female -> Life sciences -> Health sciences,All doctorate recipients<sup>a</sup>,Female,Life sciences,Health sciences,4,1427,1466,1504,1463,1638,1680,1537,1560,1581,1702,19.3
953,r096,All doctorate recipients<sup>a</sup> -> Female -> Physical sciences and earth sciences,All doctorate recipients<sup>a</sup>,Female,Physical sciences and earth sciences,,3,1440,1618,1615,1640,1730,1864,1924,1987,1963,2011,39.7
953,r097,All doctorate recipients<sup>a</sup> -> Female -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>a</sup>,Female,Physical sciences and earth sciences,Chemistry,4,767,895,864,922,894,985,1021,1074,991,1026,33.8
953,r098,"All doctorate recipients<sup>a</sup> -> Female -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>a</sup>,Female,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",4,316,338,366,330,403,449,475,457,510,520,64.6
953,r099,All doctorate recipients<sup>a</sup> -> Female -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>a</sup>,Female,Physical sciences and earth sciences,Physics and astronomy,4,357,385,385,388,433,430,428,456,462,465,30.3
953,r100,All doctorate recipients<sup>a</sup> -> Female -> Mathematics and computer sciences,All doctorate recipients<sup>a</sup>,Female,Mathematics and computer sciences,,3,833,832,814,813,855,868,934,939,959,976,17.2
953,r101,All doctorate recipients<sup>a</sup> -> Female -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>a</sup>,Female,Mathematics and computer sciences,Computer and information sciences,4,400,349,347,353,374,341,400,422,420,447,11.8
953,r102,All doctorate recipients<sup>a</sup> -> Female -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>a</sup>,Female,Mathematics and computer sciences,Mathematics and statistics,4,433,483,467,460,481,527,534,517,539,529,22.2
953,r103,All doctorate recipients<sup>a</sup> -> Female -> Psychology and social sciences,All doctorate recipients<sup>a</sup>,Female,Psychology and social sciences,,3,4464,4646,4524,4888,4955,5077,5220,5319,5317,5381,20.5
953,r104,All doctorate recipients<sup>a</sup> -> Female -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>a</sup>,Female,Psychology and social sciences,Psychology,4,2358,2481,2389,2573,2558,2594,2648,2719,2797,2824,19.8
953,r105,All doctorate recipients<sup>a</sup> -> Female -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>a</sup>,Female,Psychology and social sciences,Anthropology,4,294,308,306,330,360,362,329,307,289,297,1.0
953,r106,All doctorate recipients<sup>a</sup> -> Female -> Psychology and social sciences -> Economics,All doctorate recipients<sup>a</sup>,Female,Psychology and social sciences,Economics,4,374,382,369,387,402,416,404,434,417,423,13.1
953,r107,All doctorate recipients<sup>a</sup> -> Female -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>a</sup>,Female,Psychology and social sciences,Political science and government,4,261,272,294,296,303,333,342,332,283,298,14.2
953,r108,All doctorate recipients<sup>a</sup> -> Female -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>a</sup>,Female,Psychology and social sciences,Sociology,4,366,399,389,403,402,377,432,458,356,421,15.0
953,r109,All doctorate recipients<sup>a</sup> -> Female -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>a</sup>,Female,Psychology and social sciences,Other social sciences,4,811,804,777,899,930,995,1065,1069,1175,1118,37.9
953,r110,All doctorate recipients<sup>a</sup> -> Female -> Engineering,All doctorate recipients<sup>a</sup>,Female,Engineering,,3,1693,1631,1746,1782,1887,2052,2184,2297,2189,2448,44.6
953,r111,"All doctorate recipients<sup>a</sup> -> Female -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>a</sup>,Female,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,28,41,37,34,39,55,55,53,56,44,57.1
953,r112,All doctorate recipients<sup>a</sup> -> Female -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>a</sup>,Female,Engineering,Bioengineering and biomedical engineering,4,285,308,315,335,335,355,384,427,403,429,50.5
953,r113,All doctorate recipients<sup>a</sup> -> Female -> Engineering -> Chemical engineering,All doctorate recipients<sup>a</sup>,Female,Engineering,Chemical engineering,4,232,216,248,256,256,258,290,317,296,272,17.2
953,r114,All doctorate recipients<sup>a</sup> -> Female -> Engineering -> Civil engineering,All doctorate recipients<sup>a</sup>,Female,Engineering,Civil engineering,4,145,148,169,147,106,125,147,175,127,219,51.0
953,r115,"All doctorate recipients<sup>a</sup> -> Female -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>a</sup>,Female,Engineering,"Electrical, electronics, and communications engineering",4,319,260,315,301,336,279,325,293,294,359,12.5
953,r116,All doctorate recipients<sup>a</sup> -> Female -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>a</sup>,Female,Engineering,Industrial and manufacturing engineering,4,79,65,55,78,62,65,89,89,71,83,5.1
953,r117,All doctorate recipients<sup>a</sup> -> Female -> Engineering -> Materials science engineering,All doctorate recipients<sup>a</sup>,Female,Engineering,Materials science engineering,4,154,159,175,166,184,217,211,223,262,252,63.6
953,r118,All doctorate recipients<sup>a</sup> -> Female -> Engineering -> Mechanical engineering,All doctorate recipients<sup>a</sup>,Female,Engineering,Mechanical engineering,4,152,152,125,150,177,196,197,201,200,241,58.6
953,r119,All doctorate recipients<sup>a</sup> -> Female -> Engineering -> Other engineering,All doctorate recipients<sup>a</sup>,Female,Engineering,Other engineering,4,299,282,307,315,392,502,486,519,480,549,83.6
953,r120,All doctorate recipients<sup>a</sup> -> Female -> Education,All doctorate recipients<sup>a</sup>,Female,Education,,3,4402,4366,3624,3234,3299,3364,3311,3492,3599,3300,-25.0
953,r121,All doctorate recipients<sup>a</sup> -> Female -> Education -> Education administration,All doctorate recipients<sup>a</sup>,Female,Education,Education administration,4,1346,1308,892,574,665,593,522,576,518,651,-51.6
953,r122,All doctorate recipients<sup>a</sup> -> Female -> Education -> Education research,All doctorate recipients<sup>a</sup>,Female,Education,Education research,4,1876,1844,1736,1736,1808,1877,1828,1922,1666,1636,-12.8
953,r123,All doctorate recipients<sup>a</sup> -> Female -> Education -> Teacher education,All doctorate recipients<sup>a</sup>,Female,Education,Teacher education,4,216,240,186,166,113,87,117,120,137,89,-58.8
953,r124,All doctorate recipients<sup>a</sup> -> Female -> Education -> Teaching fields,All doctorate recipients<sup>a</sup>,Female,Education,Teaching fields,4,623,630,566,555,527,617,649,659,852,652,4.7
953,r125,All doctorate recipients<sup>a</sup> -> Female -> Education -> Other education,All doctorate recipients<sup>a</sup>,Female,Education,Other education,4,341,344,244,203,186,190,195,215,426,272,-20.2
953,r126,All doctorate recipients<sup>a</sup> -> Female -> Humanities and arts,All doctorate recipients<sup>a</sup>,Female,Humanities and arts,,3,2428,2499,2552,2654,2818,2885,2760,2830,2842,2708,11.5
