table_id,row_id,_b_time_to_degree_and_demographic_characteristic_b_full_path,_b_time_to_degree_and_demographic_characteristic_b_level_1,_b_time_to_degree_and_demographic_characteristic_b_level_2,_b_time_to_degree_and_demographic_characteristic_b_level_3,_b_time_to_degree_and_demographic_characteristic_b_level_4,_b_time_to_degree_and_demographic_characteristic_b_hierarchy_depth,field_all_fields_median,field_all_fields_number,field_life_sciencesa_median,field_life_sciencesa_number,field_physical_sciences_and_earth_sciences_median,field_physical_sciences_and_earth_sciences_number,field_mathematics_and_computer_sciences_median,field_mathematics_and_computer_sciences_number,field_psychology_and_social_sciences_median,field_psychology_and_social_sciences_number,field_engineering_median,field_engineering_number,field_education_median,field_education_number,field_humanities_and_arts_median,field_humanities_and_arts_number,field_otherb_median,field_otherb_number
4669,r033,All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,7.3,23138,6.5,5830,6.0,2802,6.8,1158,7.3,4382,6.1,2734,12.8,2381,9.3,2831,10.0,1020
4669,r034,All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,7.0,1127,6.6,309,5.8,139,6.8,77,7.8,233,5.8,126,11.3,99,9.7,106,9.0,38
4669,r035,All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,8.3,267,6.8,60,,,,,10.0,49,,,10.0,37,9.5,36,12.0,12
4669,r036,All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,9.6,150,6.8,27,7.1,11,9.3,13,9.5,33,8.0,16,13.5,22,10.8,17,9.3,11
4669,r037,Years since entering doctoral program<sup>e</sup>,Years since entering doctoral program<sup>e</sup>,,,,1,,,,,,,,,,,,,,,,,,
4669,r038,All doctorate recipients<sup>f</sup>,All doctorate recipients<sup>f</sup>,,,,1,5.8,49422,5.5,11474,5.5,5683,5.6,3962,6.0,7815,5.3,9467,5.8,4191,6.8,4298,5.3,2532
4669,r039,All doctorate recipients<sup>f</sup> -> Sex,All doctorate recipients<sup>f</sup>,Sex,,,2,,,,,,,,,,,,,,,,,,
4669,r040,All doctorate recipients<sup>f</sup> -> Sex -> Male,All doctorate recipients<sup>f</sup>,Sex,Male,,3,5.7,26718,5.5,5059,5.7,3781,5.7,2958,5.8,3168,5.3,7122,5.6,1276,6.8,2179,5.0,1175
4669,r041,All doctorate recipients<sup>f</sup> -> Sex -> Female,All doctorate recipients<sup>f</sup>,Sex,Female,,3,5.8,22704,5.4,6415,5.3,1902,5.3,1004,6.0,4647,5.2,2345,5.8,2915,6.8,2119,5.3,1357
4669,r042,All doctorate recipients<sup>f</sup> -> Citizenship status,All doctorate recipients<sup>f</sup>,Citizenship status,,,2,,,,,,,,,,,,,,,,,,
4669,r043,All doctorate recipients<sup>f</sup> -> Citizenship status -> U.S. citizen or permanent resident,All doctorate recipients<sup>f</sup>,Citizenship status,U.S. citizen or permanent resident,,3,5.8,31894,5.7,8184,5.7,3488,5.8,1630,6.0,6039,5.3,3875,5.8,3562,6.8,3591,5.7,1525
4669,r044,All doctorate recipients<sup>f</sup> -> Citizenship status -> Temporary visa holder,All doctorate recipients<sup>f</sup>,Citizenship status,Temporary visa holder,,3,5.3,17078,5.3,3204,5.3,2159,5.3,2283,5.8,1693,5.0,5504,5.3,589,6.7,673,5.0,973
4669,r045,All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents),All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,
4669,r046,All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,5.8,2621,5.8,674,5.3,226,6.0,95,6.0,577,5.3,270,5.9,343,6.8,319,5.8,117
4669,r047,All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,
4669,r048,All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,5.8,84,5.8,19,,,,,7.6,21,,,4.6,13,7.9,13,5.0,9
4669,r049,All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,5.8,3007,5.8,909,5.7,296,5.8,249,6.0,408,5.6,622,6.0,185,7.0,191,5.7,147
4669,r050,All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,5.9,2207,5.8,516,5.8,70,5.9,53,6.0,485,5.3,165,6.0,550,6.3,159,5.7,209
4669,r051,All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,5.8,22488,5.7,5682,5.7,2726,5.8,1127,6.0,4249,5.3,2648,5.7,2316,6.8,2755,5.5,985
4669,r052,All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,5.8,1099,5.8,304,5.3,130,6.0,77,6.0,224,5.3,124,5.3,98,6.8,105,5.3,37
4669,r053,All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,6.0,251,5.6,57,,,,,6.3,44,,,5.7,35,7.3,36,6.3,10
4669,r054,All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,5.8,137,5.8,23,6.7,10,6.2,12,6.8,31,5.3,15,5.0,22,7.3,13,5.8,11
