table_id,row_id,time_period,sdr_field_of_study_aggregations_aligned_with_tod_level_1,sdr_field_of_study_aggregations_aligned_with_tod_level_2,sdr_field_of_study_aggregations_aligned_with_tod_level_3,sdr_field_of_study_aggregations_aligned_with_tod_hierarchy_depth,value
8140,r031_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Microbiology
8140,r031_9,,SED field of study information,Start year,,2,1983
8140,r031_10,,SED field of study information,End year,,2,Present
8140,r032_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,166
8140,r032_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Parasitology
8140,r032_9,,SED field of study information,Start year,,2,1973
8140,r032_10,,SED field of study information,End year,,2,Present
8140,r033_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,168
8140,r033_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Virology
8140,r033_9,,SED field of study information,Start year,,2,2010
8140,r033_10,,SED field of study information,End year,,2,Present
8140,r034_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,15
8140,r034_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Natural resources and conservation
8140,r034_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1501
8140,r034_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Fish, fisheries, wildlife, and wildlands science and management"
8140,r034_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,54
8140,r034_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Fish and wildlife science
8140,r034_9,,SED field of study information,Start year,,2,1958
8140,r034_10,,SED field of study information,End year,,2,1982
8140,r035_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,55
8140,r035_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Fishing and fisheries sciences/ management
8140,r035_9,,SED field of study information,Start year,,2,1983
8140,r035_10,,SED field of study information,End year,,2,Present
8140,r036_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,60
8140,r036_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Wildlife
8140,r036_9,,SED field of study information,Start year,,2,1983
8140,r036_10,,SED field of study information,End year,,2,1988
8140,r037_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,80
8140,r037_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Wildlife/ range management
8140,r037_9,,SED field of study information,Start year,,2,1988
8140,r037_10,,SED field of study information,End year,,2,Present
8140,r038_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1502
8140,r038_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Forestry
8140,r038_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,65
8140,r038_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Forestry science
8140,r038_9,,SED field of study information,Start year,,2,1958
8140,r038_10,,SED field of study information,End year,,2,1988
8140,r039_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,66
8140,r039_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Forest sciences and biology
8140,r039_9,,SED field of study information,Start year,,2,1988
8140,r039_10,,SED field of study information,End year,,2,Present
8140,r040_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,70
8140,r040_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Forest/ resources management
8140,r040_9,,SED field of study information,Start year,,2,1988
8140,r040_10,,SED field of study information,End year,,2,Present
8140,r041_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,72
8140,r041_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Wood science and pulp/ paper technology
8140,r041_9,,SED field of study information,Start year,,2,1988
8140,r041_10,,SED field of study information,End year,,2,Present
8140,r042_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,79
8140,r042_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Forestry and related science, other"
8140,r042_9,,SED field of study information,Start year,,2,1988
8140,r042_10,,SED field of study information,End year,,2,Present
8140,r043_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1503
8140,r043_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Natural resource conservation, research, management, and policy"
8140,r043_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,74
8140,r043_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Natural resources/ conservation
8140,r043_9,,SED field of study information,Start year,,2,1988
8140,r043_10,,SED field of study information,End year,,2,Present
8140,r044_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,81
8140,r044_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Environmental science
8140,r044_9,,SED field of study information,Start year,,2,1972
8140,r044_10,,SED field of study information,End year,,2,Present
8140,r045_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,685
8140,r045_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Natural resource and environmental policy
8140,r045_9,,SED field of study information,Start year,,2,2014
8140,r045_10,,SED field of study information,End year,,2,Present
8140,r046_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,16
8140,r046_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Zoology
8140,r046_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1601
8140,r046_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Zoology, animal biology"
8140,r046_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,148
8140,r046_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Entomology
8140,r046_9,,SED field of study information,Start year,,2,1958
8140,r046_10,,SED field of study information,End year,,2,Present
8140,r047_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,188
8140,r047_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Wildlife biology
8140,r047_9,,SED field of study information,Start year,,2,2014
8140,r047_10,,SED field of study information,End year,,2,Present
8140,r048_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,189
8140,r048_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Zoology, other"
8140,r048_9,,SED field of study information,Start year,,2,1958
8140,r048_10,,SED field of study information,End year,,2,Present
8140,r049_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,17
8140,r049_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Other biological sciences
8140,r049_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1701
8140,r049_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Biomathematics, bioinformatics, and computational biology"
8140,r049_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,102
8140,r049_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Bioinformatics
8140,r049_9,,SED field of study information,Start year,,2,2007
8140,r049_10,,SED field of study information,End year,,2,Present
8140,r050_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,104
8140,r050_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Computational biology
8140,r050_9,,SED field of study information,Start year,,2,2010
8140,r050_10,,SED field of study information,End year,,2,Present
8140,r051_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,133
8140,r051_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Biometrics and biostatistics
8140,r051_9,,SED field of study information,Start year,,2,1958
8140,r051_10,,SED field of study information,End year,,2,Present
8140,r052_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1702
8140,r052_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Botany and plant biology
8140,r052_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,30
8140,r052_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Plant pathology/ phytopathology
8140,r052_9,,SED field of study information,Start year,,2,1958
8140,r052_10,,SED field of study information,End year,,2,Present
8140,r053_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,120
8140,r053_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Plant pathology/ phytopathology
8140,r053_9,,SED field of study information,Start year,,2,1983
8140,r053_10,,SED field of study information,End year,,2,Present
8140,r054_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,125
8140,r054_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Plant physiology
8140,r054_9,,SED field of study information,Start year,,2,1958
8140,r054_10,,SED field of study information,End year,,2,Present
8140,r055_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,129
8140,r055_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Botany/ plant biology
8140,r055_9,,SED field of study information,Start year,,2,1958
8140,r055_10,,SED field of study information,End year,,2,Present
8140,r056_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1703
8140,r056_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Epidemiology, ecology, and population biology"
8140,r056_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,134
8140,r056_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Epidemiology
8140,r056_9,,SED field of study information,Start year,,2,2014
8140,r056_10,,SED field of study information,End year,,2,Present
8140,r057_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,137
8140,r057_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Evolutionary biology
8140,r057_9,,SED field of study information,Start year,,2,2002
8140,r057_10,,SED field of study information,End year,,2,Present
8140,r058_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,139
8140,r058_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Ecology
8140,r058_9,,SED field of study information,Start year,,2,1958
8140,r058_10,,SED field of study information,End year,,2,Present
8140,r059_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,140
8140,r059_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Hydrobiology
8140,r059_9,,SED field of study information,Start year,,2,1958
8140,r059_10,,SED field of study information,End year,,2,1979
8140,r060_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,220
8140,r060_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Epidemiology
8140,r060_9,,SED field of study information,Start year,,2,1983
8140,r060_10,,SED field of study information,End year,,2,2013
8140,r061_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1704
8140,r061_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Genetics
8140,r061_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,115
8140,r061_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Plant genetics
8140,r061_9,,SED field of study information,Start year,,2,1983
8140,r061_10,,SED field of study information,End year,,2,Present
8140,r062_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,170
8140,r062_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Genetics/ genomics, human and animal"
8140,r062_9,,SED field of study information,Start year,,2,1983
8140,r062_10,,SED field of study information,End year,,2,Present
8140,r063_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,171
8140,r063_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Genetics
8140,r063_9,,SED field of study information,Start year,,2,1958
8140,r063_10,,SED field of study information,End year,,2,1982
8140,r064_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1705
8140,r064_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Neurobiology and neuroscience
8140,r064_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,160
8140,r064_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Neurosciences
8140,r064_9,,SED field of study information,Start year,,2,1982
8140,r064_10,,SED field of study information,End year,,2,Present
8140,r065_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,626
8140,r065_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Cognitive neuroscience
8140,r065_9,,SED field of study information,Start year,,2,2016
8140,r065_10,,SED field of study information,End year,,2,Present
8140,r066_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1706
8140,r066_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Nutrition sciences
8140,r066_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,163
8140,r066_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Nutrition sciences
8140,r066_9,,SED field of study information,Start year,,2,1958
8140,r066_10,,SED field of study information,End year,,2,Present
8140,r067_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1707
8140,r067_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Pharmacology and toxicology
8140,r067_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,167
8140,r067_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Environmental toxicology
8140,r067_9,,SED field of study information,Start year,,2,2010
8140,r067_10,,SED field of study information,End year,,2,Present
8140,r068_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,169
8140,r068_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Toxicology
8140,r068_9,,SED field of study information,Start year,,2,1966
8140,r068_10,,SED field of study information,End year,,2,Present
8140,r069_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,180
8140,r069_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Pharmacology, human and animal"
8140,r069_9,,SED field of study information,Start year,,2,1958
8140,r069_10,,SED field of study information,End year,,2,Present
8140,r070_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,211
8140,r070_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Environmental toxicology
8140,r070_9,,SED field of study information,Start year,,2,2004
8140,r070_10,,SED field of study information,End year,,2,2009
8140,r071_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1708
8140,r071_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Physiology, pathology, and related sciences"
8140,r071_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,145
8140,r071_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Endocrinology
8140,r071_9,,SED field of study information,Start year,,2,1983
8140,r071_10,,SED field of study information,End year,,2,Present
8140,r072_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,158
8140,r072_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Cancer biology
8140,r072_9,,SED field of study information,Start year,,2,2007
8140,r072_10,,SED field of study information,End year,,2,Present
8140,r073_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,175
8140,r073_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Pathology, human and animal"
8140,r073_9,,SED field of study information,Start year,,2,1958
8140,r073_10,,SED field of study information,End year,,2,Present
8140,r074_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,185
8140,r074_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Physiology, human and animal"
8140,r074_9,,SED field of study information,Start year,,2,1960
8140,r074_10,,SED field of study information,End year,,2,Present
8140,r075_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1709
8140,r075_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Biological and biomedical sciences, general"
8140,r075_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,103
8140,r075_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Biomedical sciences
8140,r075_9,,SED field of study information,Start year,,2,1995
8140,r075_10,,SED field of study information,End year,,2,Present
8140,r076_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,198
8140,r076_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Biology/ biomedical sciences, general"
