table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_level_5,_b_characteristic_b_hierarchy_depth,field_all_fields,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_othera
7655,r027,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Secondary activity<sup>h</sup> -> No secondary activity,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Secondary activity<sup>h</sup>,No secondary activity,,4,37.8,29.9,10.3,37.5,32.2,35.1,25.7
7655,r028,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Activity unknown,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Activity unknown,,,3,5.1,5.1,4.4,5.9,4.5,5.8,4.4
7655,r029,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup>,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,,,,2,,,,,,,
7655,r030,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup> -> United States<sup>j</sup>,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,United States<sup>j</sup>,,,3,89.7,88.3,77.4,93.9,87.4,85.5,87.9
7655,r031,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup> -> United States<sup>j</sup> -> Midwest,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,United States<sup>j</sup>,Midwest,,4,15.9,18.2,15.8,19.7,17.5,17.3,18.5
7655,r032,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup> -> United States<sup>j</sup> -> Northeast,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,United States<sup>j</sup>,Northeast,,4,20.1,17.7,15.3,14.9,21.5,25.0,17.7
7655,r033,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup> -> United States<sup>j</sup> -> South,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,United States<sup>j</sup>,South,,4,27.4,34.8,31.6,41.9,30.4,23.3,33.1
7655,r034,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup> -> United States<sup>j</sup> -> West,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,United States<sup>j</sup>,West,,4,25.8,16.9,13.6,16.8,17.4,19.6,18.0
7655,r035,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup> -> Outside the United States,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,Outside the United States,,,3,10.2,11.6,22.5,6.1,12.4,14.5,11.9
7655,r036,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup> -> Location unknown,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,Location unknown,,,3,0.1,0.1,0.1,0.05,0.2,0.0,0.2
7655,r037,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location in same state as doctorate institution (%),Doctorate recipients reporting postgraduation status (number),Postgraduation location in same state as doctorate institution (%),,,,2,38.1,43.3,20.4,61.7,37.3,34.7,35.8
7655,r038,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number),Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),,,,2,25662,4102,648,965,1442,312,735
7655,r039,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans,,,3,29.3,11.3,6.9,6.2,16.1,8.7,13.6
7655,r040,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans,,,3,41.0,55.3,72.8,67.2,44.5,40.4,52.0
7655,r041,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Seeking employment or study,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Seeking employment or study,,,3,26.8,30.1,17.4,24.5,35.5,48.4,30.2
7655,r042,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Other status<sup>b</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Other status<sup>b</sup>,,,3,2.8,3.2,2.8,2.2,3.9,2.6,4.1
7655,r043,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>c</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>c</sup>,,,3,,,,,,,
7655,r044,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>c</sup> -> Postdoc fellowship or research associateship,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>c</sup>,Postdoc fellowship or research associateship,,4,95.2,96.3,86.7,93.3,97.4,100.0,99.0
7655,r045,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>c</sup> -> Other training or unknown<sup>d</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>c</sup>,Other training or unknown<sup>d</sup>,,4,4.8,3.7,13.3,6.7,2.6,0.0,1.0
7655,r046,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,,,3,,,,,,,
7655,r047,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Academe,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Academe,,4,33.0,61.0,73.7,54.5,59.6,58.7,59.7
7655,r048,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Academe -> In tenure track faculty position (%),Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Academe,In tenure track faculty position (%),5,50.1,49.0,79.6,34.3,35.1,37.8,52.2
7655,r049,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Academe -> Not in tenure track position (%),Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Academe,Not in tenure track position (%),5,45.4,47.1,17.5,60.9,61.3,59.5,43.4
7655,r050,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Government,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Government,,4,8.3,5.4,,4.8,4.5,,10.7
7655,r051,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Industry or business<sup>f</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Industry or business<sup>f</sup>,,4,48.5,12.2,18.0,6.2,8.1,22.2,18.6
7655,r052,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Nonprofit organization,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Nonprofit organization,,4,5.7,9.6,,7.3,18.3,,7.3
7655,r053,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Other or unknown<sup>g</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Other or unknown<sup>g</sup>,,4,4.5,11.8,1.3,27.3,9.5,7.9,3.7
7655,r054,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Primary activity<sup>h</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Primary activity<sup>h</sup>,,4,,,,,,,
7655,r055,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Primary activity<sup>h</sup> -> Research and development,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Primary activity<sup>h</sup>,Research and development,5,51.8,20.9,48.4,12.4,9.1,8.3,25.2
7655,r056,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Primary activity<sup>h</sup> -> Teaching,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Primary activity<sup>h</sup>,Teaching,5,21.0,46.3,30.8,39.4,63.2,65.3,41.9
7655,r057,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Primary activity<sup>h</sup> -> Management or administration,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Primary activity<sup>h</sup>,Management or administration,5,7.1,18.6,9.6,37.3,11.2,7.4,14.5
7655,r058,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Primary activity<sup>h</sup> -> Professional services and other,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Primary activity<sup>h</sup>,Professional services and other,5,20.0,14.3,11.2,10.9,16.4,19.0,18.4
7655,r059,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Secondary activity<sup>h</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Secondary activity<sup>h</sup>,,4,,,,,,,
7655,r060,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Secondary activity<sup>h</sup> -> Research and development,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Secondary activity<sup>h</sup>,Research and development,5,22.4,29.1,30.1,24.0,30.9,28.9,33.2
7655,r061,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Secondary activity<sup>h</sup> -> Teaching,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Secondary activity<sup>h</sup>,Teaching,5,13.0,23.1,44.4,18.6,16.0,15.7,18.6
7655,r062,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Secondary activity<sup>h</sup> -> Management or administration,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Secondary activity<sup>h</sup>,Management or administration,5,12.1,11.1,6.0,13.4,12.9,8.3,11.5
7655,r063,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Secondary activity<sup>h</sup> -> Professional services and other,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Secondary activity<sup>h</sup>,Professional services and other,5,14.5,8.9,7.1,8.5,7.8,15.7,11.2
7655,r064,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Secondary activity<sup>h</sup> -> No secondary activity,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Secondary activity<sup>h</sup>,No secondary activity,5,38.1,27.9,12.3,35.6,32.4,31.4,25.5
7655,r065,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Activity unknown,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Activity unknown,,4,5.1,4.8,5.1,5.4,4.2,4.0,4.5
7655,r066,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,,,3,,,,,,,
7655,r067,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup> -> United States<sup>j</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,United States<sup>j</sup>,,4,88.0,84.3,76.0,91.2,85.3,83.0,81.5
7655,r068,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup> -> United States<sup>j</sup> -> Midwest,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,United States<sup>j</sup>,Midwest,5,15.5,18.6,15.9,21.0,18.8,18.3,17.8
7655,r069,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup> -> United States<sup>j</sup> -> Northeast,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,United States<sup>j</sup>,Northeast,5,19.3,17.4,16.4,14.5,20.5,17.6,17.0
7655,r070,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup> -> United States<sup>j</sup> -> South,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,United States<sup>j</sup>,South,5,25.4,31.5,30.0,37.3,29.3,24.2,30.7
7655,r071,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup> -> United States<sup>j</sup> -> West,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,United States<sup>j</sup>,West,5,27.4,16.4,12.8,17.9,16.4,22.2,16.0
7655,r072,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup> -> Outside the United States,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,Outside the United States,,4,11.9,15.6,24.0,8.6,14.4,17.0,18.5
7655,r073,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup> -> Location unknown,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,Location unknown,,4,0.1,0.1,0.0,0.1,0.2,0.0,0.0
7655,r074,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Postgraduation location in same state as doctorate institution (%),Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Postgraduation location in same state as doctorate institution (%),,,3,35.8,38.5,19.5,58.6,35.5,34.0,36.3
7655,r075,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number),Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),,,,2,21769,5504,515,2312,1294,378,1005
7655,r076,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans,,,3,28.5,9.8,6.4,5.6,15.8,13.2,12.3
7655,r077,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans,,,3,41.1,56.0,69.9,63.8,45.3,39.4,50.7
7655,r078,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Seeking employment or study,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Seeking employment or study,,,3,26.9,30.5,19.0,27.6,34.1,43.4,33.5
7655,r079,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Other status<sup>b</sup>,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Other status<sup>b</sup>,,,3,3.5,3.7,4.5,2.9,4.8,4.0,3.4
7655,r080,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>c</sup>,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>c</sup>,,,3,,,,,,,
7655,r081,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>c</sup> -> Postdoc fellowship or research associateship,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>c</sup>,Postdoc fellowship or research associateship,,4,94.0,95.4,97.0,95.3,96.1,92.0,95.2
7655,r082,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>c</sup> -> Other training or unknown<sup>d</sup>,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>c</sup>,Other training or unknown<sup>d</sup>,,4,6.0,4.6,3.0,4.7,3.9,8.0,4.8
7655,r083,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup>,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,,,3,,,,,,,
7655,r084,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Academe,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Academe,,4,44.8,63.1,77.8,54.7,73.7,62.4,64.7
