table_id,row_id,time_to_degree_and_demographic_characteristic_full_path,time_to_degree_and_demographic_characteristic_level_1,time_to_degree_and_demographic_characteristic_level_2,time_to_degree_and_demographic_characteristic_level_3,time_to_degree_and_demographic_characteristic_level_4,time_to_degree_and_demographic_characteristic_hierarchy_depth,field_all_fields_median,field_all_fields_number,field_life_sciencesa_median,field_life_sciencesa_number,field_physical_sciences_and_earth_sciences_median,field_physical_sciences_and_earth_sciences_number,field_mathematics_and_computer_sciences_median,field_mathematics_and_computer_sciences_number,field_psychology_and_social_sciences_median,field_psychology_and_social_sciences_number,field_engineering_median,field_engineering_number,field_education_median,field_education_number,field_humanities_and_arts_median,field_humanities_and_arts_number,field_otherb_median,field_otherb_number
1760,r011,All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,
1760,r012,All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,11.3,110,11.1,20,7.6,9,,,10.0,31,8.1,7,16.7,23,12.9,12,,
1760,r013,All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,8.6,3247,8.3,974,7.0,351,7.9,226,9.5,468,7.3,672,15.9,198,12.1,197,11.3,161
1760,r014,All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,11.6,2413,9.6,577,7.8,102,8.0,64,11.1,515,7.6,166,16.0,573,12.0,199,15.6,217
1760,r015,All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,8.7,24645,8.0,6188,6.5,2882,7.3,1224,9.3,4574,6.6,2804,15.3,2691,11.0,3127,12.0,1155
1760,r016,All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,8.6,1095,7.6,284,6.5,101,7.2,58,9.3,252,6.4,129,13.0,114,10.8,112,12.5,45
1760,r017,All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,9.6,344,9.2,95,7.6,26,,,9.8,72,7.3,55,19.3,27,13.0,27,,
1760,r018,All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,9.4,425,8.3,90,6.6,43,8.0,23,9.5,76,7.4,61,14.3,49,12.6,55,11.4,28
1760,r019,Years since entering graduate school,Years since entering graduate school,,,,1,,,,,,,,,,,,,,,,,,
1760,r020,All doctorate recipients<sup>d</sup>,All doctorate recipients<sup>d</sup>,,,,1,7.3,50736,6.8,11945,6.3,5933,6.8,3731,7.8,8025,6.7,9416,11.9,4429,9.4,4673,9.2,2584
1760,r021,All doctorate recipients<sup>d</sup> -> Sex,All doctorate recipients<sup>d</sup>,Sex,,,2,,,,,,,,,,,,,,,,,,
1760,r022,All doctorate recipients<sup>d</sup> -> Sex -> Male,All doctorate recipients<sup>d</sup>,Sex,Male,,3,7.3,27469,6.8,5287,6.3,3939,6.8,2821,7.9,3305,6.8,7162,11.5,1365,9.6,2320,9.2,1270
1760,r023,All doctorate recipients<sup>d</sup> -> Sex -> Female,All doctorate recipients<sup>d</sup>,Sex,Female,,3,7.8,23260,6.9,6655,6.0,1994,6.9,910,7.8,4719,6.3,2253,12.0,3064,9.3,2353,9.3,1312
1760,r024,All doctorate recipients<sup>d</sup> -> Citizenship status,All doctorate recipients<sup>d</sup>,Citizenship status,,,2,,,,,,,,,,,,,,,,,,
1760,r025,All doctorate recipients<sup>d</sup> -> Citizenship status -> U.S. citizen or permanent resident,All doctorate recipients<sup>d</sup>,Citizenship status,U.S. citizen or permanent resident,,3,7.3,33736,6.7,8683,6.0,3640,6.8,1673,7.8,6303,6.3,4055,12.3,3836,9.3,3942,9.8,1604
1760,r026,All doctorate recipients<sup>d</sup> -> Citizenship status -> Temporary visa holder,All doctorate recipients<sup>d</sup>,Citizenship status,Temporary visa holder,,3,7.5,16595,7.7,3188,6.9,2264,7.0,2015,8.7,1665,6.9,5283,9.3,555,9.8,682,8.7,943
1760,r027,All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents),All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,
1760,r028,All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,7.5,2454,6.8,642,6.0,212,6.8,90,7.8,539,6.0,273,11.3,293,9.2,330,9.8,75
1760,r029,All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,
1760,r030,All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,9.3,100,9.3,20,,,,,8.7,28,,,13.2,20,13.8,11,,
1760,r031,All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,7.3,3187,6.9,969,6.3,347,7.1,227,7.9,453,6.7,658,12.7,193,10.3,190,9.5,150
1760,r032,All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,9.7,2340,7.8,563,6.8,98,7.6,63,9.3,499,6.8,162,13.3,559,9.8,194,12.8,202
1760,r033,All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,7.3,24081,6.5,6085,5.9,2840,6.6,1202,7.3,4438,6.0,2756,12.3,2603,9.2,3066,9.3,1091
1760,r034,All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,7.0,1101,6.3,285,5.8,101,6.0,58,7.8,252,6.0,129,10.7,117,9.5,112,9.0,47
1760,r035,All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,8.3,296,7.3,83,,,,,8.0,63,,,17.7,27,11.8,24,,
1760,r036,All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,8.0,177,7.0,36,6.0,16,6.8,12,8.2,31,7.8,28,12.1,24,11.7,15,8.0,15
1760,r037,Years since entering doctoral program<sup>e</sup>,Years since entering doctoral program<sup>e</sup>,,,,1,,,,,,,,,,,,,,,,,,
1760,r038,All doctorate recipients<sup>f</sup>,All doctorate recipients<sup>f</sup>,,,,1,5.8,49521,5.5,11718,5.7,5807,5.7,3652,6.0,7805,5.3,9166,5.8,4312,6.8,4561,5.2,2500
1760,r039,All doctorate recipients<sup>f</sup> -> Sex,All doctorate recipients<sup>f</sup>,Sex,,,2,,,,,,,,,,,,,,,,,,
1760,r040,All doctorate recipients<sup>f</sup> -> Sex -> Male,All doctorate recipients<sup>f</sup>,Sex,Male,,3,5.7,26775,5.5,5171,5.8,3853,5.7,2766,5.9,3213,5.3,6967,5.7,1327,6.8,2258,5.0,1220
1760,r041,All doctorate recipients<sup>f</sup> -> Sex -> Female,All doctorate recipients<sup>f</sup>,Sex,Female,,3,5.8,22739,5.5,6544,5.4,1954,5.8,886,6.0,4591,5.2,2198,5.8,2985,6.8,2303,5.3,1278
1760,r042,All doctorate recipients<sup>f</sup> -> Citizenship status,All doctorate recipients<sup>f</sup>,Citizenship status,,,2,,,,,,,,,,,,,,,,,,
1760,r043,All doctorate recipients<sup>f</sup> -> Citizenship status -> U.S. citizen or permanent resident,All doctorate recipients<sup>f</sup>,Citizenship status,U.S. citizen or permanent resident,,3,5.8,32906,5.7,8511,5.7,3567,5.8,1643,6.0,6113,5.3,3946,5.8,3731,6.8,3847,5.3,1548
1760,r044,All doctorate recipients<sup>f</sup> -> Citizenship status -> Temporary visa holder,All doctorate recipients<sup>f</sup>,Citizenship status,Temporary visa holder,,3,5.3,16225,5.3,3136,5.6,2211,5.3,1966,5.8,1638,5.0,5146,5.0,545,6.3,667,5.0,916
1760,r045,All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents),All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,
1760,r046,All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,5.9,2383,5.8,629,5.8,204,5.8,89,6.0,515,5.3,265,5.8,285,6.8,325,5.3,71
1760,r047,All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,
1760,r048,All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,6.0,96,5.3,19,6.5,7,,,6.6,26,,,,,6.8,11,,
1760,r049,All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,5.8,3100,5.7,939,5.8,341,5.8,222,6.1,440,5.6,642,5.8,185,7.7,185,5.8,146
1760,r050,All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,5.9,2240,5.8,546,5.5,94,5.9,63,6.0,477,5.0,156,6.0,528,6.8,188,6.0,188
1760,r051,All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,5.8,23566,5.5,5987,5.7,2787,5.8,1182,6.0,4327,5.3,2683,5.8,2550,6.8,2989,5.2,1061
1760,r052,All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,5.8,1079,5.3,281,5.8,100,5.8,55,6.0,245,5.4,127,6.6,115,7.0,111,5.0,45
1760,r053,All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,5.8,272,5.6,75,4.8,19,,,6.3,54,,,,,8.0,23,,
1760,r054,All doctorate recipients<sup>f</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,All doctorate recipients<sup>f</sup>,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,5.9,170,5.7,35,5.9,15,5.5,12,6.8,29,5.3,26,5.7,24,8.6,15,6.2,14
