table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_hhs_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
8008,r011,All institutions -> Stanford U.,All institutions,Stanford U.,2,10,"['599,239', '']","['596', '']","['51', '']","['548,039', '']","['1,372', '']","['22,176', '']","['8,964', '']","['891', '']","['0', '']","['17,088', '']","['62', '']"
8008,r012,All institutions -> Yale U.,All institutions,Yale U.,2,11,"['562,251', '']","['141', '']","['0', '']","['541,460', '']","['346', '']","['7,596', '']","['4,694', '']","['479', '']","['0', '']","['7,078', '']","['457', '']"
8008,r013,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,12,"['547,520', '']","['241', '']","['0', '']","['505,131', '']","['68', '']","['9,838', '']","['4,626', '']","['75', '']","['0', '']","['10,467', '']","['17,074', '']"
8008,r014,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,13,"['529,539', '']","['1,553', '']","['32', '']","['489,858', '']","['363', '']","['9,466', '']","['9,077', '']","['3,632', '']","['3,073', '']","['9,220', '']","['3,265', '']"
8008,r015,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,14,"['525,054', '']","['0', '']","['0', '']","['525,054', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8008,r016,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,15,"['497,479', '']","['186', '']","['0', '']","['460,589', '']","['73', '']","['10,658', '']","['5,362', '']","['14', '']","['0', '']","['16,228', '']","['4,369', '']"
8008,r017,All institutions -> Emory U.,All institutions,Emory U.,2,16,"['484,428', '']","['47', '']","['1,619', '']","['464,811', '']","['337', '']","['5,556', '']","['4,000', '']","['209', '']","['0', '']","['7,146', '']","['703', '']"
8008,r018,All institutions -> New York U.,All institutions,New York U.,2,17,"['466,971', '']","['1,138', '']","['0', '']","['430,973', '']","['1,541', '']","['6,567', '']","['17,937', '']","['1,072', '']","['0', '']","['1,824', '']","['5,919', '']"
8008,r019,All institutions -> Harvard U.,All institutions,Harvard U.,2,18,"['456,919', '']","['4,007', '']","['14,376', '']","['367,430', '']","['13,595', '']","['12,617', '']","['1,553', '']","['24,305', '']","['100', '']","['17,819', '']","['1,117', '']"
8008,r020,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,19,"['446,030', '']","['625', '']","['3,235', '']","['383,343', '']","['0', '']","['17,428', '']","['7,209', '']","['3,288', '']","['0', '']","['30,153', '']","['749', '']"
8008,r021,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,20,"['432,853', '']","['0', '']","['0', '']","['401,106', '']","['0', '']","['7,148', '']","['1,910', '']","['5,170', '']","['3,190', '']","['13,894', '']","['435', '']"
8008,r022,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,21,"['390,774', '']","['1,273', '']","['208', '']","['331,763', '']","['558', '']","['6,231', '']","['15,966', '']","['13,445', '']","['87', '']","['17,836', '']","['3,407', '']"
8008,r023,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,22,"['374,530', '']","['159', '']","['16', '']","['306,994', '']","['171', '']","['8,869', '']","['4,582', '']","['19,447', '']","['19,789', '']","['13,152', '']","['1,351', '']"
8008,r024,All institutions -> U. Southern California,All institutions,U. Southern California,2,23,"['367,995', '']","['7,387', '']","['0', '']","['305,972', '']","['50', '']","['2,106', '']","['3,124', '']","['32,909', '']","['0', '']","['9,849', '']","['6,598', '']"
8008,r025,"All institutions -> U. Alabama, Birmingham",All institutions,"U. Alabama, Birmingham",2,24,"['360,322', '']","['0', '']","['0', '']","['349,634', '']","['0', '']","['191', '']","['4,727', '']","['156', '']","['0', '']","['4,386', '']","['1,228', '']"
8008,r026,All institutions -> Cornell U.,All institutions,Cornell U.,2,25,"['350,981', '']","['623', '']","['0', '']","['309,021', '']","['74', '']","['19,410', '']","['2,897', '']","['1,823', '']","['0', '']","['16,298', '']","['835', '']"
8008,r027,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,26,"['345,707', '']","['1,951', '']","['411', '']","['303,904', '']","['148', '']","['3,909', '']","['6,558', '']","['7,512', '']","['10', '']","['12,962', '']","['8,342', '']"
8008,r028,All institutions -> U. Colorado Anschutz Medical Campus<sup>c</sup>,All institutions,U. Colorado Anschutz Medical Campus<sup>c</sup>,2,27,"['334,018', '']","['0', '']","['212', '']","['332,038', '']","['0', '']","['300', '']","['20', '']","['73', '']","['0', '']","['800', '']","['575', '']"
8008,r029,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,28,"['331,043', '']","['375', '']","['92', '']","['292,112', '']","['352', '']","['6,740', '']","['4,342', '']","['2,320', '']","['5,396', '']","['7,108', '']","['12,206', '']"
8008,r030,All institutions -> Boston U.,All institutions,Boston U.,2,29,"['327,940', '']","['25', '']","['0', '']","['279,292', '']","['2,070', '']","['8,754', '']","['11,486', '']","['283', '']","['248', '']","['23,466', '']","['2,316', '']"
8008,r031,All institutions -> Oregon Health and Science U.,All institutions,Oregon Health and Science U.,2,30,"['316,461', '']","['0', '']","['0', '']","['306,102', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['10,359', '']","['0', '']"
8008,r032,All institutions -> Baylor C. of Medicine,All institutions,Baylor C. of Medicine,2,31,"['310,596', '']","['0', '']","['0', '']","['310,596', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8008,r033,All institutions -> Case Western Reserve U.,All institutions,Case Western Reserve U.,2,32,"['303,061', '']","['500', '']","['0', '']","['284,526', '']","['148', '']","['1,365', '']","['853', '']","['2,186', '']","['54', '']","['13,315', '']","['114', '']"
8008,r034,All institutions -> U. Chicago,All institutions,U. Chicago,2,33,"['291,465', '']","['9,246', '']","['0', '']","['254,007', '']","['603', '']","['12,144', '']","['2,692', '']","['5,119', '']","['0', '']","['5,132', '']","['2,522', '']"
8008,r035,All institutions -> U. Cincinnati,All institutions,U. Cincinnati,2,34,"['273,764', '']","['0', '']","['0', '']","['267,568', '']","['56', '']","['985', '']","['2,761', '']","['661', '']","['0', '']","['1,230', '']","['503', '']"
8008,r036,All institutions -> Scripps Research Institute,All institutions,Scripps Research Institute,2,35,"['264,863', '']","['0', '']","['0', '']","['264,863', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8008,r037,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,36,"['252,908', '']","['899', '']","['0', '']","['234,552', '']","['367', '']","['5,764', '']","['4,342', '']","['2,824', '']","['588', '']","['2,133', '']","['1,439', '']"
8008,r038,All institutions -> U. Texas Southwestern Medical Center,All institutions,U. Texas Southwestern Medical Center,2,37,"['245,041', '']","['0', '']","['0', '']","['245,041', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8008,r039,"All institutions -> U. Massachusetts, Medical School",All institutions,"U. Massachusetts, Medical School",2,38,"['240,425', '']","['0', '']","['0', '']","['240,425', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8008,r040,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,39,"['236,989', '']","['0', '']","['24', '']","['209,455', '']","['253', '']","['5,407', '']","['1,017', '']","['9,120', '']","['0', '']","['11,633', '']","['80', '']"
8008,r041,All institutions -> U. Florida,All institutions,U. Florida,2,40,"['230,824', '']","['1,270', '']","['377', '']","['203,430', '']","['342', '']","['3,121', '']","['9,232', '']","['1,274', '']","['0', '']","['10,214', '']","['1,564', '']"
8008,r042,All institutions -> U. Utah,All institutions,U. Utah,2,41,"['223,690', '']","['4,136', '']","['2', '']","['199,777', '']","['430', '']","['3,796', '']","['1,685', '']","['1,714', '']","['0', '']","['5,558', '']","['6,592', '']"
8008,r043,All institutions -> U. Iowa,All institutions,U. Iowa,2,42,"['218,208', '']","['1,127', '']","['0', '']","['200,208', '']","['0', '']","['1,030', '']","['8,038', '']","['439', '']","['0', '']","['4,726', '']","['2,640', '']"
8008,r044,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,43,"['214,876', '']","['25', '']","['79', '']","['203,330', '']","['556', '']","['1,445', '']","['2,603', '']","['109', '']","['0', '']","['5,185', '']","['1,544', '']"
8008,r045,All institutions -> Albert Einstein C. of Medicine,All institutions,Albert Einstein C. of Medicine,2,44,"['209,219', '']","['0', '']","['0', '']","['209,219', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8008,r046,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,45,"['205,735', '']","['1,080', '']","['2,161', '']","['179,376', '']","['756', '']","['4,377', '']","['2,938', '']","['4,650', '']","['490', '']","['9,100', '']","['807', '']"
8008,r047,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,46,"['201,426', '']","['0', '']","['0', '']","['179,538', '']","['7,731', '']","['8,107', '']","['2,854', '']","['3,196', '']","['0', '']","['0', '']","['0', '']"
8008,r048,All institutions -> U. Rochester,All institutions,U. Rochester,2,47,"['193,162', '']","['119', '']","['0', '']","['176,631', '']","['0', '']","['2,142', '']","['3,906', '']","['0', '']","['4,697', '']","['5,593', '']","['74', '']"
8008,r049,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,48,"['189,567', '']","['575', '']","['0', '']","['170,578', '']","['0', '']","['5,602', '']","['3,848', '']","['84', '']","['90', '']","['6,456', '']","['2,334', '']"
8008,r050,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,49,"['185,421', '']","['801', '']","['0', '']","['169,185', '']","['23', '']","['3,727', '']","['1,053', '']","['704', '']","['202', '']","['7,805', '']","['1,921', '']"
8008,r051,All institutions -> U. Arizona,All institutions,U. Arizona,2,50,"['176,003', '']","['209', '']","['0', '']","['163,929', '']","['380', '']","['3,839', '']","['1,998', '']","['1,311', '']","['7', '']","['4,099', '']","['231', '']"
8008,r052,All institutions -> U. New Mexico,All institutions,U. New Mexico,2,51,"['175,996', '']","['40', '']","['0', '']","['169,201', '']","['15', '']","['466', '']","['4,533', '']","['880', '']","['0', '']","['586', '']","['275', '']"
8008,r053,All institutions -> U. Miami,All institutions,U. Miami,2,52,"['166,311', '']","['198', '']","['752', '']","['155,606', '']","['0', '']","['0', '']","['8,130', '']","['446', '']","['0', '']","['1,179', '']","['0', '']"
8008,r054,All institutions -> Wake Forest U.,All institutions,Wake Forest U.,2,53,"['164,756', '']","['0', '']","['0', '']","['164,082', '']","['47', '']","['211', '']","['35', '']","['0', '']","['0', '']","['351', '']","['30', '']"
8008,r055,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,54,"['161,431', '']","['1,375', '']","['0', '']","['139,739', '']","['473', '']","['4,685', '']","['1,671', '']","['710', '']","['0', '']","['8,167', '']","['4,611', '']"
8008,r056,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,55,"['158,314', '']","['0', '']","['0', '']","['147,249', '']","['748', '']","['1,450', '']","['2,776', '']","['629', '']","['411', '']","['4,782', '']","['269', '']"
8008,r057,"All institutions -> U. Texas Health Science Center, Houston",All institutions,"U. Texas Health Science Center, Houston",2,56,"['149,561', '']","['0', '']","['0', '']","['149,561', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8008,r058,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,57,"['149,293', '']","['1,302', '']","['670', '']","['100,790', '']","['3,023', '']","['4,385', '']","['20,564', '']","['3,947', '']","['0', '']","['11,102', '']","['3,510', '']"
8008,r059,All institutions -> Medical U. South Carolina,All institutions,Medical U. South Carolina,2,58,"['149,024', '']","['0', '']","['0', '']","['149,024', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8008,r060,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,59,"['138,517', '']","['7,679', '']","['344', '']","['61,466', '']","['0', '']","['14,609', '']","['49', '']","['1,096', '']","['413', '']","['52,853', '']","['8', '']"
8008,r061,All institutions -> Brown U.,All institutions,Brown U.,2,60,"['138,141', '']","['2,327', '']","['120', '']","['98,661', '']","['575', '']","['632', '']","['7,550', '']","['19,374', '']","['6,027', '']","['2,523', '']","['352', '']"
8008,r062,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,61,"['137,347', '']","['57', '']","['812', '']","['90,254', '']","['345', '']","['7,763', '']","['7,065', '']","['2,612', '']","['21,140', '']","['7,233', '']","['66', '']"
8008,r063,All institutions -> U. Kansas,All institutions,U. Kansas,2,62,"['129,732', '']","['31', '']","['0', '']","['106,483', '']","['0', '']","['5,049', '']","['6,001', '']","['416', '']","['0', '']","['1,990', '']","['9,762', '']"
8008,r064,All institutions -> Medical C. Wisconsin,All institutions,Medical C. Wisconsin,2,63,"['127,031', '']","['0', '']","['0', '']","['123,669', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['3,362', '']","['0', '']"
8008,r065,All institutions -> Virginia Commonwealth U.,All institutions,Virginia Commonwealth U.,2,64,"['125,394', '']","['122', '']","['0', '']","['102,773', '']","['18', '']","['459', '']","['8,174', '']","['308', '']","['0', '']","['3,888', '']","['9,652', '']"
8008,r066,All institutions -> Temple U.,All institutions,Temple U.,2,65,"['123,600', '']","['195', '']","['0', '']","['110,025', '']","['166', '']","['2,372', '']","['6,168', '']","['741', '']","['0', '']","['1,551', '']","['2,382', '']"
8008,r067,All institutions -> George Washington U.,All institutions,George Washington U.,2,66,"['121,841', '']","['146', '']","['0', '']","['114,853', '']","['45', '']","['624', '']","['1,868', '']","['374', '']","['330', '']","['3,279', '']","['322', '']"
8008,r068,"All institutions -> SUNY, U. Buffalo",All institutions,"SUNY, U. Buffalo",2,67,"['116,929', '']","['25', '']","['0', '']","['102,544', '']","['189', '']","['1,542', '']","['2,725', '']","['784', '']","['491', '']","['8,463', '']","['166', '']"
8008,r069,All institutions -> Dartmouth C. and Dartmouth Hitchcock Medical Center,All institutions,Dartmouth C. and Dartmouth Hitchcock Medical Center,2,68,"['114,245', '']","['661', '']","['186', '']","['93,863', '']","['278', '']","['2,173', '']","['6,909', '']","['67', '']","['0', '']","['9,780', '']","['328', '']"
8008,r070,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,69,"['110,282', '']","['1,382', '']","['9', '']","['65,688', '']","['415', '']","['4,224', '']","['6,663', '']","['9,853', '']","['199', '']","['12,188', '']","['9,661', '']"
8008,r071,All institutions -> U. Texas Medical Branch,All institutions,U. Texas Medical Branch,2,70,"['109,569', '']","['0', '']","['0', '']","['109,144', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['425', '']","['0', '']"
8008,r072,All institutions -> U. Connecticut,All institutions,U. Connecticut,2,71,"['106,354', '']","['630', '']","['62', '']","['89,382', '']","['37', '']","['1,525', '']","['8,958', '']","['1,636', '']","['0', '']","['3,173', '']","['951', '']"
8008,r073,All institutions -> U. South Florida<sup>d</sup>,All institutions,U. South Florida<sup>d</sup>,2,72,"['106,347', '']","['86', '']","['0', '']","['89,298', '']","['0', '']","['2,223', '']","['1,056', '']","['9,045', '']","['0', '']","['4,151', '']","['488', '']"
8008,r074,All institutions -> Thomas Jefferson U.,All institutions,Thomas Jefferson U.,2,73,"['106,020', '']","['0', '']","['0', '']","['106,020', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8008,r075,"All institutions -> U. Nebraska, Medical Center",All institutions,"U. Nebraska, Medical Center",2,74,"['100,663', '']","['0', '']","['0', '']","['100,663', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8008,r076,All institutions -> Georgetown U.,All institutions,Georgetown U.,2,75,"['98,623', '']","['29', '']","['0', '']","['92,615', '']","['0', '']","['1,152', '']","['696', '']","['3,279', '']","['0', '']","['0', '']","['852', '']"
8008,r077,All institutions -> Wayne State U.,All institutions,Wayne State U.,2,76,"['95,588', '']","['96', '']","['0', '']","['81,481', '']","['0', '']","['5,572', '']","['1,434', '']","['224', '']","['608', '']","['1,445', '']","['4,728', '']"
8008,r078,All institutions -> Tulane U.,All institutions,Tulane U.,2,77,"['95,521', '']","['0', '']","['250', '']","['90,743', '']","['40', '']","['336', '']","['1,083', '']","['445', '']","['0', '']","['2,529', '']","['95', '']"
8008,r079,"All institutions -> U. Texas Health Science Center, San Antonio",All institutions,"U. Texas Health Science Center, San Antonio",2,78,"['94,870', '']","['0', '']","['0', '']","['94,870', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8008,r080,All institutions -> Rockefeller U.,All institutions,Rockefeller U.,2,79,"['91,791', '']","['0', '']","['0', '']","['88,321', '']","['70', '']","['3,400', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8008,r081,All institutions -> U. Georgia,All institutions,U. Georgia,2,80,"['91,326', '']","['24', '']","['0', '']","['73,510', '']","['263', '']","['1,747', '']","['13,408', '']","['0', '']","['0', '']","['1,522', '']","['852', '']"
8008,r082,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,81,"['88,419', '']","['210', '']","['0', '']","['62,803', '']","['0', '']","['11,041', '']","['0', '']","['0', '']","['0', '']","['10,005', '']","['4,360', '']"
8008,r083,All institutions -> Tufts U.,All institutions,Tufts U.,2,82,"['86,649', '']","['0', '']","['0', '']","['67,793', '']","['495', '']","['3,999', '']","['750', '']","['345', '']","['4,100', '']","['8,855', '']","['312', '']"
8008,r084,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,83,"['85,578', '']","['1,114', '']","['2', '']","['38,521', '']","['0', '']","['12,969', '']","['4,679', '']","['232', '']","['19', '']","['22,629', '']","['5,413', '']"
8008,r085,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,84,"['84,853', '']","['305', '']","['7', '']","['65,751', '']","['1,495', '']","['3,966', '']","['5,695', '']","['996', '']","['110', '']","['5,266', '']","['1,262', '']"
8008,r086,"All institutions -> SUNY, Stony Brook U.",All institutions,"SUNY, Stony Brook U.",2,85,"['81,821', '']","['672', '']","['0', '']","['66,721', '']","['1,584', '']","['3,322', '']","['3,548', '']","['204', '']","['365', '']","['4,691', '']","['714', '']"
8008,r087,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,86,"['80,698', '']","['911', '']","['0', '']","['70,495', '']","['39', '']","['938', '']","['3,360', '']","['0', '']","['0', '']","['2,083', '']","['2,872', '']"
8008,r088,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,87,"['79,772', '']","['169', '']","['22', '']","['71,369', '']","['0', '']","['4,848', '']","['1,483', '']","['173', '']","['0', '']","['1,682', '']","['26', '']"
8008,r089,All institutions -> U. Arkansas for Medical Sciences,All institutions,U. Arkansas for Medical Sciences,2,88,"['78,995', '']","['0', '']","['0', '']","['78,995', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8008,r090,All institutions -> U. Louisville,All institutions,U. Louisville,2,89,"['78,321', '']","['14', '']","['0', '']","['71,114', '']","['212', '']","['471', '']","['475', '']","['1', '']","['6', '']","['2,680', '']","['3,348', '']"
8008,r091,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,90,"['73,697', '']","['721', '']","['0', '']","['47,869', '']","['764', '']","['5,994', '']","['5,750', '']","['956', '']","['0', '']","['9,893', '']","['1,750', '']"
8008,r092,All institutions -> Rush U.,All institutions,Rush U.,2,91,"['72,659', '']","['0', '']","['0', '']","['70,292', '']","['0', '']","['0', '']","['2,367', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8008,r093,All institutions -> U. Vermont,All institutions,U. Vermont,2,92,"['71,695', '']","['0', '']","['0', '']","['68,961', '']","['0', '']","['657', '']","['1,511', '']","['14', '']","['0', '']","['482', '']","['70', '']"
8008,r094,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,93,"['62,883', '']","['650', '']","['2', '']","['36,836', '']","['802', '']","['3,154', '']","['4,801', '']","['3,577', '']","['803', '']","['8,632', '']","['3,626', '']"
8008,r095,All institutions -> Washington State U.,All institutions,Washington State U.,2,94,"['62,084', '']","['680', '']","['7', '']","['49,091', '']","['0', '']","['1,393', '']","['2,703', '']","['3,234', '']","['237', '']","['961', '']","['3,778', '']"
8008,r096,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,95,"['59,581', '']","['390', '']","['0', '']","['34,272', '']","['434', '']","['778', '']","['11,298', '']","['3,547', '']","['556', '']","['8,206', '']","['100', '']"
8008,r097,All institutions -> Drexel U.,All institutions,Drexel U.,2,96,"['58,955', '']","['680', '']","['0', '']","['49,822', '']","['0', '']","['0', '']","['1,142', '']","['58', '']","['2', '']","['4,306', '']","['2,945', '']"
8008,r098,All institutions -> Augusta U.,All institutions,Augusta U.,2,97,"['58,641', '']","['0', '']","['0', '']","['58,553', '']","['0', '']","['0', '']","['88', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8008,r099,All institutions -> Princeton U.,All institutions,Princeton U.,2,98,"['56,755', '']","['1,082', '']","['155', '']","['43,389', '']","['178', '']","['5,318', '']","['598', '']","['2,827', '']","['0', '']","['3,208', '']","['0', '']"
8008,r100,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,99,"['55,483', '']","['0', '']","['28', '']","['41,968', '']","['293', '']","['1,702', '']","['2,025', '']","['2,389', '']","['4,103', '']","['2,887', '']","['88', '']"
8008,r101,"All institutions -> U. South Carolina, Columbia",All institutions,"U. South Carolina, Columbia",2,100,"['55,385', '']","['370', '']","['2', '']","['43,124', '']","['103', '']","['14', '']","['4,372', '']","['5,624', '']","['0', '']","['439', '']","['1,337', '']"
8008,r102,All institutions -> U. Mississippi,All institutions,U. Mississippi,2,101,"['55,055', '']","['0', '']","['0', '']","['54,687', '']","['0', '']","['154', '']","['0', '']","['19', '']","['0', '']","['0', '']","['195', '']"
8008,r103,All institutions -> Georgia State U.,All institutions,Georgia State U.,2,102,"['53,947', '']","['509', '']","['0', '']","['33,273', '']","['624', '']","['4,177', '']","['2,580', '']","['8,141', '']","['0', '']","['0', '']","['4,643', '']"
8008,r104,"All institutions -> U. Tennessee, Health Science Center",All institutions,"U. Tennessee, Health Science Center",2,103,"['52,273', '']","['0', '']","['0', '']","['52,273', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8008,r105,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,104,"['50,559', '']","['5,503', '']","['0', '']","['6,139', '']","['429', '']","['4,723', '']","['702', '']","['858', '']","['0', '']","['32,082', '']","['123', '']"
8008,r106,All institutions -> Cold Spring Harbor Laboratory,All institutions,Cold Spring Harbor Laboratory,2,105,"['47,891', '']","['0', '']","['0', '']","['47,891', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8008,r107,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,106,"['47,305', '']","['0', '']","['107', '']","['46,014', '']","['0', '']","['83', '']","['228', '']","['86', '']","['70', '']","['59', '']","['658', '']"
8008,r108,All institutions -> U. Delaware,All institutions,U. Delaware,2,107,"['46,023', '']","['1,370', '']","['0', '']","['21,554', '']","['0', '']","['6,226', '']","['5,768', '']","['1,280', '']","['582', '']","['8,055', '']","['1,188', '']"
8008,r109,All institutions -> Northeastern U.,All institutions,Northeastern U.,2,108,"['45,318', '']","['1,924', '']","['14', '']","['15,328', '']","['0', '']","['6,980', '']","['6,365', '']","['648', '']","['0', '']","['13,555', '']","['504', '']"
8008,r110,"All institutions -> U. California, Santa Cruz",All institutions,"U. California, Santa Cruz",2,109,"['44,933', '']","['0', '']","['3,136', '']","['10,093', '']","['0', '']","['5,782', '']","['6', '']","['30', '']","['0', '']","['25,886', '']","['0', '']"
