table_id,row_id,field_and_demographic_characteristic_full_path,field_and_demographic_characteristic_level_1,field_and_demographic_characteristic_level_2,field_and_demographic_characteristic_level_3,field_and_demographic_characteristic_level_4,field_and_demographic_characteristic_level_5,field_and_demographic_characteristic_hierarchy_depth,field_median_age_at_doctorate_years_,field_all_ages,field_25_and_under,field_26_30,field_31_35,field_36_40,field_41_45,field_over_45
7549,r011,Doctorate recipients reporting birth year -> Science and engineering  -> Physical sciences  ,Doctorate recipients reporting birth year,Science and engineering ,Physical sciences  ,,,3,29.2,100.0,1.1,70.3,22.4,4.4,1.1,0.6
7549,r012,Doctorate recipients reporting birth year -> Science and engineering  -> Psychology  ,Doctorate recipients reporting birth year,Science and engineering ,Psychology  ,,,3,31.2,100.0,0.6,46.4,31.2,10.3,4.6,6.9
7549,r013,Doctorate recipients reporting birth year -> Science and engineering  -> Social sciences  ,Doctorate recipients reporting birth year,Science and engineering ,Social sciences  ,,,3,33.1,100.0,0.2,30.9,38.4,16.8,6.2,7.5
7549,r014,Doctorate recipients reporting birth year -> Non-science and engineering,Doctorate recipients reporting birth year,Non-science and engineering,,,,2,35.8,100.0,0.1,17.6,33.4,20.4,11.1,17.3
7549,r015,Doctorate recipients reporting birth year -> Non-science and engineering -> Business,Doctorate recipients reporting birth year,Non-science and engineering,Business,,,3,33.9,100.0,0.5,26.4,33.3,15.2,7.9,16.7
7549,r016,Doctorate recipients reporting birth year -> Non-science and engineering -> Education  ,Doctorate recipients reporting birth year,Non-science and engineering,Education  ,,,3,38.8,100.0,,11.0,25.6,22.1,,26.2
7549,r017,Doctorate recipients reporting birth year -> Non-science and engineering -> Humanities,Doctorate recipients reporting birth year,Non-science and engineering,Humanities,,,3,34.6,100.0,,19.0,40.5,21.2,,10.9
7549,r018,Doctorate recipients reporting birth year -> Non-science and engineering -> Visual and performing arts  ,Doctorate recipients reporting birth year,Non-science and engineering,Visual and performing arts  ,,,3,33.9,100.0,0.0,22.8,43.0,18.9,8.7,6.7
7549,r019,Doctorate recipients reporting birth year -> Non-science and engineering -> Other<sup>a</sup>,Doctorate recipients reporting birth year,Non-science and engineering,Other<sup>a</sup>,,,3,35.3,100.0,,19.9,32.9,20.2,,15.5
7549,r020,Doctorate recipients reporting birth year -> Sex,Doctorate recipients reporting birth year,Sex,,,,2,,,,,,,,
7549,r021,Doctorate recipients reporting birth year -> Sex -> Male,Doctorate recipients reporting birth year,Sex,Male,,,3,31.3,100.0,0.7,46.4,32.0,11.2,4.5,5.3
7549,r022,Doctorate recipients reporting birth year -> Sex -> Female,Doctorate recipients reporting birth year,Sex,Female,,,3,31.7,100.0,0.8,42.8,29.7,12.1,5.9,8.8
7549,r023,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",,,,2,,,,,,,,
7549,r024,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,,,3,31.7,100.0,0.8,43.1,28.2,12.2,6.3,9.6
7549,r025,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Hispanic or Latino",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Hispanic or Latino,,4,31.8,100.0,0.5,41.4,30.3,12.8,6.3,8.8
7549,r026,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Not Hispanic or Latino",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Not Hispanic or Latino,,4,,,,,,,,
7549,r027,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Not Hispanic or Latino -> American Indian or Alaska Native",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Not Hispanic or Latino,American Indian or Alaska Native,5,37.3,100.0,,23.2,20.2,16.2,17.2,
7549,r028,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Not Hispanic or Latino -> Asian",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Not Hispanic or Latino,Asian,5,31.3,100.0,1.1,46.2,32.2,10.6,5.3,4.6
7549,r029,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Not Hispanic or Latino -> Black or African American",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Not Hispanic or Latino,Black or African American,5,36.6,100.0,0.3,25.1,23.0,15.9,11.0,24.7
7549,r030,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Not Hispanic or Latino -> White",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Not Hispanic or Latino,White,5,31.4,100.0,0.8,45.0,28.0,11.7,5.8,8.7
7549,r031,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Not Hispanic or Latino -> More than one race",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Not Hispanic or Latino,More than one race,5,31.1,100.0,0.8,47.6,26.0,13.3,4.6,7.6
7549,r032,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Not Hispanic or Latino -> Other race or race not reported",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Not Hispanic or Latino,Other race or race not reported,5,32.9,100.0,,37.5,32.7,16.2,7.9,
7549,r033,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Ethnicity not reported",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Ethnicity not reported,,4,33.8,100.0,0.0,31.3,28.5,15.2,9.0,16.1
7549,r034,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> Temporary visa holder",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",Temporary visa holder,,,3,31.1,100.0,0.8,47.8,35.8,10.5,3.1,2.0
