table_id,row_id,education_system_full_path,education_system_level_1,education_system_level_2,education_system_hierarchy_depth,field_average_score,field_percentilea_10th_percentile_score,field_percentilea_90th_percentile_score,field_percentilea_90th_10th_percentile_score_gap,field_oecd_country_and_education_system
4098,r014,<b>OECD average</b> -> Slovenia,<b>OECD average</b>,Slovenia,2,"['507', '  ']",390,621,"['231', '*']",Yes
4098,r015,<b>OECD average</b> -> United Kingdom,<b>OECD average</b>,United Kingdom,2,"['505', '  ']",374,632,"['258', '&nbsp;']",Yes
4098,r016,<b>OECD average</b> -> Netherlands,<b>OECD average</b>,Netherlands,2,"['503', '  ']",364,636,"['272', '&nbsp;']",Yes
4098,r017,<b>OECD average</b> -> Germany,<b>OECD average</b>,Germany,2,"['503', '  ']",363,633,"['270', '&nbsp;']",Yes
4098,r018,<b>OECD average</b> -> Australia,<b>OECD average</b>,Australia,2,"['503', '  ']",369,631,"['262', '&nbsp;']",Yes
4098,r019,<b>OECD average</b> -> <b>United States</b>,<b>OECD average</b>,<b>United States</b>,2,"['502', '<b>  </b>']",371,629,"['259', '&nbsp;']",Yes
4098,r020,<b>OECD average</b> -> Sweden,<b>OECD average</b>,Sweden,2,"['499', '  ']",368,624,"['256', '&nbsp;']",Yes
4098,r021,<b>OECD average</b> -> Belgium,<b>OECD average</b>,Belgium,2,"['499', '  ']",363,624,"['261', '&nbsp;']",Yes
4098,r022,<b>OECD average</b> -> Czechia,<b>OECD average</b>,Czechia,2,"['497', '  ']",373,620,"['247', '&nbsp;']",Yes
4098,r023,<b>OECD average</b> -> Ireland,<b>OECD average</b>,Ireland,2,"['496', '  ']",380,610,"['230', '*']",Yes
4098,r024,<b>OECD average</b> -> Switzerland,<b>OECD average</b>,Switzerland,2,"['495', '  ']",367,622,"['255', '&nbsp;']",Yes
4098,r025,<b>OECD average</b> -> France,<b>OECD average</b>,France,2,"['493', '*']",364,615,"['251', '&nbsp;']",Yes
4098,r026,<b>OECD average</b> -> Denmark,<b>OECD average</b>,Denmark,2,"['493', '*']",372,609,"['237', '*']",Yes
4098,r027,<b>OECD average</b> -> Portugal,<b>OECD average</b>,Portugal,2,"['492', '*']",368,609,"['240', '*']",Yes
4098,r028,<b>OECD average</b> -> Norway,<b>OECD average</b>,Norway,2,"['490', '*']",357,616,"['259', '&nbsp;']",Yes
4098,r029,<b>OECD average</b> -> Austria,<b>OECD average</b>,Austria,2,"['490', '*']",361,614,"['252', '&nbsp;']",Yes
4098,r030,<b>OECD average</b> -> Latvia,<b>OECD average</b>,Latvia,2,"['487', '*']",377,595,"['219', '*']",Yes
4098,r031,<b>OECD average</b> -> Spain,<b>OECD average</b>,Spain,2,"['483', '*']",365,598,"['233', '*']",Yes
4098,r032,<b>OECD average</b> -> Lithuania,<b>OECD average</b>,Lithuania,2,"['482', '*']",364,599,"['235', '*']",Yes
4098,r033,<b>OECD average</b> -> Hungary,<b>OECD average</b>,Hungary,2,"['481', '*']",356,602,"['246', '&nbsp;']",Yes
4098,r034,<b>OECD average</b> -> Russia,<b>OECD average</b>,Russia,2,"['478', '*']",369,586,"['217', '*']",No
4098,r035,<b>OECD average</b> -> Luxembourg,<b>OECD average</b>,Luxembourg,2,"['477', '*']",347,606,"['258', '&nbsp;']",Yes
4098,r036,<b>OECD average</b> -> Iceland,<b>OECD average</b>,Iceland,2,"['475', '*']",354,594,"['240', '*']",Yes
4098,r037,<b>OECD average</b> -> Croatia,<b>OECD average</b>,Croatia,2,"['472', '*']",356,590,"['235', '*']",Yes
4098,r038,<b>OECD average</b> -> Belarus,<b>OECD average</b>,Belarus,2,"['471', '*']",361,581,"['221', '*']",No
4098,r039,<b>OECD average</b> -> Ukraine,<b>OECD average</b>,Ukraine,2,"['469', '*']",351,588,"['237', '*']",No
4098,r040,<b>OECD average</b> -> Turkey<sup>b</sup>,<b>OECD average</b>,Turkey<sup>b</sup>,2,"['468', '*']",361,579,"['218', '*']",Yes
4098,r041,<b>OECD average</b> -> Italy,<b>OECD average</b>,Italy,2,"['468', '*']",348,583,"['235', '*']",Yes
4098,r042,<b>OECD average</b> -> Slovakia,<b>OECD average</b>,Slovakia,2,"['464', '*']",338,589,"['251', '&nbsp;']",Yes
4098,r043,<b>OECD average</b> -> Israel,<b>OECD average</b>,Israel,2,"['462', '*']",314,607,"['293', '*']",Yes
4098,r044,<b>OECD average</b> -> Malta,<b>OECD average</b>,Malta,2,"['457', '*']",314,594,"['280', '*']",No
4098,r045,<b>OECD average</b> -> Greece,<b>OECD average</b>,Greece,2,"['452', '*']",338,561,"['223', '*']",Yes
4098,r046,<b>OECD average</b> -> Chile,<b>OECD average</b>,Chile,2,"['444', '*']",336,553,"['218', '*']",Yes
4098,r047,<b>OECD average</b> -> Serbia,<b>OECD average</b>,Serbia,2,"['440', '*']",322,562,"['240', '*']",No
4098,r048,<b>OECD average</b> -> Cyprus,<b>OECD average</b>,Cyprus,2,"['439', '*']",319,562,"['244', '*']",No
4098,r049,<b>OECD average</b> -> Malaysia<sup>b</sup>,<b>OECD average</b>,Malaysia<sup>b</sup>,2,"['438', '*']",339,538,"['199', '*']",No
4098,r050,<b>OECD average</b> -> United Arab Emirates,<b>OECD average</b>,United Arab Emirates,2,"['434', '*']",302,572,"['270', '&nbsp;']",No
4098,r051,<b>OECD average</b> -> Brunei Darussalam,<b>OECD average</b>,Brunei Darussalam,2,"['431', '*']",315,566,"['252', '&nbsp;']",No
4098,r052,<b>OECD average</b> -> Jordan<sup>b</sup>,<b>OECD average</b>,Jordan<sup>b</sup>,2,"['429', '*']",316,541,"['225', '*']",No
4098,r053,"<b>OECD average</b> -> Moldova, Republic of",<b>OECD average</b>,"Moldova, Republic of",2,"['428', '*']",314,546,"['232', '*']",No
4098,r054,<b>OECD average</b> -> Thailand<sup>b</sup>,<b>OECD average</b>,Thailand<sup>b</sup>,2,"['426', '*']",324,535,"['211', '*']",No
4098,r055,<b>OECD average</b> -> Uruguay,<b>OECD average</b>,Uruguay,2,"['426', '*']",314,540,"['226', '*']",No
4098,r056,<b>OECD average</b> -> Romania<sup>b</sup>,<b>OECD average</b>,Romania<sup>b</sup>,2,"['426', '*']",312,545,"['233', '*']",No
4098,r057,<b>OECD average</b> -> Bulgaria<sup>b</sup>,<b>OECD average</b>,Bulgaria<sup>b</sup>,2,"['424', '*']",305,552,"['247', '&nbsp;']",No
4098,r058,<b>OECD average</b> -> Mexico<sup>b</sup>,<b>OECD average</b>,Mexico<sup>b</sup>,2,"['419', '*']",326,518,"['192', '*']",Yes
4098,r059,<b>OECD average</b> -> Qatar,<b>OECD average</b>,Qatar,2,"['419', '*']",290,557,"['268', '&nbsp;']",No
4098,r060,<b>OECD average</b> -> Albania,<b>OECD average</b>,Albania,2,"['417', '*']",323,514,"['190', '*']",No
4098,r061,<b>OECD average</b> -> Costa Rica<sup>b</sup>,<b>OECD average</b>,Costa Rica<sup>b</sup>,2,"['416', '*']",324,512,"['188', '*']",No
4098,r062,"<b>OECD average</b> -> Montenegro, Republic of",<b>OECD average</b>,"Montenegro, Republic of",2,"['415', '*']",311,523,"['212', '*']",No
4098,r063,<b>OECD average</b> -> Colombia<sup>b</sup>,<b>OECD average</b>,Colombia<sup>b</sup>,2,"['413', '*']",311,524,"['213', '*']",Yes
4098,r064,<b>OECD average</b> -> North Macedonia,<b>OECD average</b>,North Macedonia,2,"['413', '*']",296,533,"['238', '*']",No
4098,r065,<b>OECD average</b> -> Peru<sup>b</sup>,<b>OECD average</b>,Peru<sup>b</sup>,2,"['404', '*']",304,511,"['207', '*']",No
4098,r066,<b>OECD average</b> -> Argentina,<b>OECD average</b>,Argentina,2,"['404', '*']",291,523,"['232', '*']",No
4098,r067,<b>OECD average</b> -> Brazil<sup>b</sup>,<b>OECD average</b>,Brazil<sup>b</sup>,2,"['404', '*']",292,527,"['234', '*']",No
4098,r068,<b>OECD average</b> -> Bosnia and Herzegovina,<b>OECD average</b>,Bosnia and Herzegovina,2,"['398', '*']",302,499,"['197', '*']",No
4098,r069,<b>OECD average</b> -> Baku (Azerbaijan)<sup>c</sup>,<b>OECD average</b>,Baku (Azerbaijan)<sup>c</sup>,2,"['398', '*']",305,494,"['189', '*']",No
4098,r070,<b>OECD average</b> -> Kazakhstan,<b>OECD average</b>,Kazakhstan,2,"['397', '*']",307,498,"['191', '*']",No
4098,r071,<b>OECD average</b> -> Indonesia,<b>OECD average</b>,Indonesia,2,"['396', '*']",312,488,"['176', '*']",No
4098,r072,<b>OECD average</b> -> Saudi Arabia,<b>OECD average</b>,Saudi Arabia,2,"['386', '*']",287,489,"['203', '*']",No
4098,r073,<b>OECD average</b> -> Lebanon,<b>OECD average</b>,Lebanon,2,"['384', '*']",265,513,"['248', '&nbsp;']",No
4098,r074,<b>OECD average</b> -> Georgia,<b>OECD average</b>,Georgia,2,"['383', '*']",281,491,"['209', '*']",No
4098,r075,<b>OECD average</b> -> Morocco<sup>b</sup>,<b>OECD average</b>,Morocco<sup>b</sup>,2,"['377', '*']",293,468,"['175', '*']",No
4098,r076,<b>OECD average</b> -> Kosovo,<b>OECD average</b>,Kosovo,2,"['365', '*']",285,450,"['165', '*']",No
4098,r077,<b>OECD average</b> -> Panama<sup>b</sup>,<b>OECD average</b>,Panama<sup>b</sup>,2,"['365', '*']",259,478,"['219', '*']",No
4098,r078,<b>OECD average</b> -> Philippines<sup>b</sup>,<b>OECD average</b>,Philippines<sup>b</sup>,2,"['357', '*']",269,461,"['192', '*']",No
4098,r079,<b>OECD average</b> -> Dominican Republic<sup>b</sup>,<b>OECD average</b>,Dominican Republic<sup>b</sup>,2,"['336', '*']",250,431,"['181', '*']",No
