table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_all_fields,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_othera
7653,r039,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Has one or more functional limitations (%),,3,10.0,11.4,8.0,10.5,13.1,10.8,12.2
7653,r040,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Age at doctorate (median years),,3,31.3,35.7,34.2,38.5,35.1,33.8,35.8
7653,r041,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>c</sup>,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>c</sup>,,3,64.5,48.0,32.7,24.3,73.6,67.6,34.5
7653,r042,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Master's earned (%),,3,73.9,94.5,90.7,97.1,94.3,95.0,94.8
7653,r043,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Master's earned (%),Master's earned at same doctorate institution (%),4,45.9,35.6,28.0,32.8,40.9,36.6,34.9
7653,r044,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Time to doctorate (median years),,3,,,,,,,
7653,r045,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Time to doctorate (median years),Years since earning bachelor's degree,4,8.3,12.0,10.8,15.0,11.5,10.7,11.6
7653,r046,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,7.0,9.8,8.8,11.8,9.8,8.8,9.3
7653,r047,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>d</sup>,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>d</sup>,4,5.7,5.9,5.0,5.5,6.8,6.0,5.7
7653,r048,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Received tuition remission (%),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Received tuition remission (%),,3,85.8,78.8,77.4,63.8,87.2,92.5,77.5
7653,r049,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),,,2,24156,6217,584,2599,1455,422,1157
7653,r050,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Citizenship status (%),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Citizenship status (%),,3,,,,,,,
7653,r051,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Citizenship status (%),U.S. citizen or permanent resident,4,68.1,74.3,48.8,80.7,77.1,73.5,69.7
7653,r052,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Citizenship status (%),Temporary visa holder,4,25.8,18.8,44.0,12.6,16.7,18.5,22.9
7653,r053,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Citizenship status (%),Unknown,4,6.1,6.9,7.2,6.7,6.2,8.1,7.4
7653,r054,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),,3,,,,,,,
7653,r055,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),Never married,4,31.9,23.1,30.1,17.2,27.8,29.4,24.7
7653,r056,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),Married,4,39.8,46.7,43.5,53.3,40.8,41.5,42.5
7653,r057,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),Marriage-like relationship,4,10.9,8.1,5.1,5.7,12.0,12.1,8.8
7653,r058,"All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,4.5,7.5,6.8,9.1,5.6,4.0,7.8
7653,r059,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),Unknown,4,12.9,14.6,14.4,14.7,13.8,13.0,16.2
7653,r060,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Has dependent age 18 or younger (%),,3,21.1,32.3,26.9,42.4,21.9,19.3,30.6
7653,r061,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Has one or more functional limitations (%),,3,12.7,14.8,10.7,12.8,17.6,18.6,16.3
7653,r062,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Age at doctorate (median years),,3,31.7,35.8,33.5,39.0,34.0,34.0,35.2
7653,r063,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>c</sup>,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>c</sup>,,3,58.3,43.4,41.2,25.8,73.2,70.3,37.0
7653,r064,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Master's earned (%),,3,76.4,94.1,86.7,96.7,92.2,93.2,94.8
7653,r065,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Master's earned (%),Master's earned at same doctorate institution (%),4,45.3,36.7,24.8,34.5,42.2,39.3,39.2
7653,r066,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Time to doctorate (median years),,3,,,,,,,
7653,r067,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Time to doctorate (median years),Years since earning bachelor's degree,4,9.0,12.7,10.8,15.3,11.2,11.4,11.8
7653,r068,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,7.6,10.3,8.8,12.0,9.4,9.8,9.7
7653,r069,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>d</sup>,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>d</sup>,4,5.8,5.9,5.0,5.7,6.8,6.8,5.8
7653,r070,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Received tuition remission (%),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Received tuition remission (%),,3,83.0,77.0,79.0,64.6,91.5,94.1,79.2
