table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_employees_total,field_employees_r_d
6664,r032,All states -> New Jersey,All states,New Jersey,2,"['495', '&nbsp;']","['62', '&nbsp;']"
6664,r033,All states -> New Mexico,All states,New Mexico,2,"['56', '&nbsp;']","['3', '&nbsp;']"
6664,r034,All states -> New York,All states,New York,2,"['684', '&nbsp;']","['67', '&nbsp;']"
6664,r035,All states -> North Carolina,All states,North Carolina,2,"['519', '&nbsp;']","['53', '&nbsp;']"
6664,r036,All states -> North Dakota,All states,North Dakota,2,"['44', '&nbsp;']","['3', '&nbsp;']"
6664,r037,All states -> Ohio,All states,Ohio,2,"['751', '&nbsp;']","['56', '&nbsp;']"
6664,r038,All states -> Oklahoma,All states,Oklahoma,2,"['139', '&nbsp;']","['9', '&nbsp;']"
6664,r039,All states -> Oregon,All states,Oregon,2,"['283', '&nbsp;']","['30', '&nbsp;']"
6664,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['764', '&nbsp;']","['65', '&nbsp;']"
6664,r041,All states -> Rhode Island,All states,Rhode Island,2,"['42', '&nbsp;']","['3', '&nbsp;']"
6664,r042,All states -> South Carolina,All states,South Carolina,2,"['241', '&nbsp;']","['11', '&nbsp;']"
6664,r043,All states -> South Dakota,All states,South Dakota,2,"['49', '&nbsp;']","['2', '&nbsp;']"
6664,r044,All states -> Tennessee,All states,Tennessee,2,"['419', '&nbsp;']","['12', '&nbsp;']"
6664,r045,All states -> Texas,All states,Texas,2,"['1,534', '&nbsp;']","['100', '&nbsp;']"
6664,r046,All states -> Utah,All states,Utah,2,"['191', '&nbsp;']","['17', '&nbsp;']"
6664,r047,All states -> Vermont,All states,Vermont,2,"['31', '&nbsp;']","['2', '&nbsp;']"
6664,r048,All states -> Virginia,All states,Virginia,2,"['464', '&nbsp;']","['38', '&nbsp;']"
6664,r049,All states -> Washington,All states,Washington,2,"['580', '&nbsp;']","['121', '&nbsp;']"
6664,r050,All states -> West Virginia,All states,West Virginia,2,"['66', '&nbsp;']","['2', '&nbsp;']"
6664,r051,All states -> Wisconsin,All states,Wisconsin,2,"['514', '&nbsp;']","['41', '&nbsp;']"
6664,r052,All states -> Wyoming,All states,Wyoming,2,"['30', '&nbsp;']","['1', '&nbsp;']"
6664,r053,All states -> Undistributed<sup>a</sup>,All states,Undistributed<sup>a</sup>,2,"['2,620', '&nbsp;']","['95', '&nbsp;']"
