table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10116,r012,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,11,"['545,993', '']","['600,843', '']","['606,348', '']","['623,237', '']","['610,664', '']","['585,758', '']","['632,426', '']","['676,282', '']","['701,169', '']","['720,613', '']","['706,145', '']","['747,895', '']","['827,158', '']"
10116,r013,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,12,"['594,675', '']","['662,471', '']","['637,857', '']","['622,232', '']","['582,136', '']","['561,210', '']","['580,650', '']","['617,884', '']","['649,166', '']","['677,559', '']","['689,273', '']","['724,993', '']","['814,647', '']"
10116,r014,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,13,"['514,693', '']","['570,116', '']","['559,329', '']","['566,117', '']","['544,697', '']","['535,457', '']","['602,705', '']","['606,768', '']","['669,470', '']","['671,047', '']","['676,331', '']","['683,179', '']","['780,318', '']"
10116,r015,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,14,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['696,880', '']","['689,125', '']","['713,283', '']","['750,447', '']"
10116,r016,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,15,"['545,189', '']","['593,633', '']","['580,661', '']","['555,875', '']","['548,388', '']","['533,286', '']","['567,132', '']","['570,796', '']","['574,048', '']","['608,925', '']","['632,558', '']","['646,764', '']","['740,854', '']"
10116,r017,All institutions -> Yale U.,All institutions,Yale U.,2,16,"['475,794', '']","['519,844', '']","['518,184', '']","['503,227', '']","['480,384', '']","['477,143', '']","['503,221', '']","['541,608', '']","['552,242', '']","['576,776', '']","['585,170', '']","['647,656', '']","['689,270', '']"
10116,r018,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,17,"['468,642', '']","['469,490', '']","['441,406', '']","['411,299', '']","['419,122', '']","['432,228', '']","['442,335', '']","['474,446', '']","['506,006', '']","['543,508', '']","['559,882', '']","['606,127', '']","['681,353', '']"
10116,r019,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,18,"['464,750', '']","['468,705', '']","['531,421', '']","['558,871', '']","['520,574', '']","['513,410', '']","['538,938', '']","['538,164', '']","['565,348', '']","['600,489', '']","['638,930', '']","['622,532', '']","['681,159', '']"
10116,r020,All institutions -> New York U.,All institutions,New York U.,2,19,"['260,463', '']","['302,221', '']","['316,208', '']","['300,730', '']","['330,484', '']","['344,570', '']","['350,355', '']","['391,144', '']","['416,143', '']","['436,850', '']","['448,850', '']","['547,027', '']","['668,381', '']"
10116,r021,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,20,"['397,656', '']","['458,173', '']","['448,948', '']","['445,044', '']","['422,448', '']","['401,738', '']","['405,589', '']","['452,885', '']","['471,625', '']","['492,808', '']","['514,299', '']","['586,880', '']","['666,282', '']"
10116,r022,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,21,"['426,359', '']","['489,480', '']","['485,462', '']","['494,206', '']","['489,767', '']","['476,029', '']","['469,260', '']","['456,443', '']","['464,300', '']","['494,549', '']","['514,092', '']","['570,946', '']","['652,384', '']"
10116,r023,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,22,"['399,942', '']","['493,130', '']","['445,635', '']","['456,590', '']","['454,484', '']","['446,048', '']","['454,834', '']","['464,311', '']","['474,994', '']","['497,651', '']","['539,359', '']","['559,797', '']","['636,902', '']"
10116,r024,All institutions -> Cornell U.,All institutions,Cornell U.,2,23,"['448,085', '']","['476,583', '']","['472,673', '']","['445,116', '']","['439,770', '']","['446,360', '']","['430,987', '']","['438,182', '']","['470,020', '']","['525,182', '']","['562,021', '']","['592,359', '']","['636,481', '']"
10116,r025,All institutions -> Harvard U.,All institutions,Harvard U.,2,24,"['474,899', '']","['543,097', '']","['589,860', '']","['594,392', '']","['572,918', '']","['545,202', '']","['558,611', '']","['573,157', '']","['587,584', '']","['618,405', '']","['605,603', '']","['616,589', '']","['628,683', '']"
10116,r026,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,25,"['360,980', '']","['399,719', '']","['393,074', '']","['396,138', '']","['391,946', '']","['393,186', '']","['432,413', '']","['446,609', '']","['469,525', '']","['502,300', '']","['531,654', '']","['572,975', '']","['618,771', '']"
10116,r027,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,26,"['302,770', '']","['296,835', '']","['271,722', '']","['277,517', '']","['300,667', '']","['329,641', '']","['342,104', '']","['367,522', '']","['398,656', '']","['443,745', '']","['480,452', '']","['554,582', '']","['610,646', '']"
10116,r028,All institutions -> U. Southern California,All institutions,U. Southern California,2,27,"['408,564', '']","['453,283', '']","['443,842', '']","['437,813', '']","['431,430', '']","['421,227', '']","['409,516', '']","['450,204', '']","['501,893', '']","['543,607', '']","['562,120', '']","['574,185', '']","['601,747', '']"
10116,r029,All institutions -> Emory U.,All institutions,Emory U.,2,28,"['336,986', '']","['369,982', '']","['361,165', '']","['365,121', '']","['330,378', '']","['348,071', '']","['361,288', '']","['382,177', '']","['393,647', '']","['424,461', '']","['452,636', '']","['515,940', '']","['568,149', '']"
10116,r030,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,29,"['350,308', '']","['355,437', '']","['354,873', '']","['372,633', '']","['332,758', '']","['346,215', '']","['357,309', '']","['396,447', '']","['405,131', '']","['407,981', '']","['500,409', '']","['489,827', '']","['536,296', '']"
10116,r031,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,30,"['457,575', '']","['489,080', '']","['496,132', '']","['490,809', '']","['483,891', '']","['488,421', '']","['503,858', '']","['487,434', '']","['479,654', '']","['489,345', '']","['488,741', '']","['483,526', '']","['531,056', '']"
10116,r032,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,31,"['292,030', '']","['323,078', '']","['330,089', '']","['319,869', '']","['314,890', '']","['353,341', '']","['371,995', '']","['374,209', '']","['391,817', '']","['412,691', '']","['427,869', '']","['459,816', '']","['507,892', '']"
10116,r033,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,32,"['288,173', '']","['291,812', '']","['269,460', '']","['314,104', '']","['311,920', '']","['304,437', '']","['293,551', '']","['307,656', '']","['333,768', '']","['359,609', '']","['517,489', '']","['528,057', '']","['505,355', '']"
10116,r034,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,33,"['312,789', '']","['336,191', '']","['338,759', '']","['311,809', '']","['313,390', '']","['346,262', '']","['341,807', '']","['330,339', '']","['329,464', '']","['347,601', '']","['349,989', '']","['354,478', '']","['468,542', '']"
10116,r035,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,34,"['332,325', '']","['362,976', '']","['358,577', '']","['347,038', '']","['330,367', '']","['326,039', '']","['339,209', '']","['342,407', '']","['360,018', '']","['374,707', '']","['380,965', '']","['373,719', '']","['468,468', '']"
10116,r036,All institutions -> U. Florida,All institutions,U. Florida,2,35,"['279,649', '']","['306,349', '']","['305,067', '']","['296,199', '']","['289,327', '']","['287,230', '']","['307,140', '']","['327,288', '']","['355,517', '']","['387,906', '']","['397,202', '']","['423,154', '']","['467,739', '']"
10116,r037,All institutions -> U. Chicago,All institutions,U. Chicago,2,36,"['352,728', '']","['372,288', '']","['336,125', '']","['300,718', '']","['281,464', '']","['294,437', '']","['297,953', '']","['308,002', '']","['303,175', '']","['332,776', '']","['352,447', '']","['394,275', '']","['456,806', '']"
10116,r038,All institutions -> U. Colorado Anschutz Medical Campus<sup>c</sup>,All institutions,U. Colorado Anschutz Medical Campus<sup>c</sup>,2,37,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['363,999', '']","['429,949', '']"
10116,r039,"All institutions -> U. Alabama, Birmingham",All institutions,"U. Alabama, Birmingham",2,38,"['325,103', '']","['344,164', '']","['306,210', '']","['290,082', '']","['280,333', '']","['328,531', '']","['348,632', '']","['358,916', '']","['373,360', '']","['398,403', '']","['400,110', '']","['423,290', '']","['421,223', '']"
10116,r040,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,39,"['303,852', '']","['323,454', '']","['359,989', '']","['468,798', '']","['343,275', '']","['338,178', '']","['335,056', '']","['358,905', '']","['353,710', '']","['382,206', '']","['387,853', '']","['406,612', '']","['420,953', '']"
10116,r041,All institutions -> Baylor C. of Medicine,All institutions,Baylor C. of Medicine,2,40,"['284,072', '']","['295,529', '']","['268,753', '']","['285,230', '']","['264,641', '']","['256,895', '']","['267,849', '']","['292,806', '']","['300,098', '']","['309,354', '']","['315,101', '']","['365,472', '']","['420,054', '']"
10116,r042,All institutions -> Boston U.,All institutions,Boston U.,2,41,"['302,411', '']","['305,476', '']","['275,319', '']","['267,194', '']","['257,017', '']","['259,736', '']","['253,475', '']","['259,832', '']","['284,888', '']","['318,511', '']","['339,172', '']","['402,443', '']","['413,102', '']"
10116,r043,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,42,"['214,134', '']","['240,837', '']","['268,952', '']","['260,610', '']","['261,826', '']","['272,838', '']","['310,225', '']","['343,751', '']","['328,618', '']","['331,148', '']","['329,748', '']","['349,889', '']","['381,504', '']"
10116,r044,All institutions -> Case Western Reserve U.,All institutions,Case Western Reserve U.,2,43,"['333,689', '']","['353,470', '']","['359,000', '']","['349,487', '']","['329,320', '']","['308,434', '']","['321,214', '']","['326,643', '']","['349,177', '']","['357,549', '']","['357,589', '']","['340,438', '']","['380,423', '']"
10116,r045,All institutions -> U. Arizona,All institutions,U. Arizona,2,44,"['308,157', '']","['327,565', '']","['331,578', '']","['338,790', '']","['290,370', '']","['269,959', '']","['262,989', '']","['273,567', '']","['291,767', '']","['327,025', '']","['328,807', '']","['353,117', '']","['374,936', '']"
10116,r046,All institutions -> U. Utah,All institutions,U. Utah,2,45,"['227,021', '']","['264,234', '']","['273,150', '']","['301,045', '']","['288,514', '']","['274,375', '']","['233,652', '']","['248,908', '']","['307,844', '']","['302,585', '']","['314,023', '']","['340,434', '']","['367,040', '']"
10116,r047,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,46,"['71,208', '']","['74,143', '']","['79,727', '']","['85,852', '']","['84,592', '']","['210,899', '']","['221,801', '']","['245,155', '']","['249,243', '']","['308,586', '']","['319,039', '']","['326,326', '']","['360,300', '']"
10116,r048,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,47,"['232,564', '']","['259,948', '']","['270,655', '']","['271,504', '']","['236,860', '']","['217,330', '']","['229,093', '']","['245,110', '']","['251,517', '']","['249,831', '']","['270,605', '']","['295,278', '']","['352,890', '']"
10116,r049,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,48,"['224,894', '']","['239,908', '']","['279,161', '']","['295,028', '']","['360,157', '']","['323,675', '']","['321,432', '']","['340,801', '']","['350,912', '']","['297,609', '']","['311,743', '']","['339,015', '']","['351,660', '']"
10116,r050,All institutions -> U. Cincinnati,All institutions,U. Cincinnati,2,49,"['262,513', '']","['287,182', '']","['267,691', '']","['258,460', '']","['245,086', '']","['251,717', '']","['231,817', '']","['242,237', '']","['250,202', '']","['252,892', '']","['285,899', '']","['309,097', '']","['350,392', '']"
10116,r051,All institutions -> Oregon Health and Science U.,All institutions,Oregon Health and Science U.,2,50,"['247,054', '']","['268,777', '']","['242,337', '']","['246,491', '']","['247,740', '']","['245,509', '']","['232,688', '']","['245,199', '']","['264,492', '']","['298,227', '']","['321,572', '']","['329,016', '']","['346,724', '']"
10116,r052,All institutions -> U. Rochester,All institutions,U. Rochester,2,51,"['322,048', '']","['337,907', '']","['308,115', '']","['299,553', '']","['266,767', '']","['262,681', '']","['266,322', '']","['267,860', '']","['285,330', '']","['306,551', '']","['296,241', '']","['309,647', '']","['334,503', '']"
10116,r053,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,52,"['228,917', '']","['252,928', '']","['240,254', '']","['225,567', '']","['205,865', '']","['203,401', '']","['210,980', '']","['228,910', '']","['250,168', '']","['276,335', '']","['300,348', '']","['297,273', '']","['332,993', '']"
10116,r054,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,53,"['328,522', '']","['342,945', '']","['326,701', '']","['282,823', '']","['279,515', '']","['272,673', '']","['265,206', '']","['277,358', '']","['280,451', '']","['287,198', '']","['316,519', '']","['293,197', '']","['326,401', '']"
10116,r055,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,54,"['211,297', '']","['236,566', '']","['252,286', '']","['219,856', '']","['212,054', '']","['219,321', '']","['232,108', '']","['239,165', '']","['268,747', '']","['284,482', '']","['287,100', '']","['303,901', '']","['316,727', '']"
10116,r056,All institutions -> U. Iowa,All institutions,U. Iowa,2,55,"['282,465', '']","['283,627', '']","['269,734', '']","['255,329', '']","['235,527', '']","['225,587', '']","['237,743', '']","['238,842', '']","['246,117', '']","['252,563', '']","['259,639', '']","['283,763', '']","['314,346', '']"
10116,r057,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,56,"['172,202', '']","['185,766', '']","['194,376', '']","['201,363', '']","['196,270', '']","['196,528', '']","['212,396', '']","['227,621', '']","['254,384', '']","['267,087', '']","['278,150', '']","['274,541', '']","['309,094', '']"
10116,r058,All institutions -> U. Texas Southwestern Medical Center,All institutions,U. Texas Southwestern Medical Center,2,57,"['232,027', '']","['231,639', '']","['207,513', '']","['198,114', '']","['185,137', '']","['183,787', '']","['185,263', '']","['200,085', '']","['197,910', '']","['203,544', '']","['242,679', '']","['257,611', '']","['298,154', '']"
10116,r059,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,58,"['194,559', '']","['209,117', '']","['206,985', '']","['198,730', '']","['182,585', '']","['174,875', '']","['177,779', '']","['187,535', '']","['201,173', '']","['217,094', '']","['241,734', '']","['255,010', '']","['291,393', '']"
10116,r060,All institutions -> Utah State U.,All institutions,Utah State U.,2,59,"['90,581', '']","['113,871', '']","['108,501', '']","['106,985', '']","['114,959', '']","['120,369', '']","['125,661', '']","['138,518', '']","['159,447', '']","['220,504', '']","['242,156', '']","['264,575', '']","['280,866', '']"
10116,r061,All institutions -> U. Miami,All institutions,U. Miami,2,60,"['197,824', '']","['225,352', '']","['224,172', '']","['205,870', '']","['203,751', '']","['193,606', '']","['195,328', '']","['194,385', '']","['192,598', '']","['212,023', '']","['224,184', '']","['231,001', '']","['265,212', '']"
10116,r062,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,61,"['179,386', '']","['200,967', '']","['209,522', '']","['215,560', '']","['198,247', '']","['187,259', '']","['190,620', '']","['189,974', '']","['181,958', '']","['197,978', '']","['217,625', '']","['234,993', '']","['259,160', '']"
10116,r063,"All institutions -> U. Massachusetts, Medical School",All institutions,"U. Massachusetts, Medical School",2,62,"['178,293', '']","['208,244', '']","['202,149', '']","['189,159', '']","['183,582', '']","['183,588', '']","['181,446', '']","['200,232', '']","['194,953', '']","['197,388', '']","['192,938', '']","['248,873', '']","['258,147', '']"
10116,r064,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,63,"['171,528', '']","['179,161', '']","['159,678', '']","['150,468', '']","['142,312', '']","['146,548', '']","['154,559', '']","['171,323', '']","['171,672', '']","['192,945', '']","['200,664', '']","['220,703', '']","['253,852', '']"
10116,r065,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,64,"['232,380', '']","['248,936', '']","['246,128', '']","['222,566', '']","['203,733', '']","['196,010', '']","['187,990', '']","['198,049', '']","['196,840', '']","['208,603', '']","['223,030', '']","['237,949', '']","['251,328', '']"
10116,r066,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,65,"['139,096', '']","['155,293', '']","['174,758', '']","['177,118', '']","['181,449', '']","['199,862', '']","['202,336', '']","['218,274', '']","['219,258', '']","['228,945', '']","['232,110', '']","['239,115', '']","['250,582', '']"
10116,r067,All institutions -> Scripps Research Institute,All institutions,Scripps Research Institute,2,66,"['313,746', '']","['317,201', '']","['309,471', '']","['308,628', '']","['292,268', '']","['274,097', '']","['242,489', '']","['250,090', '']","['267,088', '']","['267,122', '']","['243,502', '']","['272,181', '']","['242,135', '']"
10116,r068,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,67,"['162,566', '']","['189,198', '']","['184,175', '']","['201,646', '']","['204,308', '']","['196,096', '']","['195,859', '']","['186,054', '']","['199,897', '']","['209,607', '']","['210,792', '']","['216,733', '']","['240,305', '']"
10116,r069,All institutions -> U. New Mexico,All institutions,U. New Mexico,2,68,"['148,216', '']","['162,854', '']","['160,895', '']","['158,057', '']","['153,889', '']","['154,794', '']","['159,280', '']","['165,128', '']","['169,952', '']","['159,940', '']","['161,627', '']","['242,212', '']","['232,774', '']"
10116,r070,All institutions -> U. Connecticut,All institutions,U. Connecticut,2,69,"['132,169', '']","['144,280', '']","['153,264', '']","['148,651', '']","['144,104', '']","['137,980', '']","['146,390', '']","['145,637', '']","['144,048', '']","['159,220', '']","['164,848', '']","['183,362', '']","['230,752', '']"
10116,r071,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,70,"['206,664', '']","['236,400', '']","['196,753', '']","['182,971', '']","['158,986', '']","['161,171', '']","['155,044', '']","['166,552', '']","['173,206', '']","['176,156', '']","['186,488', '']","['217,073', '']","['225,659', '']"
10116,r072,All institutions -> Albert Einstein C. of Medicine,All institutions,Albert Einstein C. of Medicine,2,71,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['188,521', '']","['188,259', '']","['196,457', '']","['202,513', '']","['204,635', '']","['214,619', '']","['220,780', '']"
10116,r073,All institutions -> U. Georgia,All institutions,U. Georgia,2,72,"['119,486', '']","['137,255', '']","['137,710', '']","['131,824', '']","['126,164', '']","['132,118', '']","['143,886', '']","['158,229', '']","['148,543', '']","['159,948', '']","['171,351', '']","['188,451', '']","['220,343', '']"
10116,r074,All institutions -> Princeton U.,All institutions,Princeton U.,2,73,"['150,261', '']","['163,438', '']","['161,591', '']","['156,541', '']","['164,277', '']","['158,313', '']","['162,003', '']","['176,029', '']","['180,305', '']","['193,453', '']","['203,259', '']","['205,000', '']","['218,390', '']"
10116,r075,"All institutions -> SUNY, U. Buffalo",All institutions,"SUNY, U. Buffalo",2,74,"['167,099', '']","['182,585', '']","['193,613', '']","['204,995', '']","['189,209', '']","['177,441', '']","['182,883', '']","['186,836', '']","['186,494', '']","['182,983', '']","['200,155', '']","['210,257', '']","['218,231', '']"
10116,r076,All institutions -> Brown U.,All institutions,Brown U.,2,75,"['127,087', '']","['128,628', '']","['131,994', '']","['126,559', '']","['129,248', '']","['132,142', '']","['136,931', '']","['145,556', '']","['164,452', '']","['178,460', '']","['185,676', '']","['198,574', '']","['215,067', '']"
10116,r077,All institutions -> Woods Hole Oceanographic Institution,All institutions,Woods Hole Oceanographic Institution,2,76,"['153,066', '']","['165,819', '']","['161,115', '']","['158,672', '']","['177,616', '']","['172,995', '']","['166,010', '']","['148,491', '']","['163,003', '']","['184,995', '']","['191,186', '']","['222,351', '']","['211,550', '']"
10116,r078,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,77,"['105,366', '']","['118,970', '']","['133,841', '']","['132,456', '']","['118,925', '']","['127,709', '']","['134,772', '']","['133,177', '']","['149,317', '']","['164,855', '']","['183,728', '']","['193,639', '']","['210,994', '']"
10116,r079,All institutions -> U. South Florida<sup>d</sup>,All institutions,U. South Florida<sup>d</sup>,2,78,"['243,017', '']","['243,030', '']","['236,148', '']","['225,414', '']","['222,790', '']","['218,338', '']","['228,365', '']","['250,384', '']","['179,024', '']","['181,882', '']","['158,958', '']","['185,364', '']","['206,552', '']"
10116,r080,All institutions -> U. Dayton,All institutions,U. Dayton,2,79,"['73,540', '']","['70,996', '']","['65,169', '']","['67,698', '']","['66,318', '']","['77,973', '']","['100,955', '']","['118,452', '']","['132,358', '']","['153,328', '']","['154,101', '']","['181,445', '']","['203,206', '']"
10116,r081,All institutions -> U. Kansas,All institutions,U. Kansas,2,80,"['147,598', '']","['162,721', '']","['171,043', '']","['174,021', '']","['165,442', '']","['155,835', '']","['140,002', '']","['148,178', '']","['155,147', '']","['169,694', '']","['185,007', '']","['187,249', '']","['200,117', '']"
10116,r082,All institutions -> U. Delaware,All institutions,U. Delaware,2,81,"['105,454', '']","['118,673', '']","['117,072', '']","['119,756', '']","['116,340', '']","['114,245', '']","['113,217', '']","['117,813', '']","['118,573', '']","['133,020', '']","['144,142', '']","['157,725', '']","['194,775', '']"
10116,r083,All institutions -> Uniformed Services U. of the Health Sciences,All institutions,Uniformed Services U. of the Health Sciences,2,82,"['72,125', '']","['117,781', '']","['102,134', '']","['119,647', '']","['213,389', '']","['299,007', '']","['175,007', '']","['204,241', '']","['218,702', '']","['297,808', '']","['235,202', '']","['275,573', '']","['194,187', '']"
10116,r084,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,83,"['135,886', '']","['146,882', '']","['156,446', '']","['149,396', '']","['145,247', '']","['153,017', '']","['158,142', '']","['163,479', '']","['171,805', '']","['168,571', '']","['167,494', '']","['179,180', '']","['192,621', '']"
10116,r085,All institutions -> Washington State U.,All institutions,Washington State U.,2,84,"['113,452', '']","['123,502', '']","['129,255', '']","['134,329', '']","['126,955', '']","['134,889', '']","['136,646', '']","['152,843', '']","['151,133', '']","['158,982', '']","['154,623', '']","['179,536', '']","['187,580', '']"
10116,r086,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,85,"['109,461', '']","['117,522', '']","['118,242', '']","['121,993', '']","['116,273', '']","['114,518', '']","['125,397', '']","['128,221', '']","['147,679', '']","['147,866', '']","['165,912', '']","['169,177', '']","['187,156', '']"
10116,r087,"All institutions -> U. Texas Health Science Center, Houston",All institutions,"U. Texas Health Science Center, Houston",2,86,"['150,324', '']","['156,790', '']","['146,424', '']","['144,235', '']","['136,145', '']","['125,890', '']","['121,098', '']","['124,461', '']","['128,232', '']","['132,647', '']","['133,624', '']","['165,139', '']","['184,205', '']"
10116,r088,"All institutions -> SUNY, Stony Brook U.",All institutions,"SUNY, Stony Brook U.",2,87,"['120,146', '']","['125,102', '']","['123,383', '']","['118,513', '']","['111,683', '']","['115,150', '']","['118,549', '']","['125,688', '']","['136,241', '']","['144,618', '']","['146,478', '']","['162,972', '']","['184,154', '']"
10116,r089,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,88,"['116,965', '']","['116,403', '']","['114,345', '']","['111,510', '']","['104,910', '']","['105,015', '']","['126,071', '']","['134,525', '']","['138,029', '']","['139,781', '']","['156,190', '']","['163,576', '']","['182,432', '']"
10116,r090,All institutions -> Wake Forest U.,All institutions,Wake Forest U.,2,89,"['159,084', '']","['173,130', '']","['172,779', '']","['156,506', '']","['153,069', '']","['148,451', '']","['141,052', '']","['148,001', '']","['154,363', '']","['165,702', '']","['166,596', '']","['188,887', '']","['180,754', '']"
10116,r091,All institutions -> Thomas Jefferson U.,All institutions,Thomas Jefferson U.,2,90,"['77,817', '']","['80,027', '']","['68,976', '']","['56,247', '']","['54,676', '']","['58,536', '']","['58,866', '']","['62,029', '']","['64,869', '']","['74,816', '']","['74,676', '']","['109,448', '']","['173,861', '']"
