table_id,row_id,employment_sector_and_occupation_full_path,employment_sector_and_occupation_level_1,employment_sector_and_occupation_level_2,employment_sector_and_occupation_level_3,employment_sector_and_occupation_level_4,employment_sector_and_occupation_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_hispanic_or_latinoa_number,field_hispanic_or_latinoa_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_number,field_not_hispanic_or_latinob_american_indian_or_alaska_native_se,field_not_hispanic_or_latinob_asian_number,field_not_hispanic_or_latinob_asian_se,field_not_hispanic_or_latinob_black_or_african_american_number,field_not_hispanic_or_latinob_black_or_african_american_se,field_not_hispanic_or_latinob_white_number,field_not_hispanic_or_latinob_white_se,field_not_hispanic_or_latinob_other_racec_number,field_not_hispanic_or_latinob_other_racec_se
8228,r019,All sectors -> 4-year educational institution<sup>d</sup> -> Science occupations -> Social scientists,All sectors,4-year educational institution<sup>d</sup>,Science occupations,Social scientists,4,47950,950,2950,250,150,50,5950,375,2750,200,35400,900,750,125
8228,r020,All sectors -> 4-year educational institution<sup>d</sup> -> Engineering occupations,All sectors,4-year educational institution<sup>d</sup>,Engineering occupations,,3,36600,1000,1800,150,50,25,12400,650,1050,125,20650,775,650,175
8228,r021,All sectors -> 4-year educational institution<sup>d</sup> -> S&E-related occupations,All sectors,4-year educational institution<sup>d</sup>,S&E-related occupations,,3,36750,1025,1450,150,100,50,7200,575,2000,200,25450,825,600,125
8228,r022,All sectors -> 4-year educational institution<sup>d</sup> -> Non-S&E occupations,All sectors,4-year educational institution<sup>d</sup>,Non-S&E occupations,,3,39650,875,2400,200,150,75,4700,375,2350,200,29300,750,750,150
8228,r023,All sectors -> Other educational institution<sup>e</sup>,All sectors,Other educational institution<sup>e</sup>,,,2,27800,825,1950,150,100,50,3350,325,2050,175,19900,675,450,75
8228,r024,All sectors -> Other educational institution<sup>e</sup> -> Science occupations,All sectors,Other educational institution<sup>e</sup>,Science occupations,,3,15900,625,1150,125,S,S,2200,300,1000,125,11250,525,250,75
8228,r025,"All sectors -> Other educational institution<sup>e</sup> -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,Other educational institution<sup>e</sup>,Science occupations,"Biological, agricultural, and other life scientists",4,3650,325,200,50,,,500,150,150,50,2700,275,100,50
8228,r026,All sectors -> Other educational institution<sup>e</sup> -> Science occupations -> Computer and information scientists,All sectors,Other educational institution<sup>e</sup>,Science occupations,Computer and information scientists,4,600,150,,,,,200,125,0.05,0.05,400,100,,
8228,r027,All sectors -> Other educational institution<sup>e</sup> -> Science occupations -> Mathematical scientists,All sectors,Other educational institution<sup>e</sup>,Science occupations,Mathematical scientists,4,1200,200,100,50,,,150,75,50,25,900,175,S,S
8228,r028,All sectors -> Other educational institution<sup>e</sup> -> Science occupations -> Physical scientists,All sectors,Other educational institution<sup>e</sup>,Science occupations,Physical scientists,4,4300,350,300,75,,,1050,225,250,75,2650,300,,
8228,r029,All sectors -> Other educational institution<sup>e</sup> -> Science occupations -> Psychologists,All sectors,Other educational institution<sup>e</sup>,Science occupations,Psychologists,4,3600,275,300,75,,,100,50,350,100,2750,250,50,25
8228,r030,All sectors -> Other educational institution<sup>e</sup> -> Science occupations -> Social scientists,All sectors,Other educational institution<sup>e</sup>,Science occupations,Social scientists,4,2550,275,200,50,,,200,75,200,75,1850,250,50,25
8228,r031,All sectors -> Other educational institution<sup>e</sup> -> Engineering occupations,All sectors,Other educational institution<sup>e</sup>,Engineering occupations,,3,450,150,0.05,0.05,,,200,125,S,S,200,75,,
8228,r032,All sectors -> Other educational institution<sup>e</sup> -> S&E-related occupations,All sectors,Other educational institution<sup>e</sup>,S&E-related occupations,,3,5800,375,350,75,,,400,125,450,75,4500,325,50,25
8228,r033,All sectors -> Other educational institution<sup>e</sup> -> Non-S&E occupations,All sectors,Other educational institution<sup>e</sup>,Non-S&E occupations,,3,5600,425,400,75,50,25,500,100,500,100,4000,375,150,50
8228,r034,"All sectors -> Private, for profit<sup>f</sup>",All sectors,"Private, for profit<sup>f</sup>",,,2,320850,2625,12400,425,300,75,114300,1375,7700,350,180150,1975,5950,425
8228,r035,"All sectors -> Private, for profit<sup>f</sup> -> Science occupations",All sectors,"Private, for profit<sup>f</sup>",Science occupations,,3,150950,1975,6350,325,150,50,52400,1150,3350,225,85600,1475,3050,350
8228,r036,"All sectors -> Private, for profit<sup>f</sup> -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,"Private, for profit<sup>f</sup>",Science occupations,"Biological, agricultural, and other life scientists",4,45400,1200,2350,225,,,14900,725,1150,125,25950,875,1000,175
8228,r037,"All sectors -> Private, for profit<sup>f</sup> -> Science occupations -> Computer and information scientists",All sectors,"Private, for profit<sup>f</sup>",Science occupations,Computer and information scientists,4,44050,925,1150,125,,,21750,750,500,100,19850,725,850,200
8228,r038,"All sectors -> Private, for profit<sup>f</sup> -> Science occupations -> Mathematical scientists",All sectors,"Private, for profit<sup>f</sup>",Science occupations,Mathematical scientists,4,15950,650,700,125,,,7750,475,300,50,6800,450,350,100
8228,r039,"All sectors -> Private, for profit<sup>f</sup> -> Science occupations -> Physical scientists",All sectors,"Private, for profit<sup>f</sup>",Science occupations,Physical scientists,4,23150,825,800,100,50,25,6400,550,450,100,15100,575,350,125
8228,r040,"All sectors -> Private, for profit<sup>f</sup> -> Science occupations -> Psychologists",All sectors,"Private, for profit<sup>f</sup>",Science occupations,Psychologists,4,17200,750,950,150,,,650,150,700,150,14500,725,400,125
8228,r041,"All sectors -> Private, for profit<sup>f</sup> -> Science occupations -> Social scientists",All sectors,"Private, for profit<sup>f</sup>",Science occupations,Social scientists,4,5200,350,400,100,,,1000,175,250,75,3450,275,100,50
8228,r042,"All sectors -> Private, for profit<sup>f</sup> -> Engineering occupations",All sectors,"Private, for profit<sup>f</sup>",Engineering occupations,,3,68150,1400,2150,150,0.05,0.05,32650,1000,1400,125,31200,1000,750,125
8228,r043,"All sectors -> Private, for profit<sup>f</sup> -> S&E-related occupations",All sectors,"Private, for profit<sup>f</sup>",S&E-related occupations,,3,35400,1075,1250,125,50,50,11900,725,1050,175,20500,725,650,125
8228,r044,"All sectors -> Private, for profit<sup>f</sup> -> Non-S&E occupations",All sectors,"Private, for profit<sup>f</sup>",Non-S&E occupations,,3,66400,1175,2650,200,100,50,17350,775,1900,150,42850,950,1500,225
8228,r045,"All sectors -> Private, nonprofit",All sectors,"Private, nonprofit",,,2,60200,1300,2950,250,150,50,12150,625,2750,275,40800,1025,1400,175
8228,r046,"All sectors -> Private, nonprofit -> Science occupations",All sectors,"Private, nonprofit",Science occupations,,3,32250,950,1550,200,S,S,7000,475,950,125,22000,750,700,150
8228,r047,"All sectors -> Private, nonprofit -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,"Private, nonprofit",Science occupations,"Biological, agricultural, and other life scientists",4,12600,550,500,75,,,3450,350,250,50,8200,475,200,50
8228,r048,"All sectors -> Private, nonprofit -> Science occupations -> Computer and information scientists",All sectors,"Private, nonprofit",Science occupations,Computer and information scientists,4,2150,275,50,25,,,700,175,0.05,0.05,1350,200,S,S
8228,r049,"All sectors -> Private, nonprofit -> Science occupations -> Mathematical scientists",All sectors,"Private, nonprofit",Science occupations,Mathematical scientists,4,2350,275,150,50,,,750,175,100,50,1300,200,,
8228,r050,"All sectors -> Private, nonprofit -> Science occupations -> Physical scientists",All sectors,"Private, nonprofit",Science occupations,Physical scientists,4,4550,325,150,50,,,1000,200,50,25,3200,250,S,S
8228,r051,"All sectors -> Private, nonprofit -> Science occupations -> Psychologists",All sectors,"Private, nonprofit",Science occupations,Psychologists,4,6250,475,350,100,,,450,125,300,100,4950,425,150,75
8228,r052,"All sectors -> Private, nonprofit -> Science occupations -> Social scientists",All sectors,"Private, nonprofit",Science occupations,Social scientists,4,4300,350,350,125,,,600,175,250,75,2950,250,S,S
8228,r053,"All sectors -> Private, nonprofit -> Engineering occupations",All sectors,"Private, nonprofit",Engineering occupations,,3,4100,325,100,50,,,1250,225,150,75,2400,225,150,75
8228,r054,"All sectors -> Private, nonprofit -> S&E-related occupations",All sectors,"Private, nonprofit",S&E-related occupations,,3,11350,575,650,100,,,2700,325,600,150,7250,475,150,50
8228,r055,"All sectors -> Private, nonprofit -> Non-S&E occupations",All sectors,"Private, nonprofit",Non-S&E occupations,,3,12500,625,700,125,50,25,1200,250,1050,175,9100,475,350,75
8228,r056,All sectors -> Federal government,All sectors,Federal government,,,2,52700,1250,2800,200,100,50,8700,575,2450,200,37550,1025,1050,150
8228,r057,All sectors -> Federal government -> Science occupations,All sectors,Federal government,Science occupations,,3,34350,1075,1850,175,50,25,5700,450,1450,150,24500,875,750,100
8228,r058,"All sectors -> Federal government -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,Federal government,Science occupations,"Biological, agricultural, and other life scientists",4,14250,650,750,100,,,2700,300,750,100,9700,550,350,75
8228,r059,All sectors -> Federal government -> Science occupations -> Computer and information scientists,All sectors,Federal government,Science occupations,Computer and information scientists,4,1300,175,100,25,,,250,100,50,25,900,150,0.05,0.05
8228,r060,All sectors -> Federal government -> Science occupations -> Mathematical scientists,All sectors,Federal government,Science occupations,Mathematical scientists,4,2050,225,50,50,,,500,125,100,25,1350,150,50,25
8228,r061,All sectors -> Federal government -> Science occupations -> Physical scientists,All sectors,Federal government,Science occupations,Physical scientists,4,7450,425,350,75,,,1400,250,200,50,5300,350,150,50
8228,r062,All sectors -> Federal government -> Science occupations -> Psychologists,All sectors,Federal government,Science occupations,Psychologists,4,5250,425,300,100,,,200,75,200,75,4350,375,150,75
8228,r063,All sectors -> Federal government -> Science occupations -> Social scientists,All sectors,Federal government,Science occupations,Social scientists,4,4100,350,250,100,,,700,150,150,75,2900,325,50,50
8228,r064,All sectors -> Federal government -> Engineering occupations,All sectors,Federal government,Engineering occupations,,3,7200,500,400,75,,,1250,225,200,75,5150,425,150,75
8228,r065,All sectors -> Federal government -> S&E-related occupations,All sectors,Federal government,S&E-related occupations,,3,5100,400,250,75,,,900,175,200,50,3650,325,100,50
8228,r066,All sectors -> Federal government -> Non-S&E occupations,All sectors,Federal government,Non-S&E occupations,,3,6050,425,300,75,,,850,200,550,100,4300,375,0.05,0.05
8228,r067,All sectors -> State or local government,All sectors,State or local government,,,2,19650,750,750,100,S,S,4650,400,1350,175,12550,650,300,75
8228,r068,All sectors -> State or local government -> Science occupations,All sectors,State or local government,Science occupations,,3,10850,525,350,75,,,2650,300,550,125,7050,475,150,50
8228,r069,"All sectors -> State or local government -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,State or local government,Science occupations,"Biological, agricultural, and other life scientists",4,3300,275,100,25,,,850,200,100,50,2150,225,100,50
8228,r070,All sectors -> State or local government -> Science occupations -> Computer and information scientists,All sectors,State or local government,Science occupations,Computer and information scientists,4,800,200,,,,,300,125,S,S,450,150,,
8228,r071,All sectors -> State or local government -> Science occupations -> Mathematical scientists,All sectors,State or local government,Science occupations,Mathematical scientists,4,500,150,,,,,150,75,,,300,125,,
8228,r072,All sectors -> State or local government -> Science occupations -> Physical scientists,All sectors,State or local government,Science occupations,Physical scientists,4,2450,250,100,50,,,600,125,50,25,1650,200,50,25
8228,r073,All sectors -> State or local government -> Science occupations -> Psychologists,All sectors,State or local government,Science occupations,Psychologists,4,2450,325,100,50,,,450,175,250,100,1700,250,,
8228,r074,All sectors -> State or local government -> Science occupations -> Social scientists,All sectors,State or local government,Science occupations,Social scientists,4,1350,150,100,50,,,250,100,100,50,850,125,50,25
8228,r075,All sectors -> State or local government -> Engineering occupations,All sectors,State or local government,Engineering occupations,,3,2600,325,150,50,,,1100,225,150,75,1150,250,50,25
8228,r076,All sectors -> State or local government -> S&E-related occupations,All sectors,State or local government,S&E-related occupations,,3,2750,300,100,50,,,650,150,250,100,1750,225,50,25
8228,r077,All sectors -> State or local government -> Non-S&E occupations,All sectors,State or local government,Non-S&E occupations,,3,3450,325,150,50,,,300,75,400,100,2600,300,50,25
8228,r078,All sectors -> Self-employed<sup>g</sup>,All sectors,Self-employed<sup>g</sup>,,,2,42650,1075,1500,150,50,25,4150,375,1350,200,34750,1050,750,150
8228,r079,All sectors -> Self-employed<sup>g</sup> -> Science occupations,All sectors,Self-employed<sup>g</sup>,Science occupations,,3,25950,850,1000,150,,,1400,225,800,175,22400,800,350,75
8228,r080,"All sectors -> Self-employed<sup>g</sup> -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,Self-employed<sup>g</sup>,Science occupations,"Biological, agricultural, and other life scientists",4,3550,325,100,50,,,250,75,S,S,2950,300,100,50
8228,r081,All sectors -> Self-employed<sup>g</sup> -> Science occupations -> Computer and information scientists,All sectors,Self-employed<sup>g</sup>,Science occupations,Computer and information scientists,4,1350,225,0.05,0.05,,,250,125,,,1000,175,,
8228,r082,All sectors -> Self-employed<sup>g</sup> -> Science occupations -> Mathematical scientists,All sectors,Self-employed<sup>g</sup>,Science occupations,Mathematical scientists,4,500,125,0.05,0.05,,,S,S,,,400,100,,
8228,r083,All sectors -> Self-employed<sup>g</sup> -> Science occupations -> Physical scientists,All sectors,Self-employed<sup>g</sup>,Science occupations,Physical scientists,4,1600,225,50,25,,,200,75,,,1300,225,,
8228,r084,All sectors -> Self-employed<sup>g</sup> -> Science occupations -> Psychologists,All sectors,Self-employed<sup>g</sup>,Science occupations,Psychologists,4,17150,700,750,125,,,400,125,500,150,15350,675,150,75
8228,r085,All sectors -> Self-employed<sup>g</sup> -> Science occupations -> Social scientists,All sectors,Self-employed<sup>g</sup>,Science occupations,Social scientists,4,1800,225,50,25,,,200,100,150,75,1400,200,S,S
8228,r086,All sectors -> Self-employed<sup>g</sup> -> Engineering occupations,All sectors,Self-employed<sup>g</sup>,Engineering occupations,,3,2350,275,100,50,,,500,150,,,1700,275,50,50
8228,r087,All sectors -> Self-employed<sup>g</sup> -> S&E-related occupations,All sectors,Self-employed<sup>g</sup>,S&E-related occupations,,3,2450,250,50,50,,,400,150,100,75,1800,175,,
8228,r088,All sectors -> Self-employed<sup>g</sup> -> Non-S&E occupations,All sectors,Self-employed<sup>g</sup>,Non-S&E occupations,,3,11850,575,350,75,S,S,1900,250,400,75,8900,525,250,125
8228,r089,All sectors -> Other sector<sup>h</sup>,All sectors,Other sector<sup>h</sup>,,,2,7300,425,500,100,,,2650,300,450,100,3500,325,250,125
8228,r090,All sectors -> Other sector<sup>h</sup> -> Science occupations,All sectors,Other sector<sup>h</sup>,Science occupations,,3,4050,325,350,75,,,1350,225,250,75,2000,225,100,50
8228,r091,"All sectors -> Other sector<sup>h</sup> -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,Other sector<sup>h</sup>,Science occupations,"Biological, agricultural, and other life scientists",4,1000,150,50,25,,,300,125,100,50,550,125,,
8228,r092,All sectors -> Other sector<sup>h</sup> -> Science occupations -> Computer and information scientists,All sectors,Other sector<sup>h</sup>,Science occupations,Computer and information scientists,4,550,150,,,,,400,150,,,100,50,,
8228,r093,All sectors -> Other sector<sup>h</sup> -> Science occupations -> Mathematical scientists,All sectors,Other sector<sup>h</sup>,Science occupations,Mathematical scientists,4,250,100,,,,,150,75,50,25,50,25,,
8228,r094,All sectors -> Other sector<sup>h</sup> -> Science occupations -> Physical scientists,All sectors,Other sector<sup>h</sup>,Science occupations,Physical scientists,4,650,125,,,,,200,75,,,450,100,,
8228,r095,All sectors -> Other sector<sup>h</sup> -> Science occupations -> Psychologists,All sectors,Other sector<sup>h</sup>,Science occupations,Psychologists,4,350,125,50,25,,,,,,,300,100,,
8228,r096,All sectors -> Other sector<sup>h</sup> -> Science occupations -> Social scientists,All sectors,Other sector<sup>h</sup>,Science occupations,Social scientists,4,1200,175,250,75,,,350,125,,,600,125,,
8228,r097,All sectors -> Other sector<sup>h</sup> -> Engineering occupations,All sectors,Other sector<sup>h</sup>,Engineering occupations,,3,1300,200,50,25,,,750,175,,,500,125,,
8228,r098,All sectors -> Other sector<sup>h</sup> -> S&E-related occupations,All sectors,Other sector<sup>h</sup>,S&E-related occupations,,3,800,200,,,,,250,125,50,25,450,100,,
8228,r099,All sectors -> Other sector<sup>h</sup> -> Non-S&E occupations,All sectors,Other sector<sup>h</sup>,Non-S&E occupations,,3,1150,175,50,25,,,300,100,150,50,500,125,,
