table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_total_all_r_d_expenditures_received,field_total_from_higher_education_pass_through_entities,field_total_from_businesses,field_total_from_nonprofit_organizations,field_total_from_other_pass_through_entities,field_federally_financed_all_r_d_expenditures_received,field_federally_financed_from_higher_education_pass_through_entities,field_federally_financed_from_businesses,field_federally_financed_from_nonprofit_organizations,field_federally_financed_from_other_pass_through_entities
5457,r027,United States -> Arizona -> Public -> U. Arizona,United States,Arizona,Public,U. Arizona,4,"['60,667', 'i']","['26,584', 'i']","['7,235', 'i']","['20,749', 'i']","['6,099', 'i']","['54,698', '']","['24,397', '']","['6,283', '']","['19,768', '']","['4,250', '']"
5457,r028,United States -> Arkansas,United States,Arkansas,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5457,r029,United States -> Arkansas -> Public,United States,Arkansas,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5457,r030,"United States -> Arkansas -> Public -> Arkansas State U., Jonesboro",United States,Arkansas,Public,"Arkansas State U., Jonesboro",4,"['2,014', '']","['1,200', '']","['0', '']","['0', '']","['814', '']","['2,009', '']","['1,195', '']","['0', '']","['0', '']","['814', '']"
5457,r031,United States -> Arkansas -> Public -> U. Arkansas for Medical Sciences,United States,Arkansas,Public,U. Arkansas for Medical Sciences,4,"['10,121', '']","['3,908', '']","['1,781', '']","['1,425', '']","['3,007', '']","['10,025', '']","['3,812', '']","['1,781', '']","['1,425', '']","['3,007', '']"
5457,r032,"United States -> Arkansas -> Public -> U. Arkansas, Fayetteville",United States,Arkansas,Public,"U. Arkansas, Fayetteville",4,"['11,161', '']","['4,644', '']","['1,302', '']","['372', '']","['4,843', '']","['10,789', '']","['4,272', '']","['1,302', '']","['372', '']","['4,843', '']"
5457,r033,"United States -> Arkansas -> Public -> U. Arkansas, Little Rock",United States,Arkansas,Public,"U. Arkansas, Little Rock",4,"['2,822', '']","['1,089', '']","['152', '']","['0', '']","['1,581', '']","['2,428', '']","['980', '']","['140', '']","['0', '']","['1,308', '']"
5457,r034,"United States -> Arkansas -> Public -> U. Arkansas, Pine Bluff",United States,Arkansas,Public,"U. Arkansas, Pine Bluff",4,"['172', '']","['172', '']","['0', '']","['0', '']","['0', '']","['116', '']","['116', '']","['0', '']","['0', '']","['0', '']"
5457,r035,United States -> Arkansas -> Public -> U. Central Arkansas,United States,Arkansas,Public,U. Central Arkansas,4,"['1,163', '']","['1,007', '']","['0', '']","['2', '']","['154', '']","['1,107', '']","['957', '']","['0', '']","['0', '']","['150', '']"
5457,r036,United States -> California,United States,California,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5457,r037,United States -> California -> Public,United States,California,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5457,r038,"United States -> California -> Public -> California Polytechnic State U., San Luis Obispo",United States,California,Public,"California Polytechnic State U., San Luis Obispo",4,"['3,224', '']","['1,513', '']","['906', '']","['335', '']","['470', '']","['2,775', '']","['1,326', '']","['878', '']","['247', '']","['324', '']"
5457,r039,"United States -> California -> Public -> California State Polytechnic U., Pomona",United States,California,Public,"California State Polytechnic U., Pomona",4,"['1,373', '']","['850', '']","['112', '']","['11', '']","['400', '']","['1,188', '']","['777', '']","['0', '']","['11', '']","['400', '']"
5457,r040,"United States -> California -> Public -> California State U., Bakersfield",United States,California,Public,"California State U., Bakersfield",4,"['170', '']","['170', '']","['0', '']","['0', '']","['0', '']","['100', '']","['100', '']","['0', '']","['0', '']","['0', '']"
5457,r041,"United States -> California -> Public -> California State U., Channel Islands",United States,California,Public,"California State U., Channel Islands",4,"['56', '']","['11', '']","['0', '']","['25', '']","['20', '']","['1', '']","['1', '']","['0', '']","['0', '']","['0', '']"
5457,r042,"United States -> California -> Public -> California State U., Chico",United States,California,Public,"California State U., Chico",4,"['590', '']","['384', '']","['0', '']","['0', '']","['206', '']","['384', '']","['178', '']","['0', '']","['0', '']","['206', '']"
5457,r043,"United States -> California -> Public -> California State U., Dominguez Hills",United States,California,Public,"California State U., Dominguez Hills",4,"['516', '']","['516', '']","['0', '']","['0', '']","['0', '']","['516', '']","['516', '']","['0', '']","['0', '']","['0', '']"
5457,r044,"United States -> California -> Public -> California State U., East Bay",United States,California,Public,"California State U., East Bay",4,"['1,551', '']","['932', '']","['99', '']","['152', '']","['368', '']","['457', '']","['390', '']","['67', '']","['0', '']","['0', '']"
5457,r045,"United States -> California -> Public -> California State U., Fresno",United States,California,Public,"California State U., Fresno",4,"['2,615', '']","['2,016', '']","['50', '']","['310', '']","['239', '']","['418', '']","['135', '']","['24', '']","['20', '']","['239', '']"
5457,r046,"United States -> California -> Public -> California State U., Fullerton",United States,California,Public,"California State U., Fullerton",4,"['652', '']","['594', '']","['8', '']","['50', '']","['0', '']","['623', '']","['578', '']","['8', '']","['37', '']","['0', '']"
5457,r047,"United States -> California -> Public -> California State U., Long Beach",United States,California,Public,"California State U., Long Beach",4,"['4,934', '']","['2,278', '']","['670', '']","['779', '']","['1,207', '']","['1,499', '']","['1,200', '']","['53', '']","['80', '']","['166', '']"
5457,r048,"United States -> California -> Public -> California State U., Los Angeles",United States,California,Public,"California State U., Los Angeles",4,"['1,564', '']","['1,281', '']","['0', '']","['58', '']","['225', '']","['1,357', '']","['1,281', '']","['0', '']","['58', '']","['18', '']"
5457,r049,"United States -> California -> Public -> California State U., Maritime Academy",United States,California,Public,"California State U., Maritime Academy",4,"['295', '']","['86', '']","['0', '']","['0', '']","['209', '']","['72', '']","['34', '']","['0', '']","['0', '']","['38', '']"
5457,r050,"United States -> California -> Public -> California State U., Monterey Bay",United States,California,Public,"California State U., Monterey Bay",4,"['2,540', '']","['518', '']","['7', '']","['1,646', '']","['369', '']","['2,278', '']","['365', '']","['0', '']","['1,642', '']","['271', '']"
5457,r051,"United States -> California -> Public -> California State U., Northridge",United States,California,Public,"California State U., Northridge",4,"['2,219', '']","['1,459', '']","['2', '']","['735', '']","['23', '']","['1,386', '']","['1,057', '']","['2', '']","['304', '']","['23', '']"
5457,r052,"United States -> California -> Public -> California State U., Sacramento",United States,California,Public,"California State U., Sacramento",4,"['1,392', 'i']","['479', '']","['87', 'i']","['129', 'i']","['697', 'i']","['879', '']","['246', '']","['0', '']","['5', '']","['628', '']"
5457,r053,"United States -> California -> Public -> California State U., San Bernardino",United States,California,Public,"California State U., San Bernardino",4,"['289', '']","['125', '']","['0', '']","['0', '']","['164', '']","['289', '']","['125', '']","['0', '']","['0', '']","['164', '']"
5457,r054,"United States -> California -> Public -> California State U., San Marcos",United States,California,Public,"California State U., San Marcos",4,"['672', '']","['312', '']","['0', '']","['247', '']","['113', '']","['297', '']","['212', '']","['0', '']","['85', '']","['0', '']"
5457,r055,"United States -> California -> Public -> California State U., Stanislaus",United States,California,Public,"California State U., Stanislaus",4,"['440', '']","['375', '']","['0', '']","['4', '']","['61', '']","['384', '']","['374', '']","['0', '']","['0', '']","['10', '']"
5457,r056,United States -> California -> Public -> Humboldt State U.,United States,California,Public,Humboldt State U.,4,"['2,551', '']","['1,156', '']","['17', '']","['525', '']","['853', '']","['1,263', '']","['358', '']","['0', '']","['308', '']","['597', '']"
5457,r057,United States -> California -> Public -> Naval Postgraduate School,United States,California,Public,Naval Postgraduate School,4,"['974', '']","['381', '']","['485', '']","['108', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5457,r058,United States -> California -> Public -> San Diego State U.,United States,California,Public,San Diego State U.,4,"['9,687', '']","['6,882', '']","['717', '']","['1,812', '']","['276', '']","['8,496', '']","['5,752', '']","['696', '']","['1,812', '']","['236', '']"
5457,r059,United States -> California -> Public -> San Francisco State U.,United States,California,Public,San Francisco State U.,4,"['2,304', 'i']","['1,961', 'i']","['42', 'i']","['127', 'i']","['174', 'i']","['1,816', 'i']","['1,664', 'i']","['42', 'i']","['90', 'i']","['20', 'i']"
5457,r060,United States -> California -> Public -> San Jose State U.,United States,California,Public,San Jose State U.,4,"['4,854', '']","['3,906', '']","['320', '']","['343', '']","['285', '']","['4,540', '']","['3,711', '']","['320', '']","['224', '']","['285', '']"
5457,r061,United States -> California -> Public -> Sonoma State U.,United States,California,Public,Sonoma State U.,4,"['199', '']","['168', '']","['0', '']","['7', '']","['24', '']","['127', '']","['96', '']","['0', '']","['7', '']","['24', '']"
5457,r062,"United States -> California -> Public -> U. California, Berkeley",United States,California,Public,"U. California, Berkeley",4,"['56,715', '']","['40,940', '']","['4,531', '']","['7,094', '']","['4,150', '']","['43,498', '']","['31,207', '']","['3,396', '']","['5,000', '']","['3,895', '']"
5457,r063,"United States -> California -> Public -> U. California, Davis",United States,California,Public,"U. California, Davis",4,"['46,687', '']","['26,137', '']","['5,396', '']","['8,660', '']","['6,494', '']","['36,662', '']","['23,082', '']","['2,794', '']","['6,139', '']","['4,647', '']"
5457,r064,"United States -> California -> Public -> U. California, Irvine",United States,California,Public,"U. California, Irvine",4,"['35,654', '']","['21,436', '']","['8,286', '']","['5,795', '']","['137', '']","['27,832', '']","['18,502', '']","['4,439', '']","['4,796', '']","['95', '']"
5457,r065,"United States -> California -> Public -> U. California, Los Angeles",United States,California,Public,"U. California, Los Angeles",4,"['72,218', '']","['43,527', '']","['10,092', '']","['18,030', '']","['569', '']","['61,143', '']","['37,684', '']","['8,550', '']","['14,907', '']","['2', '']"
5457,r066,"United States -> California -> Public -> U. California, Merced",United States,California,Public,"U. California, Merced",4,"['1,079', '']","['789', '']","['44', '']","['0', '']","['246', '']","['755', '']","['686', '']","['0', '']","['0', '']","['69', '']"
5457,r067,"United States -> California -> Public -> U. California, Office of the President",United States,California,Public,"U. California, Office of the President",4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5457,r068,"United States -> California -> Public -> U. California, Riverside",United States,California,Public,"U. California, Riverside",4,"['9,523', '']","['6,740', '']","['1,128', '']","['1,090', '']","['565', '']","['8,150', '']","['5,992', '']","['796', '']","['920', '']","['442', '']"
5457,r069,"United States -> California -> Public -> U. California, San Diego",United States,California,Public,"U. California, San Diego",4,"['49,900', '']","['28,518', '']","['3,694', '']","['17,238', '']","['450', '']","['42,843', '']","['24,534', '']","['2,555', '']","['15,479', '']","['275', '']"
5457,r070,"United States -> California -> Public -> U. California, San Francisco",United States,California,Public,"U. California, San Francisco",4,"['97,710', '']","['43,108', '']","['5,573', '']","['47,878', '']","['1,151', '']","['87,067', '']","['39,195', '']","['4,569', '']","['43,091', '']","['212', '']"
5457,r071,"United States -> California -> Public -> U. California, Santa Barbara",United States,California,Public,"U. California, Santa Barbara",4,"['24,312', '']","['13,609', '']","['3,551', '']","['6,905', '']","['247', '']","['21,272', '']","['11,517', '']","['3,260', '']","['6,270', '']","['225', '']"
5457,r072,"United States -> California -> Public -> U. California, Santa Cruz",United States,California,Public,"U. California, Santa Cruz",4,"['7,454', '']","['5,365', '']","['462', '']","['1,603', '']","['24', '']","['6,353', '']","['4,794', '']","['462', '']","['1,073', '']","['24', '']"
5457,r073,United States -> California -> Private,United States,California,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5457,r074,United States -> California -> Private -> Azusa Pacific U.,United States,California,Private,Azusa Pacific U.,4,"['150', '']","['128', '']","['0', '']","['0', '']","['22', '']","['128', '']","['128', '']","['0', '']","['0', '']","['0', '']"
5457,r075,United States -> California -> Private -> Biola U.,United States,California,Private,Biola U.,4,"['98', 'i']","['55', 'i']","['13', 'i']","['23', 'i']","['7', 'i']","['84', 'i']","['51', 'i']","['10', 'i']","['18', 'i']","['5', 'i']"
5457,r076,United States -> California -> Private -> California Institute of Technology,United States,California,Private,California Institute of Technology,4,"['42,926', '']","['30,557', '']","['2,944', '']","['9,410', '']","['15', '']","['39,144', '']","['27,413', '']","['2,748', '']","['8,968', '']","['15', '']"
5457,r077,United States -> California -> Private -> California Lutheran U.,United States,California,Private,California Lutheran U.,4,"['144', '']","['144', '']","['0', '']","['0', '']","['0', '']","['144', '']","['144', '']","['0', '']","['0', '']","['0', '']"
5457,r078,United States -> California -> Private -> Chapman U.,United States,California,Private,Chapman U.,4,"['1,767', 'i']","['1,130', 'i']","['417', 'i']","['220', 'i']","['0', 'i']","['1,596', '']","['1,054', '']","['417', '']","['125', '']","['0', '']"
5457,r079,United States -> California -> Private -> Charles R. Drew U. of Medicine and Science,United States,California,Private,Charles R. Drew U. of Medicine and Science,4,"['1,058', '']","['0', '']","['0', '']","['0', '']","['1,058', '']","['1,058', '']","['0', '']","['0', '']","['0', '']","['1,058', '']"
5457,r080,United States -> California -> Private -> Claremont Graduate U.,United States,California,Private,Claremont Graduate U.,4,"['217', '']","['116', '']","['70', '']","['31', '']","['0', '']","['148', '']","['78', '']","['70', '']","['0', '']","['0', '']"
5457,r081,United States -> California -> Private -> Claremont McKenna C.,United States,California,Private,Claremont McKenna C.,4,"['54', '']","['54', '']","['0', '']","['0', '']","['0', '']","['54', '']","['54', '']","['0', '']","['0', '']","['0', '']"
5457,r082,United States -> California -> Private -> Harvey Mudd C.,United States,California,Private,Harvey Mudd C.,4,"['276', '']","['165', '']","['0', '']","['111', '']","['0', '']","['276', '']","['165', '']","['0', '']","['111', '']","['0', '']"
5457,r083,United States -> California -> Private -> High Tech High Graduate School of Ed.,United States,California,Private,High Tech High Graduate School of Ed.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5457,r084,United States -> California -> Private -> Keck Graduate Institute,United States,California,Private,Keck Graduate Institute,4,"['132', 'i']","['19', 'i']","['113', 'i']","['0', 'i']","['0', 'i']","['113', 'i']","['0', 'i']","['113', 'i']","['0', 'i']","['0', 'i']"
5457,r085,United States -> California -> Private -> La Sierra U.,United States,California,Private,La Sierra U.,4,"['4', '']","['4', '']","['0', '']","['0', '']","['0', '']","['4', '']","['4', '']","['0', '']","['0', '']","['0', '']"
5457,r086,United States -> California -> Private -> Loma Linda U.,United States,California,Private,Loma Linda U.,4,"['2,655', 'i']","['903', 'i']","['1,300', 'i']","['45', 'i']","['407', 'i']","['2,505', 'i']","['842', 'i']","['1,219', 'i']","['45', 'i']","['399', 'i']"
5457,r087,United States -> California -> Private -> Loyola Marymount U.,United States,California,Private,Loyola Marymount U.,4,"['243', '']","['238', '']","['0', '']","['5', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5457,r088,United States -> California -> Private -> Marshall B. Ketchum U.,United States,California,Private,Marshall B. Ketchum U.,4,"['34', 'i']","['34', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['34', 'i']","['34', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
5457,r089,United States -> California -> Private -> Mills C.,United States,California,Private,Mills C.,4,"['90', '']","['0', '']","['0', '']","['90', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5457,r090,United States -> California -> Private -> Occidental C.,United States,California,Private,Occidental C.,4,"['86', '']","['10', '']","['0', '']","['0', '']","['76', '']","['80', '']","['4', '']","['0', '']","['0', '']","['76', '']"
5457,r091,United States -> California -> Private -> Pepperdine U.,United States,California,Private,Pepperdine U.,4,"['194', '']","['136', '']","['0', '']","['58', '']","['0', '']","['73', '']","['66', '']","['0', '']","['7', '']","['0', '']"
5457,r092,United States -> California -> Private -> Pomona C.,United States,California,Private,Pomona C.,4,"['219', '']","['219', '']","['0', '']","['0', '']","['0', '']","['219', '']","['219', '']","['0', '']","['0', '']","['0', '']"
5457,r093,United States -> California -> Private -> Santa Clara U.,United States,California,Private,Santa Clara U.,4,"['295', '']","['184', '']","['77', '']","['6', '']","['28', '']","['295', '']","['184', '']","['77', '']","['6', '']","['28', '']"
5457,r094,United States -> California -> Private -> Scripps Research Institute,United States,California,Private,Scripps Research Institute,4,"['25,017', '']","['17,074', '']","['723', '']","['6,927', '']","['293', '']","['22,542', '']","['15,969', '']","['723', '']","['5,557', '']","['293', '']"
5457,r095,United States -> California -> Private -> Stanford U.,United States,California,Private,Stanford U.,4,"['126,692', '']","['82,197', '']","['15,747', '']","['25,392', '']","['3,356', '']","['98,100', '']","['67,746', '']","['9,051', '']","['20,506', '']","['797', '']"
5457,r096,United States -> California -> Private -> Touro U.,United States,California,Private,Touro U.,4,"['377', '']","['377', '']","['0', '']","['0', '']","['0', '']","['377', '']","['377', '']","['0', '']","['0', '']","['0', '']"
5457,r097,United States -> California -> Private -> U. of the Pacific,United States,California,Private,U. of the Pacific,4,"['197', '']","['197', '']","['0', '']","['0', '']","['0', '']","['197', '']","['197', '']","['0', '']","['0', '']","['0', '']"
5457,r098,United States -> California -> Private -> U. San Diego,United States,California,Private,U. San Diego,4,"['226', '']","['91', '']","['36', '']","['99', '']","['0', '']","['213', '']","['88', '']","['26', '']","['99', '']","['0', '']"
5457,r099,United States -> California -> Private -> U. San Francisco,United States,California,Private,U. San Francisco,4,"['25', '']","['16', '']","['0', '']","['9', '']","['0', '']","['16', '']","['16', '']","['0', '']","['0', '']","['0', '']"
5457,r100,United States -> California -> Private -> U. Southern California,United States,California,Private,U. Southern California,4,"['81,804', '']","['52,166', '']","['10,089', '']","['17,544', '']","['2,005', '']","['74,639', '']","['47,313', '']","['9,785', '']","['15,899', '']","['1,642', '']"
5457,r101,United States -> California -> Private -> Western U. of Health Sciences,United States,California,Private,Western U. of Health Sciences,4,"['354', '']","['330', '']","['24', '']","['0', '']","['0', '']","['330', '']","['330', '']","['0', '']","['0', '']","['0', '']"
5457,r102,United States -> Colorado,United States,Colorado,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5457,r103,United States -> Colorado -> Public,United States,Colorado,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5457,r104,United States -> Colorado -> Public -> Colorado School of Mines,United States,Colorado,Public,Colorado School of Mines,4,"['10,806', '']","['5,870', '']","['3,518', '']","['837', '']","['581', '']","['9,722', '']","['5,870', '']","['3,206', '']","['374', '']","['272', '']"
5457,r105,"United States -> Colorado -> Public -> Colorado State U., Fort Collins",United States,Colorado,Public,"Colorado State U., Fort Collins",4,"['34,318', '']","['19,409', '']","['5,281', '']","['4,730', '']","['4,898', '']","['33,980', '']","['19,382', '']","['5,005', '']","['4,705', '']","['4,888', '']"
5457,r106,"United States -> Colorado -> Public -> Colorado State U., Pueblo",United States,Colorado,Public,"Colorado State U., Pueblo",4,"['74', '']","['74', '']","['0', '']","['0', '']","['0', '']","['74', '']","['74', '']","['0', '']","['0', '']","['0', '']"
5457,r107,United States -> Colorado -> Public -> Fort Lewis C.,United States,Colorado,Public,Fort Lewis C.,4,"['65', '']","['65', '']","['0', '']","['0', '']","['0', '']","['65', '']","['65', '']","['0', '']","['0', '']","['0', '']"
5457,r108,United States -> Colorado -> Public -> U. Colorado Boulder,United States,Colorado,Public,U. Colorado Boulder,4,"['66,097', 'i']","['31,612', 'i']","['12,050', 'i']","['6,835', 'i']","['15,600', 'i']","['64,145', '']","['31,086', '']","['11,486', '']","['6,439', '']","['15,134', '']"
5457,r109,United States -> Colorado -> Public -> U. Colorado Colorado Springs,United States,Colorado,Public,U. Colorado Colorado Springs,4,"['1,316', '']","['669', '']","['627', '']","['20', '']","['0', '']","['1,316', '']","['669', '']","['627', '']","['20', '']","['0', '']"
5457,r110,United States -> Colorado -> Public -> U. Colorado Denver and Anschutz Medical Campus,United States,Colorado,Public,U. Colorado Denver and Anschutz Medical Campus,4,"['62,206', 'i']","['33,336', 'i']","['8,862', 'i']","['10,598', 'i']","['9,410', 'i']","['59,363', '']","['32,362', '']","['8,393', '']","['10,113', '']","['8,495', '']"
5457,r111,United States -> Colorado -> Public -> U. Northern Colorado,United States,Colorado,Public,U. Northern Colorado,4,"['483', '']","['340', '']","['143', '']","['0', '']","['0', '']","['483', '']","['340', '']","['143', '']","['0', '']","['0', '']"
5457,r112,United States -> Colorado -> Public -> U.S. Air Force Academy,United States,Colorado,Public,U.S. Air Force Academy,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5457,r113,United States -> Colorado -> Private,United States,Colorado,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5457,r114,United States -> Colorado -> Private -> Colorado C.,United States,Colorado,Private,Colorado C.,4,"['24', '']","['24', '']","['0', '']","['0', '']","['0', '']","['24', '']","['24', '']","['0', '']","['0', '']","['0', '']"
5457,r115,United States -> Colorado -> Private -> U. Denver,United States,Colorado,Private,U. Denver,4,"['5,562', '']","['3,251', '']","['867', '']","['1,407', '']","['37', '']","['5,294', '']","['3,044', '']","['845', '']","['1,368', '']","['37', '']"
