table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_nsf_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
12712,r019,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,18,"['81,018', '']","['5,595', '']","['9,590', '']","['17,666', '']","['4,003', '']","['9,537', '']","['1,090', '']","['3,230', '']","['37', '']","['28,848', '']","['1,422', '']"
12712,r020,All institutions -> Stanford U.,All institutions,Stanford U.,2,19,"['79,757', '']","['7,584', '']","['5,578', '']","['7,667', '']","['3,015', '']","['15,749', '']","['1,001', '']","['2,325', '']","['0', '']","['15,270', '']","['21,568', '']"
12712,r021,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,20,"['79,048', '']","['10,600', '']","['3,044', '']","['4,013', '']","['4,194', '']","['5,193', '']","['279', '']","['1,663', '']","['0', '']","['46,475', '']","['3,587', '']"
12712,r022,All institutions -> U. Chicago,All institutions,U. Chicago,2,21,"['75,499', '']","['17,097', '']","['6,136', '']","['4,268', '']","['3,271', '']","['26,849', '']","['2,473', '']","['1,709', '']","['0', '']","['12,159', '']","['1,537', '']"
12712,r023,All institutions -> Florida State U.,All institutions,Florida State U.,2,22,"['75,363', '']","['2,444', '']","['3,972', '']","['4,151', '']","['1,332', '']","['43,486', '']","['398', '']","['735', '']","['3', '']","['16,628', '']","['2,214', '']"
12712,r024,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,23,"['74,397', '']","['6,346', '']","['8,023', '']","['5,147', '']","['5,262', '']","['12,609', '']","['1,597', '']","['2,179', '']","['10,761', '']","['14,879', '']","['7,594', '']"
12712,r025,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,24,"['73,377', '']","['39,202', '']","['108', '']","['696', '']","['3,395', '']","['5,517', '']","['1,559', '']","['836', '']","['3,930', '']","['17,594', '']","['540', '']"
12712,r026,All institutions -> Princeton U.,All institutions,Princeton U.,2,25,"['70,709', '']","['12,425', '']","['8,464', '']","['5,131', '']","['4,684', '']","['18,027', '']","['555', '']","['1,566', '']","['0', '']","['19,576', '']","['281', '']"
12712,r027,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,26,"['68,295', '']","['11,879', '']","['3,479', '']","['11,609', '']","['2,378', '']","['12,559', '']","['1,097', '']","['3,580', '']","['3,452', '']","['16,741', '']","['1,521', '']"
12712,r028,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,27,"['68,243', '']","['1,553', '']","['32,584', '']","['11,399', '']","['678', '']","['4,916', '']","['155', '']","['991', '']","['2,167', '']","['10,086', '']","['3,714', '']"
12712,r029,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,28,"['66,780', '']","['14,825', '']","['5,458', '']","['6,418', '']","['2,692', '']","['15,123', '']","['13', '']","['2,196', '']","['242', '']","['16,469', '']","['3,344', '']"
12712,r030,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,29,"['66,411', '']","['11,149', '']","['3,170', '']","['8,301', '']","['5,559', '']","['4,241', '']","['629', '']","['203', '']","['655', '']","['29,869', '']","['2,635', '']"
12712,r031,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,30,"['61,082', '']","['3,112', '']","['1,712', '']","['18,063', '']","['5,736', '']","['16,395', '']","['822', '']","['1,984', '']","['717', '']","['7,250', '']","['5,291', '']"
12712,r032,All institutions -> U. Florida,All institutions,U. Florida,2,31,"['60,602', '']","['6,142', '']","['8,434', '']","['9,905', '']","['1,276', '']","['8,922', '']","['128', '']","['1,609', '']","['0', '']","['18,703', '']","['5,483', '']"
12712,r033,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,32,"['59,837', '']","['5,428', '']","['345', '']","['5,468', '']","['2,138', '']","['19,059', '']","['1,362', '']","['2,100', '']","['144', '']","['14,982', '']","['8,811', '']"
12712,r034,All institutions -> U. Southern California,All institutions,U. Southern California,2,33,"['58,556', '']","['15,662', '']","['8,645', '']","['5,319', '']","['1,481', '']","['4,269', '']","['383', '']","['994', '']","['0', '']","['16,559', '']","['5,244', '']"
12712,r035,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,34,"['58,394', '']","['6,373', '']","['2,641', '']","['12,360', '']","['1,744', '']","['5,681', '']","['221', '']","['1,373', '']","['0', '']","['27,022', '']","['979', '']"
12712,r036,All institutions -> Northeastern U.,All institutions,Northeastern U.,2,35,"['57,624', '']","['8,897', '']","['2,172', '']","['2,535', '']","['853', '']","['6,003', '']","['895', '']","['3,465', '']","['0', '']","['30,615', '']","['2,189', '']"
12712,r037,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,36,"['57,467', '']","['6,819', '']","['8,882', '']","['3,058', '']","['849', '']","['17,860', '']","['693', '']","['1,338', '']","['826', '']","['16,539', '']","['603', '']"
12712,r038,All institutions -> U. Arizona,All institutions,U. Arizona,2,37,"['57,350', '']","['2,883', '']","['8,642', '']","['12,534', '']","['2,087', '']","['13,113', '']","['78', '']","['2,965', '']","['1,776', '']","['11,629', '']","['1,643', '']"
12712,r039,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,38,"['56,367', '']","['4,665', '']","['618', '']","['3,385', '']","['1,310', '']","['15,630', '']","['439', '']","['2,530', '']","['9,723', '']","['17,520', '']","['547', '']"
12712,r040,All institutions -> Harvard U.,All institutions,Harvard U.,2,39,"['54,965', '']","['4,798', '']","['4,099', '']","['10,996', '']","['2,122', '']","['14,798', '']","['694', '']","['2,665', '']","['254', '']","['12,073', '']","['2,466', '']"
12712,r041,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,40,"['53,841', '']","['7,386', '']","['2,871', '']","['7,583', '']","['3,429', '']","['10,318', '']","['1,406', '']","['1,582', '']","['0', '']","['15,368', '']","['3,898', '']"
12712,r042,All institutions -> U. Utah,All institutions,U. Utah,2,41,"['51,343', '']","['0', '']","['4,059', '']","['5,082', '']","['2,511', '']","['10,375', '']","['259', '']","['640', '']","['0', '']","['25,395', '']","['3,022', '']"
12712,r043,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,42,"['50,384', '']","['23,205', '']","['1,485', '']","['6,539', '']","['1,241', '']","['7,240', '']","['1,454', '']","['2,113', '']","['1,010', '']","['2,394', '']","['3,703', '']"
12712,r044,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,43,"['48,106', '']","['14,525', '']","['3,544', '']","['5,923', '']","['2,082', '']","['9,772', '']","['655', '']","['3,253', '']","['0', '']","['2,841', '']","['5,511', '']"
12712,r045,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,44,"['47,501', '']","['4,831', '']","['6,380', '']","['11,828', '']","['4,371', '']","['5,438', '']","['390', '']","['267', '']","['0', '']","['10,288', '']","['3,708', '']"
12712,r046,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,45,"['46,849', '']","['3,575', '']","['3,793', '']","['19,026', '']","['3,180', '']","['4,624', '']","['417', '']","['1,065', '']","['24', '']","['9,364', '']","['1,781', '']"
12712,r047,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,46,"['46,220', '']","['0', '']","['26,930', '']","['9,110', '']","['336', '']","['2,944', '']","['0', '']","['938', '']","['3,792', '']","['1,471', '']","['699', '']"
12712,r048,All institutions -> Duke U.,All institutions,Duke U.,2,47,"['45,599', '']","['8,788', '']","['1,293', '']","['7,792', '']","['2,903', '']","['7,565', '']","['247', '']","['1,696', '']","['9', '']","['14,538', '']","['768', '']"
12712,r049,"All institutions -> SUNY, Stony Brook U.",All institutions,"SUNY, Stony Brook U.",2,48,"['44,682', '']","['6,577', '']","['4,287', '']","['2,903', '']","['2,243', '']","['17,965', '']","['527', '']","['661', '']","['2,242', '']","['7,113', '']","['164', '']"
12712,r050,All institutions -> New York U.,All institutions,New York U.,2,49,"['43,877', '']","['4,175', '']","['56', '']","['4,795', '']","['6,575', '']","['6,226', '']","['1,907', '']","['2,954', '']","['0', '']","['13,154', '']","['4,035', '']"
12712,r051,All institutions -> U. Delaware,All institutions,U. Delaware,2,50,"['42,731', '']","['1,496', '']","['7,649', '']","['2,574', '']","['1,286', '']","['10,717', '']","['418', '']","['2,730', '']","['1,917', '']","['10,997', '']","['2,947', '']"
12712,r052,All institutions -> U. Notre Dame,All institutions,U. Notre Dame,2,51,"['41,477', '']","['4,759', '']","['0', '']","['1,707', '']","['3,058', '']","['15,718', '']","['786', '']","['881', '']","['601', '']","['13,457', '']","['510', '']"
12712,r053,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,52,"['41,133', '']","['7,386', '']","['3,482', '']","['2,263', '']","['1,246', '']","['5,877', '']","['432', '']","['397', '']","['0', '']","['13,559', '']","['6,491', '']"
12712,r054,All institutions -> Johns Hopkins U.<sup>b</sup>,All institutions,Johns Hopkins U.<sup>b</sup>,2,53,"['40,834', '']","['3,394', '']","['2,529', '']","['4,703', '']","['1,641', '']","['12,705', '']","['1,044', '']","['210', '']","['5', '']","['14,477', '']","['126', '']"
12712,r055,All institutions -> Rice U.,All institutions,Rice U.,2,54,"['40,654', '']","['4,159', '']","['1,632', '']","['4,206', '']","['1,984', '']","['8,521', '']","['638', '']","['833', '']","['492', '']","['17,061', '']","['1,128', '']"
12712,r056,All institutions -> Yale U.,All institutions,Yale U.,2,55,"['39,036', '']","['5,182', '']","['1,814', '']","['8,526', '']","['1,613', '']","['7,391', '']","['512', '']","['1,638', '']","['0', '']","['7,490', '']","['4,870', '']"
12712,r057,"All institutions -> U. Massachusetts, Amherst",All institutions,"U. Massachusetts, Amherst",2,56,"['38,784', '']","['8,507', '']","['1,685', '']","['4,631', '']","['1,549', '']","['6,671', '']","['985', '']","['1,756', '']","['0', '']","['11,291', '']","['1,709', '']"
12712,r058,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,57,"['38,493', '']","['2,298', '']","['896', '']","['8,140', '']","['1,638', '']","['6,940', '']","['338', '']","['933', '']","['3,217', '']","['11,660', '']","['2,433', '']"
12712,r059,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,58,"['38,423', '']","['4,143', '']","['21,447', '']","['2,985', '']","['483', '']","['5,434', '']","['5', '']","['273', '']","['581', '']","['2,658', '']","['414', '']"
12712,r060,"All institutions -> U. Nebraska, Lincoln and Medical Center<sup>c</sup>",All institutions,"U. Nebraska, Lincoln and Medical Center<sup>c</sup>",2,59,"['38,292', '']","['3,619', '']","['1,375', '']","['9,606', '']","['1,007', '']","['15,574', '']","['279', '']","['519', '']","['7', '']","['3,753', '']","['2,553', '']"
12712,r061,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,60,"['37,561', '']","['1,463', '']","['8,537', '']","['10,086', '']","['1,432', '']","['4,947', '']","['472', '']","['437', '']","['378', '']","['7,834', '']","['1,975', '']"
12712,r062,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,61,"['35,809', '']","['2,250', '']","['1,372', '']","['7,367', '']","['732', '']","['2,800', '']","['240', '']","['461', '']","['0', '']","['18,209', '']","['2,378', '']"
12712,r063,All institutions -> Brown U.,All institutions,Brown U.,2,62,"['34,145', '']","['3,929', '']","['3,325', '']","['6,238', '']","['7,044', '']","['5,608', '']","['16', '']","['1,026', '']","['1,991', '']","['4,659', '']","['309', '']"
12712,r064,All institutions -> Boston U.,All institutions,Boston U.,2,63,"['33,870', '']","['3,724', '']","['1,852', '']","['2,877', '']","['742', '']","['5,438', '']","['991', '']","['756', '']","['1,301', '']","['13,547', '']","['2,642', '']"
12712,r065,All institutions -> U. New Mexico,All institutions,U. New Mexico,2,64,"['33,744', '']","['1,937', '']","['4,593', '']","['5,473', '']","['211', '']","['3,658', '']","['52', '']","['1,533', '']","['116', '']","['14,143', '']","['2,028', '']"
12712,r066,"All institutions -> SUNY, U. Buffalo",All institutions,"SUNY, U. Buffalo",2,65,"['33,542', '']","['8,920', '']","['2,377', '']","['2,745', '']","['508', '']","['4,757', '']","['214', '']","['203', '']","['0', '']","['12,679', '']","['1,139', '']"
12712,r067,All institutions -> U. Georgia,All institutions,U. Georgia,2,66,"['32,580', '']","['769', '']","['4,882', '']","['15,594', '']","['1,104', '']","['1,479', '']","['1,512', '']","['1,423', '']","['52', '']","['3,284', '']","['2,481', '']"
12712,r068,All institutions -> Florida International U.,All institutions,Florida International U.,2,67,"['31,761', '']","['10,157', '']","['5,565', '']","['3,336', '']","['575', '']","['2,429', '']","['330', '']","['609', '']","['651', '']","['8,052', '']","['57', '']"
12712,r069,All institutions -> U. Connecticut,All institutions,U. Connecticut,2,68,"['31,244', '']","['2,129', '']","['3,040', '']","['9,653', '']","['1,548', '']","['3,833', '']","['2,260', '']","['237', '']","['58', '']","['7,317', '']","['1,169', '']"
12712,r070,"All institutions -> U. California, Riverside",All institutions,"U. California, Riverside",2,69,"['29,853', '']","['4,020', '']","['1,373', '']","['7,451', '']","['1,022', '']","['5,643', '']","['947', '']","['396', '']","['48', '']","['8,514', '']","['439', '']"
12712,r071,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,70,"['29,839', '']","['6,332', '']","['1,003', '']","['2,784', '']","['582', '']","['2,812', '']","['945', '']","['533', '']","['0', '']","['7,033', '']","['7,815', '']"
12712,r072,All institutions -> U. Kansas,All institutions,U. Kansas,2,71,"['28,554', '']","['3,195', '']","['2,577', '']","['9,216', '']","['365', '']","['5,863', '']","['475', '']","['701', '']","['0', '']","['5,525', '']","['637', '']"
12712,r073,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,72,"['27,352', '']","['4,236', '']","['29', '']","['3,015', '']","['3,022', '']","['8,113', '']","['216', '']","['68', '']","['376', '']","['6,212', '']","['2,065', '']"
12712,r074,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,73,"['26,673', '']","['3,409', '']","['0', '']","['1,011', '']","['741', '']","['3,730', '']","['9', '']","['390', '']","['392', '']","['15,710', '']","['1,281', '']"
12712,r075,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,74,"['23,986', '']","['4,266', '']","['5,909', '']","['3,720', '']","['546', '']","['2,429', '']","['567', '']","['1,957', '']","['0', '']","['4,210', '']","['382', '']"
12712,r076,All institutions -> Clemson U.,All institutions,Clemson U.,2,75,"['23,552', '']","['2,345', '']","['0', '']","['1,361', '']","['1,008', '']","['2,162', '']","['215', '']","['1,030', '']","['0', '']","['13,662', '']","['1,769', '']"
12712,r077,"All institutions -> U. Tennessee, Knoxville",All institutions,"U. Tennessee, Knoxville",2,76,"['23,328', '']","['1,522', '']","['728', '']","['5,446', '']","['736', '']","['3,861', '']","['493', '']","['230', '']","['910', '']","['8,170', '']","['1,232', '']"
12712,r078,All institutions -> Dartmouth C. and Dartmouth Hitchcock Medical Center,All institutions,Dartmouth C. and Dartmouth Hitchcock Medical Center,2,77,"['23,150', '']","['3,259', '']","['1,662', '']","['1,872', '']","['941', '']","['2,886', '']","['1,857', '']","['1,246', '']","['750', '']","['8,676', '']","['1', '']"
12712,r079,All institutions -> U. Wyoming,All institutions,U. Wyoming,2,78,"['22,534', '']","['629', '']","['8,094', '']","['9,604', '']","['520', '']","['1,737', '']","['63', '']","['874', '']","['0', '']","['1,013', '']","['0', '']"
12712,r080,"All institutions -> U. Arkansas, Fayetteville",All institutions,"U. Arkansas, Fayetteville",2,79,"['22,471', '']","['2,356', '']","['942', '']","['4,209', '']","['80', '']","['5,302', '']","['314', '']","['571', '']","['497', '']","['7,471', '']","['729', '']"
12712,r081,"All institutions -> Montana State U., Bozeman",All institutions,"Montana State U., Bozeman",2,80,"['22,324', '']","['751', '']","['1,197', '']","['3,286', '']","['845', '']","['10,765', '']","['0', '']","['14', '']","['974', '']","['4,186', '']","['306', '']"
12712,r082,All institutions -> U. Houston,All institutions,U. Houston,2,81,"['22,004', '']","['1,400', '']","['1,728', '']","['1,334', '']","['3,075', '']","['3,235', '']","['679', '']","['1,007', '']","['695', '']","['7,620', '']","['1,231', '']"
12712,r083,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,82,"['21,715', '']","['3,482', '']","['1,521', '']","['4,351', '']","['1,063', '']","['3,525', '']","['211', '']","['1,629', '']","['113', '']","['5,449', '']","['371', '']"
12712,r084,All institutions -> U. Rochester,All institutions,U. Rochester,2,83,"['21,335', '']","['1,859', '']","['1,892', '']","['2,247', '']","['292', '']","['5,871', '']","['372', '']","['428', '']","['463', '']","['6,030', '']","['1,881', '']"
12712,r085,"All institutions -> U. California, Santa Cruz",All institutions,"U. California, Santa Cruz",2,84,"['21,029', '']","['2,925', '']","['6,813', '']","['1,943', '']","['203', '']","['3,559', '']","['207', '']","['427', '']","['0', '']","['4,534', '']","['418', '']"
12712,r086,All institutions -> U. Oregon,All institutions,U. Oregon,2,85,"['20,542', '']","['1,234', '']","['2,298', '']","['2,492', '']","['1,420', '']","['6,771', '']","['443', '']","['894', '']","['0', '']","['657', '']","['4,333', '']"
12712,r087,All institutions -> U. New Hampshire,All institutions,U. New Hampshire,2,86,"['20,540', '']","['554', '']","['6,491', '']","['4,104', '']","['581', '']","['1,218', '']","['170', '']","['557', '']","['0', '']","['6,037', '']","['828', '']"
12712,r088,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,87,"['20,442', '']","['1,929', '']","['400', '']","['4,662', '']","['829', '']","['3,125', '']","['46', '']","['283', '']","['315', '']","['8,440', '']","['413', '']"
12712,r089,"All institutions -> U. Nevada, Reno",All institutions,"U. Nevada, Reno",2,88,"['20,342', '']","['3,324', '']","['1,919', '']","['5,481', '']","['109', '']","['2,888', '']","['238', '']","['259', '']","['0', '']","['6,041', '']","['83', '']"
12712,r090,"All institutions -> Louisiana State U., Baton Rouge",All institutions,"Louisiana State U., Baton Rouge",2,89,"['20,103', '']","['1,594', '']","['2,493', '']","['3,200', '']","['1,309', '']","['5,153', '']","['91', '']","['566', '']","['32', '']","['5,201', '']","['464', '']"
12712,r091,"All institutions -> U. Texas, El Paso",All institutions,"U. Texas, El Paso",2,90,"['19,551', '']","['4,907', '']","['2,308', '']","['3,284', '']","['340', '']","['1,621', '']","['400', '']","['642', '']","['0', '']","['5,005', '']","['1,044', '']"
12712,r092,All institutions -> Colorado School of Mines,All institutions,Colorado School of Mines,2,91,"['19,536', '']","['1,297', '']","['3,297', '']","['402', '']","['483', '']","['7,040', '']","['18', '']","['447', '']","['109', '']","['6,139', '']","['304', '']"
12712,r093,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,92,"['18,383', '']","['39', '']","['744', '']","['6,256', '']","['626', '']","['965', '']","['541', '']","['134', '']","['1,731', '']","['5,273', '']","['2,074', '']"
12712,r094,"All institutions -> U. Alabama, Tuscaloosa",All institutions,"U. Alabama, Tuscaloosa",2,93,"['18,364', '']","['1,597', '']","['436', '']","['3,000', '']","['264', '']","['1,615', '']","['41', '']","['882', '']","['0', '']","['8,931', '']","['1,598', '']"
12712,r095,All institutions -> U. Idaho,All institutions,U. Idaho,2,94,"['17,921', '']","['2,841', '']","['719', '']","['11,265', '']","['18', '']","['202', '']","['0', '']","['447', '']","['0', '']","['1,460', '']","['969', '']"
12712,r096,All institutions -> Washington State U.,All institutions,Washington State U.,2,95,"['17,645', '']","['1,259', '']","['1,808', '']","['4,910', '']","['86', '']","['2,225', '']","['219', '']","['665', '']","['714', '']","['4,439', '']","['1,320', '']"
12712,r097,All institutions -> U. Maine,All institutions,U. Maine,2,96,"['17,637', '']","['686', '']","['4,490', '']","['4,315', '']","['52', '']","['1,080', '']","['0', '']","['18', '']","['4,063', '']","['2,784', '']","['149', '']"
12712,r098,"All institutions -> U. Texas, Dallas",All institutions,"U. Texas, Dallas",2,97,"['17,448', '']","['4,167', '']","['276', '']","['1,032', '']","['624', '']","['3,196', '']","['99', '']","['886', '']","['0', '']","['6,758', '']","['410', '']"
12712,r099,All institutions -> Drexel U.,All institutions,Drexel U.,2,98,"['16,875', '']","['2,876', '']","['0', '']","['1,280', '']","['445', '']","['929', '']","['111', '']","['665', '']","['43', '']","['8,242', '']","['2,284', '']"
12712,r100,All institutions -> U. South Florida,All institutions,U. South Florida,2,99,"['16,541', '']","['1,400', '']","['3,106', '']","['1,390', '']","['580', '']","['1,456', '']","['352', '']","['811', '']","['191', '']","['7,015', '']","['240', '']"
12712,r101,All institutions -> Utah State U.,All institutions,Utah State U.,2,100,"['16,532', '']","['1,711', '']","['918', '']","['3,552', '']","['251', '']","['1,021', '']","['284', '']","['0', '']","['0', '']","['7,745', '']","['1,050', '']"
12712,r102,"All institutions -> U. South Carolina, Columbia",All institutions,"U. South Carolina, Columbia",2,101,"['16,472', '']","['1,750', '']","['1,401', '']","['4,735', '']","['861', '']","['901', '']","['0', '']","['369', '']","['0', '']","['3,825', '']","['2,630', '']"
12712,r103,All institutions -> George Mason U.,All institutions,George Mason U.,2,102,"['16,347', '']","['4,217', '']","['1,576', '']","['1,251', '']","['898', '']","['1,614', '']","['359', '']","['704', '']","['88', '']","['4,261', '']","['1,379', '']"
12712,r104,All institutions -> George Washington U.,All institutions,George Washington U.,2,103,"['16,167', '']","['1,816', '']","['392', '']","['2,887', '']","['154', '']","['965', '']","['640', '']","['2,626', '']","['351', '']","['4,190', '']","['2,146', '']"
12712,r105,All institutions -> Kansas State U.,All institutions,Kansas State U.,2,104,"['15,892', '']","['965', '']","['0', '']","['4,802', '']","['479', '']","['1,828', '']","['170', '']","['465', '']","['3', '']","['5,237', '']","['1,943', '']"
12712,r106,"All institutions -> Auburn U., Auburn",All institutions,"Auburn U., Auburn",2,105,"['15,636', '']","['446', '']","['737', '']","['3,790', '']","['486', '']","['2,843', '']","['0', '']","['273', '']","['95', '']","['6,338', '']","['628', '']"
12712,r107,All institutions -> U. Rhode Island,All institutions,U. Rhode Island,2,106,"['15,519', '']","['881', '']","['8,498', '']","['1,626', '']","['0', '']","['932', '']","['0', '']","['15', '']","['751', '']","['2,185', '']","['631', '']"
