table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_companies_number_,field_human_machine_interfaces_number_yes,field_human_machine_interfaces_number_no,field_human_machine_interfaces_percent_yes,field_human_machine_interfaces_percent_no
11525,r023,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['3,737', '&nbsp;']","['94', '&nbsp;']","['3,643', '&nbsp;']","['2.5', '&nbsp;']","['97.5', '&nbsp;']"
11525,r024,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['1,230', '&nbsp;']","['35', 'r']","['1,195', '&nbsp;']","['2.9', 'r']","['97.1', '&nbsp;']"
11525,r025,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['3,925', '&nbsp;']","['77', '&nbsp;']","['3,848', '&nbsp;']","['2.0', '&nbsp;']","['98.0', '&nbsp;']"
11525,r026,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['7,325', '&nbsp;']","['98', '&nbsp;']","['7,227', '&nbsp;']","['1.3', '&nbsp;']","['98.7', '&nbsp;']"
11525,r027,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['4,494', '&nbsp;']","['44', '&nbsp;']","['4,450', '&nbsp;']","['1.0', '&nbsp;']","['99.0', '&nbsp;']"
11525,r028,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['1,044', '&nbsp;']","['18', '&nbsp;']","['1,026', '&nbsp;']","['1.7', '&nbsp;']","['98.3', '&nbsp;']"
11525,r029,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['1,787', '&nbsp;']","['33', 'r']","['1,754', '&nbsp;']","['1.8', 'r']","['98.2', '&nbsp;']"
11525,r030,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['12,060', '&nbsp;']","['9', '&nbsp;']","['12,051', '&nbsp;']","['0.1', '&nbsp;']","['99.9', '&nbsp;']"
11525,r031,All industries -> Manufacturing industries -> Miscellaneous ,All industries,Manufacturing industries,Miscellaneous ,,,3,339,"['20,536', '&nbsp;']","['219', '&nbsp;']","['20,317', '&nbsp;']","['1.1', 'r']","['98.9', '&nbsp;']"
11525,r032,All industries -> Manufacturing industries -> Miscellaneous  -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous ,Medical equipment and supplies ,,4,3391,"['7,602', '&nbsp;']","['135', '&nbsp;']","['7,467', '&nbsp;']","['1.8', 'r']","['98.2', '&nbsp;']"
11525,r033,All industries -> Manufacturing industries -> Miscellaneous  -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous ,Other miscellaneous manufacturing,,4,3399,"['12,933', '&nbsp;']","['82', 'r']","['12,851', '&nbsp;']","['0.6', 'r']","['99.4', '&nbsp;']"
11525,r034,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"11, 21–23, 42–81","['4,665,645', '&nbsp;']","['19,487', '&nbsp;']","['4,646,158', '&nbsp;']","['0.4', '&nbsp;']","['99.6', '&nbsp;']"
11525,r035,"All industries -> Nonmanufacturing industries -> Agriculture, forestry, fishing, and hunting",All industries,Nonmanufacturing industries,"Agriculture, forestry, fishing, and hunting",,,3,11,"['19,567', '&nbsp;']","['2', '&nbsp;']","['19,565', '&nbsp;']","['0.0', '&nbsp;']","['100.0', '&nbsp;']"
11525,r036,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['14,004', '&nbsp;']","['38', 'r']","['13,966', '&nbsp;']","['0.3', 'r']","['99.7', '&nbsp;']"
11525,r037,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['2,994', '&nbsp;']","['10', '&nbsp;']","['2,984', '&nbsp;']","['0.3', '&nbsp;']","['99.7', '&nbsp;']"
11525,r038,All industries -> Nonmanufacturing industries -> Construction,All industries,Nonmanufacturing industries,Construction,,,3,23,"['635,568', '&nbsp;']","['1,263', '&nbsp;']","['634,305', '&nbsp;']","['0.2', '&nbsp;']","['99.8', '&nbsp;']"
11525,r039,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['241,440', '&nbsp;']","['1,024', '&nbsp;']","['240,416', '&nbsp;']","['0.4', '&nbsp;']","['99.6', '&nbsp;']"
11525,r040,All industries -> Nonmanufacturing industries -> Retail trade,All industries,Nonmanufacturing industries,Retail trade,,,3,44–45,"['546,067', '&nbsp;']","['1,155', '&nbsp;']","['544,912', '&nbsp;']","['0.2', '&nbsp;']","['99.8', '&nbsp;']"
11525,r041,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['165,454', '&nbsp;']","['339', '&nbsp;']","['165,115', '&nbsp;']","['0.2', '&nbsp;']","['99.8', '&nbsp;']"
11525,r042,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['65,445', '&nbsp;']","['1,167', '&nbsp;']","['64,278', '&nbsp;']","['1.8', '&nbsp;']","['98.2', '&nbsp;']"
11525,r043,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['17,755', '&nbsp;']","['398', '&nbsp;']","['17,357', '&nbsp;']","['2.2', '&nbsp;']","['97.8', '&nbsp;']"
11525,r044,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['9,162', '&nbsp;']","['9', '&nbsp;']","['9,153', '&nbsp;']","['0.1', '&nbsp;']","['99.9', '&nbsp;']"
11525,r045,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['8,589', '&nbsp;']","['390', '&nbsp;']","['8,199', '&nbsp;']","['4.5', '&nbsp;']","['95.5', '&nbsp;']"
11525,r046,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['7,319', '&nbsp;']","['91', 'r']","['7,228', '&nbsp;']","['1.2', 'r']","['98.8', '&nbsp;']"
11525,r047,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['8,346', '&nbsp;']","['233', '&nbsp;']","['8,113', '&nbsp;']","['2.8', '&nbsp;']","['97.2', '&nbsp;']"
11525,r048,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['32,027', '&nbsp;']","['446', '&nbsp;']","['31,581', '&nbsp;']","['1.4', '&nbsp;']","['98.6', '&nbsp;']"
11525,r049,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['198,128', '&nbsp;']","['421', '&nbsp;']","['197,707', '&nbsp;']","['0.2', '&nbsp;']","['99.8', '&nbsp;']"
11525,r050,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['283,276', '&nbsp;']","['790', '&nbsp;']","['282,486', '&nbsp;']","['0.3', '&nbsp;']","['99.7', '&nbsp;']"
11525,r051,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['1,956', '&nbsp;']","['46', 'r']","['1,910', '&nbsp;']","['2.4', 'r']","['97.6', '&nbsp;']"
11525,r052,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['281,321', '&nbsp;']","['745', '&nbsp;']","['280,576', '&nbsp;']","['0.3', '&nbsp;']","['99.7', '&nbsp;']"
11525,r053,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['717,229', '&nbsp;']","['6,660', '&nbsp;']","['710,569', '&nbsp;']","['0.9', '&nbsp;']","['99.1', '&nbsp;']"
11525,r054,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Legal services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Legal services,,4,5411,"['152,543', '&nbsp;']","['408', '&nbsp;']","['152,135', '&nbsp;']","['0.3', '&nbsp;']","['99.7', '&nbsp;']"
11525,r055,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Accounting, tax preparation, bookkeeping, and payroll services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Accounting, tax preparation, bookkeeping, and payroll services",,4,5412,"['109,075', '&nbsp;']","['341', '&nbsp;']","['108,734', '&nbsp;']","['0.3', '&nbsp;']","['99.7', '&nbsp;']"
11525,r056,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['87,994', '&nbsp;']","['1,410', '&nbsp;']","['86,584', '&nbsp;']","['1.6', '&nbsp;']","['98.4', '&nbsp;']"
11525,r057,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Specialized design services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Specialized design services,,4,5414,"['29,258', '&nbsp;']","['335', '&nbsp;']","['28,923', '&nbsp;']","['1.1', '&nbsp;']","['98.9', '&nbsp;']"
11525,r058,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['100,282', '&nbsp;']","['2,513', '&nbsp;']","['97,769', '&nbsp;']","['2.5', '&nbsp;']","['97.5', '&nbsp;']"
11525,r059,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Management, scientific, and technical consulting services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Management, scientific, and technical consulting services",,4,5416,"['144,421', '&nbsp;']","['1,036', '&nbsp;']","['143,385', '&nbsp;']","['0.7', '&nbsp;']","['99.3', '&nbsp;']"
11525,r060,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['11,149', '&nbsp;']","['295', '&nbsp;']","['10,854', '&nbsp;']","['2.6', '&nbsp;']","['97.4', '&nbsp;']"
11525,r061,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Advertising, public relations, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Advertising, public relations, and related services",,4,5418,"['28,236', '&nbsp;']","['179', '&nbsp;']","['28,057', '&nbsp;']","['0.6', '&nbsp;']","['99.4', '&nbsp;']"
11525,r062,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,5419,"['54,270', '&nbsp;']","['146', '&nbsp;']","['54,124', '&nbsp;']","['0.3', '&nbsp;']","['99.7', '&nbsp;']"
11525,r063,All industries -> Nonmanufacturing industries -> Management of companies and enterprises,All industries,Nonmanufacturing industries,Management of companies and enterprises,,,3,55,"['3,153', '&nbsp;']","['72', 'r']","['3,081', '&nbsp;']","['2.3', 'r']","['97.7', '&nbsp;']"
11525,r064,All industries -> Nonmanufacturing industries -> Administrative and support and waste management and remediation services,All industries,Nonmanufacturing industries,Administrative and support and waste management and remediation services,,,3,56,"['293,539', '&nbsp;']","['842', '&nbsp;']","['292,697', '&nbsp;']","['0.3', '&nbsp;']","['99.7', '&nbsp;']"
11525,r065,All industries -> Nonmanufacturing industries -> Educational services,All industries,Nonmanufacturing industries,Educational services,,,3,61,"['57,078', '&nbsp;']","['355', '&nbsp;']","['56,723', '&nbsp;']","['0.6', '&nbsp;']","['99.4', '&nbsp;']"
11525,r066,All industries -> Nonmanufacturing industries -> Health care and social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,,,3,62,"['536,276', '&nbsp;']","['2,122', '&nbsp;']","['534,154', '&nbsp;']","['0.4', '&nbsp;']","['99.6', '&nbsp;']"
11525,r067,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Health care services,All industries,Nonmanufacturing industries,Health care and social assistance,Health care services,,4,621–23,"['469,939', '&nbsp;']","['1,858', '&nbsp;']","['468,081', '&nbsp;']","['0.4', '&nbsp;']","['99.6', '&nbsp;']"
11525,r068,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,Social assistance,,4,624,"['66,336', '&nbsp;']","['264', '&nbsp;']","['66,072', '&nbsp;']","['0.4', '&nbsp;']","['99.6', '&nbsp;']"
11525,r069,"All industries -> Nonmanufacturing industries -> Arts, entertainment, and recreation",All industries,Nonmanufacturing industries,"Arts, entertainment, and recreation",,,3,71,"['89,491', '&nbsp;']","['217', '&nbsp;']","['89,274', '&nbsp;']","['0.2', '&nbsp;']","['99.8', '&nbsp;']"
11525,r070,All industries -> Nonmanufacturing industries -> Accommodation and food services,All industries,Nonmanufacturing industries,Accommodation and food services,,,3,72,"['455,071', '&nbsp;']","['2,024', '&nbsp;']","['453,047', '&nbsp;']","['0.4', '&nbsp;']","['99.6', '&nbsp;']"
11525,r071,All industries -> Nonmanufacturing industries -> Other services,All industries,Nonmanufacturing industries,Other services,,,3,81,"['341,869', '&nbsp;']","['922', '&nbsp;']","['340,947', '&nbsp;']","['0.3', '&nbsp;']","['99.7', '&nbsp;']"
