table_id,row_id,age_years_sex_ethnicity_race_and_disability_status_full_path,age_years_sex_ethnicity_race_and_disability_status_level_1,age_years_sex_ethnicity_race_and_disability_status_level_2,age_years_sex_ethnicity_race_and_disability_status_level_3,age_years_sex_ethnicity_race_and_disability_status_level_4,age_years_sex_ethnicity_race_and_disability_status_hierarchy_depth,field_total,field_employed_full_time,field_employed_part_time,field_not_employed_seeking_employment,field_not_employed_not_seeking_employment,field_not_employed_retireda
3316,r041,75 and younger -> 40&#8211;49 -> Female,75 and younger,40&#8211;49,Female,,3,3606000,2517000,660000,57000,363000,S
3316,r042,75 and younger -> 40&#8211;49 -> Male,75 and younger,40&#8211;49,Male,,3,3604000,3194000,239000,65000,94000,12000
3316,r043,75 and younger -> 40&#8211;49 -> Hispanic or Latino<sup>b</sup>,75 and younger,40&#8211;49,Hispanic or Latino<sup>b</sup>,,3,682000,505000,122000,18000,34000,
3316,r044,75 and younger -> 40&#8211;49 -> Not Hispanic or Latino,75 and younger,40&#8211;49,Not Hispanic or Latino,,3,,,,,,
3316,r045,75 and younger -> 40&#8211;49 -> Not Hispanic or Latino -> American Indian or Alaska Native,75 and younger,40&#8211;49,Not Hispanic or Latino,American Indian or Alaska Native,4,24000,19000,,,,
3316,r046,75 and younger -> 40&#8211;49 -> Not Hispanic or Latino -> Asian,75 and younger,40&#8211;49,Not Hispanic or Latino,Asian,4,1171000,912000,152000,23000,81000,
3316,r047,75 and younger -> 40&#8211;49 -> Not Hispanic or Latino -> Black or African American,75 and younger,40&#8211;49,Not Hispanic or Latino,Black or African American,4,572000,486000,40000,16000,29000,
3316,r048,75 and younger -> 40&#8211;49 -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,75 and younger,40&#8211;49,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,36000,36000,,,,
3316,r049,75 and younger -> 40&#8211;49 -> Not Hispanic or Latino -> White,75 and younger,40&#8211;49,Not Hispanic or Latino,White,4,4578000,3631000,564000,64000,307000,12000
3316,r050,75 and younger -> 40&#8211;49 -> Not Hispanic or Latino -> More than one race,75 and younger,40&#8211;49,Not Hispanic or Latino,More than one race,4,146000,122000,20000,,3000,
3316,r051,75 and younger -> 40&#8211;49 -> Without disability,75 and younger,40&#8211;49,Without disability,,3,6478000,5195000,815000,103000,352000,14000
3316,r052,75 and younger -> 40&#8211;49 -> With disability,75 and younger,40&#8211;49,With disability,,3,732000,517000,85000,19000,106000,7000
3316,r053,75 and younger -> 50&#8211;75,75 and younger,50&#8211;75,,,2,14612000,7514000,2147000,320000,652000,3979000
3316,r054,75 and younger -> 50&#8211;75 -> Female,75 and younger,50&#8211;75,Female,,3,6571000,2963000,1190000,142000,475000,1801000
3316,r055,75 and younger -> 50&#8211;75 -> Male,75 and younger,50&#8211;75,Male,,3,8040000,4551000,957000,178000,176000,2178000
3316,r056,75 and younger -> 50&#8211;75 -> Hispanic or Latino<sup>b</sup>,75 and younger,50&#8211;75,Hispanic or Latino<sup>b</sup>,,3,972000,569000,137000,36000,76000,153000
3316,r057,75 and younger -> 50&#8211;75 -> Not Hispanic or Latino,75 and younger,50&#8211;75,Not Hispanic or Latino,,3,,,,,,
3316,r058,75 and younger -> 50&#8211;75 -> Not Hispanic or Latino -> American Indian or Alaska Native,75 and younger,50&#8211;75,Not Hispanic or Latino,American Indian or Alaska Native,4,40000,23000,4000,,,8000
3316,r059,75 and younger -> 50&#8211;75 -> Not Hispanic or Latino -> Asian,75 and younger,50&#8211;75,Not Hispanic or Latino,Asian,4,1282000,771000,153000,43000,70000,245000
3316,r060,75 and younger -> 50&#8211;75 -> Not Hispanic or Latino -> Black or African American,75 and younger,50&#8211;75,Not Hispanic or Latino,Black or African American,4,910000,558000,114000,40000,37000,160000
3316,r061,75 and younger -> 50&#8211;75 -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,75 and younger,50&#8211;75,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,39000,20000,S,,,S
3316,r062,75 and younger -> 50&#8211;75 -> Not Hispanic or Latino -> White,75 and younger,50&#8211;75,Not Hispanic or Latino,White,4,11192000,5470000,1713000,198000,451000,3360000
3316,r063,75 and younger -> 50&#8211;75 -> Not Hispanic or Latino -> More than one race,75 and younger,50&#8211;75,Not Hispanic or Latino,More than one race,4,177000,103000,25000,S,7000,41000
3316,r064,75 and younger -> 50&#8211;75 -> Without disability,75 and younger,50&#8211;75,Without disability,,3,11789000,6371000,1765000,241000,430000,2982000
3316,r065,75 and younger -> 50&#8211;75 -> With disability,75 and younger,50&#8211;75,With disability,,3,2823000,1143000,383000,79000,221000,997000
