table_id,row_id,_b_agency_or_facility_b_full_path,_b_agency_or_facility_b_level_1,_b_agency_or_facility_b_level_2,_b_agency_or_facility_b_level_3,_b_agency_or_facility_b_level_4,_b_agency_or_facility_b_level_5,_b_agency_or_facility_b_level_6,_b_agency_or_facility_b_hierarchy_depth,field_total_r_d_expenditures_all_r_d,field_total_r_d_expenditures_basic_research,field_total_r_d_expenditures_applied_research,field_total_r_d_expenditures_experimental_development,field_federally_funded_all_federal_r_d,field_federally_funded_basic_research,field_federally_funded_applied_research,field_federally_funded_experimental_development,field_nonfederally_funded_all_nonfederal_r_d,field_nonfederally_funded_basic_research,field_nonfederally_funded_applied_research,field_nonfederally_funded_experimental_development
12491,r011,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service -> Insect Management and Molecular Diagnostics Laboratory,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,Insect Management and Molecular Diagnostics Laboratory,,,4,"['1,358', '']","['0', '']","['847', '']","['511', '']","['1,358', '']","['0', '']","['847', '']","['511', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r012,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service -> National Veterinary Services Laboratories/ Center for Veterinary Biologics,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,National Veterinary Services Laboratories/ Center for Veterinary Biologics,,,4,"['5,790', '']","['0', '']","['579', '']","['5,211', '']","['5,790', '']","['0', '']","['579', '']","['5,211', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r013,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service -> National Wildlife Research Center,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,National Wildlife Research Center,,,4,"['33,101', '']","['4,138', '']","['24,826', '']","['4,138', '']","['20,125', '']","['2,516', '']","['15,093', '']","['2,516', '']","['12,977', '']","['1,622', '']","['9,732', '']","['1,622', '']"
12491,r014,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service -> Plant Pathogen Confirmatory Diagnostics Laboratory,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,Plant Pathogen Confirmatory Diagnostics Laboratory,,,4,"['1,665', '']","['0', '']","['0', '']","['1,665', '']","['1,665', '']","['0', '']","['0', '']","['1,665', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r015,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service -> Treatment and Inspection Methods Laboratory,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,Treatment and Inspection Methods Laboratory,,,4,"['450', '']","['0', '']","['200', '']","['250', '']","['450', '']","['0', '']","['200', '']","['250', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r016,All agencies -> Department of Agriculture -> Economic Research Service,All agencies,Department of Agriculture,Economic Research Service,,,,3,"['78,038', '']","['0', '']","['78,038', '']","['0', '']","['78,038', '']","['0', '']","['78,038', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r017,All agencies -> Department of Agriculture -> Forest Service,All agencies,Department of Agriculture,Forest Service,,,,3,"['299,844', '']","['88,756', '']","['160,621', '']","['50,467', '']","['288,731', '']","['85,277', '']","['154,327', '']","['49,127', '']","['11,113', '']","['3,479', '']","['6,294', '']","['1,339', '']"
12491,r018,All agencies -> Department of Agriculture -> Forest Service -> Forest Products Laboratory,All agencies,Department of Agriculture,Forest Service,Forest Products Laboratory,,,4,"['19,275', '']","['4,753', '']","['14,258', '']","['264', '']","['18,057', '']","['4,452', '']","['13,357', '']","['247', '']","['1,218', '']","['300', '']","['901', '']","['17', '']"
12491,r019,All agencies -> Department of Agriculture -> Forest Service -> International Institute of Tropical Forestry,All agencies,Department of Agriculture,Forest Service,International Institute of Tropical Forestry,,,4,"['7,856', '']","['2,357', '']","['3,142', '']","['2,357', '']","['7,798', '']","['2,339', '']","['3,119', '']","['2,339', '']","['58', '']","['18', '']","['23', '']","['18', '']"
12491,r020,All agencies -> Department of Agriculture -> Forest Service -> Northern Research Station,All agencies,Department of Agriculture,Forest Service,Northern Research Station,,,4,"['53,497', '']","['21,277', '']","['31,612', '']","['608', '']","['49,840', '']","['19,823', '']","['29,451', '']","['566', '']","['3,657', '']","['1,455', '']","['2,161', '']","['42', '']"
12491,r021,All agencies -> Department of Agriculture -> Forest Service -> Pacific Northwest Research Station,All agencies,Department of Agriculture,Forest Service,Pacific Northwest Research Station,,,4,"['52,212', '']","['14,032', '']","['28,826', '']","['9,355', '']","['48,895', '']","['13,141', '']","['26,994', '']","['8,760', '']","['3,318', '']","['892', '']","['1,832', '']","['594', '']"
12491,r022,All agencies -> Department of Agriculture -> Forest Service -> Pacific Southwest Research Station,All agencies,Department of Agriculture,Forest Service,Pacific Southwest Research Station,,,4,"['22,703', '']","['6,425', '']","['10,521', '']","['5,756', '']","['20,813', '']","['5,890', '']","['9,646', '']","['5,277', '']","['1,890', '']","['535', '']","['876', '']","['479', '']"
12491,r023,All agencies -> Department of Agriculture -> Forest Service -> Rocky Mountain Research Station,All agencies,Department of Agriculture,Forest Service,Rocky Mountain Research Station,,,4,"['76,579', '']","['21,284', '']","['39,416', '']","['15,879', '']","['75,739', '']","['21,051', '']","['38,983', '']","['15,705', '']","['841', '']","['234', '']","['433', '']","['174', '']"
12491,r024,All agencies -> Department of Agriculture -> Forest Service -> Southern Research Station,All agencies,Department of Agriculture,Forest Service,Southern Research Station,,,4,"['50,301', '']","['17,756', '']","['26,458', '']","['6,086', '']","['50,170', '']","['17,710', '']","['26,389', '']","['6,071', '']","['132', '']","['46', '']","['69', '']","['16', '']"
12491,r025,All agencies -> Department of Agriculture -> Forest Service -> Washington Office Research and Development,All agencies,Department of Agriculture,Forest Service,Washington Office Research and Development,,,4,"['17,420', '']","['871', '']","['6,387', '']","['10,162', '']","['17,420', '']","['871', '']","['6,387', '']","['10,162', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r026,All agencies -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Department of Agriculture,National Agricultural Statistics Service,,,,3,"['10,226', '']","['0', '']","['5,651', '']","['4,575', '']","['10,226', '']","['0', '']","['5,651', '']","['4,575', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r027,All agencies -> Department of Agriculture -> Natural Resources Conservation Service,All agencies,Department of Agriculture,Natural Resources Conservation Service,,,,3,"['10,777', '']","['520', '']","['10,258', '']","['0', '']","['10,777', '']","['520', '']","['10,258', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r028,All agencies -> Department of Agriculture -> Natural Resources Conservation Service -> Plant Materials Center,All agencies,Department of Agriculture,Natural Resources Conservation Service,Plant Materials Center,,,4,"['10,258', '']","['0', '']","['10,258', '']","['0', '']","['10,258', '']","['0', '']","['10,258', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r029,All agencies -> Department of Agriculture -> Natural Resources Conservation Service -> Soil Science Research Branch,All agencies,Department of Agriculture,Natural Resources Conservation Service,Soil Science Research Branch,,,4,"['520', '']","['520', '']","['0', '']","['0', '']","['520', '']","['520', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r030,All agencies -> Department of Commerce,All agencies,Department of Commerce,,,,,2,"['1,373,618', ' ']","['236,032', ' ']","['979,281', ' ']","['158,306', ' ']","['1,372,285', ' ']","['236,032', ' ']","['978,184', ' ']","['158,069', ' ']","['1,334', ' ']","['0', ' ']","['1,097', ' ']","['236', ' ']"
12491,r031,All agencies -> Department of Commerce -> Census Bureau,All agencies,Department of Commerce,Census Bureau,,,,3,"['156,946', '']","['0', '']","['115,793', '']","['41,153', '']","['155,612', '']","['0', '']","['114,696', '']","['40,917', '']","['1,334', '']","['0', '']","['1,097', '']","['236', '']"
12491,r032,All agencies -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Department of Commerce,National Institute of Standards and Technology,,,,3,"['660,622', '']","['236,032', '']","['417,587', '']","['7,003', '']","['660,622', '']","['236,032', '']","['417,587', '']","['7,003', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r033,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,,,,3,"['548,741', '']","['0', '']","['438,592', '']","['110,149', '']","['548,741', '']","['0', '']","['438,592', '']","['110,149', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r034,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Mission Support,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Mission Support,,,4,"['21,517', '']","['0', '']","['19,279', '']","['2,237', '']","['21,517', '']","['0', '']","['19,279', '']","['2,237', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r035,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Mission Support -> Office of the Chief Administrative Officer,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Mission Support,Office of the Chief Administrative Officer,,5,"['21,504', '']","['0', '']","['19,267', '']","['2,237', '']","['21,504', '']","['0', '']","['19,267', '']","['2,237', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r036,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Mission Support -> Office of the Chief Information Officer,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Mission Support,Office of the Chief Information Officer,,5,"['13', '']","['0', '']","['12', '']","['1', '']","['13', '']","['0', '']","['12', '']","['1', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r037,"All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Environmental Satellite, Data, and Information Service",All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,"National Environmental Satellite, Data, and Information Service",,,4,"['33,185', '']","['0', '']","['30,544', '']","['2,641', '']","['33,185', '']","['0', '']","['30,544', '']","['2,641', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r038,"All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Environmental Satellite, Data, and Information Service -> Center for Satellite Applications and Research",All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,"National Environmental Satellite, Data, and Information Service",Center for Satellite Applications and Research,,5,"['27,813', '']","['0', '']","['26,471', '']","['1,342', '']","['27,813', '']","['0', '']","['26,471', '']","['1,342', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r039,"All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Environmental Satellite, Data, and Information Service -> National Centers for Environmental Information",All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,"National Environmental Satellite, Data, and Information Service",National Centers for Environmental Information,,5,"['5,372', '']","['0', '']","['4,073', '']","['1,299', '']","['5,372', '']","['0', '']","['4,073', '']","['1,299', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r040,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,,,4,"['65,086', '']","['0', '']","['48,664', '']","['16,422', '']","['65,086', '']","['0', '']","['48,664', '']","['16,422', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r041,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Alaska Fisheries Science Center,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Alaska Fisheries Science Center,,5,"['10,842', '']","['0', '']","['8,371', '']","['2,470', '']","['10,842', '']","['0', '']","['8,371', '']","['2,470', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r042,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Alaska Regional Office,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Alaska Regional Office,,5,"['3,500', '']","['0', '']","['3,324', '']","['175', '']","['3,500', '']","['0', '']","['3,324', '']","['175', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r043,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Greater Atlantic Region Fisheries Office,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Greater Atlantic Region Fisheries Office,,5,"['2,467', '']","['0', '']","['1,788', '']","['679', '']","['2,467', '']","['0', '']","['1,788', '']","['679', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r044,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Northeast Fisheries Science Center,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Northeast Fisheries Science Center,,5,"['6,421', '']","['0', '']","['4,235', '']","['2,186', '']","['6,421', '']","['0', '']","['4,235', '']","['2,186', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r045,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Northwest Fisheries Science Center,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Northwest Fisheries Science Center,,5,"['5,252', '']","['0', '']","['3,871', '']","['1,381', '']","['5,252', '']","['0', '']","['3,871', '']","['1,381', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r046,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Office of Habitat Conservation,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Office of Habitat Conservation,,5,"['1,993', '']","['0', '']","['1,993', '']","['0', '']","['1,993', '']","['0', '']","['1,993', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r047,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Office of Protected Resources,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Office of Protected Resources,,5,"['767', '']","['0', '']","['625', '']","['142', '']","['767', '']","['0', '']","['625', '']","['142', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r048,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Office of Science and Technology,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Office of Science and Technology,,5,"['3,037', '']","['0', '']","['2,178', '']","['859', '']","['3,037', '']","['0', '']","['2,178', '']","['859', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r049,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Office of Sustainable Fisheries,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Office of Sustainable Fisheries,,5,"['858', '']","['0', '']","['434', '']","['424', '']","['858', '']","['0', '']","['434', '']","['424', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r050,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Pacific Island Fisheries Science Center,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Pacific Island Fisheries Science Center,,5,"['4,380', '']","['0', '']","['3,040', '']","['1,340', '']","['4,380', '']","['0', '']","['3,040', '']","['1,340', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r051,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Pacific Islands Regional Office,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Pacific Islands Regional Office,,5,"['1,978', '']","['0', '']","['1,554', '']","['425', '']","['1,978', '']","['0', '']","['1,554', '']","['425', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r052,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Southeast Fisheries Science Center,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Southeast Fisheries Science Center,,5,"['8,142', '']","['0', '']","['4,888', '']","['3,254', '']","['8,142', '']","['0', '']","['4,888', '']","['3,254', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r053,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Southeast Regional Office,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Southeast Regional Office,,5,"['3,597', '']","['0', '']","['2,425', '']","['1,171', '']","['3,597', '']","['0', '']","['2,425', '']","['1,171', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r054,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Southwest Fisheries Science Center,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Southwest Fisheries Science Center,,5,"['5,811', '']","['0', '']","['4,194', '']","['1,617', '']","['5,811', '']","['0', '']","['4,194', '']","['1,617', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r055,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> West Coast Region,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,West Coast Region,,5,"['6,042', '']","['0', '']","['5,744', '']","['297', '']","['6,042', '']","['0', '']","['5,744', '']","['297', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r056,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,,,4,"['46,567', '']","['0', '']","['36,751', '']","['9,815', '']","['46,567', '']","['0', '']","['36,751', '']","['9,815', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r057,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> Center for Operational Oceanographic Products and Services,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,Center for Operational Oceanographic Products and Services,,5,"['1,392', '']","['0', '']","['66', '']","['1,326', '']","['1,392', '']","['0', '']","['66', '']","['1,326', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r058,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> Integrated Ocean Observing System,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,Integrated Ocean Observing System,,5,"['1,968', '']","['0', '']","['1,609', '']","['359', '']","['1,968', '']","['0', '']","['1,609', '']","['359', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r059,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> National Centers for Coastal Ocean Science,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,National Centers for Coastal Ocean Science,,5,"['27,813', '']","['0', '']","['26,471', '']","['1,342', '']","['27,813', '']","['0', '']","['26,471', '']","['1,342', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r060,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> National Geodetic Survey,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,National Geodetic Survey,,5,"['7,123', '']","['0', '']","['3,191', '']","['3,932', '']","['7,123', '']","['0', '']","['3,191', '']","['3,932', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r061,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> Office for Coastal Management,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,Office for Coastal Management,,5,"['143', '']","['0', '']","['141', '']","['2', '']","['143', '']","['0', '']","['141', '']","['2', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r062,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> Office of Response and Restoration,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,Office of Response and Restoration,,5,"['1,213', '']","['0', '']","['708', '']","['504', '']","['1,213', '']","['0', '']","['708', '']","['504', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r063,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> Office of the Coast Survey,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,Office of the Coast Survey,,5,"['6,914', '']","['0', '']","['4,566', '']","['2,349', '']","['6,914', '']","['0', '']","['4,566', '']","['2,349', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r064,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Weather Service,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Weather Service,,,4,"['20,210', '']","['0', '']","['3,813', '']","['16,397', '']","['20,210', '']","['0', '']","['3,813', '']","['16,397', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r065,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Weather Service -> National Centers for Environmental Prediction,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Weather Service,National Centers for Environmental Prediction,,5,"['11,695', '']","['0', '']","['3,163', '']","['8,532', '']","['11,695', '']","['0', '']","['3,163', '']","['8,532', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r066,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Weather Service -> Office of Science and Technology Integration,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Weather Service,Office of Science and Technology Integration,,5,"['2,258', '']","['0', '']","['650', '']","['1,608', '']","['2,258', '']","['0', '']","['650', '']","['1,608', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r067,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Weather Service -> Office of Water Prediction,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Weather Service,Office of Water Prediction,,5,"['6,257', '']","['0', '']","['0', '']","['6,257', '']","['6,257', '']","['0', '']","['0', '']","['6,257', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r068,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,,,4,"['336,599', '']","['0', '']","['274,383', '']","['62,216', '']","['336,599', '']","['0', '']","['274,383', '']","['62,216', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r069,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Air Resources Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Air Resources Laboratory,,5,"['8,013', '']","['0', '']","['6,097', '']","['1,917', '']","['8,013', '']","['0', '']","['6,097', '']","['1,917', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r070,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Atlantic Oceanographic and Meteorological Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Atlantic Oceanographic and Meteorological Laboratory,,5,"['25,169', '']","['0', '']","['18,700', '']","['6,469', '']","['25,169', '']","['0', '']","['18,700', '']","['6,469', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r071,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Chemical Sciences Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Chemical Sciences Laboratory,,5,"['21,670', '']","['0', '']","['19,794', '']","['1,876', '']","['21,670', '']","['0', '']","['19,794', '']","['1,876', '']","['0', '']","['0', '']","['0', '']","['0', '']"
