table_id,row_id,_b_demographic_characteristic_and_field_b_full_path,_b_demographic_characteristic_and_field_b_level_1,_b_demographic_characteristic_and_field_b_level_2,_b_demographic_characteristic_and_field_b_level_3,_b_demographic_characteristic_and_field_b_level_4,_b_demographic_characteristic_and_field_b_hierarchy_depth,field_total_number_,field_highest_level_of_parental_education_all,field_highest_level_of_parental_education_high_school_or_less,field_highest_level_of_parental_education_some_collegea,field_highest_level_of_parental_education_bachelor_s_degree,field_highest_level_of_parental_education_master_s_degree,field_highest_level_of_parental_education_professional_doctorateb,field_highest_level_of_parental_education_research_doctoral_degree
7560,r022,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Biological and biomedical sciences,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Biological and biomedical sciences,4,7403,100.0,11.7,12.5,26.4,23.4,10.9,15.0
7560,r023,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Computer and information sciences,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Computer and information sciences,4,1819,100.0,14.8,10.2,31.6,21.9,5.8,15.7
7560,r024,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Engineering,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Engineering,4,8212,100.0,15.6,10.2,30.3,22.7,6.4,14.9
7560,r025,"Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Geosciences, atmospheric, and ocean sciences",Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,"Geosciences, atmospheric, and ocean sciences",4,935,100.0,13.4,13.4,26.3,22.4,10.4,14.2
7560,r026,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Health sciences,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Health sciences,4,2190,100.0,17.2,16.6,24.1,20.1,7.7,14.2
7560,r027,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Mathematics and statistics,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Mathematics and statistics,4,1660,100.0,15.9,12.0,27.5,20.4,8.4,15.8
7560,r028,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Multidisciplinary/ interdisciplinary sciences,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Multidisciplinary/ interdisciplinary sciences,4,1109,100.0,14.3,11.5,26.7,21.5,7.4,18.7
7560,r029,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Physical sciences,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Physical sciences,4,4255,100.0,15.2,12.8,29.1,21.8,7.7,13.4
7560,r030,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Psychology,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Psychology,4,2949,100.0,12.1,16.2,23.0,23.7,12.6,12.5
7560,r031,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Social sciences,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Social sciences,4,4179,100.0,15.3,12.8,23.2,22.0,10.3,16.3
7560,r032,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Non-science and engineering,Doctorate recipients reporting parental education (number),Field of doctorate,Non-science and engineering,,3,9032,100.0,16.9,15.3,22.1,20.6,8.6,16.5
7560,r033,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Non-science and engineering -> Business,Doctorate recipients reporting parental education (number),Field of doctorate,Non-science and engineering,Business,4,1085,100.0,19.5,12.2,25.6,18.3,5.8,18.5
7560,r034,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Non-science and engineering -> Education,Doctorate recipients reporting parental education (number),Field of doctorate,Non-science and engineering,Education,4,3073,100.0,19.8,19.6,21.5,19.0,5.8,14.4
7560,r035,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Non-science and engineering -> Humanities,Doctorate recipients reporting parental education (number),Field of doctorate,Non-science and engineering,Humanities,4,2603,100.0,13.9,13.1,21.2,21.9,11.3,18.6
7560,r036,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Non-science and engineering -> Visual and performing arts,Doctorate recipients reporting parental education (number),Field of doctorate,Non-science and engineering,Visual and performing arts,4,651,100.0,8.9,9.4,24.1,27.2,15.2,15.2
7560,r037,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Non-science and engineering -> Other<sup>d</sup>,Doctorate recipients reporting parental education (number),Field of doctorate,Non-science and engineering,Other<sup>d</sup>,4,1620,100.0,17.8,15.2,21.4,20.8,8.6,16.2
